model,Gsolv,timing
0,-18455.918118499998,35.5
1,-18619.667928,35.11
2,-18386.74407,36.96
3,-18328.809787,36.17
4,-18878.5185985,35.98
5,-19291.759171,35.05
6,-18933.283903,34.77
7,-18569.024658500002,35.54
8,-18733.5122335,35.92
9,-18908.0764775,37.16
10,-18945.124908,35.59
11,-19019.164008,36.57
12,-18768.045435,36.79
13,-18818.2476205,37.4
14,-19133.719824,35.7
15,-19038.093863,35.32
16,-18916.3310495,35.45
17,-18201.64632,34.78
18,-18532.5564635,33.48
19,-18542.6908935,34.01
20,-18799.225873,35.71
21,-18155.300994,35.43
22,-18554.547651499997,35.26
23,-18836.455463000002,34.06
24,-18731.887049,33.91
25,-18252.704418499998,33.37
26,-18354.392659,35.08
27,-18444.92515,34.69
28,-18119.5285565,34.38
29,-18313.503122,34.98
30,-18591.695851,35.15
31,-18266.700958999998,34.37
32,-18377.2476365,34.64
33,-18469.599598999997,34.57
34,-18389.763395,35.92
35,-18395.6471405,34.03
36,-18518.9143655,33.45
37,-18690.026077000002,35.33
38,-18449.0078025,35.12
39,-18344.560161499998,34.83
40,-18409.735573500002,34.02
41,-18440.687593,33.85
42,-18113.6894445,33.94
43,-17903.581181499998,33.36
44,-17999.8792705,33.52
45,-18449.65105,33.96
46,-18251.7119795,33.44
47,-18118.213181,33.7
48,-18727.465707,33.92
49,-18681.256907,34.11
50,-18548.243825999998,34.77
51,-18385.026993,34.83
52,-18414.5874975,33.59
53,-18398.207003,33.9
54,-18686.791461,34.12
55,-18719.016848,34.49
56,-18569.253077,33.74
57,-18378.3871035,32.73
58,-18190.2385225,33.47
59,-18129.3689305,33.96
60,-18458.21018,34.16
61,-18400.470184,33.81
62,-18180.5714315,33.82
63,-18198.243672,34.24
64,-18261.8516605,33.78
65,-18209.1211185,33.58
66,-18297.595217500002,34.47
67,-18251.2026325,33.64
68,-18286.1427865,32.94
69,-18528.156125499998,33.46
70,-18696.259014,32.64
71,-18461.318772000002,32.8
72,-18458.5121125,32.6
73,-18275.0631765,32.87
74,-18292.4492375,32.25
75,-18399.2230715,32.27
76,-18315.162438,32.61
77,-18137.4082115,34.18
78,-18059.2260725,32.94
79,-18264.521794,32.37
80,-18191.742933999998,31.91
81,-18376.179058,32.87
82,-18255.815636,33.35
83,-18207.1940015,33.98
84,-18145.6890385,35.12
85,-18194.323800500002,33.8
86,-17944.6492525,33.64
87,-18254.854702999997,33.28
88,-18390.425021,33.49
89,-18501.620197,33.95
90,-18158.0761475,33.64
91,-18535.693936,33.57
92,-18359.585898,33.06
93,-18362.7968845,33.88
94,-18303.2557955,33.55
95,-17952.439111,33.67
96,-18159.9087465,33.23
