model,Gsolv,timing
0,-19480.26482,33.19
1,-19657.927153999997,32.47
2,-19193.2267815,33.55
3,-19609.423667,33.31
4,-19947.845365999998,34.74
5,-19525.213379999997,32.77
6,-19460.4659245,32.73
7,-19822.882068,33.23
8,-19742.6809195,33.43
9,-19978.0727475,33.76
10,-19138.9787005,33.22
11,-19226.7544165,32.96
12,-20071.243866,32.36
13,-19902.2273035,32.68
14,-19825.927648,32.9
15,-19438.6165135,33.49
16,-19407.2995495,33.47
17,-19644.040884500002,33.88
18,-19513.9106025,33.61
19,-19623.218044,34.08
20,-19354.611015500002,33.96
21,-19507.1945735,33.64
22,-19724.063499,33.13
23,-19987.7765955,33.36
24,-19844.757734000003,32.87
25,-19863.062719999998,32.84
26,-19690.1184095,32.36
27,-19780.942331000002,33.17
28,-20036.4061065,33.99
29,-19979.304107,33.93
30,-20010.274505,34.08
31,-20008.5705555,33.52
32,-20159.731092500002,34.26
33,-19861.74997,33.23
34,-20073.0790905,34.35
35,-20309.6838995,33.66
36,-19653.9652745,32.49
37,-19889.270461,33.05
38,-19720.356293,33.14
39,-19982.990309,33.63
40,-19933.462876999998,34.32
41,-20144.581957500002,34.26
42,-19765.701303499998,33.77
43,-19844.5818255,33.08
44,-19856.940054,33.58
45,-19717.373725,33.5
46,-19507.2365815,33.35
47,-19814.0210055,34.41
48,-19772.3438185,33.56
49,-19724.4126905,32.98
50,-20114.2469305,34.29
51,-20002.534531,33.36
52,-19908.7332925,33.64
53,-19898.858787,33.01
54,-19810.279668,34.41
55,-19916.7935775,33.83
56,-19933.037546,35.28
57,-19691.2001155,34.6
58,-19797.120662,33.97
59,-19647.887242,34.23
60,-19891.013793000002,34.27
61,-19336.497691,32.93
62,-19253.799692,33.15
63,-19601.137588999998,33.33
64,-19325.355069,32.34
65,-19545.487491,32.59
66,-19579.3590665,33.58
67,-19643.434394,33.27
68,-19180.721525,33.44
69,-19469.032931,32.62
70,-19062.088307500002,32.33
71,-19187.264271,32.35
72,-19508.0242315,32.64
73,-19341.0319295,33.17
74,-19116.123723,33.85
75,-19291.507123,34.39
76,-19203.0934105,32.38
77,-19476.3712035,32.32
78,-19087.912725500002,33.05
79,-19087.3351155,33.25
80,-19247.125670999998,33.71
81,-19310.140296499998,34.13
82,-19460.560442500002,34.14
83,-19579.104393,33.56
84,-19831.435946999998,33.88
85,-19378.9704045,34.33
86,-19196.264485,34.63
87,-19220.0698935,34.87
88,-19537.085891,34.61
89,-19707.139526000003,35.14
90,-19329.9313155,34.86
91,-19316.0634245,35.06
92,-19479.214620000002,33.45
93,-19450.8933515,34.63
94,-19465.178697,34.85
95,-19860.363706,34.12
96,-19718.3792915,33.77
97,-19725.817333,35.01
98,-19377.1273035,33.72
99,-19777.382153,34.19
100,-19618.2689765,34.88
101,-19618.521024499998,34.56
102,-19709.016758499998,34.3
103,-19455.763654,34.35
104,-19841.633389,34.62
105,-19571.7713715,34.0
106,-19873.890282,34.08
107,-19812.12802,35.21
108,-19902.397961000002,34.72
109,-19931.525258,33.7
110,-19758.137238,34.57
111,-19730.5458585,33.68
112,-19982.974556,34.3
113,-20076.762667,34.88
114,-19761.605523500002,34.07
115,-19687.9970055,34.6
116,-19479.4640425,33.91
117,-19832.669932,34.56
118,-19447.6167275,34.61
119,-19810.5395925,33.75
120,-19397.130988,33.76
121,-19607.698713499998,34.6
122,-19953.2250155,33.59
123,-19319.116880999998,33.06
124,-19502.3531515,33.42
125,-19413.5587415,33.52
126,-19548.1838795,33.66
127,-20199.158226,33.06
128,-20060.1563795,33.85
129,-20065.3076105,33.87
130,-20318.5948465,34.59
131,-20091.696511000002,33.62
132,-20289.3677805,32.97
133,-20212.1413235,33.57
134,-20575.129826,33.64
135,-19997.913651,33.76
136,-20127.061996,33.69
137,-19746.4091295,34.43
138,-19935.915094,34.98
139,-20337.301534000002,34.9
140,-19851.1088185,34.72
141,-19773.5935565,33.07
142,-19790.8850995,33.8
143,-20059.7940605,33.85
144,-19964.979379,33.81
145,-20023.1578335,33.19
146,-19812.12802,33.07
147,-19756.015834,33.68
148,-19675.822562,34.36
149,-19598.3361805,33.65
150,-19846.99466,33.55
151,-19936.587222,33.54
152,-19684.933047000002,33.95
153,-19770.2696735,33.48
154,-19686.219542000003,34.03
155,-19563.9263775,34.1
156,-19540.412399499997,33.58
157,-19872.609038,33.45
158,-19655.0679845,33.96
159,-19601.358131,34.32
160,-19571.637471000002,34.8
161,-19494.369006,33.01
162,-19421.968217999998,33.06
163,-19518.678510499998,32.85
164,-19515.2548585,32.4
165,-19867.150623499998,33.14
166,-19780.375223,32.53
167,-19681.8218295,32.84
168,-19619.085507,33.07
169,-19736.497867000002,31.83
170,-19717.751796999997,32.52
171,-19328.857486,31.89
172,-19534.1584585,31.73
173,-19604.534986,33.36
174,-19406.010429,32.15
175,-19496.603306499997,33.06
176,-19507.8667015,32.28
177,-19647.2860025,33.31
178,-20044.0883195,33.57
179,-19903.970635499998,33.06
180,-19728.9915625,33.16
181,-19433.0924615,32.73
182,-19539.3201915,32.52
183,-19369.825788000002,32.82
184,-19898.632994,33.08
185,-19627.7155255,32.55
186,-19508.005853,32.22
187,-19328.148601,32.5
188,-19602.316438500002,32.63
189,-19908.53638,32.46
190,-19622.67194,32.43
191,-19460.9280125,32.71
192,-19758.654461500002,32.88
193,-19365.060505499998,33.02
194,-19747.632612499998,32.81
195,-19516.4363335,33.52
196,-19662.185715,32.11
197,-19273.7876235,32.27
198,-19580.498533500002,32.73
199,-19441.333906,32.78
200,-19341.7828225,32.1
201,-19712.3616455,31.67
202,-19386.088135,31.81
203,-19234.4996415,32.76
204,-19380.9552825,32.33
205,-19164.15462,33.2
206,-19177.1377175,32.95
207,-19525.6465875,32.15
208,-19443.5787085,32.65
209,-19627.334828,32.75
210,-19691.8197335,32.76
211,-19570.5426375,32.78
212,-19824.809185,33.57
213,-19530.033798,33.97
214,-19513.157084,32.76
215,-19279.996931,33.51
216,-19504.1857505,33.17
217,-19000.664735000002,32.9
218,-19275.909027499998,32.08
219,-19015.5119375,32.59
220,-19427.300608499998,32.47
221,-19447.2964165,31.59
222,-19804.1963845,32.39
223,-19360.917466500003,31.43
224,-19456.341264000002,31.7
225,-19540.0920885,32.7
226,-19439.874128,31.58
227,-19475.612434000002,31.71
228,-19472.5642285,31.81
229,-19427.6261705,31.98
230,-19422.320035,32.8
231,-19447.4329425,32.42
232,-19777.68146,32.06
233,-20058.2135095,33.1
234,-19785.2980355,33.51
235,-19721.401242,32.78
236,-19572.897710999998,33.11
237,-19612.114804499997,31.9
238,-19643.418641,33.09
239,-19336.8573845,33.41
240,-19551.2924715,33.26
241,-19191.759127,33.25
242,-19503.7709215,33.74
243,-19541.4363445,32.89
244,-19354.8210555,33.3
245,-19768.2742935,32.96
246,-19678.169759,33.9
247,-19436.8049185,33.39
248,-19742.678293999998,32.64
249,-19309.1373555,32.81
250,-19367.667627,32.73
251,-19563.015329,32.89
252,-19453.676381499998,32.54
253,-19401.3134095,32.38
254,-19150.1475775,32.79
255,-19145.8575105,33.13
256,-19144.983219,33.46
257,-19344.027625,33.02
258,-19136.3164435,33.78
259,-19576.1507055,33.15
260,-19400.759428999998,34.21
261,-19564.2571905,33.97
262,-19548.275772,33.74
263,-19184.7411655,32.83
264,-19809.0430575,33.77
265,-19792.4393955,34.51
266,-19812.4247015,33.89
267,-19593.723177,33.13
268,-19540.147224,34.18
269,-19663.1492735,36.12
270,-19414.6036905,35.02
271,-19664.3202465,35.7
272,-19814.454213,34.78
273,-20203.227751,35.68
274,-19905.6404535,35.29
275,-19734.6836465,34.51
276,-19696.159685000002,34.04
277,-19539.104900500002,33.97
278,-19439.8820045,34.33
279,-19872.556528,35.49
280,-19574.115943,34.91
281,-19273.890018,34.06
282,-19350.670140000002,32.55
283,-19698.354603,33.3
284,-19839.4988575,32.54
285,-19777.0329615,32.81
286,-19849.0241715,32.92
287,-20095.078155,33.54
288,-19709.6836355,33.67
289,-19713.561499,34.2
290,-19771.298869500002,33.65
291,-19602.476594,34.94
292,-19928.679216,33.12
293,-20171.593101500002,33.28
294,-19770.1383985,33.23
295,-19750.5863,32.13
296,-19667.231926,33.38
297,-19318.27147,33.28
298,-19912.3171,32.88
299,-19848.795753,34.01
300,-19488.6532925,34.11
301,-19776.972575,33.87
302,-19962.2304805,33.19
303,-19715.0974165,33.63
304,-20115.546553,33.58
305,-19727.7365735,33.73
306,-19793.198165,33.61
307,-19948.748538,33.65
308,-19555.010179499997,34.03
309,-19822.8321835,33.99
310,-19801.510498,34.15
311,-19950.4157305,33.02
312,-19773.4832855,32.78
313,-19513.4380125,33.67
314,-19576.4920205,33.83
315,-19798.911253000002,33.73
316,-19674.824872,33.89
317,-19855.091702,34.99
318,-19745.723874,34.47
319,-19592.8016265,34.75
320,-19730.590492,34.77
321,-19747.850529,34.66
322,-19551.271467500002,34.42
323,-19725.607293,34.16
324,-19760.7391085,34.87
325,-19603.1198415,34.53
326,-19886.266889,33.81
327,-19743.644478,34.27
328,-19959.688996499997,33.96
329,-19666.1423435,33.96
330,-19730.8714205,33.5
331,-19613.241144,33.67
332,-19155.159657,33.89
333,-19771.238482999997,35.38
334,-19400.937963,34.61
335,-19652.802178,34.64
336,-19690.919187,35.26
337,-19797.1968015,33.92
338,-19664.6773145,34.0
339,-19460.1141075,33.35
340,-19180.682142499998,33.0
341,-19229.9522755,33.81
342,-19309.019207999998,33.61
343,-19347.900237500002,33.62
344,-19477.0275785,33.1
345,-19289.2780735,33.69
346,-19408.5177815,33.58
347,-19301.245102499997,33.44
348,-19608.1713035,33.69
349,-19540.0080725,34.72
350,-19813.346252,34.44
351,-19490.0395565,34.57
352,-19620.561038,33.73
353,-19339.2728445,33.43
354,-19496.1517205,34.04
355,-19306.362202,33.95
356,-19436.193176999997,34.63
357,-19399.9481495,33.17
358,-19283.9588105,33.76
359,-19693.1324835,33.33
360,-19431.1495915,34.1
361,-19618.397626,33.65
362,-19360.4081195,33.92
363,-19428.510964,32.61
364,-19690.2864415,32.03
365,-19584.5102975,32.14
366,-19506.367541,32.69
367,-19612.603147499998,32.04
368,-19526.478871,32.55
369,-19849.977228,33.2
370,-19634.5103195,33.17
371,-19880.490789,32.83
372,-19484.208321,32.99
373,-19656.593399999998,32.21
374,-18938.272353,32.86
375,-19257.706436,32.46
376,-19377.5788895,32.04
377,-19604.8264165,31.56
378,-19543.303075,32.32
379,-19566.769794,31.46
380,-19157.5147305,31.79
381,-19606.7272785,32.36
382,-19427.9097245,32.3
383,-19479.797481,32.87
384,-19545.251195999997,32.18
385,-19775.392024,32.18
386,-19698.5725195,33.83
387,-20171.784763,33.23
388,-20245.2436275,32.98
389,-19948.3310835,33.74
390,-19954.112434500003,33.6
391,-19815.682946999998,34.87
392,-19824.0661685,32.44
393,-19818.040646,34.6
394,-19539.559112000003,33.44
395,-19430.354065,32.57
396,-19470.692247000003,33.67
397,-19887.1464315,33.4
398,-19729.041447,32.84
399,-19661.970424,34.15
400,-19616.0373015,33.09
401,-19762.2513965,35.03
402,-19349.5332985,33.87
403,-19570.519008,33.84
404,-19502.3531515,33.8
405,-19391.651569499998,32.77
406,-19529.687232,33.86
407,-19663.8161505,35.03
408,-19587.22769,35.35
409,-19623.664378999998,33.79
410,-19733.176609500002,33.49
411,-19532.265473,34.57
412,-19651.870125499998,33.33
413,-19934.599718499998,34.8
414,-20155.246738499998,33.69
415,-19815.898237999998,33.39
416,-20051.221803,33.8
417,-19830.947604,34.62
418,-19434.2371795,32.96
419,-19703.154017,32.71
420,-19241.423085,33.69
421,-19322.41976,32.88
422,-19362.778946,32.88
423,-19710.122094000002,32.16
424,-19928.33265,33.86
425,-19527.445055,34.01
426,-19518.4894745,33.22
427,-19577.119515,33.5
428,-19390.4018315,32.87
429,-19356.9529615,33.1
430,-19522.0864095,33.58
431,-19291.087043,33.01
432,-19208.2288885,33.46
433,-19646.2358025,32.42
434,-19089.422388,33.43
435,-19179.933875,34.14
436,-19677.9360895,33.93
437,-19425.454881999998,33.59
438,-19507.407239,33.15
439,-19202.7730995,32.72
440,-19461.366471,33.04
441,-19274.703923,33.06
442,-19531.330795,33.04
443,-19234.444506,33.49
444,-19385.605043,33.45
445,-18853.930791,34.06
446,-19134.1477805,33.7
447,-19312.1461785,33.19
448,-19240.378136,33.98
449,-19059.6833495,33.05
450,-19000.890528,34.8
451,-19179.9785085,33.92
452,-19353.6868395,33.48
453,-19152.510527500002,33.87
454,-19079.1645595,32.81
455,-19016.9559625,32.98
456,-18969.452791,32.4
457,-18963.204101,32.8
458,-18921.3194995,33.49
459,-18943.1846635,32.8
460,-18710.8016585,32.52
461,-18731.3225665,32.99
462,-18670.954445,33.41
463,-18646.7079525,32.86
464,-18219.6336205,32.2
465,-18461.09823,32.76
466,-18704.694745499997,33.05
467,-18875.761823499997,32.41
468,-18848.88458,33.0
469,-18938.2566,33.52
470,-18779.2221885,33.94
471,-18630.3405855,32.68
472,-18869.557767,33.29
473,-18714.77404,33.55
474,-18956.4434385,33.31
475,-18682.091816,33.13
