model,Gsolv,timing
0,-3862.1971415000003,33.2
1,-3692.2537774999996,32.02
2,-3793.6925955,33.43
3,-3807.0616415,32.05
4,-3774.413549,33.03
5,-3812.247004,32.0
6,-3842.1855805,32.95
7,-3831.9645090000004,32.64
8,-3778.0551175,32.99
9,-3742.792027,33.11
10,-3766.232491,33.14
11,-3814.7517310000003,34.32
12,-3861.3464795,33.37
13,-3918.3329569999996,34.71
14,-3760.9106025,33.15
15,-3813.7172840000003,33.45
16,-3832.2821944999996,33.48
17,-3751.9208905,33.78
18,-3759.4455735,33.98
19,-3787.882364,34.04
20,-3819.9423444999998,34.48
21,-3854.0554660000003,32.97
22,-3840.7651849999997,32.95
23,-3827.963247,32.41
24,-3805.2841780000003,33.21
25,-3775.9888490000003,33.47
26,-3922.7359205000002,33.55
27,-3912.1892869999997,33.05
28,-3843.4720755,33.91
29,-3847.8619115,34.29
30,-3837.6119595000005,33.95
31,-3807.8309130000002,33.4
32,-3922.717542,33.66
33,-3938.7462195,33.96
34,-3968.1098115,32.98
35,-4017.0281275,33.82
36,-3987.3415990000003,34.26
37,-4040.6786315,33.9
38,-3964.4734940000003,32.88
39,-3897.3735905000003,33.8
40,-3872.1635395,33.93
41,-3914.0953999999997,34.19
42,-3906.0298639999996,33.01
43,-3847.88029,34.05
44,-3857.2848310000004,33.74
45,-3812.2181235,32.94
46,-3899.9885885000003,32.84
47,-3826.3013054999997,31.7
48,-3886.800702,33.56
49,-3857.043285,32.1
50,-3796.2314539999998,33.22
51,-3845.317802,32.16
52,-3841.258779,32.67
53,-3828.498849,33.17
54,-3824.5579734999997,33.07
55,-3822.4838285,32.77
56,-3854.2681315,32.38
57,-3851.8736755,32.5
58,-3808.0567060000003,32.8
59,-3809.007137,33.05
60,-3772.0768540000004,32.16
61,-3735.0074195,32.5
62,-3726.6530785000004,32.65
63,-3723.841168,31.07
64,-3757.5630899999996,32.22
65,-3837.5909555000003,32.2
66,-3729.722288,31.93
67,-3684.6713335,31.46
68,-3749.0013344999998,31.46
69,-3737.6355449999996,32.31
70,-3749.2743865,31.98
71,-3760.5482835000003,32.64
72,-3667.1592485,33.28
73,-3684.080596,33.26
74,-3720.6774404999996,32.06
75,-3752.0574165000003,33.02
76,-3701.288123,32.51
77,-3704.837799,32.2
78,-3644.7847375,32.24
