model,Gsolv,timing
0,-49.039089,0.05
1,-47.7709725,0.05
2,-48.435224,0.05
3,-50.1234205,0.07
4,-49.039089,0.08
5,-48.8999375,0.05
6,-48.976077000000004,0.06
7,-48.2803195,0.06
8,-49.2780095,0.06
9,-48.87105699999999,0.04
10,-48.6741445,0.07
11,-48.881558999999996,0.06
12,-48.619009,0.06
13,-50.561879000000005,0.05
14,-48.865806,0.07
15,-50.136548,0.06
16,-47.1040955,0.06
17,-49.1624875,0.07
18,-47.752593999999995,0.05
19,-48.955073,0.06
20,-47.647574000000006,0.07
21,-48.5533715,0.07
22,-47.973136,0.07
23,-48.059777499999996,0.07
24,-47.946881000000005,0.07
25,-47.3193865,0.07
26,-47.749968499999994,0.06
27,-48.87105699999999,0.05
28,-50.154926499999995,0.06
29,-49.2044955,0.05
30,-50.472612000000005,0.06
31,-47.6239445,0.06
32,-47.723713499999995,0.07
33,-48.261941,0.05
34,-50.128671499999996,0.08
35,-49.036463499999996,0.07
36,-48.973451499999996,0.09
37,-47.432283,0.06
38,-48.629511,0.05
39,-48.408969,0.06
40,-48.435224,0.06
41,-48.427347499999996,0.07
42,-49.348898,0.06
43,-48.477232,0.04
44,-49.537934,0.05
45,-49.810986,0.05
46,-48.0230205,0.06
47,-48.177925,0.07
48,-48.3853395,0.06
49,-48.852678499999996,0.05
50,-48.1910525,0.06
51,-47.660701499999995,0.04
52,-49.1782405,0.04
53,-48.6268855,0.06
54,-48.1647975,0.07
55,-48.3538335,0.06
56,-50.635393,0.06
57,-49.916006,0.06
58,-49.797858500000004,0.07
59,-49.48017300000001,0.04
60,-49.9711415,0.05
61,-48.692523,0.07
62,-48.542869499999995,0.07
63,-48.495610500000005,0.07
64,-47.907498499999996,0.05
65,-48.50611249999999,0.06
66,-49.75322500000001,0.06
67,-49.2254995,0.07
68,-49.4407905,0.07
69,-49.616699000000004,0.06
70,-49.4250375,0.05
71,-49.4933005,0.07
72,-48.8421765,0.05
73,-48.571749999999994,0.06
74,-48.185801500000004,0.06
75,-48.303949,0.06
76,-48.850053,0.05
77,-48.340706000000004,0.06
78,-49.259631,0.07
79,-48.198929,0.06
80,-48.655766,0.06
81,-48.6058815,0.07
82,-47.6712035,0.06
83,-47.794602000000005,0.06
84,-48.065028500000004,0.06
85,-50.1759305,0.05
86,-49.4512925,0.06
87,-49.364650999999995,0.07
88,-48.700399499999996,0.05
89,-49.4407905,0.07
90,-48.718778,0.06
91,-48.235686,0.06
92,-48.324952999999994,0.06
93,-48.521865500000004,0.07
94,-49.438165,0.07
95,-47.831359000000006,0.08
96,-48.482483,0.07
97,-48.20418,0.05
98,-48.855304,0.07
99,-48.6426385,0.07
100,-48.768662500000005,0.08
101,-48.59800499999999,0.06
102,-48.14116800000001,0.05
103,-49.05221650000001,0.04
104,-47.639697500000004,0.08
105,-48.7581605,0.04
106,-49.272758499999995,0.06
107,-47.027956,0.06
108,-48.20418,0.06
109,-48.978702500000004,0.08
110,-48.666268,0.07
111,-47.857614000000005,0.06
112,-48.285570500000006,0.06
113,-47.429657500000005,0.06
114,-48.6163835,0.06
115,-47.332513999999996,0.07
116,-48.8369255,0.07
117,-49.4827985,0.06
118,-48.214681999999996,0.05
119,-48.59800499999999,0.07
120,-48.503487,0.05
121,-48.818546999999995,0.07
122,-49.5038025,0.06
123,-49.7085915,0.06
124,-48.671518999999996,0.08
125,-49.285886,0.05
126,-47.429657500000005,0.07
127,-49.582567499999996,0.05
128,-48.251439,0.08
129,-48.324952999999994,0.08
130,-48.4115945,0.06
131,-49.102101,0.06
132,-50.336086,0.06
133,-48.808045,0.06
134,-48.540244,0.06
135,-49.123105,0.06
136,-48.745033,0.06
137,-48.6321365,0.04
138,-49.25438,0.07
139,-48.340706000000004,0.06
140,-47.9285025,0.06
141,-49.837241,0.07
142,-49.774229,0.06
143,-49.246503499999996,0.07
144,-47.673829000000005,0.07
145,-48.7371565,0.06
146,-48.16742300000001,0.05
147,-48.524491,0.06
148,-48.666268,0.07
149,-49.4722965,0.06
150,-48.676770000000005,0.05
151,-48.469355500000006,0.06
152,-48.8474275,0.06
153,-48.6478895,0.08
154,-49.081097,0.09
155,-48.4483515,0.08
156,-47.736841,0.06
157,-47.400777000000005,0.05
158,-48.4431005,0.07
159,-49.25438,0.06
160,-49.0994755,0.08
161,-47.967885,0.06
162,-48.3433315,0.05
163,-49.0102085,0.06
164,-48.5376185,0.06
165,-49.049591,0.07
166,-49.590444,0.04
167,-48.913065,0.06
168,-48.792291999999996,0.07
169,-48.3485825,0.07
170,-48.487733999999996,0.05
171,-48.59800499999999,0.07
172,-48.8789335,0.06
173,-49.532683,0.05
174,-47.5609325,0.07
175,-47.476916499999994,0.04
176,-48.8894355,0.06
177,-49.747974,0.05
178,-48.902563,0.05
179,-47.9547575,0.06
180,-48.435224,0.05
181,-49.87137250000001,0.07
182,-48.6636425,0.05
183,-49.09685,0.06
184,-48.3958415,0.06
185,-47.9180005,0.07
186,-47.093593500000004,0.05
187,-48.3170765,0.06
188,-48.0335225,0.07
189,-47.122474,0.08
190,-48.6583915,0.06
191,-48.860555000000005,0.04
192,-47.99414,0.07
193,-47.8917455,0.07
194,-49.23337600000001,0.07
195,-48.125415,0.04
196,-49.385655,0.06
197,-47.791976500000004,0.07
198,-48.3092,0.07
199,-49.338395999999996,0.07
200,-50.065659499999995,0.04
201,-48.479857499999994,0.06
202,-49.05221650000001,0.08
203,-48.403718000000005,0.06
204,-48.9682005,0.05
205,-48.561248,0.07
206,-49.4933005,0.07
207,-47.448036,0.06
208,-48.198929,0.05
209,-48.093909000000004,0.07
210,-49.921257,0.07
211,-49.5038025,0.06
212,-48.4010925,0.07
213,-47.495295,0.06
214,-48.902563,0.06
215,-48.0492755,0.06
