model,Gsolv,timing
0,-19000.6411055,34.9
1,-18997.865952,34.35
2,-19063.708241,33.68
3,-19252.7416155,34.31
4,-18964.716388999997,34.44
5,-19420.2800215,34.0
6,-19424.257654,34.73
7,-19325.391826,34.49
8,-18811.5263405,33.49
9,-19180.107158000003,33.84
10,-19340.900654499997,34.33
11,-19037.568763,34.7
12,-19199.8903005,36.19
13,-18836.791526999998,35.0
14,-18822.193746999998,35.47
15,-18572.7476175,34.65
16,-18606.214866,34.07
17,-18518.034822999998,35.34
18,-18824.4648045,34.94
19,-18444.4079265,34.15
20,-18536.457956500002,34.64
21,-18780.380034,33.83
22,-18747.876344,34.97
23,-18827.7256755,35.05
24,-18439.332835,35.07
25,-18684.2841085,36.46
26,-18826.496941499998,36.03
27,-18551.924777,35.53
28,-18537.132709999998,36.0
29,-18510.284347,35.3
30,-18474.083953,35.58
31,-18607.0786555,35.22
32,-18726.8644675,34.24
33,-18468.2789725,33.78
34,-18726.160833500002,34.6
35,-18965.8637325,33.78
36,-18446.442689,33.53
37,-18577.255601,34.08
38,-18894.668049,35.1
39,-18854.159209499998,34.34
40,-18864.595572000002,34.03
41,-18485.158312,34.11
42,-18761.334657,33.54
43,-18425.239150999998,34.32
44,-18444.40005,34.28
45,-18468.257968500002,34.92
46,-18653.2927065,33.72
47,-18762.4137375,32.55
48,-18302.2423525,33.05
49,-18257.5353385,32.04
50,-18366.380692,33.45
51,-18301.299798,33.54
52,-18435.247557,34.61
53,-18183.467358,33.97
54,-18174.808459,34.72
55,-18235.699055,32.98
56,-18285.8854875,34.09
57,-18027.916985,34.14
58,-18287.901871500002,34.02
59,-18244.197798499998,33.75
60,-18344.0770695,33.24
61,-18356.214756,34.08
62,-18679.4531885,33.64
63,-18651.772542000002,33.62
64,-18798.629884500002,33.38
65,-18850.5150155,33.81
66,-19038.062357,33.99
67,-18885.872624,34.79
68,-18729.747266500002,34.47
69,-18641.596104,33.85
70,-18909.328841,34.38
71,-18552.6362875,34.03
72,-18895.056623,34.15
73,-18545.269134500002,34.37
74,-18420.9044505,33.83
75,-18721.075240000002,34.38
76,-18531.2752195,34.24
77,-18661.145577,34.99
78,-18658.829886,33.86
79,-18504.0855415,33.64
80,-18572.1332505,35.36
81,-18475.8246595,34.92
82,-18764.9552215,34.78
83,-18672.009896,33.99
84,-18679.371798,33.65
85,-18598.144078999998,34.61
86,-18965.131218000002,33.62
87,-18803.946522,33.52
88,-18486.754616,33.62
89,-18630.671398500002,33.13
90,-18407.821583999998,34.58
91,-18167.415051,33.27
92,-18213.067245,33.69
93,-18276.504576,33.04
94,-18800.354838,34.27
95,-18630.815801,33.72
96,-18508.8271945,33.12
97,-18551.7331155,33.48
98,-18358.204885000003,33.12
99,-18628.584126,33.87
100,-18560.0139425,33.36
101,-18385.9590455,33.19
102,-18545.0748475,32.34
103,-18502.05603,32.89
104,-18516.8612245,34.08
105,-18230.6082105,33.27
106,-18250.102548,32.33
107,-18264.146347500002,32.17
108,-18493.2212225,32.72
109,-18289.1988685,32.34
110,-18607.5985045,32.67
111,-17975.112929000003,32.66
112,-18456.9683185,32.37
113,-18063.1065615,32.62
114,-17916.3778685,33.01
115,-18656.1387485,31.59
116,-18688.230235,32.32
117,-18776.1556045,32.5
118,-18605.411463,33.03
119,-18950.522936,32.44
120,-19074.698584,33.64
121,-18971.936514,32.77
122,-18804.256331,34.05
123,-18859.418086,32.78
124,-18959.20809,32.34
125,-19090.047257000002,32.82
126,-18824.840251,33.14
127,-18798.396215,33.24
128,-18976.704422,33.03
129,-18788.3221715,33.28
130,-18513.5110865,33.11
131,-18452.851534499998,32.62
132,-18522.4010295,34.09
133,-18793.082202999998,33.5
134,-19008.559613499998,33.36
135,-18806.616655499998,33.64
136,-19012.6553935,32.49
137,-19039.385609,33.73
138,-18543.722715,32.98
139,-18795.613185000002,34.0
140,-18758.5332485,34.27
141,-18668.024387,33.05
142,-18238.2536665,33.11
143,-18619.851713,33.02
144,-18640.9160995,33.34
145,-18509.349669,34.07
146,-19035.562881,34.02
147,-18808.685549499998,33.49
148,-18972.5482555,34.63
149,-18369.5916785,34.04
150,-18877.418514,33.93
151,-19001.89872,33.6
152,-18797.382772,34.04
153,-19134.880295000003,35.14
154,-18788.881403,34.18
155,-18913.687171,34.19
156,-19170.7052425,34.42
157,-19025.622738000002,34.54
158,-19046.576853500002,33.23
159,-19274.3206,35.25
160,-19238.676812,34.89
161,-18849.8533895,34.62
162,-18984.1424635,33.99
163,-19090.90317,34.39
164,-18922.435337,34.59
165,-19102.681163,33.8
166,-19026.006061,34.45
167,-19097.225374,33.33
168,-18824.645964,33.24
169,-18781.947457500002,33.05
170,-18938.587413,33.0
171,-19111.3006795,33.26
172,-18648.217615,32.65
173,-18585.6230695,32.59
174,-18859.9300585,33.24
175,-18695.3374635,33.11
176,-19329.944443,33.0
177,-18931.146746000002,33.91
178,-18562.883614000002,33.0
179,-18804.072546,33.44
180,-18806.734803,33.43
181,-18777.1427925,33.57
182,-18516.54879,32.89
183,-18926.3289535,33.23
184,-18445.8099435,34.54
185,-18966.9454385,33.75
186,-18879.76046,33.8
187,-19033.0712815,33.79
188,-19024.2601035,33.47
189,-19062.631785999998,33.94
190,-18777.1480435,33.84
191,-18877.549789,33.58
192,-18957.6249135,33.81
193,-18929.4007885,34.5
194,-18630.369466,33.66
195,-18402.528576,33.58
196,-18745.786446,33.65
197,-18935.7439965,32.98
198,-18616.254778000002,32.55
