model,Gsolv,timing
0,-235.134529,0.05
1,-236.71770550000002,0.08
2,-237.6681365,0.07
3,-237.05639499999998,0.07
4,-235.990442,0.05
5,-239.036022,0.07
6,-235.061015,0.06
7,-237.045893,0.06
8,-238.9336275,0.06
9,-234.5280385,0.07
10,-235.40233,0.08
11,-239.933943,0.07
12,-239.545369,0.05
13,-231.8605305,0.06
14,-235.1371545,0.08
15,-238.4505355,0.08
16,-236.8122235,0.07
17,-239.981202,0.06
18,-236.18210349999998,0.06
19,-232.902854,0.08
20,-238.19323649999998,0.05
21,-240.29888749999998,0.06
22,-236.62056199999998,0.06
23,-233.40695000000002,0.07
24,-238.0567105,0.05
25,-239.09378299999997,0.07
26,-236.72558199999997,0.05
27,-245.83606699999999,0.06
28,-241.9004425,0.06
29,-242.927013,0.06
30,-234.13946449999997,0.05
31,-237.0012595,0.07
32,-238.6028145,0.05
33,-237.73114850000002,0.05
34,-234.677692,0.06
35,-236.50503999999998,0.07
36,-240.0468395,0.06
37,-237.8834275,0.06
38,-235.19491549999998,0.06
39,-240.1728635,0.08
40,-234.9953775,0.06
41,-235.727892,0.06
42,-238.8496115,0.05
43,-232.6324275,0.06
44,-238.9651335,0.05
45,-235.7147645,0.06
46,-230.1539555,0.06
47,-240.15185949999997,0.05
48,-239.618883,0.06
49,-236.594307,0.07
50,-234.77746100000002,0.06
51,-236.0140715,0.06
52,-236.8909885,0.08
53,-228.980357,0.05
54,-238.243121,0.07
55,-240.46691950000002,0.05
56,-232.97636799999998,0.07
57,-236.4761595,0.05
58,-238.71833650000002,0.07
59,-235.12402699999998,0.06
60,-234.441397,0.07
61,-238.93887850000002,0.07
62,-235.7830275,0.06
63,-240.537808,0.07
64,-237.1377855,0.06
65,-233.380695,0.05
66,-235.171286,0.06
67,-240.753099,0.07
68,-237.3583275,0.07
69,-237.7889095,0.06
70,-232.7742045,0.06
71,-230.5320275,0.05
72,-236.757088,0.07
73,-235.07414250000002,0.05
74,-241.12066900000002,0.06
75,-236.594307,0.05
76,-234.91661249999999,0.06
77,-236.90149050000002,0.06
78,-231.84215199999997,0.07
79,-241.635267,0.07
80,-234.21035299999997,0.07
81,-233.181157,0.06
82,-233.85065949999998,0.08
83,-236.3133785,0.06
84,-230.902223,0.06
85,-234.8430985,0.06
86,-235.171286,0.05
87,-241.12592,0.06
88,-236.45515550000002,0.05
89,-235.428585,0.06
90,-231.8237735,0.06
91,-236.363263,0.07
92,-236.8962395,0.06
93,-232.666559,0.05
94,-235.11877600000003,0.08
95,-234.10270749999998,0.06
96,-238.46628850000002,0.06
97,-236.5969325,0.07
98,-236.741335,0.07
99,-241.6956535,0.07
100,-236.31862950000001,0.07
101,-235.439087,0.06
102,-237.6313795,0.07
103,-238.006826,0.05
104,-234.9481185,0.08
105,-237.6103755,0.06
106,-235.02163249999998,0.04
107,-233.9714325,0.07
108,-235.4522145,0.05
109,-237.95956700000002,0.07
110,-235.166035,0.07
111,-232.38825599999998,0.06
112,-241.393721,0.05
113,-231.07813149999998,0.06
114,-238.69995799999998,0.07
115,-237.938563,0.07
116,-234.66719,0.06
117,-237.1325345,0.09
118,-232.8687225,0.06
119,-239.4377235,0.06
120,-239.91819,0.06
121,-234.8325965,0.06
122,-233.3255595,0.07
123,-233.2205395,0.08
124,-240.0678435,0.07
125,-235.52572849999999,0.07
126,-240.3724015,0.07
127,-237.0747735,0.06
128,-236.7387095,0.06
129,-232.4381405,0.06
130,-236.342259,0.06
131,-235.8040315,0.06
132,-237.7363995,0.07
133,-235.2999355,0.05
134,-236.58380499999998,0.06
135,-241.6641475,0.06
136,-233.91367150000002,0.06
137,-231.443076,0.05
138,-235.15290750000003,0.07
139,-234.9376165,0.07
140,-240.6979635,0.07
141,-234.90611049999998,0.07
142,-238.878492,0.05
143,-239.05702599999998,0.06
144,-233.1417745,0.06
145,-238.68420500000002,0.06
146,-232.839842,0.06
147,-229.74437749999998,0.07
148,-238.384898,0.08
149,-234.24711,0.07
150,-237.81778999999997,0.07
151,-237.84667050000002,0.06
152,-236.65206799999999,0.06
153,-235.03476,0.07
154,-233.46733650000002,0.07
155,-234.2077275,0.07
156,-237.82566649999998,0.07
157,-238.04358299999998,0.05
158,-239.12791449999997,0.08
159,-236.851606,0.06
160,-243.62014499999998,0.04
161,-239.0438985,0.07
162,-236.8857375,0.06
163,-236.0140715,0.07
164,-237.691766,0.06
165,-234.919238,0.05
166,-236.71508,0.06
167,-239.2381855,0.07
168,-236.0665815,0.05
169,-235.80928250000002,0.06
170,-237.970069,0.07
171,-236.21886049999998,0.05
172,-235.82241,0.05
173,-236.4394025,0.06
174,-236.69145049999997,0.07
175,-237.051144,0.05
176,-239.20667949999998,0.08
177,-242.54631550000002,0.06
178,-238.2247425,0.07
179,-240.07572,0.06
180,-233.04725649999997,0.06
181,-234.808967,0.06
182,-236.079709,0.08
183,-232.3121165,0.07
