model,Gsolv,timing
0,-1960.9281890000002,35.24
1,-1888.2622254999999,36.49
2,-1890.270733,34.62
3,-1863.0364215000002,34.66
4,-1905.750681,35.18
5,-1888.842461,34.83
6,-1868.290047,35.42
7,-1845.364181,35.3
8,-1832.6200039999999,36.0
9,-1876.4737304999999,34.36
10,-1911.2642309999999,34.64
11,-1935.901923,33.4
12,-1930.3489905,33.18
13,-1935.3059345,33.41
14,-1947.1101825,33.87
15,-1942.5365615,35.42
16,-1964.1024184999999,34.98
17,-1943.458112,33.76
18,-1877.6342015,32.75
19,-1922.1311755,33.54
20,-1949.5965310000001,33.93
21,-1962.9787044999998,32.95
22,-1950.373679,33.72
23,-1993.2244645,33.99
24,-1949.5965310000001,33.84
25,-1957.1710985,34.56
26,-1919.366524,34.16
27,-1940.3390180000001,34.02
28,-1977.7235125,35.12
29,-1986.7552325000001,34.07
30,-1978.282744,33.49
31,-1956.1734085,33.09
32,-1991.4548775,32.99
33,-2017.759762,32.63
34,-1959.8438575,33.54
35,-1978.235485,33.46
36,-1958.4313385,33.37
37,-1926.964721,34.29
38,-1944.802368,33.6
39,-1942.9828965,32.99
40,-1907.4047460000002,33.19
41,-1915.2576165,33.74
42,-1958.3000635,33.94
43,-1941.415473,33.67
44,-1925.084863,33.41
45,-1950.7963845,33.16
46,-1949.8328259999998,34.26
47,-1949.6385389999998,33.39
48,-1962.8763099999999,33.65
49,-1939.0315190000001,33.56
50,-1933.192407,32.97
51,-1907.1973315,32.63
52,-1953.4061315000001,33.38
53,-1914.0131295,32.72
54,-1945.4219859999998,33.19
55,-1970.4508775,32.86
56,-1923.9270175000001,33.75
57,-1949.7514354999998,33.6
58,-1955.9397390000001,33.18
59,-1931.3676845,33.36
60,-1964.1129205,33.16
61,-1928.1251920000002,33.03
62,-1923.4911845000001,33.17
63,-1970.1043115,33.44
64,-1974.4836455,33.78
65,-1905.262338,33.1
66,-1955.7270735000002,32.46
67,-1958.6466295,32.7
68,-1964.2914545,33.41
69,-1964.446359,32.47
70,-2005.7060915,33.68
71,-1953.293235,32.53
72,-1949.6201604999999,35.05
73,-2009.0562295,33.99
74,-1987.813309,33.62
75,-1944.5686985000002,33.65
76,-1994.0383694999998,35.82
77,-1991.8145710000001,33.87
78,-2011.148753,34.62
79,-1959.342387,33.63
80,-1949.165949,33.56
81,-1956.5567315,32.85
82,-1988.6114610000002,34.09
83,-1968.5211350000002,33.3
84,-2013.5642129999999,33.29
85,-1962.8631825,33.68
86,-1992.014109,33.54
87,-1983.496987,34.64
