model,Gsolv,timing
0,-2098.4387515,35.67
1,-2016.1870875,36.86
2,-2021.37245,34.94
3,-1989.23633,34.37
4,-2036.6239795,34.84
5,-2017.3318055,34.0
6,-1994.1118835,34.61
7,-1970.432499,35.0
8,-1965.02922,35.39
9,-2004.8449275,33.84
10,-2043.7548375000001,34.45
11,-2063.5983665,33.45
12,-2059.216407,32.75
13,-2064.9373715,33.27
14,-2082.509843,33.39
15,-2075.0140405,35.17
16,-2096.1493155,34.36
17,-2073.5700155,33.32
18,-2007.0608495000001,32.82
19,-2046.277943,32.9
20,-2078.45082,34.04
21,-2087.0545835,32.72
22,-2078.146262,33.35
23,-2121.0653105,33.38
24,-2075.0140405,33.64
25,-2089.299386,34.01
26,-2052.516131,34.15
27,-2071.551006,33.66
28,-2104.8738519999997,34.41
29,-2118.4555634999997,33.57
30,-2110.8731195,33.22
31,-2087.58756,32.71
32,-2122.2677894999997,32.8
33,-2147.884793,32.56
34,-2089.509426,33.32
35,-2110.2955094999998,33.68
36,-2089.9373825000002,33.19
37,-2054.7714355,34.34
38,-2077.1301935,33.39
39,-2064.0814585,32.93
40,-2040.1316474999999,32.82
41,-2044.891679,33.43
42,-2084.9804385,33.44
43,-2067.660015,33.3
44,-2048.88769,33.27
45,-2074.2946535,32.73
46,-2078.2486565,33.98
47,-2079.3566175,33.0
48,-2094.1801904999998,33.31
49,-2068.0722185,33.37
50,-2062.3591305,32.98
51,-2037.8894705,32.77
52,-2082.856409,33.13
53,-2042.728267,32.43
54,-2082.0293765,32.77
55,-2098.8220745,32.46
56,-2057.4205650000004,33.22
57,-2078.6739875,33.11
58,-2088.1940505000002,32.68
59,-2056.0789345,32.91
60,-2097.2677785,33.03
61,-2050.4446115,32.97
62,-2057.8537725,32.45
63,-2095.437805,33.43
64,-2105.6982590000002,33.37
65,-2038.4382,32.41
66,-2087.965632,32.12
67,-2083.3736325,32.53
68,-2083.434019,33.09
69,-2090.848431,32.66
70,-2139.645974,33.18
71,-2079.8082035,32.86
72,-2077.694676,34.36
73,-2142.4316295,33.87
74,-2119.2694685,33.44
75,-2074.7724945,33.65
76,-2126.492219,35.4
77,-2124.0583805,33.76
78,-2141.3577999999998,34.34
79,-2095.4062989999998,33.33
80,-2084.914801,33.5
81,-2093.3137755000002,32.65
82,-2125.7912105,33.8
83,-2102.4872725,33.15
84,-2141.1083775,33.42
85,-2099.307792,33.21
86,-2117.040419,33.31
87,-2110.938757,34.18
88,-2090.5937575,34.42
89,-2070.9077585,34.21
90,-2099.1476365,34.11
91,-2162.561338,33.06
92,-2087.356516,34.05
93,-2104.4380189999997,33.77
94,-2071.792552,33.75
95,-2065.1841685,35.17
96,-2042.870044,33.99
97,-2078.1698915,33.55
98,-2095.09649,33.58
99,-2102.731444,32.61
100,-2069.4899885,33.18
101,-2029.753046,33.04
102,-2090.381092,34.45
103,-2066.279002,34.12
104,-2072.9110149999997,33.33
105,-1982.436285,33.67
106,-2038.264917,33.5
107,-2067.754533,34.12
108,-2052.5660155,32.47
109,-2067.9987045,34.16
110,-2068.31639,34.87
111,-2068.6288245,34.38
112,-2090.1789285,34.54
113,-2079.122948,34.2
114,-2099.2526565000003,35.4
115,-2040.6488709999999,34.83
116,-2049.8827545,34.05
117,-2066.683329,34.12
118,-2016.0453105,33.89
119,-2068.4292865,33.46
120,-2066.599313,33.76
121,-2072.1259905,33.23
122,-2064.8165985,33.35
123,-2055.2492765,33.19
124,-2018.914982,34.03
125,-2032.4258049999999,32.6
126,-2052.7445495,32.97
127,-2090.5412475,33.89
128,-2084.1560315,32.98
129,-2087.3512650000002,33.02
130,-2103.818401,33.79
131,-2076.45544,32.83
132,-2067.035146,33.48
133,-2048.8798135,34.26
134,-2055.34642,33.78
135,-2028.9995274999999,34.28
136,-2071.9684604999998,33.89
137,-2040.0266275,33.49
138,-2034.295161,33.47
139,-2119.613409,33.13
140,-2086.112029,33.78
141,-2059.0720045000003,33.01
142,-2042.4473385000001,33.45
143,-2057.163266,33.27
144,-2065.617376,33.93
145,-2115.8510674999998,34.54
146,-2091.058471,34.45
147,-2047.7587250000001,33.41
148,-2035.350612,33.35
149,-2029.1491810000002,33.29
150,-2005.477673,32.55
151,-1975.6441165,33.97
152,-1956.7247634999999,32.77
153,-1972.569656,32.28
154,-2010.8363185,32.52
155,-1989.18382,31.86
156,-2012.1123115,32.83
157,-1987.036161,32.14
158,-1977.752393,33.32
159,-1976.859723,32.43
160,-2024.4022770000001,32.45
161,-2006.7326620000001,33.43
162,-2023.6907664999999,33.84
163,-1990.1447529999998,33.79
164,-2001.0274505,33.42
165,-1973.3258,32.2
166,-2013.4985755000002,32.84
167,-1979.9446855,31.97
168,-1996.5115905,32.17
169,-1972.081313,31.38
170,-1949.2893475,31.38
171,-1968.7285494999999,31.9
172,-1976.0484435,31.98
173,-1927.6499765,32.79
174,-1988.5195685,31.7
175,-1988.459182,32.43
176,-1993.484389,33.82
177,-1999.9877525,32.97
178,-1995.369498,32.48
179,-2016.4601395,33.37
180,-2057.488828,32.76
181,-1965.685595,32.26
182,-1966.8880740000002,33.25
183,-1974.7777015,31.87
184,-2032.8747655,33.57
185,-2004.2883215,32.43
186,-1978.3536325000002,33.29
187,-2030.7113534999999,34.12
188,-2000.3133145,33.09
189,-2023.7537785,33.5
190,-2049.549316,33.43
191,-2032.2919045,32.24
192,-2059.941045,32.66
193,-2002.5502405000002,32.78
194,-1999.1948515000001,33.25
195,-2012.834324,32.2
196,-2040.59111,32.24
197,-2049.7278499999998,32.07
198,-2028.6135789999998,32.84
199,-2034.3818024999998,32.1
200,-1978.6319355,32.01
201,-2036.3666805,32.36
202,-2023.8561730000001,32.57
203,-1968.0564215,34.2
204,-2011.117247,31.84
205,-1949.6306625,33.93
206,-1951.103568,32.74
207,-1959.8779889999998,32.71
208,-1966.6622810000001,32.2
209,-1920.926071,32.24
210,-1945.1410575,32.64
211,-1969.408554,32.6
212,-1965.3048975000002,32.47
213,-1984.2084975,32.5
214,-1981.1209095000002,32.95
215,-1950.0034835,33.19
216,-1931.8507765,33.88
217,-1969.5529565000002,34.68
218,-1963.380406,32.38
219,-1990.9192755,32.66
220,-1967.029851,33.47
221,-1990.0108525,33.64
222,-1948.520076,32.98
223,-1970.0202955000002,34.03
224,-1938.24912,33.75
225,-2008.5941415,33.66
226,-1989.703669,33.22
227,-1966.2395755,33.35
228,-1955.4855275000002,34.37
229,-2015.2366565,32.44
230,-1973.2654135,33.46
231,-1965.2733915000001,32.97
232,-1928.0543035,33.5
233,-1965.522814,34.31
234,-1978.9207405000002,34.06
235,-1947.716673,33.71
236,-1987.0597905000002,33.67
237,-1967.4630585,34.54
238,-2002.6316310000002,32.36
239,-1980.5905585,31.37
240,-1999.8039674999998,31.83
241,-2035.2797235,31.66
242,-2037.7949525000001,33.34
243,-2094.8890754999998,34.25
244,-2027.290327,33.86
245,-2068.857243,34.47
246,-2037.9262275,33.5
247,-2003.135727,33.14
248,-2008.1005475,32.95
249,-2028.718599,33.39
250,-2025.9697005,33.61
251,-1991.709551,33.99
252,-2067.376461,32.62
253,-2068.8388645,31.94
254,-2026.7442230000001,31.35
255,-2051.4711819999998,31.57
256,-1989.7430515,31.24
257,-2007.3470289999998,31.11
258,-2047.2887605,32.09
259,-2005.7375975,31.58
260,-2079.5036455,31.57
261,-2061.4034485,31.36
262,-2042.1795375,32.07
263,-2024.081966,32.34
264,-2045.8972454999998,31.98
265,-2053.9417775,31.31
266,-2136.1855649999998,32.15
267,-2023.6881409999999,30.84
268,-1979.8081594999999,31.17
269,-2031.512131,31.44
270,-2057.168517,30.92
271,-2023.9690695000002,31.77
272,-2034.5025755,30.74
273,-2058.512773,31.3
274,-1988.128369,31.4
275,-2002.332324,32.42
276,-1976.8544719999998,31.9
277,-1979.605996,33.11
278,-2009.468433,32.84
279,-2063.2885575,33.09
280,-2043.468658,31.88
281,-2031.002784,32.78
282,-2019.4217035,32.13
283,-2008.2659540000002,32.81
284,-2023.6960175000002,32.95
285,-2003.3641455,33.25
286,-1972.795449,31.63
287,-1961.043711,31.93
288,-2016.1477049999999,31.8
289,-1993.363616,33.05
290,-1976.2899895,31.55
291,-1955.3962605,31.25
292,-1981.575121,31.85
293,-2009.4448034999998,31.97
294,-1981.8192925,32.23
295,-2043.552674,33.7
296,-2005.204621,31.45
297,-1995.1778365,32.28
298,-2029.884321,32.57
299,-2071.2228185,33.94
300,-2025.242437,33.74
301,-2009.772991,33.82
302,-2052.442617,33.95
303,-2034.111376,33.92
304,-1948.7379925,33.11
305,-1988.3069030000001,33.31
306,-1950.2712845,32.75
307,-1984.909506,31.31
308,-1963.3357725,32.04
309,-1946.398672,30.82
310,-1936.7972184999999,30.86
311,-2007.4861805,30.72
312,-1973.4807045,31.29
313,-1927.2220200000002,30.77
314,-1940.9350065,31.95
315,-1928.7264315,31.66
316,-1931.7116250000001,30.94
317,-1954.8501565,31.01
318,-1991.893336,32.06
319,-1984.536685,32.38
320,-1985.5264985000001,32.42
321,-1981.5777465,32.92
322,-1951.098317,32.21
323,-1959.6915785,32.93
324,-1943.6629010000001,33.04
325,-1948.3441675,31.24
326,-1944.0173435,31.9
327,-1940.3784005,31.46
328,-1978.960123,32.13
329,-1946.2542695,31.3
330,-2008.6125200000001,33.06
331,-1944.272017,32.42
332,-1945.721293,33.6
333,-1998.8797915,33.32
334,-1990.3836735,33.8
335,-1935.5684844999998,33.66
336,-1999.4363975,32.24
337,-1945.070169,32.43
338,-2001.0221995,31.95
339,-1944.161746,32.0
340,-1939.183798,33.62
341,-1979.8895499999999,33.38
342,-1969.3954265,33.0
343,-1984.1612385,32.65
344,-1969.151255,32.01
345,-1937.450968,32.91
346,-1925.3657915000001,33.78
347,-1962.7424095000001,32.23
348,-2005.3647765,31.84
349,-1985.7102835,32.27
350,-1969.5897135,31.34
351,-1949.5098895,31.01
352,-1917.5339250000002,30.74
353,-1898.073719,32.19
354,-1934.531412,32.3
355,-1900.8619999999999,30.78
356,-1915.6671945,32.57
357,-1932.331243,31.89
358,-1894.1380945,32.26
359,-1948.4019285,32.01
360,-1949.0714309999998,33.06
361,-1893.5762375,32.17
362,-1967.9881585,32.45
363,-1926.045796,30.91
364,-1966.02691,31.42
365,-1883.754242,32.12
366,-1916.777781,31.31
367,-1942.4157885,32.28
368,-1892.1820969999999,33.06
369,-1963.4749239999999,31.56
370,-1926.371358,31.25
371,-1953.3273665,33.08
372,-2008.0480375,32.61
373,-1968.3583540000002,32.26
374,-1954.7425110000001,32.7
375,-1918.6812685,32.32
376,-1917.6415705,31.71
377,-1917.56018,31.78
378,-1866.9064085,33.0
379,-1919.6947114999998,32.41
380,-1933.7673915,33.19
381,-1955.0391925000001,33.78
382,-1945.5112530000001,33.07
383,-1912.5270965,33.17
384,-2000.9696895,32.7
385,-1950.7701295000002,32.85
386,-1956.6565005,31.97
387,-1957.9246170000001,32.63
388,-1941.2054329999999,31.99
389,-1897.3727104999998,31.57
390,-1926.103557,31.4
391,-1925.4603095000002,32.07
392,-1905.3017204999999,31.89
393,-1910.8205215,33.01
394,-1917.2319925,32.29
395,-1995.6031675,32.08
396,-1958.1346569999998,31.64
397,-1978.408768,31.74
398,-1981.6486350000002,32.31
399,-1999.1922260000001,34.64
400,-1974.733068,34.54
401,-1960.6892685,35.09
402,-1969.9152755,35.26
403,-1970.915591,34.85
404,-2019.025253,34.79
405,-2021.9684385,34.45
406,-1986.5819495,32.87
407,-1970.7134274999999,32.62
408,-1993.4082494999998,32.97
409,-1961.14348,33.54
410,-1975.58373,32.89
411,-1926.828195,33.21
412,-1998.394074,33.58
413,-1981.9768225,32.47
414,-1931.3886885000002,31.56
415,-1932.882598,33.17
416,-1889.8952864999999,32.36
417,-1878.765792,32.69
418,-1869.5319085,32.64
419,-1823.1078175,32.61
420,-1913.5615435,31.8
421,-1932.866845,31.71
422,-1954.0887615,32.67
423,-1923.9427704999998,32.43
424,-1931.4044414999998,32.18
425,-1969.1328764999998,32.14
426,-2004.154421,32.23
427,-1955.2282285000001,33.02
428,-1982.0687149999999,32.16
429,-1982.3916514999999,33.4
430,-1941.284198,32.79
431,-1998.7511419999998,32.64
432,-1961.2406235,32.96
433,-2003.20399,32.54
434,-2031.858697,32.79
435,-1981.6302564999999,32.6
436,-1960.4897305,31.64
437,-1949.8170730000002,31.86
438,-1970.411495,31.74
439,-1967.3449110000001,31.58
440,-1955.929237,31.42
441,-1929.6506075,31.37
442,-1966.6780339999998,32.15
443,-1913.2569855,32.21
444,-1868.7285055,32.19
445,-1958.2002945000002,31.99
446,-1929.4221890000001,31.95
447,-1913.7637069999998,32.35
448,-1988.4775605,31.73
449,-1926.990976,33.21
450,-1950.531209,32.84
451,-1913.8661015,33.0
452,-1927.8915225,33.12
453,-1967.7256085,33.04
454,-2031.2522065,34.07
455,-2014.3964965,33.03
456,-2021.5431075000001,33.4
457,-2014.9189709999998,32.74
458,-2067.129664,31.4
459,-2014.0184245,32.53
460,-2005.6115735,32.44
461,-2065.8825515,33.26
462,-1992.0351130000001,32.59
463,-1970.5060130000002,32.28
464,-2019.0593845,32.5
465,-1999.050449,33.24
466,-1972.6457955,33.95
467,-2063.5511075,34.92
468,-2044.5766190000002,33.95
469,-2109.3424529999998,34.12
470,-2088.7138995,33.77
471,-2056.1839545000003,33.48
472,-2134.6443965,33.68
473,-2086.295814,32.24
474,-2100.0403065,33.01
475,-2065.554364,33.13
476,-2046.5588715,33.6
477,-2050.0140295,34.68
478,-2014.110317,33.9
479,-2007.03722,33.99
480,-2003.5164244999999,33.47
481,-2006.30208,32.99
482,-2002.715647,32.12
483,-1977.7602695,31.61
484,-2017.523467,31.01
485,-2022.6983275,31.84
486,-1996.393443,32.02
487,-2026.660207,32.6
488,-2049.2788895,30.86
489,-2028.4481725,30.9
490,-2064.90324,31.16
491,-2091.336774,32.2
492,-2019.2431695,32.09
493,-2031.8770754999998,32.15
494,-2056.9506005,31.02
495,-2009.7756165,31.16
496,-2008.3946035,31.6
497,-1995.8499645000002,31.13
498,-2019.8050265,30.93
499,-2028.056973,31.31
500,-1998.094767,30.89
501,-1985.2114385,31.13
502,-2003.4954205,31.33
503,-1985.5264985000001,31.25
504,-2038.9711765000002,31.9
505,-2025.389465,32.35
506,-2031.1891945,33.24
507,-2018.5054040000002,32.68
508,-2000.2082945000002,32.08
509,-2034.415934,33.02
510,-1982.35752,32.69
511,-2004.2436880000002,32.64
512,-2056.4202495,33.77
513,-2021.84504,32.81
514,-2013.1625115000002,32.83
515,-2039.813962,32.58
516,-1990.49657,32.42
517,-1993.5920345,32.58
518,-2007.0398455000002,31.9
519,-2043.2638689999999,32.49
520,-2063.7033865,32.95
521,-2046.8424255,32.39
522,-2006.7247855,31.74
523,-1967.880513,31.58
524,-2026.0668440000002,31.44
525,-2022.427901,30.78
526,-2001.7993475,31.63
527,-2039.771954,32.2
528,-2034.048364,32.44
529,-2053.277526,31.58
530,-2066.6386955,30.72
