model,Gsolv,timing
0,-1928.9679775000002,32.7
1,-1973.226031,32.58
2,-1943.6760285,32.02
3,-1991.089933,32.31
4,-1921.7426014999999,33.24
5,-1908.9222849999999,33.07
6,-1972.784947,33.44
7,-1939.1890489999998,32.99
8,-1946.855509,33.13
9,-1985.6105145000001,32.5
10,-1926.5315135,32.88
11,-1926.8518245,32.15
12,-1910.9990555,33.17
13,-1939.0603995000001,33.55
14,-1893.9674369999998,33.33
15,-1838.8398135,33.36
16,-1881.9925315,32.46
17,-1874.6647610000002,33.56
18,-1858.0295930000002,32.82
19,-1850.483906,32.74
20,-1891.2080365000002,33.11
21,-1901.7047855,32.7
22,-1897.5512445000002,33.02
23,-1899.3575885,32.93
24,-1893.2191695,33.84
25,-1877.8468670000002,32.94
26,-1930.9974889999999,33.22
27,-1931.769386,33.21
28,-1882.3495994999998,34.08
29,-1907.2944750000001,32.87
30,-1926.69692,32.93
31,-1912.934049,33.32
32,-1896.1466019999998,33.19
33,-1886.7079295,33.15
34,-1867.7386920000001,32.65
35,-1836.773545,33.3
36,-1817.0691674999998,33.73
37,-1782.1920255,33.86
38,-1816.536191,33.55
39,-1864.372801,33.01
40,-1815.3599669999999,33.11
41,-1821.4852585,33.4
42,-1784.9908085,34.04
43,-1881.7562364999999,34.44
44,-1892.5155355000002,33.48
45,-1864.698363,33.73
46,-1857.7066565000002,34.12
47,-1875.378897,32.94
48,-1830.5852415,33.58
49,-1863.1466925,32.76
50,-1866.0189895,33.31
51,-1867.854214,33.75
52,-1864.7508730000002,32.98
53,-1906.947909,33.25
54,-1948.415056,33.51
55,-1874.1160315000002,33.15
56,-1879.1149835,33.66
57,-1910.728629,34.16
58,-1952.2719155000002,33.93
59,-1935.2534245,34.09
60,-1966.331468,33.12
61,-1958.806785,32.71
62,-1965.018718,33.59
63,-1928.508515,34.11
64,-1959.237367,34.19
65,-1960.5212365,35.18
66,-1957.4704055,32.78
67,-1930.0155519999998,33.31
68,-1979.758275,33.97
69,-1946.5798315,35.11
70,-1914.8060305000001,33.96
71,-1983.0165205,34.14
72,-1939.1496665,34.3
73,-1977.9886880000001,34.73
74,-1967.0140979999999,33.18
75,-1973.661864,33.65
76,-1992.2582805,35.14
77,-1964.3807215,34.66
78,-1950.4183125,33.02
79,-1935.7155125,33.54
80,-1933.1372715,33.82
81,-1953.1383305,33.48
82,-1941.184429,33.1
83,-1940.3390180000001,34.11
84,-1906.7404944999998,34.26
85,-1930.640421,34.35
86,-2012.5035110000001,34.87
87,-1953.5400319999999,34.44
88,-1997.2073480000001,34.4
89,-1961.742094,34.09
90,-1900.2240035,34.0
91,-1836.5635049999999,33.82
92,-1900.835745,33.93
93,-1938.3173829999998,34.44
94,-1907.982356,36.01
95,-1950.6651095,35.74
96,-1942.392159,36.2
97,-1911.862845,34.51
98,-1926.492131,35.86
99,-1892.796464,35.16
100,-1919.5529345,34.49
101,-1969.7314905,34.76
102,-1941.2605685,35.43
103,-1901.3162114999998,34.24
104,-1904.500943,35.19
105,-1882.677787,34.66
106,-1911.8785979999998,34.14
107,-1895.574243,34.47
108,-1875.662451,33.61
109,-1865.275973,32.96
110,-1905.85045,34.01
111,-1881.764113,33.38
112,-1925.3395365,33.84
113,-1924.1790655,33.54
114,-1929.7031175,34.11
115,-1867.15058,33.77
116,-1900.315896,33.78
117,-1871.1597184999998,33.93
118,-1887.723998,32.73
119,-1834.0509015,33.41
120,-1869.3691275,33.93
121,-1908.1162565000002,33.97
122,-1882.178942,34.09
123,-1870.4875905000001,33.37
124,-1873.7484615,33.44
125,-1875.3552674999999,33.15
126,-1858.8146175,33.21
127,-1865.507017,34.07
128,-1892.2871169999999,33.66
129,-1893.4764685,33.03
130,-1877.8678710000002,32.51
131,-1942.9855220000002,32.55
132,-1955.782209,33.27
133,-1969.671104,32.4
134,-1944.0961085,32.98
135,-1920.264445,32.16
136,-1902.8022445000001,32.47
137,-1886.8654595,32.78
138,-1924.155436,32.74
139,-1928.42975,32.45
140,-1954.5823555000002,32.88
141,-1889.0209949999999,32.56
142,-1882.110679,32.65
143,-1885.0354860000002,32.9
144,-1922.0051514999998,32.45
145,-1880.8425625,32.84
146,-1960.9885755,33.79
147,-1892.0744515,33.4
148,-1904.8396325,32.8
149,-1871.692695,33.07
150,-1888.9028475,33.55
151,-1907.05818,32.45
