model,Gsolv,timing
0,-23.6636315,0.06
1,-24.091588,0.07
2,-24.243866999999998,0.09
3,-23.907802999999998,0.09
4,-24.695452999999997,0.08
5,-24.976381500000002,0.07
6,-24.054831,0.07
7,-23.561237,0.08
8,-24.327883,0.07
9,-24.193982499999997,0.08
10,-24.385644,0.07
11,-23.5848665,0.07
12,-23.424711,0.07
13,-23.83954,0.07
14,-23.960313000000003,0.08
15,-24.333134,0.09
16,-24.188731500000003,0.06
17,-24.259619999999998,0.06
18,-23.947185500000003,0.08
19,-24.065333000000003,0.08
20,-24.585182000000003,0.06
21,-24.467034499999997,0.06
22,-24.078460500000002,0.07
23,-23.760775000000002,0.07
24,-23.9576875,0.07
25,-24.671823500000002,0.09
26,-24.044328999999998,0.09
27,-23.519229000000003,0.06
28,-24.193982499999997,0.04
29,-23.7896555,0.07
30,-23.729269,0.09
31,-23.7896555,0.08
32,-24.333134,0.09
33,-25.0446445,0.09
34,-23.650504,0.06
35,-23.965564,0.09
36,-23.4955995,0.07
37,-24.808349500000002,0.07
38,-23.7634005,0.07
39,-24.186106,0.08
40,-24.5825565,0.08
41,-24.816226,0.07
42,-24.191357,0.08
43,-24.348886999999998,0.09
44,-23.9839425,0.07
45,-24.46966,0.07
46,-24.327883,0.05
47,-23.999695499999998,0.08
48,-23.934058000000004,0.06
49,-24.863484999999997,0.08
50,-23.860544,0.07
51,-23.745022,0.07
52,-24.078460500000002,0.06
53,-24.632441,0.07
54,-23.590117499999998,0.08
55,-23.8579185,0.07
56,-23.542858499999998,0.08
57,-24.180854999999998,0.07
58,-24.3882695,0.08
59,-24.5090425,0.08
60,-23.374826499999998,0.07
61,-23.910428500000002,0.06
62,-24.312129999999996,0.08
63,-24.2359905,0.07
64,-23.860544,0.07
65,-23.642627500000003,0.06
66,-24.1047155,0.07
67,-24.5195445,0.08
68,-23.850042,0.08
69,-24.422400999999997,0.09
70,-24.703329500000002,0.07
71,-23.726643499999998,0.07
72,-25.126035,0.1
73,-23.981317,0.05
74,-24.2359905,0.06
75,-25.141788,0.06
76,-23.661005999999997,0.07
77,-24.881863499999998,0.06
