model,Gsolv,timing
0,-19592.567957,34.3
1,-19626.08509,34.45
2,-19464.343788,34.76
3,-19509.8253245,34.93
4,-19272.537885499998,35.56
5,-19290.0736,37.26
6,-19190.35711,36.61
7,-19210.883269,37.04
8,-19067.2132835,35.68
9,-19568.712664,35.7
10,-19360.6864225,35.28
11,-19388.8895435,36.05
12,-19313.582327,35.69
13,-19405.921162,35.78
14,-19366.7040685,35.52
15,-19217.4706485,34.47
16,-19274.346855,35.11
17,-19149.2549075,34.79
18,-18979.10938,34.33
19,-19252.631344499998,35.33
20,-19397.661339,35.97
21,-18770.3269945,34.15
22,-18422.996974,34.18
23,-18776.8959955,33.83
24,-18921.4612765,34.28
25,-18940.4278885,35.01
26,-18899.0552595,34.17
27,-19179.303755,34.54
28,-19273.0787385,34.21
29,-19172.2017775,36.04
30,-19014.7032835,34.82
31,-19028.9860035,34.57
32,-18870.8153815,34.84
33,-18981.41982,34.69
34,-19274.7800625,35.96
35,-18825.4152355,35.08
36,-18976.2292065,34.52
37,-19317.342043,34.77
38,-19332.173492500002,34.94
39,-19345.0751995,34.47
40,-19214.653487,34.08
41,-19279.240787,34.62
42,-19027.7625205,34.46
43,-19018.302843999998,34.83
44,-19131.950237,34.7
45,-19170.7262465,35.18
46,-18928.536999,34.14
47,-19382.711742,33.82
48,-19386.7681395,34.18
49,-18977.4736935,33.18
50,-19442.704417,33.78
51,-19178.69989,33.27
52,-19194.9543605,33.07
53,-19167.1713195,32.91
54,-18977.513076,33.1
55,-19130.1675225,33.36
56,-18967.5808095,33.32
57,-19079.561009999998,32.95
58,-18719.295151,33.63
59,-19177.376637999998,32.68
60,-18948.7192175,33.87
61,-18687.4032025,33.98
62,-18757.648455,33.6
63,-18601.777770999997,33.93
64,-18995.592269,33.96
65,-18736.345148,33.27
66,-18922.390703499997,34.12
67,-18746.0936295,33.26
68,-19106.1546995,34.2
69,-18826.911770500003,34.27
70,-19096.789541000002,34.82
71,-18961.668183499998,35.16
72,-18940.971367000002,34.33
73,-19273.6931055,34.35
74,-19185.967274,33.89
75,-19035.6495225,32.9
76,-19099.5121845,34.14
77,-18870.418931,33.74
78,-18875.614795499998,34.46
79,-19063.0492405,34.09
80,-18978.284972999998,33.68
81,-18925.3312635,33.68
82,-18695.5895115,34.25
83,-18913.718677,34.28
84,-18734.7777245,34.4
85,-18690.561679000002,56.74
86,-19003.983367,34.64
87,-19020.8101965,33.94
88,-19066.869343,32.71
89,-19083.517638499998,33.89
90,-19104.5899015,34.08
91,-19167.7699335,34.71
92,-19119.431853000002,34.58
93,-19118.9618885,34.33
94,-19181.372649,34.06
95,-18547.151618,34.01
96,-18882.2730635,32.78
97,-18918.187277999998,34.17
98,-19274.798441,32.88
99,-19384.6414845,34.3
100,-19007.685322,33.78
101,-18739.9132025,33.96
102,-19139.9448845,34.84
103,-18903.957068,33.5
104,-18876.221286,32.19
105,-18575.7249345,32.72
106,-18741.527885,31.58
107,-18902.5839315,31.97
108,-18582.0681425,32.15
109,-18696.4349225,33.12
110,-19102.444868000002,34.09
111,-19138.135915,33.96
112,-19071.7764025,34.2
113,-19116.6251935,33.95
114,-19286.5738085,33.74
115,-18996.1935085,33.33
116,-19075.7094015,32.6
117,-19047.448519499998,33.71
118,-18939.0153695,33.54
119,-18847.251518999998,34.0
120,-18632.2572005,34.36
121,-18516.470025,33.6
122,-18736.9306345,33.79
123,-18935.074494,34.51
124,-18844.442234000002,34.05
125,-18544.347584,35.17
126,-18645.429334,34.16
127,-18723.369927,35.06
128,-18535.6703065,34.97
129,-18612.621086,34.85
130,-18728.437142,36.19
