model,Gsolv,timing
0,-20365.6333045,34.19
1,-20351.269194,34.51
2,-20203.516556,34.62
3,-20247.0814775,34.2
4,-20035.248261,35.43
5,-20073.5989395,37.1
6,-19949.604451,36.64
7,-19968.319015,36.98
8,-19827.374298500003,35.33
9,-20341.696621,35.67
10,-20084.4422545,35.27
11,-20103.290719,35.7
12,-20058.163625,35.38
13,-20172.042062,35.86
14,-20101.1929445,35.03
15,-19976.334666500003,34.29
16,-20023.3258655,35.31
17,-19926.037963,34.45
18,-19740.6067745,34.07
19,-20036.6108955,35.06
20,-20192.368683,35.64
21,-19535.736384,33.69
22,-19196.810589,33.93
23,-19553.904844,33.87
24,-19653.726354,34.11
25,-19729.566547,34.83
26,-19617.394685,34.18
27,-19887.7713005,34.3
28,-19933.6492875,33.86
29,-19936.592473,35.94
30,-19736.807676,34.39
31,-19773.4780345,34.22
32,-19586.2378765,34.65
33,-19701.841267,34.45
34,-19986.534734,35.54
35,-19533.66749,34.98
36,-19698.779934000002,34.72
37,-20036.0542895,34.74
38,-20050.922496,34.5
39,-20047.7797725,34.54
40,-19917.9855545,33.8
41,-20003.505966,34.96
42,-19737.080728,34.62
43,-19764.706239,34.54
44,-19838.020700999998,34.45
45,-19869.201139,34.59
46,-19611.613334,34.36
47,-20119.847122,34.01
48,-20103.437747,33.63
49,-19638.787259,33.11
50,-20097.918946,33.44
51,-19876.072072500003,33.27
52,-19918.72332,33.03
53,-19835.8389105,32.51
54,-19727.9886215,32.28
55,-19881.6118775,33.08
56,-19722.7796295,33.09
57,-19866.1161765,32.67
58,-19488.750436,33.99
59,-19911.119872,32.49
60,-19674.0556005,33.42
61,-19387.148837,33.43
62,-19477.11422,33.66
63,-19363.724126,33.39
64,-19742.336979,34.14
65,-19486.0172905,33.05
66,-19648.147166500003,34.16
67,-19511.1065685,33.19
68,-19916.1319515,34.03
69,-19579.3485645,34.4
70,-19881.367706,34.63
71,-19698.65391,34.87
72,-19686.251048000002,34.39
73,-20020.043990500002,33.72
74,-19926.1718635,33.5
75,-19756.8691215,32.81
76,-19845.7527985,33.84
77,-19562.647759,33.85
78,-19596.57447,34.19
79,-19810.5185885,33.78
80,-19789.522465,33.36
81,-19662.1515835,33.51
82,-19451.583858,34.22
83,-19670.960135999998,34.14
84,-19453.5661105,34.26
85,-19438.322457500002,55.96
86,-19715.420353,34.23
87,-19744.4295025,33.91
88,-19769.2877365,32.89
89,-19763.3908635,34.0
90,-19835.395201,34.26
91,-19888.9737795,34.56
92,-19831.777262,34.52
93,-19855.3253715,34.11
94,-19879.503601,33.56
95,-19257.107821999998,33.92
96,-19604.0545195,32.93
97,-19627.7680355,33.96
98,-19963.703386,32.88
99,-20062.206895,33.72
100,-19707.5254745,33.71
101,-19417.284326,33.76
102,-19825.764867,34.67
103,-19582.191981,33.35
104,-19581.1969165,31.98
105,-19291.562258500002,32.78
106,-19467.898715,31.44
107,-19591.3681035,31.77
108,-19244.704960000003,31.97
109,-19413.9105585,33.49
110,-19776.077279499998,33.86
111,-19854.750387,33.53
112,-19799.36809,34.12
113,-19789.244162,33.36
114,-20006.6381875,33.48
115,-19683.835587999998,33.19
116,-19783.959030500002,32.87
117,-19775.972259500002,33.55
118,-19674.7224775,33.32
119,-19550.0164785,33.67
120,-19379.555891,34.13
121,-19277.484327500002,33.69
122,-19476.1769165,33.53
123,-19703.516336,34.29
124,-19584.841110499998,34.13
125,-19254.109501,35.14
126,-19372.4696665,33.89
127,-19500.0427115,35.14
128,-19309.250252,33.95
129,-19349.2444935,34.74
130,-19431.7797115,35.97
131,-19365.0395015,35.41
132,-19107.5304615,34.07
133,-19724.163268,34.9
134,-19447.173017999998,34.32
135,-19713.719029,33.91
136,-19805.6771665,34.45
137,-19410.405516,35.28
138,-19342.328926500002,35.63
139,-19605.9448795,34.79
140,-19711.5004815,34.54
141,-19343.095572500002,33.75
142,-19436.844300999997,33.8
143,-19791.6937535,33.75
144,-19708.252738,33.6
145,-19304.655627,33.79
146,-19253.279843,34.2
147,-19587.894567,34.58
148,-19635.2139535,34.71
149,-19617.5075815,35.19
150,-19561.986133,34.29
151,-19487.253901,35.08
152,-19726.8649075,34.88
153,-19583.433842500002,34.2
154,-19381.2493385,35.22
155,-19742.1348155,33.77
156,-19701.767753,34.22
157,-19575.544215,34.21
158,-19396.989211,34.82
159,-19673.753668,33.76
160,-19434.3421995,34.18
161,-19272.564140500002,33.41
162,-19515.714321,33.72
163,-19455.944813500002,33.82
164,-19599.538659499998,32.77
165,-19470.6108565,33.29
166,-19520.6266315,33.8
167,-19416.3207675,35.0
168,-19353.19062,33.35
169,-19427.949107,32.91
170,-19370.9521275,32.95
171,-19450.6255505,33.08
172,-19797.194176,33.89
173,-19564.349083,34.07
174,-19609.6153285,33.61
175,-19678.232771,33.52
176,-19495.308935,33.01
177,-19501.447354,33.5
178,-19440.895447500003,33.42
179,-19413.083526000002,34.35
180,-19337.382484499998,34.47
181,-19263.351261,33.83
182,-19199.2076705,33.93
183,-19076.378904,33.82
184,-19067.877535,33.48
185,-19201.5863735,34.04
186,-19171.0203025,33.9
187,-19238.923609,32.57
188,-19251.305467000002,34.32
189,-19161.592131999998,33.42
190,-18870.857389499997,32.66
191,-18809.0058605,33.34
192,-18817.6962655,33.19
193,-18928.90982,33.49
194,-19285.0352655,33.06
195,-18893.549586,33.89
196,-19432.420333500002,33.76
197,-19302.192908,33.58
198,-19296.905151000003,33.49
199,-19325.895922,32.56
200,-19473.695819,34.42
201,-19564.758661,33.55
202,-19603.8392285,33.23
203,-19058.0870455,31.86
204,-19040.5749605,33.86
205,-19046.928670499998,33.81
206,-19298.653734,33.1
207,-19030.6190645,34.71
208,-19297.813574,33.03
209,-19133.412640500002,31.42
210,-19287.7762875,32.27
211,-19010.6862685,32.37
212,-19018.5575175,32.17
213,-19555.6035425,33.05
214,-19503.600264,33.63
215,-19185.0562255,32.8
216,-19356.5538855,32.89
217,-19353.6500825,32.18
218,-19489.685114,32.55
219,-19516.806528999998,33.97
220,-19337.206576,33.64
221,-19124.068486,33.8
222,-19196.0780745,33.55
223,-18975.0372295,33.7
224,-19050.037262499998,34.7
225,-19246.264507,33.49
226,-19075.908939499997,33.59
227,-19493.355563,34.26
228,-19583.3235715,34.7
229,-19527.182505,34.57
230,-19684.155899,33.88
231,-19499.152667000002,32.43
232,-19232.344106,32.73
233,-19229.9837815,33.0
234,-19309.712340000002,33.64
235,-19458.021584,33.71
236,-19382.96379,33.51
237,-19549.4178645,33.61
238,-19664.4095135,33.35
239,-19374.047592000003,32.66
240,-19393.8884955,34.05
241,-19221.8184765,33.21
242,-19641.722568,32.91
243,-19087.547781,33.63
244,-19237.3929425,34.46
245,-19284.265994,35.42
246,-19101.415672,34.17
247,-19292.8855105,34.45
248,-19226.520747,34.27
249,-19302.502717,34.32
250,-19293.4578695,34.34
251,-19161.0801595,33.38
252,-19603.626562999998,33.58
253,-19685.2349795,33.13
254,-19656.422742500003,35.03
255,-19559.544418,34.87
256,-19325.486344,34.83
257,-19494.768082,33.58
258,-19432.2207955,34.27
259,-19052.854424,33.73
260,-19031.14679,34.18
261,-19252.465937999998,35.29
262,-19267.4234115,35.13
263,-18838.810536499997,35.5
264,-19095.36652,35.25
265,-18882.8926815,34.27
266,-18871.1146885,33.9
267,-19143.6153335,35.13
268,-19038.290775499998,35.09
269,-18870.5633335,35.26
270,-19139.726968,34.0
271,-18929.90751,33.88
272,-18865.834808,34.37
273,-18906.7322215,35.04
274,-18727.1112645,33.78
275,-19132.8140265,34.63
276,-19097.141358,33.84
277,-18978.89934,34.08
278,-18887.524063499997,33.59
279,-18604.7577135,34.81
280,-18618.0584965,34.27
281,-18653.6865315,34.09
282,-18623.684943,34.97
283,-18788.2119005,35.21
284,-18748.075882,35.35
285,-18816.803595499998,34.84
286,-18907.653772,35.08
287,-18789.096694,35.38
288,-18653.96746,35.39
289,-18785.3711095,34.15
290,-18760.87782,34.23
291,-18735.048151,33.23
292,-18711.9358745,34.6
293,-18747.356495,34.09
294,-18398.5666965,35.07
295,-18360.7805005,33.74
296,-18088.6448,33.17
297,-18312.0039615,32.81
298,-18194.126888000003,32.38
299,-18160.987827,33.42
300,-18501.593942,33.71
301,-18823.8451865,34.9
302,-18750.7460155,34.82
303,-19036.237634499998,34.54
304,-18715.083849000002,33.73
305,-18843.785859,34.28
