model,Gsolv,timing
0,-25.527736500000003,0.07
1,-25.740402,0.06
2,-26.076466,0.07
3,-25.593374,0.06
4,-26.837861,0.07
5,-26.4466615,0.08
6,-25.656385999999998,0.06
7,-26.0948445,0.08
8,-25.632756500000003,0.06
9,-25.9740715,0.07
10,-25.0393935,0.08
11,-26.244498,0.08
12,-25.3019435,0.06
13,-25.945191,0.09
14,-26.3311395,0.09
15,-26.6777055,0.07
16,-25.6537605,0.06
17,-26.4414105,0.08
18,-26.102721,0.06
19,-26.559558,0.06
20,-26.218243,0.08
21,-25.7430275,0.06
22,-25.630131,0.08
23,-25.525111,0.07
24,-25.9005575,0.07
25,-26.1631075,0.06
26,-27.113538499999997,0.06
27,-26.1210995,0.08
28,-27.0137695,0.08
29,-25.5644935,0.07
30,-25.36233,0.07
31,-25.404338000000003,0.08
32,-26.249749,0.07
33,-27.139793500000003,0.07
34,-25.7902865,0.07
35,-25.659011500000002,0.06
36,-26.417780999999998,0.07
37,-25.645884000000002,0.06
38,-26.5411795,0.09
39,-25.7272745,0.05
40,-25.527736500000003,0.07
41,-26.564809,0.06
42,-26.4361595,0.08
43,-26.72759,0.09
44,-26.83261,0.08
45,-26.286506,0.06
46,-27.544120500000002,0.06
47,-27.084658,0.08
48,-24.910744,0.06
49,-26.457163499999997,0.08
50,-25.609127,0.07
51,-26.042334500000003,0.09
52,-26.5096735,0.08
53,-26.438785000000003,0.07
54,-26.0265815,0.08
55,-26.0895935,0.08
56,-26.8089805,0.09
57,-25.997701,0.06
58,-25.8427965,0.08
59,-26.3626455,0.08
60,-26.244498,0.07
61,-26.013454,0.05
62,-25.5749955,0.08
63,-26.921877,0.06
64,-26.549056,0.08
65,-26.1158485,0.08
66,-26.6041915,0.06
67,-25.99245,0.09
68,-25.83492,0.1
69,-25.99245,0.06
70,-26.212992,0.08
71,-26.685582,0.08
72,-25.640633,0.06
73,-26.328514000000002,0.07
74,-27.3130765,0.08
75,-26.1210995,0.09
76,-27.2973235,0.07
77,-26.5359285,0.09
78,-27.263191999999997,0.07
79,-27.3288295,0.08
80,-26.711837000000003,0.07
81,-26.6829565,0.08
82,-27.257941000000002,0.06
83,-26.7407175,0.08
84,-26.840486499999997,0.09
85,-27.804045000000002,0.09
86,-26.6251955,0.06
87,-26.6619525,0.07
88,-26.8457375,0.07
89,-27.0242715,0.06
90,-26.2051155,0.06
91,-27.084658,0.06
92,-26.811606,0.08
93,-26.93763,0.07
94,-26.8352355,0.08
95,-27.310451,0.08
96,-26.895622,0.08
97,-27.599256,0.06
98,-26.57006,0.08
99,-26.837861,0.08
100,-26.1053465,0.07
101,-26.593689500000004,0.06
102,-27.404968999999998,0.06
103,-26.7512195,0.08
104,-27.8303,0.06
105,-27.1030365,0.06
106,-27.546746,0.07
107,-26.612067999999997,0.08
108,-26.325888499999998,0.06
109,-27.0557775,0.07
110,-26.6041915,0.08
111,-27.937945499999998,0.06
112,-26.8877455,0.05
113,-26.4361595,0.08
114,-26.8982475,0.09
115,-27.14767,0.07
116,-25.769282500000003,0.07
117,-26.974387,0.08
118,-26.3101355,0.08
119,-26.381024,0.04
120,-27.851304,0.07
121,-26.953383000000002,0.08
122,-27.14767,0.06
123,-26.391526,0.09
124,-26.501797,0.08
125,-26.002952,0.06
126,-26.895622,0.08
127,-27.762037,0.07
128,-26.601566000000002,0.08
129,-26.228745,0.07
130,-26.1263505,0.07
131,-26.680331,0.08
132,-26.843112,0.07
133,-26.7879765,0.08
134,-26.7092115,0.05
135,-28.329144999999997,0.07
136,-26.9140005,0.07
137,-27.003267500000003,0.08
138,-27.625511,0.07
139,-26.0055775,0.07
140,-28.019336,0.07
141,-26.9927655,0.09
142,-26.927128,0.06
143,-27.0662795,0.08
144,-27.51524,0.06
145,-27.331455000000002,0.08
146,-26.320637499999997,0.08
147,-27.063654,0.07
148,-26.814231499999998,0.06
149,-26.556932500000002,0.07
150,-26.654076,0.07
151,-26.9612595,0.07
152,-26.3941515,0.07
153,-26.417780999999998,0.08
154,-26.659327,0.08
155,-26.6672035,0.06
156,-26.617319,0.07
157,-27.003267500000003,0.08
158,-26.4729165,0.08
159,-25.8217925,0.07
160,-26.3311395,0.08
161,-25.916310499999998,0.06
162,-27.562499000000003,0.08
163,-26.055462000000002,0.08
164,-27.1712995,0.08
165,-27.1502955,0.07
166,-26.5464305,0.08
167,-26.486044,0.08
168,-26.567434499999997,0.07
169,-27.1240405,0.08
170,-27.145044499999997,0.08
171,-26.861490500000002,0.07
172,-27.2973235,0.07
173,-26.900873,0.09
174,-26.690832999999998,0.09
175,-26.814231499999998,0.08
176,-27.3235785,0.1
177,-26.407279,0.06
178,-27.961575,0.09
179,-26.840486499999997,0.06
180,-26.627821,0.09
181,-26.680331,0.1
182,-27.105662,0.08
183,-28.2792605,0.06
184,-27.772539000000002,0.07
185,-26.711837000000003,0.08
186,-27.0610285,0.08
187,-27.221184,0.06
188,-26.9927655,0.07
189,-26.528052,0.07
190,-26.5254265,0.05
191,-26.4991715,0.08
192,-27.8854355,0.06
193,-27.4601045,0.07
194,-26.076466,0.06
195,-27.0190205,0.08
196,-26.643574,0.06
197,-27.276319500000003,0.08
198,-27.047901,0.07
199,-26.8877455,0.1
200,-26.612067999999997,0.09
201,-27.483734,0.07
202,-27.008518499999997,0.09
203,-26.176235,0.08
204,-27.089909000000002,0.07
205,-27.383965,0.07
206,-26.664578,0.08
207,-26.7801,0.09
208,-27.026896999999998,0.06
209,-27.683272,0.07
210,-26.4466615,0.09
211,-26.6461995,0.09
212,-25.887430000000002,0.08
213,-25.735151,0.08
214,-26.370522,0.09
215,-26.816857000000002,0.08
216,-27.2868215,0.06
217,-27.244813500000003,0.05
218,-26.430908499999997,0.08
219,-26.8247335,0.07
220,-27.937945499999998,0.07
221,-26.6777055,0.07
222,-26.575311000000003,0.06
223,-26.606817000000003,0.08
224,-25.963569500000002,0.07
225,-26.396777,0.09
226,-26.465040000000002,0.08
227,-26.759096,0.07
228,-25.93994,0.07
229,-26.480793,0.08
230,-26.5306775,0.08
231,-26.2418725,0.08
232,-27.315702,0.08
233,-28.313392,0.07
234,-27.026896999999998,0.06
235,-25.813916000000003,0.07
236,-27.231686,0.08
237,-26.774849,0.09
238,-26.858864999999998,0.07
239,-26.165733,0.08
240,-27.415471,0.08
241,-27.021646,0.07
242,-26.816857000000002,0.08
243,-27.762037,0.09
244,-27.704276,0.06
245,-27.523116499999997,0.07
246,-27.56775,0.07
247,-27.9904555,0.09
248,-27.302574500000002,0.07
249,-26.5411795,0.07
250,-26.814231499999998,0.08
251,-26.7984785,0.05
252,-27.166048500000002,0.08
253,-27.310451,0.1
254,-26.9402555,0.07
255,-28.444667,0.09
256,-27.0400245,0.07
257,-27.431224,0.07
258,-26.6461995,0.05
259,-27.302574500000002,0.09
260,-27.3708375,0.07
261,-27.331455000000002,0.07
262,-26.7722235,0.08
263,-26.738092,0.08
264,-27.336706,0.09
