model,Gsolv,timing
0,-19948.422976,33.51
1,-19646.149160999998,32.33
2,-19272.1283075,32.82
3,-19731.850732,32.91
4,-19400.4312415,33.71
5,-19211.418871,33.06
6,-19489.7717555,32.98
7,-19429.456144,32.3
8,-18972.062538,32.95
9,-19187.902267499998,32.56
10,-19546.6190815,32.76
11,-19294.578958,33.67
12,-19811.9363585,33.43
13,-19376.76761,33.59
14,-19862.521867,34.24
15,-19442.4024845,33.92
16,-19239.674502,34.48
17,-19422.519573,33.71
18,-19405.464325,33.47
19,-19131.1914675,34.02
20,-19197.477466,33.94
21,-18977.0011035,32.69
22,-18939.8817845,32.9
23,-19103.3874225,33.82
24,-19586.9520125,32.73
25,-19847.643158500003,33.61
26,-19458.6543295,33.68
27,-19426.0351175,32.27
28,-19527.665597,32.94
29,-19523.716845,32.59
30,-19495.5951145,33.79
31,-19528.298342500002,32.33
32,-19462.390416,32.87
33,-19223.186362,32.91
34,-19318.8832115,33.96
35,-19380.595589,33.92
36,-19567.940767,32.78
37,-20098.785361000002,32.15
38,-19794.79972,32.69
39,-19510.752126,32.72
40,-19774.8537965,32.66
41,-19839.349204000002,33.4
42,-19652.274452499998,32.82
43,-19467.276471499998,33.24
44,-19665.808905,34.7
45,-19898.023878,33.84
46,-19608.7961725,33.34
47,-19315.162878,33.92
48,-19299.215591,32.9
49,-19170.8627725,34.06
50,-18954.4428075,33.04
51,-19187.3246575,33.01
52,-19493.6049855,32.26
53,-19131.246603,31.6
54,-19110.5182805,31.48
55,-19390.6486285,33.36
56,-19259.985370000002,32.93
57,-18990.8427395,33.42
58,-19336.6735995,32.81
59,-19387.931236,31.98
60,-19657.4466875,32.92
61,-19474.234046499998,33.11
62,-19247.0862885,32.47
63,-19500.0689665,33.33
64,-19528.637032,32.75
65,-19605.201863000002,32.69
66,-19770.4587095,33.55
67,-19741.2158905,33.89
68,-19396.0781625,33.27
69,-19140.729909,34.03
70,-19107.2416565,33.37
71,-19152.539408,33.77
72,-19068.528659,32.68
73,-18983.7958975,32.62
74,-18926.289571,32.87
75,-19464.7139835,32.9
76,-19424.7748775,32.8
77,-19399.7118545,32.32
78,-19433.8853625,33.82
79,-19457.176173,33.74
80,-19163.745042,33.34
81,-18983.4913395,32.98
82,-19082.286279,33.59
83,-18764.653288999998,33.87
