model,Gsolv,timing
0,-3480.9587885,33.51
1,-3649.86508,33.75
2,-3577.275256,33.43
3,-3541.4319299999997,34.81
4,-3615.581301,32.74
5,-3576.828921,33.05
6,-3602.6402115,32.79
7,-3647.8828275,32.32
8,-3568.689871,32.93
9,-3652.43807,32.84
10,-3572.2500489999998,33.58
11,-3640.7572204999997,32.98
12,-3555.6831439999996,31.6
13,-3590.5261545,31.98
14,-3533.24037,55.75
15,-3554.6093145,31.92
16,-3628.0287964999998,31.71
17,-3544.0285495000003,31.51
18,-3574.6733854999998,32.55
19,-3542.6974210000003,31.62
20,-3634.2984905,32.4
21,-3621.7275965,32.95
22,-3605.2657114999997,32.51
23,-3625.5660775,32.05
24,-3578.0707825000004,31.96
25,-3552.8974885,32.3
26,-3579.5620665,32.22
27,-3533.5528044999996,32.71
28,-3539.9248930000003,32.07
29,-3639.4917295,32.62
30,-3727.1991825,33.12
31,-3590.1690865,32.73
32,-3639.6098770000003,32.63
33,-3636.9344925,31.75
34,-3572.8145315,32.36
35,-3564.9170274999997,31.64
36,-3535.519304,33.09
37,-3622.853936,33.26
38,-3592.230104,32.75
39,-3533.9938885,32.07
40,-3602.9447695000003,32.88
41,-3562.7194839999997,33.66
42,-3536.2019339999997,32.96
43,-3512.3728960000003,33.35
44,-3584.033293,33.23
45,-3621.7407240000002,33.7
46,-3617.0515809999997,33.85
47,-3605.567644,33.4
48,-3634.558415,33.92
49,-3598.2162439999997,33.04
50,-3644.8687535000004,33.29
51,-3626.9103334999995,33.92
52,-3577.0100805,32.7
53,-3574.045891,34.13
54,-3672.4154995,35.16
55,-3584.532138,33.98
56,-3581.2686415000003,34.34
57,-3575.9231234999997,33.64
58,-3647.0321655000002,34.27
59,-3582.8098099999997,33.67
60,-3611.5511585,34.26
61,-3620.695775,35.02
62,-3513.8536780000004,33.6
63,-3542.8917079999997,33.43
64,-3554.4780395,32.86
65,-3546.583161,32.26
66,-3554.848235,33.03
67,-3553.77178,32.98
68,-3538.1316765,32.97
69,-3488.8667945,32.97
70,-3535.2908855,32.57
71,-3609.3273599999998,33.58
72,-3512.97151,32.61
73,-3571.9953754999997,32.69
74,-3541.689229,32.32
75,-3548.5391584999998,32.58
76,-3494.419727,33.99
77,-3501.4061825,32.85
78,-3493.7239695,33.14
79,-3616.8887999999997,33.28
80,-3622.176557,32.8
81,-3562.4805635000002,33.47
82,-3614.9275515000004,32.63
83,-3590.4211345,34.1
84,-3636.926616,33.93
85,-3522.081995,33.36
86,-3610.48258,34.17
87,-3616.6078715000003,33.46
88,-3531.3158785,33.48
89,-3482.069375,33.27
90,-3580.2972065000004,32.65
91,-3505.6437395,33.09
92,-3484.2564165,32.59
93,-3502.5036415,32.52
94,-3488.8457905000005,32.59
95,-3511.6403815,32.76
96,-3575.516171,32.45
97,-3514.1109770000003,32.3
98,-3530.693635,32.43
99,-3551.9208025,32.25
100,-3534.017518,32.75
101,-3553.656258,33.68
102,-3539.6019565,32.61
103,-3570.1811549999998,33.19
104,-3510.7818429999998,32.87
105,-3555.6227575000003,33.06
106,-3629.4912000000004,33.42
107,-3500.972975,32.98
108,-3510.6216874999996,33.99
109,-3534.0043904999998,34.56
110,-3588.381121,33.15
111,-3547.3471815,32.51
112,-3578.9792055000003,32.83
113,-3605.3234724999998,34.36
114,-3577.4459134999997,33.25
115,-3581.276518,33.99
116,-3566.5684669999996,33.2
117,-3535.5534355,32.34
118,-3480.5964695,33.03
119,-3529.365132,33.57
120,-3518.6005819999996,33.15
121,-3606.5495809999998,32.56
122,-3523.6756735000004,33.33
123,-3572.386575,33.45
124,-3481.0926889999996,32.48
125,-3512.5908124999996,32.85
126,-3517.5293779999997,32.85
127,-3526.603106,33.27
128,-3554.3100075,32.71
129,-3523.3343585,33.32
130,-3522.5703380000004,33.11
131,-3516.190373,33.68
132,-3497.3891675,34.05
133,-3541.8887670000004,34.18
134,-3524.5420885000003,34.64
135,-3540.465746,33.99
136,-3564.3551705,33.86
137,-3469.587748,32.89
138,-3485.949864,33.0
139,-3448.7491545,33.07
140,-3487.9242400000003,32.97
141,-3426.90762,34.12
142,-3606.3999275,34.49
143,-3548.6651825,34.24
144,-3562.5645794999996,33.02
145,-3488.512352,33.51
146,-3590.176963,33.76
147,-3604.7248585,33.67
148,-3628.8190720000002,32.42
149,-3630.131822,32.82
150,-3668.3932335,33.03
151,-3581.9460204999996,32.93
152,-3700.5346045,32.77
153,-3700.5346045,33.2
154,-3704.1184120000003,32.63
155,-3532.6207520000003,32.34
156,-3632.2663534999997,32.98
157,-3654.711753,32.94
158,-3653.840087,32.38
159,-3724.0643354999997,32.68
160,-3563.0581735,31.68
161,-3531.3788905,32.31
162,-3547.5414684999996,32.49
163,-3574.3294450000003,33.55
164,-3532.2873135,31.33
165,-3583.2718979999995,31.8
166,-3549.8151515,32.26
167,-3619.125726,32.58
168,-3657.4711535,32.92
169,-3506.439266,33.31
170,-3586.606283,31.96
171,-3644.572072,31.45
172,-3629.9454115000003,30.83
173,-3573.2713685,31.48
174,-3562.1970094999997,31.7
175,-3506.1294570000005,32.6
176,-3487.9058615,31.92
177,-3492.6317615000003,31.85
178,-3508.9571205,31.81
179,-3511.0680224999996,32.13
180,-3543.469318,31.54
181,-3603.5197540000004,31.75
182,-3578.603759,31.66
183,-3610.8422735,32.25
184,-3510.855357,31.98
185,-3566.5264589999997,32.38
186,-3550.1197094999998,32.94
187,-3506.3946325,31.47
188,-3559.7973025,32.08
189,-3586.80057,32.39
190,-3558.4294170000003,33.34
191,-3599.2034320000002,33.58
192,-3632.095696,33.55
193,-3587.6381045000003,34.38
194,-3587.6617340000003,32.76
195,-3672.6570455,33.44
196,-3663.365401,34.52
197,-3697.3840044999997,33.0
198,-3642.2747595,33.23
199,-3663.7250945,32.96
200,-3583.403173,33.55
201,-3607.1114380000004,31.97
202,-3588.811703,33.06
203,-3565.544522,32.8
204,-3595.296688,32.62
205,-3628.152195,30.63
206,-3647.13456,31.87
207,-3630.4442565,31.9
208,-3611.275481,32.56
209,-3597.4443469999997,32.31
210,-3621.173616,32.31
211,-3612.294175,31.99
212,-3549.1430235,32.56
213,-3500.3165999999997,32.75
214,-3555.76716,33.05
215,-3653.4016285000002,32.26
216,-3603.7166665000004,32.98
217,-3605.667413,32.45
218,-3629.0711199999996,31.93
219,-3458.2245839999996,32.93
220,-3569.4538915000003,32.35
221,-3591.857283,32.61
222,-3616.652505,32.53
223,-3610.7267515000003,33.68
224,-3614.5967385,32.72
225,-3621.430915,32.49
226,-3583.0329775,33.31
227,-3615.4158945,33.19
228,-3638.9587530000003,32.7
229,-3618.537614,32.83
230,-3590.2452259999995,33.41
231,-3598.6704554999997,33.0
232,-3551.19879,33.31
233,-3575.332386,33.01
234,-3613.0371915,34.78
235,-3668.1175559999997,33.62
236,-3617.2169875000004,34.04
237,-3543.1253775,33.15
238,-3592.8234669999997,33.67
239,-3603.146933,35.12
240,-3577.2148695,33.59
241,-3627.8240075,33.12
242,-3541.4870655,32.88
243,-3562.5225714999997,32.54
244,-3642.9337600000003,33.02
245,-3585.955159,33.05
246,-3587.236403,33.6
247,-3642.109353,33.05
248,-3532.142911,33.81
249,-3541.321659,34.06
250,-3504.890221,34.61
251,-3563.6147795,34.41
252,-3577.238499,33.37
253,-3635.288304,34.85
254,-3598.520802,34.07
255,-3588.6016630000004,32.7
256,-3671.215646,33.47
257,-3591.274422,32.57
258,-3589.3289265,32.54
259,-3657.7205759999997,32.62
260,-3614.5337265,33.18
261,-3652.9605445,33.0
262,-3740.171778,33.08
263,-3724.0380805000004,33.21
264,-3660.9394389999998,33.24
265,-3641.2980735,32.82
266,-3662.068404,32.5
267,-3702.2149245,32.67
268,-3726.876246,33.22
269,-3738.8511515,33.62
270,-3730.909014,33.46
271,-3725.3088225,33.1
272,-3684.579441,33.18
273,-3724.9254995,32.78
274,-3605.6647875,33.31
275,-3653.6195450000005,32.11
276,-3710.5797675,33.39
277,-3778.3964324999997,34.18
