model,Gsolv,timing
0,-2073.693414,35.33
1,-2051.4423014999998,34.38
2,-2018.2559815,34.48
3,-2069.1092909999998,34.23
4,-2026.0327125,34.12
5,-2022.774467,33.18
6,-2034.352922,33.33
7,-1998.7826479999999,34.18
8,-1980.7297099999998,34.69
9,-2055.6115955,33.69
10,-1997.2992405000002,34.87
11,-1973.724876,34.75
12,-1938.7190845000002,33.48
13,-1944.886384,32.81
14,-2015.780135,32.7
15,-2004.894812,32.92
16,-2036.889155,34.76
17,-1972.9871105,34.33
18,-2010.0696725,34.97
19,-1984.9935220000002,34.45
20,-2002.1642920000002,33.93
21,-1993.7941979999998,33.26
22,-2036.3089195,32.92
23,-1943.8729409999999,34.43
24,-2016.7226895,34.17
25,-2016.5520319999998,34.5
26,-1994.4847045,34.31
27,-2003.860365,33.72
28,-2046.8398,34.4
29,-2063.7979044999997,34.36
30,-2024.6569505,35.94
31,-2050.35797,35.68
32,-2081.160336,34.66
33,-2017.0561280000002,34.31
34,-1948.69861,34.93
35,-1977.978186,34.5
36,-2051.549947,36.0
37,-2034.7047389999998,35.59
38,-2034.363424,34.25
39,-2100.499769,34.55
40,-2087.330261,34.75
41,-2097.4253085,34.79
42,-2092.7913009999997,35.46
43,-2006.7510405,33.94
44,-2013.0443639999999,33.49
45,-2058.255474,34.77
46,-2110.970263,36.45
47,-2140.270843,34.86
48,-2075.809567,34.35
49,-2069.6842755000002,34.48
50,-2088.264939,33.84
51,-2070.5270610000002,34.97
52,-2091.0715985,35.71
53,-2070.558567,33.66
54,-2078.886653,35.65
55,-2153.057028,35.04
56,-2095.6846020000003,34.66
57,-2103.81315,35.5
58,-2052.8128125,36.44
59,-2067.73878,35.79
60,-2044.6685115,36.49
61,-2092.3213365,36.16
62,-2104.159716,36.2
63,-2068.4004059999997,34.73
64,-2089.9583865,34.43
65,-2128.86042,36.49
66,-2081.564663,34.71
67,-2118.888771,35.34
68,-2035.828453,35.4
69,-2020.7502064999999,34.36
70,-2025.4314729999999,35.61
71,-2011.76312,34.01
72,-2113.516998,34.84
73,-2074.1528765,35.38
74,-2065.045017,35.07
75,-2080.1862755,34.95
76,-2006.464861,35.36
77,-1998.1341495,35.34
78,-2001.649694,34.29
79,-2065.916683,34.92
80,-2008.749046,34.88
81,-2012.0151680000001,34.06
82,-1988.2570185000002,33.91
83,-2003.6161934999998,34.15
84,-2049.643834,34.57
85,-2021.4564659999999,35.27
86,-2058.54953,35.79
87,-2067.8779315,35.42
88,-2071.7636715000003,34.78
89,-2053.3221595,34.14
90,-2040.790648,34.03
91,-2117.7624315000003,34.76
92,-2104.4038875,34.33
93,-2030.230887,35.34
94,-2035.8258275,35.21
95,-2044.875926,34.61
96,-2040.3206834999999,35.58
97,-2023.3494515,35.47
98,-2098.971728,34.34
99,-2029.269954,34.34
100,-1985.2193149999998,34.9
101,-2019.6685005,35.86
102,-1994.2615369999999,35.34
103,-1993.6865525,35.61
104,-1966.100424,34.23
105,-1979.5351075,33.64
106,-2017.1690245,34.21
107,-2002.463599,33.64
108,-1977.1931615,34.11
109,-2020.9339915,33.68
110,-2018.1719655,35.16
111,-2021.4170835,33.97
112,-2020.6215570000002,34.72
113,-2091.9642685,34.96
114,-2032.4494345,34.22
115,-2023.5804955,34.53
116,-1990.7354905,33.7
117,-2101.8203955,35.74
118,-2043.58418,33.71
119,-2078.3956845,33.76
120,-2013.028611,33.99
121,-1961.7736,33.55
122,-1974.4416375,34.28
123,-1986.904886,34.19
124,-1977.180034,33.77
125,-2006.6827775,34.59
126,-1977.3008069999998,34.05
127,-1942.60745,34.07
128,-2019.8890425,33.49
129,-2019.0803885,34.05
130,-2050.3448425,34.24
131,-2031.7930595,34.04
132,-2006.365092,32.92
133,-1976.943739,33.42
134,-1966.6465280000002,33.17
135,-1991.688547,33.38
136,-1988.6876005,33.42
137,-2023.6697625,34.98
138,-2013.8398905000001,33.39
139,-2041.43127,34.2
140,-2095.6504704999998,34.94
141,-2044.2037979999998,32.98
142,-2018.552663,32.99
143,-2104.558792,33.76
144,-2031.8245655,34.38
145,-2032.073988,32.5
146,-1985.282327,33.15
147,-2008.6361494999999,34.36
148,-2033.286969,35.44
149,-2043.3557615,34.43
150,-2084.305685,34.34
151,-2053.744865,33.74
152,-2038.270168,33.77
153,-2030.230887,33.6
154,-2055.5643365,34.15
155,-2068.3689,33.47
156,-2028.797364,33.9
157,-2061.0358785,33.2
158,-2062.466776,32.97
159,-2110.58694,33.68
160,-2075.541766,32.87
161,-2027.6999050000002,34.01
162,-2046.0127675,34.11
163,-1979.070394,33.1
164,-2010.2534575000002,33.18
165,-2025.373712,32.75
166,-2038.5143395,32.61
167,-2057.9377885000004,33.81
168,-2062.8369715,34.07
169,-2059.1140125,33.06
170,-2073.3652265,33.52
171,-2021.7689005000002,34.47
172,-2085.2954985,33.87
173,-2042.880546,33.53
174,-2014.325608,32.83
175,-2055.5275795,33.42
176,-2059.5025865,35.31
177,-2048.535873,34.05
178,-2082.746138,34.98
179,-2081.4753960000003,33.66
180,-2126.6628765,35.36
181,-2113.622018,35.4
182,-2081.480647,34.72
183,-2074.6569725,35.1
184,-2074.087239,35.33
185,-2093.9701505,36.73
186,-2052.0619195,35.86
187,-2128.7265195,34.01
188,-2089.4805455,35.41
189,-2067.833298,34.27
190,-2067.2609390000002,34.93
191,-2069.3114545000003,33.97
192,-2068.52643,34.29
193,-2037.5796615,34.08
194,-2077.0461775,33.57
195,-2026.7836055,33.6
196,-2072.2178830000003,33.96
197,-2084.389701,33.47
198,-2077.6080345,34.77
199,-2075.3553555,34.77
200,-2066.415528,34.65
201,-2032.168506,34.79
202,-2112.9210095,34.93
203,-2112.6217025,34.89
204,-2094.9783425,34.83
205,-2146.5379115,34.12
206,-2103.4324524999997,33.77
207,-2118.1720095,34.55
208,-2093.1982535,34.41
209,-2078.230278,34.49
210,-2105.834785,34.86
211,-2116.741112,34.94
212,-2107.5964955,35.12
213,-2083.932864,34.31
214,-2102.673683,35.11
215,-2144.5057745,34.59
216,-2140.0634285,33.9
217,-2148.047574,34.53
218,-2087.5376754999998,32.87
219,-2141.562589,34.0
220,-2165.5412805,33.83
221,-2099.4994535,34.53
222,-2111.064781,33.83
223,-2092.4526115000003,33.68
224,-2025.6546405,33.24
225,-2009.006345,34.02
226,-2132.530869,35.02
227,-2138.6666625000003,34.93
228,-2175.7229695,34.52
229,-2110.8704940000002,33.12
230,-2053.8787655,33.58
231,-2102.5607864999997,33.1
232,-2093.1247395,34.28
233,-2102.8180855,33.66
234,-2079.5351515,33.8
235,-2061.5347235,34.59
236,-2056.002795,33.46
237,-2039.304615,34.46
238,-2076.8676434999998,34.47
239,-2038.054877,34.65
240,-2005.0497165,34.57
241,-2010.24033,34.36
242,-1988.2360145,34.27
243,-2083.5206605,34.35
244,-2044.3954594999998,35.36
245,-2033.2475865,35.35
246,-2035.9203455000002,35.66
247,-2036.7237484999998,34.2
248,-2047.632701,34.73
249,-2017.4210725,34.11
250,-2001.276873,33.05
251,-2033.4313715,34.3
252,-2066.95113,34.0
253,-2066.9275005,34.61
254,-2022.6720725000002,33.71
255,-2042.1244020000001,34.16
256,-2058.9171,35.73
257,-2005.2124975,35.29
258,-1967.7938714999998,34.93
259,-2017.0167454999998,35.65
260,-1999.376011,35.64
261,-2023.247057,35.3
262,-2022.0419525,35.71
263,-1979.0467644999999,35.51
264,-2000.174163,34.75
265,-2050.56801,35.25
266,-2030.4172975,34.73
267,-2041.2606125,34.35
268,-2048.325833,35.24
269,-2061.38507,34.11
270,-2044.776157,34.7
271,-2038.916041,33.53
272,-2039.210097,34.14
273,-2029.3040855,34.58
274,-2047.144358,33.49
275,-2041.11621,34.45
276,-2028.0701005,33.73
277,-2078.7264975000003,33.45
278,-2053.9837855,34.5
279,-2012.1805745000001,33.79
280,-1990.5989645000002,33.84
281,-2046.703274,34.15
282,-2081.527906,33.82
283,-2102.81546,32.76
284,-2113.018153,33.31
285,-2100.5444024999997,34.89
286,-2086.9075555,34.57
287,-2074.486315,33.98
288,-2048.7275345,33.2
289,-2093.358409,34.53
290,-2036.0568715,34.8
291,-2030.535445,34.96
292,-2040.9875605000002,34.92
293,-2085.3060005,36.07
294,-2031.19182,35.85
295,-2090.9088175,36.55
296,-2102.1144515,36.36
297,-2069.78667,36.77
298,-2061.85766,36.87
299,-2099.6517325,36.13
300,-2108.3526395,37.19
301,-2072.6773455,36.88
302,-2106.433399,36.28
303,-2084.5866135,36.6
304,-2052.4452425,35.6
305,-2035.429377,34.73
306,-2083.8987325,35.2
307,-2053.072737,35.56
308,-2051.7048514999997,36.2
309,-2051.7363575,34.69
310,-2012.9157145,34.02
311,-1967.4052975000002,35.79
312,-2017.712503,36.08
313,-2042.182163,35.47
314,-2032.520323,35.22
315,-2005.335896,35.86
316,-1976.9332370000002,34.97
317,-2065.7565274999997,35.6
318,-2070.327523,34.16
319,-2042.686259,33.27
320,-2028.6057025,34.42
321,-2047.4489159999998,33.66
322,-2069.7052795,34.4
323,-2044.9993245,35.36
324,-2108.5364245,34.97
325,-2072.8401264999998,33.94
326,-2101.003865,35.2
327,-2076.6050935,34.79
328,-2081.9558625,34.44
329,-2095.2618964999997,35.18
330,-2068.027585,35.02
331,-1995.6556775000001,34.64
332,-2085.4635305,34.3
333,-2073.2969635,34.45
334,-2082.7487635,35.25
335,-2086.9863205,35.26
336,-2034.3923045,34.78
337,-2019.025253,36.17
338,-2041.184473,34.02
