model,Gsolv,timing
0,-18669.079837999998,35.06
1,-18523.616636000002,35.38
2,-18651.089912,35.96
3,-18856.6901915,36.57
4,-19016.845691500002,36.75
5,-18965.847979500002,36.1
6,-18788.576845,35.5
7,-18745.429378,35.33
8,-18348.847603,34.77
9,-18732.637941999998,35.53
10,-18645.8467885,35.53
11,-18665.561668,33.3
12,-18872.7162435,33.99
13,-18813.4482065,34.22
14,-19207.585640999998,35.65
15,-18843.460297,34.97
16,-18922.514102,35.12
17,-18844.4291065,34.83
18,-18918.176776,37.3
19,-18352.9460085,35.96
20,-18425.160386,35.63
21,-18532.1363835,35.34
22,-18570.781118,34.36
23,-19051.0086975,35.01
24,-18920.1957855,33.57
25,-18523.0416515,34.15
26,-18594.3554825,33.04
27,-18782.916267,33.68
28,-18841.3887775,33.82
29,-18750.701382,34.82
30,-18631.409164,33.82
31,-18343.134515,33.83
32,-18925.23412,34.5
33,-18950.769732999997,33.94
34,-18839.9132465,34.22
35,-18993.491869,35.04
36,-19194.61042,33.77
37,-18878.825782,34.66
38,-18935.484072,35.09
39,-19092.2605535,35.0
40,-19104.9417185,35.88
41,-19250.6937255,33.62
42,-19025.992933499998,35.17
43,-19062.069929,34.98
44,-19174.9848075,34.46
45,-18703.316358,33.28
46,-19170.0173615,33.78
47,-18936.371490999998,34.79
48,-19152.1009495,34.26
49,-18898.3883825,35.61
50,-19228.138055,35.22
51,-19011.5631855,34.57
52,-19047.414387999997,34.46
53,-18460.9590785,34.45
54,-19148.060305000003,34.5
55,-19287.2091795,34.25
56,-19398.254702000002,34.96
57,-19353.0357155,34.0
58,-19012.072532500002,33.8
59,-19394.311201,34.08
60,-19905.4514175,35.36
61,-19505.558887,34.66
62,-19581.6642555,33.83
63,-19339.805820999998,34.9
64,-19062.96785,34.16
65,-19445.9889175,33.35
66,-19295.6685405,34.21
67,-19393.5524315,34.84
68,-19213.734562,35.05
69,-19113.910426500002,34.62
70,-19358.9325885,34.01
71,-18724.4647605,34.33
72,-19180.5823735,34.05
73,-19284.896114,34.65
74,-19207.412358,35.26
75,-19200.2815,35.2
76,-19325.735766499998,35.92
77,-19153.148524,35.92
78,-19078.327025,35.14
79,-19184.517998,35.84
80,-19246.516555000002,36.3
81,-19249.1341785,36.24
82,-18864.579819000002,35.04
83,-19360.867582000003,36.83
84,-19366.5255345,35.19
85,-19133.659437500002,37.24
86,-18949.892816,36.56
87,-19005.248858,34.89
88,-19274.202452499998,34.44
89,-19246.0991005,34.48
90,-19161.964953,34.63
91,-19245.668518500002,35.93
92,-19481.4909285,35.88
93,-19429.5112795,36.38
94,-19493.702129,36.05
95,-19448.7824495,35.29
96,-19252.823006,35.76
97,-19120.734101,35.34
98,-18787.9651035,36.44
99,-19063.794882500002,35.39
100,-18711.25587,35.67
101,-19544.206247,36.5
102,-19225.302515,36.83
103,-18920.287678,36.78
104,-18905.345957499998,35.49
105,-19233.394306,37.02
106,-19270.991466,37.86
107,-19335.521005,37.45
108,-19048.0681375,35.89
109,-19004.813025,35.23
110,-19132.454333,35.66
111,-19508.651726,36.0
112,-19652.145803,35.45
113,-19657.6987355,35.19
114,-19523.228501999998,37.21
115,-19319.3715545,37.14
116,-19279.996931,37.31
117,-19738.82406,36.98
118,-19056.8898175,37.55
119,-18904.392901,35.6
120,-18755.632071,35.25
121,-19347.7006995,35.1
122,-19754.477291,35.87
123,-19281.942426499998,35.06
124,-19269.463424999998,35.56
125,-19399.5805795,35.9
126,-19024.646052,35.76
127,-19055.0257125,35.87
128,-19233.966665,35.3
129,-19041.96385,35.49
130,-18762.678913,34.92
131,-19352.009145,35.2
132,-19230.338224,35.93
133,-19227.9936525,35.34
134,-19354.584760499998,35.32
135,-19280.212222,35.11
136,-19337.453373,35.18
137,-19298.1627655,34.58
138,-19126.2292725,34.77
139,-18962.085638,34.48
140,-19360.0037925,34.36
141,-19341.3364875,35.1
142,-19219.227108,34.7
143,-19191.51233,35.35
144,-19007.9767525,34.96
145,-19243.7571545,34.28
146,-19575.1162585,34.34
147,-19312.605641,34.8
148,-19219.7495825,35.03
149,-19408.940487,35.54
150,-18909.759423,35.56
151,-19383.6595475,36.21
152,-19358.8223175,35.95
153,-19115.771906,35.01
154,-19046.8341525,36.94
155,-19360.8702075,36.22
156,-19343.308238,36.27
157,-19639.5355265,36.3
158,-19419.579013,34.69
159,-19620.912855,36.52
160,-19326.2556155,35.4
161,-19029.5636135,36.47
162,-19382.000231500002,36.0
163,-19500.549433,36.7
164,-19346.471965499997,35.78
165,-19036.5999535,35.48
166,-19247.4223525,35.32
167,-19245.576626,34.88
168,-19366.3102435,34.85
169,-19604.823791000003,34.48
170,-19449.478207,35.16
171,-19176.132151,35.93
172,-19295.9310905,35.55
173,-18835.400012000002,35.48
174,-19318.111314499998,34.74
175,-19021.739623499998,35.58
176,-18867.218446500003,36.29
177,-18935.174263,35.05
178,-18931.950149,34.66
179,-19003.4923985,36.64
180,-19169.715429,35.94
181,-19229.9365225,35.93
182,-19373.5198665,35.28
183,-19351.163733999998,36.2
184,-19442.1031775,36.31
185,-19225.470546999997,35.36
186,-19346.086017,35.7
187,-18706.860783,35.96
188,-18771.532099,35.63
189,-18961.4318885,34.3
190,-18654.944146,33.83
191,-18720.9465905,34.77
192,-18990.9845165,33.5
193,-19231.960783,34.13
194,-19222.724274,34.41
195,-19014.170307,33.46
196,-19064.306855,34.04
197,-18740.897764999998,33.46
198,-18901.609871,34.31
199,-19188.9052085,35.13
200,-19107.44382,34.71
201,-19180.9184375,35.64
202,-19177.623434999998,36.06
203,-19071.5033505,36.23
204,-19018.263461500002,35.78
205,-19204.760603,35.65
206,-19666.1633475,35.8
207,-19749.362817,35.45
208,-19595.2643455,35.0
209,-19291.412605,36.19
210,-19716.4049155,35.38
211,-19877.597488,35.41
212,-19378.153874,34.94
213,-19038.093863,34.25
214,-19417.56788,35.99
215,-19618.2112155,36.28
216,-19352.318954,34.29
217,-19492.460267500002,34.73
218,-19332.0527195,33.95
219,-19454.723956,34.29
220,-19259.318493000002,34.69
221,-19347.067954000002,35.16
222,-19510.016986,35.32
223,-19577.2481645,34.92
224,-19507.62253,34.99
225,-19349.982259,34.6
226,-19498.548802,35.76
227,-19726.8754095,35.52
228,-19361.5055785,34.84
229,-19558.9011705,36.63
230,-19226.7439145,35.63
231,-19254.8787725,35.64
232,-19191.7144935,36.47
233,-19453.4873455,35.74
234,-19164.018094,34.71
235,-19246.7712285,35.56
236,-19287.1304145,35.21
237,-19150.310358500003,34.54
238,-19172.9106625,34.37
239,-19211.7785645,34.3
240,-19137.1408505,34.09
241,-19369.904553,34.62
242,-19123.8033105,33.6
243,-18831.24122,33.98
244,-19061.985913,33.16
245,-18974.667034000002,33.99
246,-19191.638354,33.09
247,-19070.902111,33.53
248,-19077.082538,33.68
249,-19396.8238045,34.65
250,-19263.072958,34.53
251,-19036.1483675,34.14
252,-18801.657086,33.94
253,-19042.651731,34.18
254,-18623.9396165,34.64
255,-18617.3391095,34.79
256,-18798.390964,33.97
257,-19103.7549925,36.25
258,-19094.2244275,35.34
259,-19034.712219,35.19
260,-19201.321198,35.2
261,-18932.139185,34.63
262,-18777.3370795,35.13
263,-19117.268441,33.81
264,-19093.402646000002,34.62
265,-18803.0302225,35.22
266,-19118.565437999998,35.88
267,-19365.336183,34.73
268,-19199.357324,35.54
269,-19070.1485925,35.39
270,-19199.131531,35.17
271,-19323.4725855,35.32
272,-19097.372402,34.59
273,-18765.2125205,35.45
274,-19115.328196500002,34.53
275,-19079.595141499998,35.09
276,-18994.2033795,33.68
277,-18927.4631695,33.64
278,-18884.439101,32.93
279,-19042.6438545,33.44
280,-19033.008269500002,34.87
281,-18914.091498,34.85
282,-19108.1973385,34.22
283,-19457.569998,34.76
284,-19455.238554,34.0
285,-19546.514061500002,34.69
286,-19283.4704675,34.53
287,-19347.3383805,33.68
288,-19450.588793500003,34.25
289,-19269.253385,34.12
290,-19350.3524545,33.81
291,-19557.3626275,33.86
292,-19402.135191,34.54
293,-19500.9301305,34.29
294,-19517.7805895,34.16
295,-19564.480358,34.18
296,-19218.8936695,34.65
297,-19445.4638175,36.23
298,-19513.411757500002,35.78
299,-19016.3941055,35.42
300,-18928.6866525,34.83
301,-19061.214015999998,34.98
302,-18961.9044785,34.7
303,-19106.104815,34.65
304,-19215.0971965,33.0
305,-19265.577685,32.88
306,-19397.2701395,33.69
307,-19222.703269999998,33.07
308,-19369.032887,33.57
309,-19139.42241,32.63
310,-19461.886319999998,33.53
311,-19273.6510975,33.03
312,-19184.444484,33.9
313,-18913.219832,33.64
314,-19311.628955,33.1
315,-19002.6627405,33.48
316,-19319.1300085,33.85
317,-19142.0872925,33.79
318,-19077.2531955,33.82
319,-19214.8714035,33.17
320,-19191.018736,33.38
321,-19221.947126,34.17
322,-19034.817239,33.78
323,-18802.5681345,33.3
324,-19009.1687295,33.37
325,-18895.739253,33.18
326,-19068.103328,33.35
327,-19150.244721000003,34.58
328,-19090.4804645,33.94
329,-19246.755475500002,34.46
330,-19196.1148315,33.81
331,-19209.6256545,33.06
332,-19392.2606855,34.2
333,-19266.937694,34.25
334,-19620.077946,34.22
335,-19452.9622455,34.68
336,-19231.1284995,34.28
337,-19459.224063,33.52
338,-19456.47779,33.86
339,-19256.036618,33.64
340,-19276.898841000002,32.87
341,-19363.2436595,33.27
342,-19820.907692,33.4
343,-19631.414855000003,33.51
344,-19664.2099755,33.75
345,-19795.771155,33.59
346,-19786.4270005,33.66
347,-19410.3451295,33.04
348,-19571.758244,32.45
349,-19562.750153499997,33.34
350,-19801.6181435,33.89
351,-19842.410537,33.39
352,-19788.2228425,33.37
353,-19684.0114965,32.62
354,-19924.7278385,32.92
355,-19864.1207965,33.46
356,-19910.5973975,33.56
357,-19745.91291,33.08
358,-19552.996421,33.25
359,-20027.697323,32.56
360,-19685.584171000002,32.67
361,-20028.25918,32.56
362,-20029.839731,32.81
363,-19553.983609,32.54
364,-19777.849492,33.21
365,-19595.440254,34.39
366,-19610.410855000002,34.67
367,-20129.430197,34.97
368,-19632.6462145,34.61
369,-19466.536080500002,33.51
370,-19562.2250535,34.04
371,-19767.636297,34.1
372,-19784.791314,33.15
373,-19895.9733625,34.49
374,-19256.771758,33.56
375,-19439.608952500002,33.88
376,-19338.6479755,33.62
377,-19181.1389795,33.16
378,-19376.720351,33.15
379,-19140.561877,31.69
380,-19282.0842035,33.84
381,-19412.68445,33.16
382,-19562.878803,34.08
383,-19406.1128235,34.06
384,-19653.138241999997,34.25
385,-19743.248027499998,34.47
386,-19637.495512999998,33.81
387,-19594.852142,34.44
388,-19760.3715385,33.92
389,-19251.3606025,32.0
390,-19614.338603,33.83
391,-19672.435667,33.17
392,-19416.475672,32.94
393,-19218.880542,34.11
394,-19682.207778,34.76
395,-19690.3809595,34.26
396,-19616.5256445,33.48
397,-19543.754661,35.64
398,-19936.3115445,34.6
399,-19901.016948,35.69
400,-19854.393319,36.53
401,-19700.234461,36.76
402,-19592.8646385,35.88
403,-19477.7784715,34.91
404,-19432.522728,34.87
405,-19404.6162885,34.43
406,-19474.614744,34.84
407,-19327.4475925,35.41
408,-19316.4099905,35.96
409,-19142.832934500002,35.43
410,-19194.5605355,36.57
411,-19344.26392,35.33
412,-19112.1670945,35.37
413,-19015.666842,33.94
414,-19218.946179500002,34.67
415,-19217.4338915,34.89
416,-19369.253429,34.65
417,-18882.1417885,34.14
418,-19364.0050545,35.31
419,-19463.3592255,35.1
420,-19431.6064285,35.41
421,-19463.771429,35.39
422,-19593.1219375,35.15
423,-19289.362089500002,36.21
424,-19145.2851515,34.13
425,-19227.786238,34.19
426,-19307.4412825,34.8
427,-19102.0694215,34.38
428,-19171.3196095,34.27
429,-18670.56062,33.59
430,-18885.147986,33.47
431,-19170.361302,33.31
432,-19128.875776499997,33.53
433,-19312.364095,34.11
434,-19205.690029999998,34.09
435,-18939.587728500002,33.79
436,-19164.1519945,34.07
437,-19158.5176715,34.08
