model,Gsolv,timing
0,-3752.3042134999996,30.92
1,-3717.4480755000004,30.73
2,-3740.5314715,31.67
3,-3782.55785,32.18
4,-3832.237561,32.02
5,-3813.0661600000003,31.15
6,-3775.0095374999996,31.8
7,-3754.6277809999997,30.79
8,-3673.9592935,31.03
9,-3769.3437085,31.21
10,-3741.3585040000003,31.29
11,-3743.059828,29.33
12,-3791.85212,29.65
13,-3788.360205,29.95
14,-3862.9637875,31.02
15,-3785.5141630000003,30.37
16,-3809.679265,30.8
17,-3795.596083,30.53
18,-3809.3510774999995,32.33
19,-3664.6650234999997,31.87
20,-3687.2522000000004,30.94
21,-3714.7254319999997,30.95
22,-3722.964251,30.37
23,-3822.286916,30.77
24,-3801.2120275,29.44
25,-3720.2836155,29.98
26,-3722.9537490000002,29.19
27,-3770.9610165,29.73
28,-3779.711808,29.65
29,-3757.5867195,30.79
30,-3732.9752825,29.71
31,-3663.034588,30.29
32,-3803.1076384999997,30.5
33,-3802.863467,30.41
34,-3780.137139,30.38
35,-3814.258137,30.88
36,-3845.349308,29.8
37,-3784.8315329999996,30.58
38,-3818.0178530000003,31.12
39,-3837.5331945,31.18
40,-3850.773591,31.72
41,-3884.1883295,30.13
42,-3838.0477925,31.11
43,-3837.9427725,30.86
44,-3882.473878,30.15
45,-3756.9460974999997,29.56
46,-3868.448457,29.77
47,-3810.456413,30.97
48,-3859.815813,29.87
49,-3791.894128,31.27
50,-3871.1290925,31.2
51,-3820.1681375,30.49
52,-3838.5938965,30.39
53,-3703.483041,30.05
54,-3872.491727,30.57
55,-3898.4500455,30.49
56,-3933.2326695,30.92
57,-3917.555809,30.79
58,-3828.6983870000004,30.2
59,-3923.4369290000004,29.83
60,-4035.6849304999996,31.61
61,-3948.2190235000003,30.77
62,-3968.7530589999997,29.95
63,-3919.4304159999997,30.71
64,-3859.243454,29.64
65,-3939.7019015,29.7
66,-3905.205457,30.13
67,-3934.7449574999996,30.72
68,-3889.3133055,31.09
69,-3845.4910849999997,30.69
70,-3910.319931,30.08
71,-3765.434339,29.52
72,-3867.0044319999997,29.68
73,-3891.7287655,30.22
74,-3870.0526375,30.87
75,-3873.6915805,30.76
76,-3894.687704,31.25
77,-3866.0671285,31.26
78,-3833.681586,30.8
79,-3868.1937835,31.18
80,-3875.7604745000003,31.97
81,-3883.84964,31.46
82,-3798.499886,30.58
83,-3911.401637,32.12
84,-3926.0177955,31.51
85,-3857.7127875,32.12
86,-3817.0490435,32.28
87,-3823.930479,31.41
88,-3905.609784,30.33
89,-3890.712697,30.46
90,-3870.837662,30.85
91,-3898.268886,31.63
92,-3946.3181615000003,31.88
93,-3936.055082,32.25
94,-3953.53041,32.33
95,-3936.2572455,31.33
96,-3891.3559445,31.88
97,-3858.6080829999996,31.23
98,-3786.9214309999998,32.21
99,-3853.5277404999997,31.43
100,-3768.3302655,31.42
101,-3964.9828409999996,32.57
102,-3889.510218,32.36
103,-3815.3424685,32.18
104,-3821.52027,31.74
105,-3899.0512849999996,32.91
106,-3902.5143195,33.27
107,-3920.02903,32.68
108,-3846.903604,31.88
109,-3846.1107030000003,31.19
