model,Gsolv,timing
0,-18521.3140725,31.82
1,-18405.308980499998,32.11
2,-18654.833875,33.1
3,-18630.3668405,33.07
4,-18493.9196055,33.92
5,-18218.155464,33.23
6,-18435.47335,33.52
7,-18499.9162475,33.84
8,-18314.351158499998,34.75
9,-18533.6539225,34.19
10,-18421.1197415,35.84
11,-18802.0535365,36.17
12,-18571.132934999998,36.1
13,-18698.9711555,33.93
14,-18637.345419499998,34.16
15,-18801.021715,34.65
16,-18909.302586,34.02
17,-19230.879076999998,34.42
18,-19250.4941875,33.89
19,-18907.580257999998,34.29
20,-19093.518168,33.97
21,-18884.633388000002,33.64
22,-18697.471995,35.0
23,-18635.447183,34.29
24,-18666.0053775,34.4
25,-18874.992552,33.65
26,-18322.0228695,33.84
27,-18376.3917235,34.1
28,-18355.5137475,33.6
29,-18882.559243,33.67
30,-18521.253686,33.85
31,-18700.050236,33.75
32,-18502.512867,34.49
33,-18394.8069805,33.96
34,-18491.8297075,32.8
35,-18414.427342,33.94
36,-18216.543407,32.81
37,-18421.4715585,34.01
38,-18793.759582,33.76
39,-18845.26139,33.96
40,-18614.6610995,33.53
41,-18501.824986,33.94
42,-18641.858654,34.6
43,-18522.576938000002,34.25
44,-18562.8101,33.52
45,-18501.887998,33.42
46,-18359.097555,32.77
47,-18574.7219935,33.91
48,-18890.4961295,34.65
49,-18826.552077,35.46
50,-18519.6862625,34.15
51,-18676.8801985,33.83
52,-18368.722638,33.87
53,-18391.5513605,34.48
54,-18525.759044,34.06
55,-18641.386064,34.7
56,-18515.07851,35.01
57,-18255.5189545,34.24
58,-18854.9836165,34.82
59,-18470.1273245,32.51
60,-18800.344336,32.96
61,-18740.223011500002,33.38
62,-18480.1304795,33.77
63,-18488.9364065,32.61
64,-18442.386291500003,33.36
65,-18475.987440499997,33.43
66,-18506.283085000003,33.74
67,-18647.135909,33.75
68,-18538.4428345,33.6
69,-18742.0766145,33.27
70,-18605.6661365,33.54
71,-18222.834105,33.37
72,-18054.274379500002,34.43
73,-18266.3570185,33.56
74,-18530.332665,33.62
75,-18342.089566,33.5
76,-18691.5829985,33.63
77,-18577.182087,34.07
78,-18543.129352,34.55
79,-18674.829683,33.21
80,-18821.2984515,34.09
81,-19216.346934499998,33.37
82,-18773.9029255,33.2
83,-18868.5416985,33.27
84,-18779.109292,33.89
85,-18970.019899000003,34.36
86,-19312.280079,34.5
87,-19370.006947500002,34.54
88,-19352.3950935,33.73
89,-19224.3442075,32.69
90,-19279.240787,32.74
91,-19388.2226665,33.3
92,-19383.3602405,33.5
93,-19078.8179935,33.59
94,-19322.372501,33.78
95,-19429.744949,33.72
96,-19351.368523,34.75
97,-19108.7014345,33.99
98,-18954.051608,34.1
99,-18925.0004505,34.8
