model,Gsolv,timing
0,-52.03741,0.07
1,-53.36853850000001,0.07
2,-50.950452999999996,0.06
3,-51.055473000000006,0.07
4,-52.683283,0.06
5,-51.622581,0.06
6,-51.84837400000001,0.08
7,-52.336717,0.06
8,-51.4991825,0.08
9,-51.086979,0.06
10,-51.14736549999999,0.06
11,-52.184438,0.07
12,-50.3754685,0.06
13,-52.91432699999999,0.07
14,-52.462741,0.08
15,-50.309830999999996,0.07
16,-50.7062815,0.06
17,-52.552008,0.06
18,-50.50936900000001,0.07
19,-50.30458,0.07
20,-50.535624000000006,0.05
21,-51.173620500000006,0.08
22,-50.950452999999996,0.07
23,-50.845433,0.07
24,-50.8060505,0.06
25,-50.3754685,0.05
26,-51.381035000000004,0.06
27,-52.8906975,0.07
28,-53.040351,0.07
29,-52.013780499999996,0.06
30,-50.921572499999996,0.06
31,-52.09517099999999,0.05
32,-50.981959,0.08
33,-53.155873,0.06
34,-52.4181075,0.05
35,-52.520502,0.07
36,-52.1240515,0.06
37,-51.155242,0.07
38,-52.4653665,0.08
39,-51.081728000000005,0.04
40,-52.462741,0.07
41,-52.46011549999999,0.07
42,-51.444047,0.05
43,-50.698405,0.06
44,-52.9117015,0.05
45,-50.173305,0.07
46,-50.225815000000004,0.07
47,-52.292083500000004,0.07
48,-50.929449,0.08
49,-50.808676000000006,0.09
50,-51.3521545,0.05
51,-51.0686005,0.08
52,-51.475553,0.06
53,-51.444047,0.07
54,-50.315082000000004,0.08
55,-51.963896,0.08
56,-51.7722345,0.07
57,-52.12142600000001,0.06
58,-51.656712500000005,0.07
59,-52.336717,0.07
60,-52.0610395,0.05
61,-52.798805,0.06
62,-52.499498,0.07
63,-50.855934999999995,0.07
64,-51.7092225,0.08
65,-52.8276855,0.07
66,-52.3866015,0.06
67,-51.696095,0.08
68,-51.14474,0.08
69,-52.657028000000004,0.07
70,-51.614704499999995,0.06
71,-52.1765615,0.07
72,-51.0791025,0.07
73,-50.9320745,0.06
74,-51.9822745,0.06
75,-51.66721449999999,0.07
76,-52.565135500000004,0.08
77,-52.966837000000005,0.07
78,-52.2343225,0.05
79,-52.8434385,0.07
80,-50.834931000000005,0.08
81,-51.780111,0.08
82,-51.262887500000005,0.07
83,-51.3521545,0.07
84,-52.412856500000004,0.08
85,-51.8930075,0.06
86,-51.963896,0.09
87,-52.29996,0.06
88,-51.5569435,0.07
89,-51.149991,0.08
90,-51.8142425,0.07
91,-49.905504,0.06
