model,Gsolv,timing
0,-1981.6722645,31.94
1,-1964.4778649999998,31.76
2,-2008.439237,33.05
3,-1998.934927,32.58
4,-1982.4599145,33.4
5,-1942.4105375,32.96
6,-1972.0393050000002,32.89
7,-1982.6226955,33.81
8,-1957.950872,33.67
9,-1981.4464715,33.72
10,-1964.2363189999999,35.08
11,-2030.8688835,35.42
12,-1988.0522295,35.5
13,-2011.957407,33.65
14,-2001.1639765,33.6
15,-2023.672388,33.73
16,-2037.0073025,33.65
17,-2094.3009635,33.83
18,-2088.2623135,33.14
19,-2040.1946595,33.77
20,-2065.559615,34.15
21,-2034.032611,32.94
22,-2015.202525,34.7
23,-1990.900897,33.82
24,-2002.342826,34.1
25,-2029.9342055,33.96
26,-1951.2427195,33.62
27,-1967.49719,34.41
28,-1963.522183,33.45
29,-2042.807032,33.56
30,-1985.775921,33.39
31,-2018.563165,34.04
32,-1975.961802,34.31
33,-1976.2453560000001,34.18
34,-1990.423056,32.86
35,-1972.3569905,33.83
36,-1938.375144,32.3
37,-1969.009478,33.14
38,-2030.104863,33.93
39,-2032.7119845,33.87
40,-1996.199156,33.2
41,-1984.1139795,33.23
42,-1999.1265884999998,33.6
43,-1985.271825,33.54
44,-1998.7380145000002,33.29
45,-1982.105472,32.88
46,-1972.097066,32.49
47,-1992.8253885,33.56
48,-2040.2366675,34.05
49,-2034.97254,34.73
50,-1983.6545170000002,33.63
51,-2002.038268,33.07
52,-1963.3882825,33.49
53,-1961.542556,34.09
54,-1985.3007054999998,33.62
55,-2001.381893,33.81
56,-1984.625952,34.47
57,-1946.3540385,33.49
58,-2032.4074265,34.6
59,-1972.685178,32.26
60,-2023.3993360000002,32.63
61,-2018.3925075000002,32.56
62,-1981.7825355,33.74
63,-1974.1160755,32.38
64,-1972.422628,33.11
65,-1977.7156360000001,33.1
66,-1981.690643,33.23
67,-2003.251249,33.49
68,-1982.2551255,32.93
69,-2009.9594015,32.85
70,-1994.545091,32.94
71,-1943.4029765000002,33.42
72,-1915.1552219999999,34.18
73,-1943.641897,33.0
74,-1970.049176,33.39
75,-1949.1475705,33.33
76,-1999.3838875000001,33.05
77,-1987.4116075,33.45
78,-1978.287995,34.07
79,-2005.335896,32.54
80,-2030.430425,33.5
81,-2084.7231395,32.88
82,-2020.600553,32.93
83,-2040.1211455,32.72
84,-2022.26512,33.72
85,-2053.6844785,33.6
86,-2097.6248465,33.42
87,-2108.255496,34.12
88,-2101.8886585,33.25
89,-2083.9774975,32.09
90,-2090.606885,32.5
91,-2109.090405,32.68
