model,Gsolv,timing
0,-3917.1331035,32.79
1,-3883.345544,33.94
2,-4020.202357,33.64
3,-3954.302307,33.5
4,-3963.670091,33.61
5,-3949.1116935,31.86
6,-3934.7817145000004,32.82
7,-3958.198549,31.96
8,-3974.2193500000003,32.42
9,-3908.0068655,32.87
10,-3970.4832635000002,34.17
11,-4055.4890769999997,33.84
12,-4063.5913699999996,33.38
13,-4065.4055904999996,35.06
14,-3988.1975119999997,35.11
15,-4026.8842545,33.82
16,-3913.291997,34.05
17,-3820.9400345,33.78
18,-3894.645696,32.75
19,-3850.0332,32.17
20,-3926.361736,32.29
21,-3826.687254,32.34
22,-3800.5714055000003,31.77
23,-3840.129814,33.44
24,-3864.757004,32.38
25,-3832.0721545,33.76
26,-3769.157298,32.23
27,-3780.4285695,33.84
28,-3958.1119075,33.29
29,-3943.842315,33.92
30,-3874.744406,34.29
31,-3853.456852,33.84
32,-3900.2143815000004,31.88
33,-3827.55892,32.72
34,-3840.9725995000003,32.75
35,-3822.7621315,33.33
36,-3789.4550385000002,32.98
37,-3851.576994,32.59
38,-3847.4129510000002,32.99
39,-3871.105463,32.09
40,-3832.5027365,33.64
41,-3782.2139094999998,33.74
42,-3810.7530945,33.51
43,-3880.0321630000003,33.42
44,-3940.886002,33.93
45,-3945.2312045,33.45
46,-3875.1198525,33.23
47,-3923.326658,32.37
48,-3880.4968765,32.93
49,-3965.5525745,33.6
50,-3975.6975064999997,33.8
51,-3993.9447314999998,34.67
52,-3933.9835625,32.45
53,-3930.2185955,34.22
54,-3894.3490145,33.69
55,-3983.6580225000002,33.92
56,-3988.307783,34.3
57,-3919.8741255,34.83
58,-3839.4708135,34.47
59,-3878.525126,32.58
60,-3897.355212,34.12
61,-3847.265923,34.09
62,-3808.944125,34.32
63,-3810.9972660000003,33.65
64,-3732.8807644999997,35.24
65,-3800.2668475,33.13
66,-3839.5889610000004,34.52
67,-3801.7922630000003,34.64
68,-3800.30623,33.29
69,-3823.478893,34.5
70,-3751.0649774999997,34.49
71,-3848.3607564999998,34.63
72,-3834.264447,33.7
73,-3825.1933445,33.41
74,-3799.161512,33.09
75,-3870.4884705,32.55
76,-3843.164892,33.21
77,-3936.3596399999997,34.16
78,-3905.3446085,32.94
79,-3915.93325,34.74
80,-3792.7973,34.13
81,-3837.436051,34.19
82,-3795.5777045,34.47
83,-3760.288359,34.85
84,-3853.3649594999997,35.53
85,-3795.023724,35.37
86,-3801.04137,34.8
87,-3874.2534375,33.85
88,-3828.992443,34.39
89,-3821.614788,33.93
90,-3897.1241680000003,34.36
91,-3920.417604,34.69
92,-3972.2108424999997,34.4
93,-4003.8481175,33.97
94,-4012.44663,34.17
95,-3849.397829,34.28
96,-3900.579326,34.37
97,-3893.4458425,34.3
98,-3906.728247,33.78
99,-3963.7147244999996,34.88
100,-3863.2053335,34.87
101,-3970.680176,33.74
102,-3911.3465015,34.13
103,-3865.8833435,32.98
104,-3925.747369,32.96
105,-3870.050012,33.98
106,-3849.812658,33.09
107,-3867.4271375000003,33.36
108,-3925.5898389999998,34.62
109,-3915.2532455,33.79
110,-3902.8346305,34.34
111,-3902.3436619999998,33.22
112,-3936.853234,33.67
113,-3923.4132995,33.85
114,-3933.5897375,35.36
115,-3902.0784865,35.44
116,-3929.3233,34.79
117,-3909.2277230000004,34.97
118,-3849.124777,34.81
119,-3825.8208390000004,34.0
120,-3947.738557,34.27
121,-3914.3920814999997,34.18
122,-3897.0454029999996,33.92
123,-3980.2527489999998,34.6
124,-3915.3976479999997,34.06
125,-3935.4748465,33.61
126,-3883.1145,33.47
127,-3939.9119415000005,33.68
128,-3869.35688,33.87
129,-3840.8807070000003,33.95
130,-3930.746321,34.21
131,-3793.879006,32.56
132,-3841.1091255,34.65
133,-3832.846677,34.68
134,-3951.8894725,33.52
135,-3886.89522,33.15
136,-3861.412117,35.25
137,-3876.619013,35.16
138,-3834.70028,35.13
139,-3815.597142,33.77
140,-3818.7162359999998,33.91
141,-3786.9345585,33.57
142,-3726.403656,34.63
143,-3766.048706,34.88
144,-3761.5984835,34.72
145,-3707.4370440000002,33.45
146,-3789.940756,33.17
147,-3774.4529315,35.04
148,-3816.116991,35.71
149,-3814.1872485,34.92
150,-3810.566684,34.44
151,-3890.738952,33.95
152,-3868.837031,35.54
153,-3892.282746,34.89
154,-3960.4643555000002,36.3
155,-3918.096662,35.56
156,-3928.5382755,35.6
157,-3946.0057269999998,35.72
158,-3944.6299649999996,35.46
159,-3925.458564,34.79
160,-3890.1324615,35.26
161,-3817.434992,34.89
162,-3860.3435385,35.42
163,-3944.5065665,35.11
164,-3959.7108369999996,34.01
165,-4018.4984074999998,33.65
166,-4006.061414,34.17
167,-3804.5332850000004,34.26
168,-3864.1452625,33.69
169,-3855.0820365,34.65
170,-3883.0698665,33.54
171,-3853.5172385,34.23
172,-3784.8289075,36.13
173,-3806.171597,36.91
174,-3766.0250765,35.76
175,-3810.6270705,35.26
176,-3780.5283385,35.36
177,-3867.613548,36.27
178,-3880.951088,35.74
179,-3747.0374604999997,35.15
180,-3832.80992,36.11
181,-3868.1885325,35.73
182,-3815.591891,35.3
183,-3846.4126355,35.54
184,-3780.042621,35.1
185,-3794.1074245,35.17
186,-3799.5500859999997,34.15
187,-3787.992635,34.51
188,-3780.6963705,33.95
189,-3860.1965105000004,34.05
190,-3869.3279995,34.49
191,-3840.0090410000003,34.78
192,-3922.575765,34.64
193,-3819.8163204999996,35.04
194,-3865.565658,34.45
195,-3829.7617145000004,33.46
196,-3848.0246925,34.12
197,-3830.1345355,34.48
198,-3801.1989,34.55
199,-3792.6581485,34.32
200,-3811.454103,34.32
201,-3829.622563,34.0
202,-3874.3138240000003,34.21
203,-3853.745657,34.61
204,-3927.621976,33.67
205,-3846.903604,33.38
206,-3918.3618374999996,33.34
207,-3959.0387090000004,32.95
208,-3910.5063415,33.68
209,-3882.1246865000003,34.11
210,-3843.5009560000003,35.11
211,-3908.8207705,34.93
212,-3862.3861775000005,33.99
213,-3869.0129395000004,34.29
214,-3941.2404445,34.15
215,-3851.0597705,35.64
216,-3853.162796,34.71
217,-3876.461483,35.17
218,-3841.7655005,34.75
219,-3891.5764865,34.76
220,-3854.564813,35.34
221,-3925.5557075,33.76
222,-3940.0773480000003,34.49
223,-3832.909689,34.47
224,-3891.6526259999996,34.21
225,-3877.7978624999996,34.93
226,-3853.5067365000004,35.23
227,-3851.8211655,34.54
228,-3949.7943235,34.04
229,-3878.320337,34.32
230,-3879.743358,33.84
231,-3813.4048495,34.62
232,-3877.75848,35.13
233,-3960.614009,34.4
234,-3936.6563215,35.12
235,-3871.8511049999997,34.94
