model,Gsolv,timing
0,-250.614477,0.06
1,-248.47732,0.07
2,-244.113739,0.07
3,-263.4085385,0.08
4,-244.74648449999998,0.06
5,-243.210567,0.06
6,-244.281771,0.07
7,-250.1340105,0.07
8,-246.12224650000002,0.06
9,-252.06900399999998,0.06
10,-253.37650299999999,0.05
11,-243.5650095,0.07
12,-251.5727845,0.06
13,-246.1327485,0.08
14,-246.19576049999998,0.06
15,-241.12329450000001,0.07
16,-241.2493185,0.06
17,-245.2085725,0.07
18,-247.8288215,0.06
19,-245.179692,0.07
20,-250.661736,0.07
21,-248.498324,0.07
22,-245.8912025,0.06
23,-249.40412149999997,0.07
24,-246.4530595,0.07
25,-250.81926600000003,0.05
26,-249.3463605,0.07
27,-241.2598205,0.06
28,-245.006409,0.05
29,-252.1136375,0.05
30,-244.9932815,0.07
31,-247.77893699999998,0.07
32,-246.8206295,0.06
33,-255.8208435,0.07
34,-248.4851965,0.07
35,-248.466818,0.08
36,-245.3083415,0.04
37,-248.025734,0.06
38,-248.4011805,0.08
39,-246.08548950000002,0.07
40,-255.9678715,0.06
41,-245.80193549999998,0.05
42,-253.544535,0.06
43,-238.81548,0.07
44,-251.59641399999998,0.07
45,-244.33690650000003,0.06
46,-252.6334865,0.05
47,-256.0098795,0.06
48,-244.302775,0.05
49,-244.8305005,0.07
50,-247.826196,0.06
51,-246.68672899999999,0.06
52,-243.42060700000002,0.07
53,-252.97480149999998,0.05
54,-254.3978225,0.05
55,-253.26623199999997,0.07
56,-252.81202050000002,0.06
57,-249.5564005,0.06
58,-251.239346,0.05
59,-245.8754495,0.07
60,-249.243966,0.06
61,-251.6252945,0.06
62,-249.8189505,0.07
63,-244.26601799999997,0.07
64,-246.04085600000002,0.06
65,-247.0411715,0.06
66,-247.306347,0.08
67,-256.201541,0.06
68,-249.742811,0.06
69,-245.305716,0.06
70,-250.9846725,0.06
71,-246.807502,0.06
72,-250.850772,0.07
73,-255.0804525,0.05
74,-250.992549,0.05
75,-248.1491325,0.06
76,-251.3732465,0.07
77,-250.2810385,0.05
78,-245.09830150000002,0.07
79,-244.60733299999998,0.06
80,-249.0628065,0.06
81,-243.2341965,0.07
82,-243.457364,0.08
83,-246.95715550000003,0.08
84,-253.39750700000002,0.07
85,-246.970283,0.07
86,-246.4268045,0.07
87,-244.3106515,0.05
88,-251.9666095,0.06
89,-246.7943745,0.06
90,-247.83669799999998,0.07
91,-253.035188,0.06
92,-243.1501805,0.06
93,-255.167094,0.05
94,-245.83606699999999,0.05
95,-245.6339035,0.06
96,-253.26098100000002,0.05
97,-247.1461915,0.06
98,-250.288915,0.07
99,-251.40475250000003,0.06
100,-250.9479155,0.04
101,-256.59011499999997,0.06
102,-252.620359,0.06
103,-247.9075865,0.06
104,-251.3364895,0.06
105,-247.2407095,0.05
106,-247.894459,0.06
107,-244.1321175,0.07
108,-245.3293455,0.07
109,-253.113953,0.06
110,-246.670976,0.06
111,-246.3847965,0.05
112,-251.3679955,0.07
113,-252.12151400000002,0.07
114,-243.0241565,0.06
115,-249.506516,0.07
116,-248.078244,0.07
117,-249.43300200000002,0.07
118,-254.50284249999999,0.06
119,-247.941718,0.06
120,-244.4996875,0.07
121,-253.770328,0.06
122,-253.917356,0.05
123,-247.6712915,0.08
124,-253.4736465,0.07
125,-248.0756185,0.06
126,-250.430692,0.06
127,-247.274841,0.07
128,-252.09525900000003,0.07
129,-241.45410750000002,0.05
130,-249.1678265,0.06
131,-246.670976,0.07
132,-250.110381,0.04
133,-245.9542145,0.06
134,-255.0016875,0.07
135,-251.528151,0.06
136,-261.0928475,0.06
137,-249.564277,0.05
138,-251.33386399999998,0.08
139,-253.681061,0.06
140,-247.484881,0.06
141,-250.78776,0.07
142,-250.01586300000002,0.07
143,-251.08181599999998,0.06
144,-245.1245565,0.05
145,-249.98698249999998,0.06
146,-243.2341965,0.05
147,-247.3457295,0.06
148,-245.65228199999999,0.05
149,-251.8195815,0.06
150,-247.6345345,0.08
151,-247.9338415,0.07
152,-245.888577,0.06
153,-249.03655150000003,0.06
154,-245.893828,0.07
155,-254.920297,0.05
156,-249.3831175,0.08
157,-252.4391995,0.05
158,-249.2308385,0.06
159,-247.16719550000002,0.06
160,-240.44591549999998,0.06
161,-249.748062,0.07
162,-247.574148,0.06
163,-249.196707,0.06
164,-246.14587600000002,0.05
165,-245.28733749999998,0.06
166,-246.644721,0.06
167,-243.179061,0.07
168,-256.35907100000003,0.07
169,-241.6904025,0.05
170,-245.5288835,0.05
171,-244.07435650000002,0.07
172,-248.75562299999999,0.06
173,-247.91808849999998,0.05
174,-243.87219299999998,0.06
175,-244.8830105,0.06
176,-247.626658,0.06
177,-250.703744,0.05
178,-258.98457099999996,0.06
179,-259.178858,0.06
180,-252.562598,0.07
181,-245.03266399999998,0.07
182,-251.0424335,0.04
183,-239.834174,0.08
184,-256.2829315,0.06
185,-252.88816,0.04
186,-247.453375,0.06
187,-251.8405855,0.06
188,-245.1980705,0.06
189,-250.74050100000002,0.08
190,-241.677275,0.05
191,-246.63421899999997,0.07
192,-244.297524,0.05
193,-243.16593350000002,0.06
194,-251.0686885,0.06
195,-255.014815,0.07
196,-249.07855949999998,0.06
197,-250.52258450000002,0.06
198,-253.276734,0.07
199,-251.91672499999999,0.07
200,-249.5301455,0.06
201,-257.4959125,0.08
202,-252.536343,0.05
203,-255.14609000000002,0.06
204,-255.6475605,0.06
205,-254.88354,0.05
206,-256.7450195,0.07
207,-252.3184265,0.07
208,-253.744073,0.07
209,-254.736512,0.06
210,-253.8202125,0.07
211,-255.382385,0.07
212,-259.331137,0.07
213,-259.1132205,0.06
214,-255.639684,0.08
215,-247.9128375,0.07
216,-258.65375800000004,0.06
217,-255.387636,0.08
218,-254.8126515,0.07
219,-251.1632065,0.08
220,-250.903282,0.07
221,-253.47627200000002,0.07
222,-256.1674095,0.07
223,-248.876396,0.04
224,-250.27053650000002,0.07
225,-254.9229225,0.07
226,-250.3020425,0.07
227,-254.72338449999998,0.06
228,-262.2480675,0.05
229,-255.051572,0.08
230,-252.0506255,0.08
231,-249.40149599999998,0.06
232,-252.704375,0.07
233,-252.43657399999998,0.08
234,-252.945921,0.08
235,-256.89729850000003,0.06
236,-255.896983,0.07
237,-259.751217,0.07
238,-253.11132750000002,0.08
239,-257.346259,0.05
240,-254.79427299999998,0.07
241,-255.62655650000002,0.05
242,-253.51302900000002,0.07
243,-255.7840865,0.07
