model,Gsolv,timing
0,-18788.440319,33.77
1,-18772.0703265,33.97
2,-18712.946692,33.81
3,-18615.131064,33.89
4,-18607.212556000002,33.56
5,-18453.4081405,33.81
6,-18548.5090015,34.18
7,-18941.265423,34.29
8,-18867.8485665,34.35
9,-18908.283892,34.83
10,-18499.1601035,33.56
11,-18884.134543,34.33
12,-18735.707151500003,34.61
13,-18433.399204999998,34.11
14,-18547.4325465,34.32
15,-18586.473731500002,34.73
16,-18561.604995499998,34.0
17,-18406.3959375,34.71
18,-18428.4763925,34.1
19,-18468.0479285,32.78
20,-18714.112414,33.81
21,-18667.0398245,33.55
22,-18771.9127965,34.97
23,-18778.2927615,34.78
24,-18908.832621499998,35.16
25,-18375.890252999998,34.15
26,-18246.3034495,33.82
27,-18364.3669335,34.1
28,-18652.594323499998,34.88
29,-18696.962648,35.61
30,-18630.957577999998,34.22
31,-18478.095717,34.3
32,-18402.738616,34.86
33,-18564.2620015,34.5
34,-18617.824827,34.4
35,-18400.601458999998,33.6
36,-18610.504933,34.95
37,-18675.9350185,35.1
38,-18536.92267,35.37
39,-18732.8978665,34.48
40,-18537.880977499997,35.19
41,-18479.996579,35.38
42,-18491.2941055,34.22
43,-18467.0764935,34.35
44,-18660.6966165,34.61
45,-18601.72001,35.27
46,-18274.7638695,35.21
47,-18798.138916,34.41
48,-18599.5907295,34.71
49,-18402.331663499997,35.26
50,-18362.95704,34.52
51,-18453.232232,34.48
52,-18339.90515,34.57
53,-18743.699173499997,33.75
54,-19180.8921825,34.36
55,-18775.223552,34.58
56,-18651.3760915,35.73
57,-18518.712202,35.78
58,-18397.2854525,35.56
59,-18651.704279,35.11
60,-18947.0599015,36.1
61,-18813.345812,34.49
62,-18659.6359145,34.91
63,-18667.3286295,35.22
64,-18443.6832885,34.65
65,-18774.9505,35.23
66,-18653.269077,35.32
67,-18487.841573,35.62
68,-18811.0222445,35.21
69,-18732.556551499998,35.08
70,-18556.3067365,35.4
71,-18817.158037999998,35.83
72,-19067.1450205,35.59
73,-19088.429949,36.7
74,-19375.5257485,36.07
75,-19125.8669535,35.78
76,-18994.3976665,35.99
77,-18825.864196,33.9
78,-18893.4261875,35.03
79,-18619.106071000002,34.72
80,-18954.660724,34.36
81,-19010.2609375,35.73
82,-19177.549921,36.31
83,-18764.017918,35.87
84,-18943.985441,35.79
85,-18932.333472,34.76
86,-18994.507937500002,34.73
87,-18866.79049,35.58
88,-18669.415902,34.92
89,-18924.44647,34.85
90,-19342.733253500002,35.77
91,-19238.248855499998,34.38
92,-18830.6399805,34.84
93,-18779.967830499998,34.31
94,-18859.5782415,35.03
95,-18992.643832499998,35.79
96,-18762.526634,34.92
97,-18956.146757,35.27
98,-18844.21119,35.47
99,-18690.115343999998,35.66
100,-18959.906473,35.48
101,-18755.422031000002,34.71
102,-18572.3012825,36.0
103,-18768.2265945,34.8
104,-18886.4948675,35.38
105,-18976.284342,35.5
106,-18721.8392605,35.03
107,-18830.8920285,35.19
108,-18540.5117285,36.05
109,-18659.859082,35.32
110,-18734.843362,36.33
111,-18642.457268,35.43
112,-18349.745524,34.34
113,-18523.711154,35.11
114,-18556.4117565,34.89
115,-18444.042982,35.45
116,-18324.146899,34.6
117,-18763.054359499998,36.14
118,-19172.422319499998,35.65
119,-19058.278707,36.02
120,-18817.714644,35.15
121,-18512.678803,34.74
122,-18796.873424999998,35.5
123,-18936.4213755,34.94
124,-18557.5459725,35.88
125,-18475.4728425,34.89
126,-18733.115783,35.13
127,-18893.323793,34.08
128,-19002.4211945,34.63
129,-19068.1584635,34.44
130,-19537.731764,35.05
131,-19466.711989,34.7
132,-18865.5223735,33.97
133,-19108.982363,34.42
134,-18791.9033535,34.74
135,-18627.528675,34.72
136,-18955.5560195,34.76
137,-18954.7421145,34.96
138,-18359.38636,34.99
139,-18894.4763875,35.57
140,-18731.4748455,34.6
141,-19013.8578725,34.72
142,-18993.554881,33.58
143,-19306.582744,35.23
144,-19428.371812499998,34.75
145,-18947.556121,34.58
146,-19242.357763,34.93
147,-18844.830808000002,34.79
148,-19141.307518999998,33.61
149,-19153.484588,34.08
150,-19138.4956085,33.37
151,-19165.459493500002,33.86
152,-19025.827526999998,34.79
153,-19050.801283,35.02
154,-19133.425768,34.48
155,-19246.894626999998,35.56
156,-19430.690129,35.0
157,-19183.5806945,33.76
158,-19351.998643,35.21
159,-19110.515655,35.05
160,-19202.408155,34.45
161,-19301.526031,33.52
162,-18997.729426,34.93
163,-18961.5684145,34.23
164,-19395.319392999998,35.24
165,-19023.9502945,34.08
166,-19041.570025,34.79
167,-19493.7730175,36.08
168,-19156.955499,34.96
169,-19056.7585425,35.06
170,-18883.5280525,35.41
171,-18988.162104,35.12
172,-19346.6084915,36.45
173,-19326.142719,35.86
174,-19101.384166,36.24
175,-19264.3988355,35.78
176,-18839.417027,36.27
177,-19449.7748885,36.0
178,-18968.0218935,35.46
179,-18706.863408499998,34.58
180,-19102.166565,35.16
181,-19106.566903,35.45
182,-18930.175311,34.86
183,-18676.654405499998,34.51
184,-19203.211558,35.62
185,-18880.5087275,34.17
186,-19040.246773,35.27
187,-18737.5922605,34.45
188,-19007.6144335,35.48
189,-19293.9619655,35.14
190,-19416.504552500002,36.2
191,-19011.156233,33.84
192,-19134.7358925,34.15
193,-19450.8145865,35.12
194,-19156.703450999998,34.48
195,-19144.111553,34.72
196,-19148.5460225,34.04
197,-19065.4489475,33.35
198,-18885.940887,34.41
199,-19090.517221500002,33.62
200,-19307.165605000002,32.94
201,-19322.178214,33.72
202,-19418.7834865,34.33
203,-19111.9202975,33.97
204,-19096.4823575,33.76
205,-19056.0811635,33.2
206,-19081.664035499998,33.93
207,-19293.2425785,34.57
208,-19048.9030465,34.05
209,-19048.330687499998,32.88
210,-19035.631144,33.49
211,-18832.359683,33.67
212,-19116.601564,33.44
213,-18979.16189,33.53
214,-18941.181407,33.85
215,-18954.518947,34.62
216,-18795.177352,33.97
217,-18687.891545500002,32.92
218,-18748.527468,34.63
219,-18793.6256815,33.5
220,-18828.237648,33.82
221,-18948.595819000002,33.87
222,-18895.7418785,33.23
223,-18868.05073,32.9
224,-18677.0167245,33.71
225,-18531.582403,33.93
226,-18891.932278,33.09
227,-18529.513509,34.3
228,-18438.8103605,33.35
229,-18585.0717145,33.42
230,-18778.723343499998,33.48
231,-18873.254471,34.07
232,-18948.464544000002,33.46
233,-19107.7825095,33.2
234,-18628.857178,32.86
235,-19075.110787499998,33.91
236,-19034.384031499998,33.16
237,-19129.0700635,32.93
238,-18938.9156005,33.76
239,-19077.276825,33.34
240,-18952.6364635,34.08
241,-19248.658963,34.31
242,-19211.408369,32.27
243,-19245.9730765,33.11
244,-18967.604439,33.67
245,-19163.8159305,33.3
246,-18923.4776605,33.51
247,-19032.0053285,32.99
248,-19176.1347765,33.84
249,-19084.407683,33.08
250,-19313.773988499997,33.6
251,-19228.9493345,33.44
252,-19257.3834995,33.24
253,-19182.711654,33.3
254,-18692.310262,32.78
255,-18491.359743,33.61
256,-18722.8894605,33.94
257,-18853.303296500002,33.66
258,-18753.505416,34.06
259,-18698.7978725,34.7
260,-18710.1767895,34.72
261,-18727.4788345,33.88
262,-18169.662479,34.41
263,-18830.4614465,33.71
264,-18840.566996,34.6
265,-18888.261829,34.56
266,-19101.7701145,33.91
267,-19146.970722500002,33.75
268,-19177.1771,33.86
269,-19078.479304,33.77
270,-19151.224032500002,34.17
271,-18801.877628,33.96
272,-18887.5293145,33.28
273,-18790.6378625,33.47
274,-18600.8667225,33.98
275,-18895.5370895,33.25
276,-19099.530563,32.83
277,-19334.822622,33.03
278,-19376.751857,34.0
279,-19042.64648,33.31
280,-19130.9604235,34.32
281,-19280.309365499998,34.97
282,-18916.711747,33.75
283,-18907.8401825,33.26
284,-19239.853036,33.66
285,-19169.2087075,34.62
286,-19024.370374500002,33.19
287,-19513.3172395,34.51
288,-19458.2920105,33.76
289,-19119.6497695,33.77
290,-19400.150313000002,34.41
291,-19437.857744,32.83
292,-19495.109397,34.12
293,-19341.837958,33.6
294,-19229.219761,33.43
295,-19127.0431775,33.6
296,-18989.931691,33.91
297,-19181.981765,33.81
298,-18879.566173,33.84
299,-18961.912355,33.7
300,-19065.141764,32.41
301,-19279.9680505,32.63
302,-18937.8759025,33.96
303,-19048.131149499997,33.05
304,-18921.492782499998,33.68
305,-18832.102383999998,34.34
306,-19097.7425975,33.81
307,-18974.8691975,33.17
308,-18978.416247999998,33.17
309,-18990.693086,33.53
310,-19009.213363,35.24
311,-18892.9903545,33.68
312,-18944.4291505,34.08
313,-18529.6946685,34.23
314,-18870.7996285,35.14
315,-18674.5382525,34.19
316,-18583.1078405,34.71
317,-18784.541451499997,34.38
318,-18770.266608,33.63
319,-19078.754981500002,33.97
320,-18843.607325,32.93
321,-19048.9923135,33.32
322,-18633.535819,33.07
323,-18934.307848,32.83
324,-18937.8864045,33.13
325,-19011.959636,33.16
326,-18799.309889,34.56
327,-18332.1520485,33.16
328,-18892.2762185,33.91
329,-18888.513877,32.85
330,-18786.465943,33.56
331,-18634.6831625,33.57
332,-18780.7449785,33.86
333,-18571.143437000002,33.52
334,-18562.8389805,32.82
335,-18596.6291655,33.3
336,-18567.299705,33.7
337,-18494.28455,33.23
338,-18697.065042500002,33.74
339,-18756.283195,34.0
340,-18850.155322,34.15
341,-18831.600913500002,34.24
342,-18629.991394,33.71
343,-18956.0496135,33.87
344,-18732.700954,33.71
345,-18654.082982,34.89
346,-18770.156337,34.49
347,-18590.727041500002,34.52
348,-18767.383809,33.54
349,-18492.6278595,33.72
350,-18823.7979275,34.32
351,-18765.9424095,34.08
352,-18905.7712885,33.85
