model,Gsolv,timing
0,-3517.256326,31.35
1,-3478.2020135000002,31.3
2,-3581.7123509999997,31.41
3,-3521.8115685000002,31.75
4,-3581.281769,31.4
5,-3548.8174615,31.47
6,-3593.1831604999998,31.45
7,-3613.302367,30.68
8,-3478.083866,31.61
9,-3475.3165889999996,31.58
10,-3408.3899685,31.89
11,-3485.303991,31.21
12,-3486.1389000000004,31.08
13,-3459.763127,31.1
14,-3530.289308,31.95
15,-3526.6083569999996,32.72
16,-3499.0642365000003,31.36
17,-3522.1502579999997,31.25
18,-3528.1075175,31.46
19,-3523.0849359999997,32.24
20,-3556.806858,32.27
21,-3582.8859495,32.18
22,-3542.8864569999996,31.48
23,-3523.048179,31.79
24,-3515.8858149999996,31.73
25,-3522.7514975,33.06
26,-3540.1795665000004,32.44
27,-3540.4473675,32.18
28,-3488.8300375,32.32
29,-3533.025079,31.66
30,-3512.241621,30.81
31,-3478.0917425,31.89
32,-3397.7593190000002,31.3
33,-3440.0141160000003,30.89
34,-3448.0717755,31.04
35,-3427.4694769999996,30.81
36,-3448.1662935,31.35
37,-3501.0963735,30.0
38,-3511.4723495000003,30.05
39,-3491.5500555,30.63
40,-3553.6956405,30.32
41,-3591.0722585,30.95
42,-3590.134955,31.62
43,-3526.4324485,30.93
44,-3552.7767155,30.8
45,-3619.6088179999997,31.98
46,-3555.6437615,32.1
47,-3680.184354,32.52
48,-3628.9162155000004,31.56
49,-3668.7345484999996,31.83
50,-3692.8445150000002,31.13
51,-3752.9973455,30.94
52,-3726.9760149999997,31.87
53,-3627.2568994999997,31.24
54,-3703.561806,31.52
55,-3661.653575,30.85
56,-3674.240222,31.7
57,-3734.8078815,31.25
58,-3731.25558,31.37
59,-3675.7577610000003,30.38
60,-3725.7840380000002,31.05
61,-3667.702727,32.25
62,-3683.0697784999998,31.21
63,-3642.4112855,30.68
64,-3630.9115954999997,31.08
65,-3526.713377,31.26
66,-3545.5723435000004,31.33
67,-3619.1283515,31.5
68,-3555.2683150000003,31.2
69,-3624.991093,30.88
70,-3611.784828,31.19
71,-3482.137638,31.26
72,-3636.548544,31.97
73,-3573.762337,31.98
74,-3598.09022,31.77
75,-3578.735034,30.51
76,-3589.5599705,28.8
77,-3538.559633,29.84
78,-3506.7805809999995,29.74
79,-3510.5586755000004,29.9
80,-3584.259086,30.31
81,-3498.105929,30.2
82,-3527.4668955,30.86
83,-3478.1915115,29.81
84,-3466.6970725,29.96
85,-3535.409033,30.71
86,-3546.3468660000003,30.15
87,-3451.4455430000003,29.55
88,-3495.9530190000005,30.55
89,-3440.4683275,30.41
90,-3492.7735385,30.57
91,-3470.0892185000002,31.59
92,-3460.4798885,31.37
93,-3471.4544785,30.73
94,-3490.187421,30.48
95,-3464.6859394999997,28.81
96,-3503.9004075,29.99
97,-3489.0138225,29.6
98,-3477.8344435000004,28.8
99,-3421.189281,29.79
100,-3477.4196145,29.96
101,-3434.127745,29.49
102,-3420.1994675,30.49
103,-3374.3634884999997,29.96
104,-3415.9120260000004,29.44
105,-3385.3170744999998,31.38
106,-3486.537976,30.17
107,-3402.317187,31.09
108,-3452.1413005,31.89
109,-3462.9426074999997,31.12
110,-3554.5174220000004,31.26
111,-3503.9397900000004,32.07
112,-3425.164288,31.42
113,-3420.7219419999997,30.97
114,-3503.9634195,31.26
115,-3435.7476785000003,31.57
116,-3462.1917144999998,31.58
117,-3493.422037,30.19
118,-3579.9847720000002,29.97
119,-3530.431085,30.42
120,-3618.6688889999996,31.83
121,-3546.562157,30.72
122,-3521.8745805,31.11
123,-3607.3687370000002,31.17
124,-3521.53064,30.76
125,-3575.5135455000004,30.82
126,-3600.2562574999997,32.09
127,-3603.7954315,31.06
128,-3624.3320925000003,30.33
129,-3555.677893,30.41
130,-3558.928262,30.3
131,-3477.8291925,30.38
132,-3530.0661404999996,30.28
133,-3484.5557235,29.4
134,-3488.8825475000003,29.9
135,-3519.524758,29.85
136,-3473.468237,29.99
137,-3464.4680230000004,29.33
138,-3474.339903,29.18
139,-3541.7942489999996,29.5
140,-3541.867763,30.22
141,-3429.6407655000003,29.34
142,-3508.8704789999997,29.02
143,-3623.0088405,28.56
144,-3603.4593675,28.6
145,-3557.2768225,28.54
146,-3593.2094155,28.53
147,-3551.377324,28.55
148,-3584.0621735,29.01
149,-3620.0394,28.72
150,-3605.242082,29.33
151,-3587.5855945,29.19
152,-3542.912712,29.78
