model,Gsolv,timing
0,-19733.6754545,34.42
1,-19724.189523,33.07
2,-19690.8220435,34.32
3,-19749.5019685,33.45
4,-19621.3040545,34.0
5,-19405.5194605,34.53
6,-19754.498295,33.57
7,-19947.790230500003,33.8
8,-19766.7252485,33.36
9,-20005.601114999998,33.71
10,-20172.771951,33.66
11,-20458.392219499998,33.5
12,-19961.3010535,33.65
13,-19827.193139,32.66
14,-20209.1430025,33.33
15,-20029.697954,34.29
16,-20207.769866,34.71
17,-20204.382971,34.52
18,-20422.8797065,34.73
19,-20138.3595225,33.73
20,-19567.951269,33.46
21,-19868.949091,33.89
22,-19761.0751725,32.97
23,-20017.3659805,33.46
24,-19648.029019,33.25
25,-19753.705394,31.93
26,-19478.820795,33.76
27,-19530.716428,34.0
28,-19573.932158,33.4
29,-19249.9743385,32.47
30,-19541.165918,34.41
31,-19587.9444515,34.34
32,-19616.89584,34.38
33,-19745.240782,34.72
34,-19925.843676,34.33
35,-19321.5822255,33.89
36,-19632.0791065,32.47
37,-19731.756214,33.27
38,-20086.645049,33.65
39,-20028.9339335,33.07
40,-20013.6587745,33.09
41,-20091.0742675,33.83
42,-19949.993025,33.62
43,-19864.722036,35.11
44,-19850.381555,34.11
45,-19908.562635,34.38
46,-19806.2705295,34.35
47,-19601.2924935,34.6
48,-19728.2354185,33.91
49,-19847.2073255,34.03
50,-19579.955055,33.78
51,-19191.176266,34.18
52,-19092.5651115,34.09
53,-19068.5312845,33.47
54,-19117.496859500003,33.38
55,-19279.765887,33.79
56,-19648.3782105,34.2
57,-19813.4118895,33.82
58,-19978.2092735,34.19
59,-20030.9188115,33.15
60,-19793.0537625,34.23
61,-19932.6253425,33.84
62,-19603.700077,34.25
63,-19510.395058000002,33.66
64,-19415.714277,34.15
65,-19367.289555,34.03
66,-19407.9769285,33.55
67,-19754.0965935,34.32
68,-19354.6740275,33.8
69,-19206.6220825,34.38
70,-19792.4866545,34.53
71,-19339.532768999998,34.04
72,-19443.6679755,33.66
73,-19383.286726500002,33.12
74,-19427.7416925,33.96
75,-19163.613767,33.13
76,-18958.262909999998,33.44
77,-19434.796411,32.91
78,-19692.158423,34.09
79,-19630.359404,33.78
80,-19863.944887999998,34.29
81,-19819.9178785,34.12
82,-19757.483488500002,33.91
83,-19516.5466045,33.18
84,-19701.518330500003,32.53
85,-19634.2950285,32.8
86,-20042.421126999998,33.08
87,-19384.9617955,33.23
88,-19499.966572,32.73
89,-19362.8498345,32.57
90,-19379.4062375,33.36
91,-19746.259476,32.91
92,-19853.700187000002,32.8
93,-20077.6264565,33.37
94,-19868.6524095,32.97
95,-20127.904781499998,33.47
96,-19931.4333655,34.63
97,-20095.487732999998,33.12
98,-19712.6241955,33.25
99,-20230.651098500002,33.71
100,-20022.0603745,34.3
101,-19800.045469,34.01
102,-19719.5397625,34.48
103,-19976.6812325,34.56
104,-19830.761193500002,34.97
105,-20110.975557499998,34.54
106,-19946.889684,34.01
107,-19873.333676000002,34.87
108,-19953.637219,34.56
109,-19995.4640595,34.4
110,-19740.892954,35.64
111,-19654.792307,34.67
112,-19750.0113155,33.8
113,-19798.102598999998,34.81
114,-20008.5863085,34.88
115,-19793.5631095,34.61
116,-19882.197364,33.91
117,-19896.7452595,33.7
118,-19583.7646555,32.8
119,-19865.714475,32.4
120,-19678.5031975,33.86
121,-19544.7077175,33.36
122,-19737.332776,33.33
123,-19757.5675045,32.87
124,-19863.813613,33.11
125,-19823.15512,33.19
126,-19827.56596,33.83
127,-19844.99928,33.05
128,-19988.524863,34.29
129,-19959.014243,33.61
130,-20129.6743685,33.76
131,-20426.1773345,33.62
132,-20375.896384,34.41
133,-20356.168377,33.37
134,-20235.631672,33.74
135,-19902.579120500002,32.23
136,-19812.464084,32.87
137,-19932.423179,33.25
138,-19790.457143,33.75
139,-20120.850062999998,33.92
140,-20154.608742,33.13
141,-20324.714887,33.47
142,-19727.0749475,34.03
143,-20375.258387500002,34.07
144,-19925.7360305,33.67
145,-19652.193062,33.22
146,-20063.6482945,34.41
147,-20027.718327000002,35.37
148,-20025.696692,34.15
149,-20164.6985385,34.75
150,-20238.3175585,34.35
151,-20032.0792825,34.21
152,-20256.787951,34.11
153,-20039.4516865,33.35
154,-19774.7225215,33.52
155,-19971.117798,33.28
156,-19744.195832999998,33.81
157,-19735.5290575,33.05
158,-19719.9178345,32.23
159,-19677.298092999998,32.8
160,-19633.798809,32.9
161,-19390.1550345,32.16
162,-19723.506892999998,33.7
163,-19770.8420325,32.22
164,-19532.7249355,33.14
165,-19987.763468,32.61
166,-20000.061309999997,33.0
167,-19541.517735,33.88
168,-19851.363492,33.5
169,-19782.4309895,32.96
170,-19615.556835,32.63
171,-19702.371617999997,32.45
172,-19704.1595835,32.91
173,-19767.9959905,32.14
174,-19323.622239,32.4
175,-19736.1644285,32.16
176,-19774.3602025,33.28
177,-19732.024015,31.22
178,-19532.7091825,32.13
179,-19458.9483855,32.21
180,-19376.5391915,32.57
181,-19779.907884,32.18
182,-19649.5176775,31.83
183,-19431.364882500002,33.05
184,-19767.6179185,31.92
185,-19767.2608505,32.02
186,-19716.775111,32.16
187,-19486.9362155,32.87
188,-19860.179921,33.32
189,-19881.8613,32.91
190,-19891.460128,33.93
191,-20020.529708000002,33.76
192,-19582.386268,32.28
193,-19972.7587355,32.65
194,-19550.9249015,32.48
195,-20015.0397875,33.66
196,-19984.3476925,33.2
197,-19985.1405935,33.56
198,-19932.9299005,33.57
199,-19662.590042,32.59
200,-19747.992306,32.67
201,-19297.0653065,32.07
202,-19666.2158575,31.88
203,-19500.192365,31.54
204,-19775.3946495,33.11
205,-19845.2119455,33.01
206,-19710.342636,32.53
207,-19485.237517,32.93
208,-19630.091603,32.78
209,-19718.3792915,33.2
210,-19436.0435235,33.26
211,-19335.980467499998,33.25
212,-19285.833417499998,31.92
213,-19484.596895,33.48
214,-19774.7120195,34.6
215,-19789.454202,34.1
216,-19631.824433,34.4
217,-19521.002078,36.0
218,-19848.7773745,34.32
219,-19631.2599505,34.78
220,-19620.8629705,32.13
221,-19576.027307,33.67
222,-19578.862847,34.67
223,-19766.378682500002,33.36
224,-19741.8092535,34.06
225,-19414.023455,34.09
226,-19540.141973,34.9
227,-19490.577784,34.49
228,-19322.860844,34.83
229,-19719.2142005,34.39
230,-19532.3836205,34.73
231,-19555.1834625,34.2
232,-19454.2172345,34.36
233,-19654.041414,33.89
234,-19832.333867999998,34.32
235,-19520.9784485,34.47
236,-19565.2443785,34.31
237,-19770.036003999998,34.28
238,-19741.830257499998,34.79
239,-19484.20307,33.98
240,-19811.5372825,33.9
241,-19708.8224715,34.48
242,-19669.552868000002,34.43
243,-19611.4951865,34.97
244,-19778.406098,34.9
245,-19572.934468,34.4
246,-19514.952925999998,35.25
247,-19443.570832,35.62
248,-19406.96086,35.25
249,-19358.6700385,34.63
250,-19497.440841,35.02
251,-19224.388841,33.65
252,-19130.716252,33.69
253,-19339.6351635,34.54
254,-19262.757898,33.71
255,-19143.079731499998,33.06
256,-19409.5259735,33.94
257,-19421.498253499998,33.62
258,-19336.371667,33.78
259,-19385.6418,34.17
260,-19718.245391,33.9
261,-19278.786575500002,32.82
262,-19476.7650285,33.08
263,-19130.0099925,34.22
264,-19892.788631,33.18
265,-19570.259083499997,32.72
266,-19807.8773355,33.46
267,-20011.8366775,33.83
268,-19671.233188000002,33.67
269,-19572.897710999998,33.61
270,-19818.985826,33.53
271,-19930.338532,33.48
272,-19749.2026615,33.01
273,-19794.06458,32.96
274,-19795.303816,32.61
275,-19425.570404,32.9
276,-19329.8262955,32.43
