model,Gsolv,timing
0,-284.34164999999996,0.06
1,-288.1354975,0.08
2,-287.066919,0.05
3,-278.702076,0.06
4,-283.2573185,0.06
5,-285.848687,0.05
6,-285.2001885,0.04
7,-292.160389,0.08
8,-280.786723,0.07
9,-284.13160999999997,0.09
10,-281.957696,0.05
11,-279.2875625,0.06
12,-282.0758435,0.07
13,-288.363916,0.04
14,-284.2602595,0.06
15,-286.8437515,0.06
16,-285.822432,0.07
17,-289.582148,0.05
18,-287.8099355,0.07
19,-280.0752125,0.07
20,-281.39583899999997,0.06
21,-284.04496850000004,0.07
22,-287.88082399999996,0.05
23,-281.658389,0.06
24,-286.463054,0.05
25,-280.0384555,0.06
26,-293.173832,0.07
27,-279.9334355,0.09
28,-282.19136549999996,0.07
29,-283.401721,0.06
30,-281.39583899999997,0.07
31,-287.11155249999996,0.06
32,-286.988154,0.05
33,-280.8261055,0.06
34,-286.0771055,0.05
35,-286.531317,0.06
36,-287.39248100000003,0.07
37,-285.365595,0.06
38,-282.0390865,0.06
39,-284.420415,0.07
40,-285.58088599999996,0.07
41,-284.157865,0.06
42,-278.392267,0.07
43,-282.99476849999996,0.07
44,-283.7876695,0.07
45,-294.1583945,0.07
46,-291.2335875,0.07
47,-279.12478150000004,0.05
48,-284.84049500000003,0.07
49,-282.0285845,0.07
50,-290.390802,0.08
51,-284.6068255,0.04
52,-285.30258299999997,0.05
53,-281.4194685,0.08
54,-285.255324,0.07
55,-289.634658,0.08
56,-288.90214349999997,0.05
57,-285.901197,0.06
58,-286.5549465,0.06
59,-291.5328945,0.06
60,-286.63108600000004,0.06
61,-288.09874049999996,0.07
62,-283.94782499999997,0.06
63,-288.4295535,0.06
64,-285.817181,0.07
65,-289.5060085,0.05
66,-285.223818,0.06
67,-288.421677,0.06
68,-285.13980200000003,0.05
69,-284.310144,0.05
70,-286.084982,0.06
71,-281.79754049999997,0.06
72,-286.289771,0.07
73,-282.1808635,0.06
74,-288.153876,0.08
75,-284.04496850000004,0.05
76,-277.2186685,0.07
77,-281.26718950000003,0.06
78,-283.97408,0.07
79,-284.1499885,0.05
80,-288.101366,0.06
81,-281.1306635,0.06
82,-287.523756,0.06
83,-281.149042,0.06
84,-281.201552,0.06
85,-287.040664,0.06
86,-288.16700349999996,0.06
87,-288.3875455,0.06
88,-284.0922275,0.07
89,-284.756479,0.05
90,-292.87715049999997,0.06
91,-280.8261055,0.06
92,-286.400042,0.06
93,-281.563871,0.07
94,-286.54707,0.07
95,-280.849735,0.07
96,-286.825373,0.08
97,-289.0754265,0.07
98,-282.9632625,0.07
99,-281.48510600000003,0.06
100,-286.53394249999997,0.08
101,-287.69178800000003,0.06
102,-283.3045775,0.07
103,-285.60189,0.05
104,-288.12237,0.06
105,-283.060406,0.07
106,-289.6372835,0.06
107,-290.7504955,0.05
108,-285.045284,0.06
109,-281.521863,0.07
110,-280.329886,0.07
111,-287.1010505,0.06
112,-286.1086115,0.07
113,-284.121108,0.06
114,-289.0964305,0.07
115,-289.14106400000003,0.08
116,-283.680024,0.08
117,-286.1795,0.07
118,-283.333458,0.06
119,-284.766981,0.07
120,-285.1949375,0.08
121,-279.836292,0.07
122,-284.30751849999996,0.06
123,-280.466412,0.07
124,-277.9328045,0.06
125,-288.3350355,0.07
126,-287.655031,0.08
127,-283.585506,0.06
128,-288.642219,0.07
129,-287.24282750000003,0.07
130,-287.9254575,0.07
131,-290.396053,0.05
132,-286.2923965,0.06
133,-285.869691,0.07
134,-288.0829875,0.07
135,-285.9090735,0.07
136,-286.888385,0.05
137,-284.7486025,0.05
138,-285.171308,0.07
139,-282.39878,0.06
140,-283.7561635,0.05
141,-282.29638550000004,0.08
142,-289.6372835,0.06
143,-281.4877315,0.08
144,-289.1279365,0.07
145,-287.8834495,0.07
146,-285.1896865,0.05
147,-282.26225400000004,0.06
148,-285.9300775,0.06
149,-285.365595,0.06
150,-281.653138,0.07
151,-282.692836,0.05
152,-284.6068255,0.05
