model,Gsolv,timing
0,-19054.7369075,33.54
1,-19243.3318235,33.98
2,-19251.1348095,34.67
3,-19469.7654455,33.83
4,-19305.7242055,34.54
5,-19304.970687,32.81
6,-19322.136206,34.63
7,-19145.1801315,34.31
8,-19089.1572125,33.1
9,-18975.927273999998,33.78
10,-18788.030741,33.65
11,-19011.450289,33.91
12,-18890.850572,33.3
13,-18937.211651,33.98
14,-19411.219420999998,34.06
15,-19131.566914,34.36
16,-19125.428495,33.86
17,-19229.1646255,33.41
18,-19654.138557500002,33.12
19,-19507.753805,34.02
20,-19225.5466865,33.36
21,-19291.900948000002,33.9
22,-19476.610124,34.15
23,-19229.6792235,33.39
24,-19477.0065745,33.86
25,-19355.8292475,34.33
26,-19257.916476000002,34.21
27,-19455.745275499998,34.04
28,-19277.570969,33.69
29,-19049.178724,33.64
30,-19491.6306095,33.61
31,-19221.44303,33.24
32,-19121.700285000003,34.03
33,-19097.6585815,33.24
34,-19004.5636025,33.86
35,-18840.6693905,33.54
36,-18823.5196245,33.98
37,-18901.741146,34.34
38,-18875.307612,33.84
39,-18945.3113185,33.82
40,-18557.900415,33.7
41,-19174.6119865,33.8
42,-19213.871088,34.71
43,-19376.2556375,33.7
44,-19335.7074155,33.84
45,-19405.879154000002,34.94
46,-19315.4438065,34.35
47,-19771.8292205,33.91
48,-19705.033875,33.79
49,-19693.843994000003,33.94
50,-19945.708209,35.32
51,-19652.2429465,35.89
52,-19427.3846245,33.56
53,-19310.2085595,34.61
54,-19742.9329675,34.07
55,-19663.8634095,35.17
56,-19751.7073885,34.19
57,-19364.968613,34.63
58,-19131.4934,34.95
59,-19614.5880255,34.04
60,-18827.9252135,33.21
61,-19157.233802000002,34.5
62,-19057.50681,34.13
63,-19181.3857765,33.56
64,-19057.0158415,34.33
65,-19127.565652,34.37
66,-19050.491474,33.51
67,-19105.6401015,35.07
68,-18933.7171105,34.81
69,-19262.259052999998,35.07
70,-18836.612993,34.63
71,-19012.369214,35.6
72,-18882.598625500003,34.6
73,-18760.3185885,34.67
74,-18709.339255,34.3
75,-19057.0841045,33.96
76,-18908.866753,34.18
77,-19160.972514,33.64
78,-19124.331036,34.35
79,-19213.6216655,35.84
80,-19206.451425,35.07
81,-19357.3205315,34.19
82,-19320.056810000002,34.7
83,-19369.116903,33.38
84,-19430.212288,34.8
85,-19218.533976,33.46
86,-19196.5086565,33.22
87,-19556.624862,34.46
88,-19391.446780500002,34.9
89,-19509.476133,34.09
90,-19173.139081,34.9
91,-19067.452204,35.3
92,-19304.702886,34.89
93,-19591.906331000002,34.46
94,-19512.353681,35.8
95,-18978.726057,35.09
96,-19228.0356605,34.57
97,-19675.775303000002,36.25
98,-19136.3847065,35.52
99,-19129.4113785,36.18
100,-19146.9497185,34.91
101,-19595.960103,33.96
102,-19179.3746435,34.4
103,-18789.978862,34.57
104,-18994.1928775,34.71
105,-19203.4137215,34.88
106,-19497.913431,35.16
107,-19174.5069665,34.52
108,-19261.986001,36.14
109,-19521.385401,35.01
110,-19567.1084835,35.11
111,-19584.308134,35.59
112,-19525.5310655,34.85
113,-19583.861799,34.71
114,-19638.3593025,36.1
115,-19468.812389,36.34
116,-19346.054511,35.63
117,-19386.387442,34.87
118,-19521.217369,33.83
119,-19553.836581,37.11
120,-19255.46951,35.85
121,-19214.774260000002,34.59
122,-19257.3834995,33.79
123,-19204.3431485,33.72
124,-19122.6690945,34.82
125,-19160.384402,34.86
126,-19270.4059795,34.22
127,-18975.5518275,33.83
128,-19134.454964,34.14
129,-18969.899126,35.0
130,-18755.211991,33.56
131,-18656.5483265,34.09
132,-18901.7490225,34.81
133,-18706.0179975,35.34
134,-18610.006088,34.89
135,-19283.861666999997,34.11
136,-18854.7840785,32.69
137,-18851.494327,33.3
138,-18851.09,33.67
139,-18776.447035,33.62
140,-18914.196518,34.38
141,-19201.2450585,33.82
142,-19166.701355,33.71
143,-19431.467277,34.08
144,-19513.915853500002,34.56
145,-19520.2013005,35.23
146,-19328.342888,34.87
147,-19169.6655445,34.11
148,-19589.569636,34.65
149,-19499.903560000002,32.95
150,-19498.680077,33.83
151,-19682.696121,34.85
152,-19796.4144025,34.61
153,-19685.649808500002,34.17
154,-19875.5154665,35.53
155,-19827.2010155,35.42
156,-19726.253166,35.04
157,-19700.856704499998,34.71
158,-19400.8513215,35.73
159,-19516.333939,34.9
160,-19666.0268215,36.39
161,-19612.4193625,36.04
162,-19572.703424,35.05
163,-19527.10374,34.86
164,-19699.341791,35.24
165,-19654.640027999998,35.18
166,-19632.748609000002,35.57
167,-19748.023812,35.82
168,-19490.496393499998,35.16
169,-19833.924921,34.98
170,-19743.405557500002,33.92
171,-20128.590036999998,32.74
172,-19647.635194,35.55
173,-19749.5124705,34.55
174,-19668.0537075,35.43
175,-19750.4156425,35.85
176,-19551.667918,35.43
177,-19518.967315500002,35.55
178,-19604.0834,35.23
179,-19305.6086835,35.02
180,-19500.166110000002,37.04
181,-19509.266093,34.78
182,-19589.396353,34.58
183,-19406.90835,34.62
184,-19916.916976,35.62
185,-19788.7584445,34.58
186,-19687.637312000003,35.47
187,-19979.4170035,35.38
188,-20265.074029,36.1
189,-19750.402514999998,36.02
190,-19898.827281,34.01
191,-20001.11151,34.95
192,-19796.9027455,34.89
193,-19596.5403385,34.42
194,-19604.0440175,34.99
195,-20204.2543215,35.54
196,-19944.7446505,34.89
197,-20110.6657485,36.28
198,-19818.880806,34.92
199,-19843.975335,34.47
200,-20043.915036500002,35.5
201,-19963.0023775,35.6
202,-19903.122599,35.01
203,-20017.6180285,34.47
204,-20213.1390135,35.46
205,-19722.559087499998,34.97
206,-19866.525754500002,35.43
207,-19330.0520885,35.29
208,-19399.4808105,35.42
209,-19504.429922,36.86
210,-19468.3161695,35.96
211,-19498.238993,35.62
212,-19449.409944,35.41
213,-19581.349195500003,33.73
214,-19351.105973,32.78
215,-19665.892921,32.79
216,-19293.7991845,33.92
