model,Gsolv,timing
0,-1875.0375820000002,33.64
1,-1926.324099,34.47
2,-1926.3897365,33.96
3,-1933.5415985,34.48
4,-1963.133609,33.25
5,-1986.6187065,34.09
6,-1981.144539,33.78
7,-1976.733699,33.95
8,-1967.2845245,34.63
9,-1982.7513450000001,35.22
10,-1942.2582584999998,34.8
11,-1972.9083455,34.33
12,-1974.360247,34.35
13,-1977.8600385,33.91
14,-1991.5835269999998,33.13
15,-1937.4745974999998,32.88
16,-1970.2355865,32.29
17,-1956.2889304999999,32.54
18,-1897.5958779999999,32.42
19,-1891.341937,33.23
20,-1908.7385,32.91
21,-1921.403912,32.9
22,-1930.0601855,34.13
23,-1946.3225324999999,33.57
24,-1924.958839,33.23
25,-1955.3962605,32.96
26,-1905.9370915000002,32.91
27,-1980.0785859999999,32.64
28,-1934.2924914999999,33.43
29,-1939.2389334999998,32.95
30,-1959.3187575,33.68
31,-1963.9816454999998,33.15
32,-1997.7035675000002,33.51
33,-2038.926543,34.18
34,-1993.5027675,34.01
35,-2031.9190835,33.68
36,-1974.439012,34.07
37,-1908.4785755,33.95
38,-1867.9408555,33.15
39,-1941.1030385,33.77
40,-1879.821243,32.01
41,-1898.3047629999999,32.59
42,-1853.3115695,33.7
43,-1863.721677,32.98
44,-1887.8132649999998,32.29
45,-1892.066575,33.08
46,-1905.162569,33.47
47,-1920.7921704999999,32.21
48,-1919.6527035,32.65
49,-1957.431023,32.9
50,-1971.2437785,33.86
51,-1921.172868,32.58
52,-1940.638325,32.85
53,-1898.4754205000002,33.32
54,-1913.9606195,32.47
55,-1897.2913199999998,33.76
56,-1915.275995,33.32
57,-1913.8188425,32.9
58,-1861.432241,32.59
59,-1897.128539,32.4
60,-1851.3214404999999,31.57
61,-1845.14889,33.07
62,-1880.3673469999999,33.79
63,-1880.1546815,33.52
64,-1870.9969374999998,33.52
65,-1857.7906725,33.46
66,-1841.5414529999998,33.76
67,-1917.4315305,33.12
68,-1910.597354,33.11
69,-1872.6378750000001,32.74
70,-1926.2479595,33.47
71,-1819.387484,33.29
72,-1888.795202,34.18
73,-1921.28839,33.96
74,-1920.5847560000002,33.59
75,-1954.9052920000001,34.01
76,-1960.004013,32.28
77,-1917.722961,33.24
78,-1954.7241325,32.77
79,-1946.3067795,32.66
80,-1955.036567,32.86
81,-1931.995179,33.5
82,-1913.4617745,32.14
83,-1905.4645014999999,32.74
84,-1954.7740170000002,33.18
85,-1946.745238,34.02
86,-1967.281899,33.45
87,-2000.5706135,33.26
88,-1980.3857695,33.35
89,-2002.1774194999998,34.42
90,-1954.7766424999998,32.43
91,-1958.9879445,32.99
92,-2031.354601,32.59
93,-2065.207798,33.27
94,-2018.8808505000002,32.41
95,-1995.558534,32.82
96,-1976.019563,32.53
97,-2011.2931555,32.58
98,-2039.3072404999998,33.27
99,-2041.7594575,31.84
100,-1980.7454630000002,31.8
101,-2002.2929415,31.88
102,-1997.7140695,31.18
103,-1979.1255294999999,31.75
104,-1978.219732,32.08
105,-2008.7779265,31.42
106,-1976.198097,32.51
107,-1969.445311,31.53
108,-2001.1534745,31.78
109,-1999.9089875,32.14
110,-1977.012002,32.26
111,-2017.670495,32.65
112,-2060.2062205,33.17
113,-1998.6802535,32.84
114,-1981.2101765,32.55
115,-1941.4443535,31.88
116,-1975.9381725,33.14
117,-2025.0639030000002,32.54
118,-2010.3479754999998,32.55
119,-1989.6485335,31.96
120,-2047.128605,32.06
121,-2044.7420255,32.05
