model,Gsolv,timing
0,-29.962206000000002,0.07
1,-29.4292295,0.08
2,-29.447608000000002,0.07
3,-29.442357,0.06
4,-29.106293,0.06
5,-30.040971000000003,0.06
6,-29.1824325,0.07
7,-29.967457000000003,0.07
8,-29.61564,0.06
9,-30.366533,0.05
10,-28.746599500000002,0.06
11,-29.956955,0.08
12,-28.560189,0.06
13,-29.384596000000002,0.06
14,-30.046221999999997,0.07
15,-29.4449825,0.07
16,-29.741664,0.09
17,-28.665209,0.09
18,-29.636643999999997,0.07
19,-28.82799,0.07
20,-29.757417,0.08
21,-29.379345,0.08
22,-29.468612,0.06
23,-29.867688,0.06
24,-29.7022815,0.08
25,-29.085289,0.06
26,-29.6287675,0.07
27,-29.599887,0.06
28,-29.30058,0.05
29,-28.701966000000002,0.07
30,-29.791548499999998,0.07
31,-30.061975,0.07
32,-29.410851,0.07
33,-30.1223615,0.07
34,-29.652397,0.07
35,-29.3294605,0.06
36,-30.190624500000002,0.06
37,-30.019966999999998,0.09
38,-30.392788,0.05
39,-29.4922415,0.06
40,-30.1853735,0.08
41,-29.851935,0.08
42,-30.340278,0.08
43,-29.872939,0.05
44,-30.08823,0.07
45,-28.659958,0.05
46,-29.431855,0.08
47,-29.862437,0.07
48,-29.678652,0.08
49,-29.594636,0.05
50,-29.5027435,0.08
51,-29.101042,0.05
52,-29.8388075,0.07
53,-30.419043000000002,0.08
54,-29.437106,0.05
55,-29.108918499999998,0.08
56,-29.274325,0.07
57,-28.9513885,0.06
58,-29.610388999999998,0.07
59,-29.6655245,0.08
60,-29.500117999999997,0.07
61,-29.400349,0.08
62,-30.227381500000003,0.06
63,-30.332401500000003,0.07
64,-29.9858355,0.06
65,-29.2506955,0.06
66,-28.491926000000003,0.06
67,-29.3137075,0.07
68,-29.815178,0.06
69,-30.424294,0.07
70,-28.7833565,0.06
71,-29.689154000000002,0.05
72,-29.5237475,0.07
73,-29.326835,0.06
74,-29.686528499999998,0.06
75,-29.507994500000002,0.07
76,-29.783672,0.07
77,-29.290077999999998,0.07
78,-29.605138,0.07
79,-29.4922415,0.06
80,-29.6340185,0.07
81,-30.103983000000003,0.06
82,-29.103667499999997,0.06
83,-29.799425000000003,0.07
84,-29.379345,0.07
85,-28.901504000000003,0.07
86,-28.943512000000002,0.06
87,-29.4056,0.04
88,-29.641894999999998,0.07
89,-28.612699,0.05
90,-29.5027435,0.06
91,-29.935951000000003,0.08
92,-29.3137075,0.06
93,-29.521122000000002,0.08
94,-28.82799,0.08
95,-29.185057999999998,0.05
96,-29.526373000000003,0.05
97,-29.295329,0.09
98,-28.728221,0.08
99,-28.337021500000002,0.07
100,-29.928074499999997,0.07
101,-29.101042,0.07
102,-30.135489,0.08
103,-29.872939,0.06
104,-29.87819,0.07
105,-29.571006500000003,0.07
106,-29.3084565,0.07
107,-29.521122000000002,0.07
108,-29.694405000000003,0.05
109,-30.0120905,0.07
110,-30.610704499999997,0.07
111,-29.30058,0.08
112,-28.893627499999997,0.05
113,-30.222130500000002,0.08
114,-29.731162,0.09
115,-29.242819,0.08
116,-28.980268999999996,0.07
117,-29.571006500000003,0.05
118,-30.082978999999998,0.06
119,-29.416102000000002,0.06
120,-28.8463685,0.06
121,-29.725911,0.06
122,-29.725911,0.06
123,-29.9307,0.07
124,-29.158803,0.07
125,-29.5605045,0.09
126,-29.3084565,0.07
