model,Gsolv,timing
0,-1999.649063,30.17
1,-2056.2732215,30.9
2,-2052.0120349999997,30.47
3,-2061.390321,30.67
4,-2093.5737,29.76
5,-2113.0470335,30.47
6,-2105.771773,30.18
7,-2106.0474504999997,30.5
8,-2099.150262,30.53
9,-2108.2108625,31.28
10,-2069.2589445,31.03
11,-2102.705189,30.63
12,-2100.709809,30.71
13,-2103.5427235,30.61
14,-2117.350228,29.31
15,-2069.73416,29.52
16,-2098.105313,28.9
17,-2087.2725,29.16
18,-2027.8416820000002,29.47
19,-2014.530397,29.69
20,-2035.744437,29.3
21,-2049.8906309999998,29.38
22,-2057.8485215,30.44
23,-2071.8791935,30.03
24,-2054.054674,30.49
25,-2085.744459,29.66
26,-2036.700119,30.04
27,-2108.4629105,29.46
28,-2063.8031555000002,29.95
29,-2068.804733,29.46
30,-2098.8535805,30.14
31,-2102.757699,30.12
32,-2132.8905624999998,29.89
33,-2175.520806,30.91
34,-2129.5850579999997,30.35
35,-2162.907904,30.17
36,-2103.3090540000003,30.7
37,-2040.4152015,30.52
38,-1996.8896625,29.47
39,-2068.2665055,30.08
40,-2009.037851,28.81
41,-2027.542375,29.27
42,-1990.4099285,30.2
43,-1996.85028,29.55
44,-2012.7398059999998,29.06
45,-2019.2536715,29.53
46,-2030.61421,29.95
47,-2051.009094,29.4
48,-2048.5700045,29.14
49,-2084.5551075000003,29.77
50,-2109.184923,30.08
51,-2045.3248865,29.22
52,-2064.6433155,29.52
53,-2025.7544094999998,29.72
54,-2044.755153,29.39
55,-2022.837479,30.22
56,-2039.1392085,29.62
57,-2039.6223005,29.12
58,-1991.5966544999999,29.6
59,-2025.0507755,28.87
60,-1978.5216645,28.52
61,-1972.8978435000001,29.24
62,-2013.2123960000001,30.19
63,-2009.4027955000001,29.7
64,-1999.1318395,29.94
65,-1990.0187290000001,29.92
66,-1971.9054045,30.34
67,-2041.0610745,29.51
68,-2039.829715,29.45
69,-1999.2893695,29.1
70,-2052.8968285,29.58
71,-1947.464625,29.43
72,-2015.612103,30.11
73,-2053.408801,30.33
74,-2050.615269,29.94
75,-2087.7057075000002,30.12
76,-2085.0093190000002,28.98
77,-2045.9024965,29.55
78,-2081.832464,29.65
79,-2075.946093,29.33
80,-2078.4849515,29.01
81,-2058.2003385000003,29.72
82,-2043.158849,28.93
83,-2036.0936284999998,29.89
84,-2080.7953915000003,29.7
85,-2081.6408025,30.27
86,-2103.0255,29.91
87,-2131.5095495,30.18
88,-2110.0119555,29.53
89,-2128.3064395,30.8
90,-2080.1075105,29.75
91,-2087.0545835,29.96
92,-2151.954318,29.1
93,-2189.446458,29.29
94,-2139.51995,28.95
95,-2115.1316805,29.16
96,-2101.271666,29.05
97,-2141.6177245,29.15
98,-2165.9351055,29.67
99,-2169.371885,28.68
100,-2113.2098145,28.99
101,-2127.957248,28.6
102,-2131.8771195,28.46
103,-2110.082844,28.37
104,-2112.2331285,28.9
105,-2139.0657385,28.5
106,-2100.578534,29.17
107,-2096.2779649999998,28.55
108,-2133.1793675,28.35
109,-2128.4639695,28.34
110,-2103.503341,28.85
111,-2151.849298,29.19
112,-2188.6246765,29.39
113,-2126.933303,29.76
114,-2109.841298,29.18
115,-2072.4515525,28.63
116,-2108.1268465,29.77
117,-2159.494754,29.18
118,-2141.174015,28.7
119,-2115.0529155,28.81
120,-2175.6573319999998,28.87
121,-2165.139579,28.73
122,-2202.6133405,29.45
123,-2166.221285,29.55
124,-2182.4153690000003,29.68
125,-2125.7492025,28.82
126,-2164.1760205,28.76
127,-2172.0630225,29.27
128,-2157.4337365,29.27
129,-2176.4686115,29.3
130,-2154.653332,28.72
131,-2148.3337535,29.07
132,-2104.516784,29.17
133,-2141.426063,29.24
134,-2152.8994979999998,29.71
135,-2148.3442555,28.49
136,-2115.449366,29.31
137,-2060.12483,28.5
138,-2086.5662405,29.48
139,-2121.3147329999997,29.9
140,-2054.2463355,28.74
141,-1994.5739715,28.98
142,-2043.5815545,28.91
143,-2067.5261145,29.64
144,-2039.6800615000002,29.09
145,-1995.5296535,29.25
146,-2062.9157365,29.41
147,-2035.166827,29.54
148,-2029.863317,29.67
149,-2040.0555080000001,29.97
150,-2074.6307175,29.12
151,-2033.2318335,28.66
152,-2033.0900565000002,29.1
153,-2080.787515,29.66
154,-2050.279205,29.05
155,-2044.4847265,28.6
156,-2059.279419,29.44
157,-2053.1226215,28.85
158,-2088.90031,29.2
159,-2092.859564,29.3
160,-2183.1085009999997,28.45
161,-2136.3877285,28.96
162,-2101.408192,29.21
