model,Gsolv,timing
0,-25.903183,0.05
1,-25.577621,0.05
2,-26.181486,0.08
3,-26.596315,0.07
4,-25.997701,0.06
5,-26.6146935,0.07
6,-26.1946135,0.06
7,-26.4046535,0.06
8,-26.212992,0.06
9,-25.8217925,0.06
10,-26.62257,0.05
11,-27.9221925,0.06
12,-26.0895935,0.05
13,-26.7617215,0.06
14,-25.871677,0.07
15,-26.8562395,0.06
16,-26.123725,0.06
17,-25.937314500000003,0.07
18,-26.430908499999997,0.05
19,-25.9688205,0.06
20,-26.113223,0.06
21,-26.1368525,0.05
22,-25.7272745,0.06
23,-25.598625,0.06
24,-26.315386500000002,0.06
25,-26.630446499999998,0.07
26,-26.8089805,0.05
27,-27.016395000000003,0.06
28,-25.8638005,0.05
29,-26.307509999999997,0.06
30,-25.7430275,0.06
31,-25.8322945,0.07
32,-25.7850355,0.07
33,-26.375773,0.06
34,-25.7062705,0.06
35,-26.67508,0.06
36,-26.9192515,0.06
37,-26.100095500000002,0.06
38,-26.753845,0.06
39,-25.2389315,0.07
40,-26.1210995,0.07
41,-27.630762,0.06
42,-26.795853,0.05
43,-26.0895935,0.06
44,-27.0925345,0.06
45,-25.911059499999997,0.07
46,-26.2471235,0.05
47,-27.4811085,0.06
48,-25.4332185,0.07
49,-26.060713000000003,0.06
50,-26.260251,0.08
51,-25.635382,0.06
52,-26.606817000000003,0.06
53,-26.4151555,0.06
54,-26.157856499999998,0.06
55,-26.291757,0.07
56,-25.462099,0.06
57,-25.4384695,0.07
58,-26.255,0.06
59,-27.113538499999997,0.05
60,-25.666888,0.07
61,-26.690832999999998,0.07
62,-26.097469999999998,0.06
63,-25.4647245,0.06
64,-25.614378000000002,0.06
65,-26.507048,0.08
66,-27.145044499999997,0.06
67,-26.339015999999997,0.06
68,-25.3702065,0.05
69,-26.6672035,0.06
70,-26.218243,0.08
71,-25.425342,0.06
72,-25.871677,0.07
73,-26.507048,0.07
74,-25.2389315,0.06
75,-26.932379,0.07
76,-26.265502,0.06
77,-26.073840500000003,0.06
78,-26.6514505,0.08
79,-27.0925345,0.07
80,-27.289447000000003,0.06
81,-26.72759,0.06
82,-26.979638,0.07
83,-26.5464305,0.07
84,-26.711837000000003,0.06
85,-26.365271,0.06
86,-26.454538,0.07
87,-26.029207,0.06
88,-25.9950755,0.06
89,-25.8585495,0.06
90,-26.0895935,0.07
91,-27.1765505,0.04
92,-26.654076,0.06
93,-26.801104,0.06
94,-25.1916725,0.06
95,-26.7092115,0.07
96,-26.801104,0.08
97,-26.659327,0.06
98,-26.543805,0.06
99,-26.155231,0.06
100,-26.2156175,0.06
101,-26.191988000000002,0.06
102,-26.8194825,0.06
103,-27.604507,0.05
104,-27.3550845,0.06
105,-25.876928,0.06
106,-26.060713000000003,0.05
107,-26.181486,0.06
108,-26.958634,0.05
109,-26.93763,0.07
110,-26.795853,0.07
111,-26.402028,0.06
112,-25.4804775,0.07
113,-27.504737999999996,0.07
114,-27.1870525,0.06
115,-26.320637499999997,0.06
116,-25.929437999999998,0.05
117,-26.648825,0.05
118,-26.7774745,0.06
119,-26.814231499999998,0.07
120,-27.685897500000003,0.06
121,-26.042334500000003,0.06
122,-26.3311395,0.08
123,-26.381024,0.06
124,-27.544120500000002,0.06
125,-26.7827255,0.05
126,-27.063654,0.05
127,-27.8644315,0.06
128,-27.0452755,0.06
129,-26.814231499999998,0.06
130,-26.486044,0.05
131,-26.596315,0.06
132,-25.9478165,0.05
133,-26.2681275,0.06
134,-26.693458500000002,0.06
135,-26.522801,0.06
136,-27.152921000000003,0.05
137,-26.294382499999998,0.05
138,-26.654076,0.07
139,-26.8247335,0.05
140,-27.418096499999997,0.06
141,-27.3235785,0.06
142,-26.664578,0.08
143,-26.286506,0.08
144,-27.058403,0.07
145,-27.496861499999998,0.06
146,-25.9320635,0.06
147,-26.8457375,0.07
148,-25.966195,0.07
149,-26.4414105,0.07
150,-27.1502955,0.06
151,-26.202489999999997,0.06
152,-26.806355,0.06
153,-26.302259000000003,0.06
154,-26.2628765,0.05
155,-26.41253,0.07
156,-26.2628765,0.06
157,-27.2920725,0.04
158,-27.0715305,0.06
159,-27.011144,0.06
160,-26.814231499999998,0.07
161,-26.7197135,0.07
162,-26.402028,0.06
163,-26.785351,0.06
164,-27.2553155,0.07
165,-25.963569500000002,0.05
166,-27.2028055,0.07
167,-26.7801,0.07
168,-26.921877,0.08
169,-26.811606,0.06
170,-26.759096,0.06
171,-26.512299,0.07
172,-26.6987095,0.07
173,-26.191988000000002,0.06
174,-26.3836495,0.06
175,-25.682641,0.06
176,-26.848363000000003,0.07
177,-26.7879765,0.05
178,-27.173925,0.07
179,-26.8037295,0.07
180,-26.6724545,0.06
181,-27.008518499999997,0.06
182,-26.3941515,0.05
183,-26.575311000000003,0.06
184,-26.1526055,0.05
185,-26.753845,0.07
186,-28.644205,0.07
187,-26.6461995,0.06
188,-27.09516,0.06
189,-26.837861,0.06
190,-27.2133075,0.07
191,-26.979638,0.07
192,-26.7984785,0.05
193,-26.596315,0.06
194,-26.239247,0.06
195,-26.900873,0.05
196,-26.2313705,0.06
197,-27.751535,0.06
198,-27.09516,0.05
199,-26.349518,0.06
200,-26.113223,0.08
201,-26.9560085,0.05
202,-26.601566000000002,0.06
203,-26.3101355,0.05
204,-26.756470500000002,0.05
205,-26.8562395,0.05
206,-26.354769,0.07
207,-27.609758,0.05
208,-26.711837000000003,0.07
209,-27.3235785,0.06
210,-26.023956000000002,0.07
211,-26.370522,0.07
212,-27.037399,0.06
213,-26.236621500000002,0.05
214,-26.8509885,0.07
215,-27.011144,0.08
216,-26.998016500000002,0.06
217,-26.029207,0.05
218,-26.428283,0.07
219,-26.5306775,0.06
220,-26.811606,0.07
221,-26.228745,0.06
222,-27.3130765,0.06
223,-27.281570499999997,0.05
224,-26.365271,0.05
225,-26.966510500000002,0.06
226,-27.068905,0.06
227,-26.346892500000003,0.06
228,-26.5359285,0.05
229,-26.9402555,0.05
230,-26.2156175,0.08
231,-26.4676655,0.07
232,-26.3678965,0.07
233,-26.7879765,0.07
234,-26.732841,0.05
235,-26.1998645,0.05
236,-26.454538,0.06
237,-26.3889005,0.06
238,-26.375773,0.08
239,-27.113538499999997,0.07
240,-26.969136,0.06
241,-27.5126145,0.07
