model,Gsolv,timing
0,-1967.103365,30.89
1,-1972.616915,29.82
2,-1964.7299130000001,30.71
3,-2005.6798365,31.18
4,-2027.1564265,30.13
5,-2005.9843945,30.51
6,-2042.8149084999998,31.26
7,-2043.5605505,30.85
8,-2049.5151845,31.38
9,-2024.9037474999998,31.2
10,-1978.624059,30.93
11,-1974.3208645,31.43
12,-2047.501426,31.97
13,-2101.261164,30.27
14,-2089.871745,30.72
15,-2033.7989415,29.97
16,-2012.230459,30.28
17,-2030.2965244999998,30.49
18,-1993.0091735,29.81
19,-2058.780574,30.69
20,-1970.106937,30.62
21,-2037.960359,30.13
22,-2034.2242725,30.73
23,-2048.262821,30.72
24,-2068.4870475000002,31.02
25,-2025.2713175,30.52
26,-2040.580608,31.64
27,-2006.1182950000002,32.23
28,-2037.6794305,32.12
29,-2016.0978205,31.06
30,-2023.278563,30.43
31,-2007.8511250000001,30.75
32,-1953.1173265,31.2
33,-1962.5612500000002,30.37
34,-1985.1221715000001,30.7
35,-1922.5775105,30.44
36,-1908.8461455000001,30.16
37,-1915.3941425,31.35
38,-1918.9490695,30.41
39,-1901.4291079999998,31.38
40,-1922.994965,31.03
41,-1920.3405845000002,30.75
42,-1934.5917985,31.7
43,-1938.422403,30.87
44,-1944.7787385000001,30.55
45,-1967.266146,32.15
46,-1962.2068075,31.61
47,-1970.8630810000002,30.99
48,-1943.23757,32.32
49,-2018.662934,32.39
50,-2034.2400255,32.45
51,-1998.26805,32.55
52,-1959.7073315,31.36
53,-1966.0872965,31.05
54,-1945.1043005000001,31.18
55,-1890.7774545,31.86
56,-1890.4728965,31.5
57,-1960.7023960000001,33.28
58,-1966.8565680000002,31.88
59,-1970.4272480000002,31.23
60,-1970.6819214999998,30.21
61,-1904.716234,30.27
62,-1919.7944805000002,29.91
63,-1938.2307415,30.47
64,-1978.99688,29.93
65,-2005.1468599999998,30.4
66,-1998.803652,29.5
67,-1984.4027845,29.76
68,-2012.2173315,29.89
69,-2043.0774585000001,30.43
70,-2012.0151680000001,29.17
71,-1985.6367695,29.94
72,-1995.947108,30.19
73,-2025.4656045,28.92
74,-1969.9152755,29.98
75,-2019.95468,30.06
76,-2000.6441275000002,30.19
77,-2030.341158,30.64
78,-2025.699274,30.22
79,-2046.7374054999998,29.93
80,-2011.6843549999999,30.84
81,-2027.4924905,29.8
82,-2047.4961750000002,30.06
83,-2026.282135,30.28
84,-2007.809117,29.9
85,-1992.938285,30.64
86,-1973.1551424999998,30.42
87,-1944.6185830000002,31.48
88,-2055.005105,30.59
89,-2018.9333605,30.28
90,-2045.6898310000001,29.2
91,-2045.548054,29.7
92,-1988.5799550000002,29.3
93,-2018.8178385,30.51
94,-2022.84273,30.25
95,-2032.126498,31.08
96,-1977.8206559999999,30.32
97,-2011.054235,30.9
98,-2010.5396369999999,31.23
99,-2020.0885804999998,31.13
100,-2028.8840055,31.08
101,-2068.8756215000003,31.26
102,-2008.9512095,30.55
103,-2030.414672,30.03
104,-2072.7351065000003,31.36
105,-1998.4597115,31.0
106,-2017.8280249999998,31.2
107,-1988.6272139999999,31.72
108,-2018.0774475,30.86
109,-2060.534408,30.94
110,-2019.0882649999999,30.02
111,-2059.100885,30.91
112,-1986.3955389999999,30.58
113,-2062.346003,30.96
114,-2014.2783490000002,30.5
115,-1988.4644329999999,31.14
116,-2008.518002,31.12
117,-2032.7697455,30.62
118,-2059.1770245,30.66
119,-2042.2661790000002,29.89
120,-1999.533541,31.67
121,-2040.8615365,30.8
122,-1994.0488715,30.61
123,-2036.726374,30.48
124,-2004.957824,30.95
125,-1968.6812905000002,31.62
126,-1961.1145995,30.66
127,-2015.4519475,31.12
128,-1973.4281944999998,30.65
129,-2005.8006095,31.14
130,-1992.5260815,30.37
131,-1976.5262845,31.29
132,-1944.3087739999999,29.48
133,-1938.6770765,30.63
134,-1967.996035,30.96
135,-1967.0534805,31.17
136,-1979.758275,32.16
137,-1987.3380935,30.89
138,-1984.5235575,30.38
139,-2000.9906935,29.91
140,-2001.5735545,29.83
141,-1998.168281,30.09
142,-1950.4025595,30.71
143,-1952.6342345,30.38
144,-1999.8853579999998,30.67
145,-2047.0918479999998,30.16
146,-2041.9327405,29.95
147,-2008.2580775,30.32
148,-1996.398694,30.96
149,-2003.6266954999999,30.11
150,-1972.9293495000002,31.28
151,-2018.447643,31.94
152,-2090.365339,31.23
153,-2063.4933465,31.99
154,-2005.8321155,31.08
155,-2005.4225374999999,31.72
156,-2034.541958,31.0
157,-2007.9010095,32.12
158,-1985.030279,30.95
159,-1957.803844,31.05
160,-1998.7275125,31.19
161,-2028.7054715,32.18
162,-2026.3556489999999,31.34
163,-1998.294305,31.06
164,-2021.9264305,30.24
165,-2016.4181314999998,30.14
166,-2015.12376,30.5
167,-2045.779098,30.75
168,-1999.3865130000001,30.2
169,-1982.399528,29.94
170,-1936.8864855,30.46
171,-2019.9651820000001,31.38
172,-1984.967267,31.65
173,-1999.8170949999999,32.23
174,-2048.0291515,32.26
175,-2018.416137,31.17
176,-1969.802379,31.73
177,-2013.217647,31.38
178,-2009.3187795000001,31.24
179,-1974.9247295,30.83
180,-1972.9293495000002,32.1
181,-2026.539434,31.59
182,-1991.909089,31.0
183,-1989.7771830000002,31.2
184,-1950.195145,31.6
185,-1901.0825419999999,31.84
186,-2004.3513335,32.75
187,-1995.0465615,30.67
188,-2023.5174835,31.02
189,-2030.9922820000002,30.06
190,-1974.5440319999998,30.55
191,-2037.561283,30.87
192,-1952.9125374999999,30.49
193,-1924.9719665,30.86
194,-1988.317405,30.81
195,-1941.551999,30.39
196,-1959.6075625,31.52
197,-1989.084051,32.68
198,-1974.9142275,31.55
199,-1951.3398630000002,33.21
200,-1968.1246845,32.94
201,-1961.5609345,31.88
202,-1968.5920235,31.47
203,-1939.6616390000002,32.07
204,-1986.9101369999998,32.39
205,-2002.7865355,33.28
