model,Gsolv,timing
0,-1951.303106,32.14
1,-2000.0035055,32.27
2,-1951.2322175,32.26
3,-1998.05801,31.86
4,-1923.91389,32.25
5,-1963.6744620000002,32.12
6,-1964.3282115,32.3
7,-1930.8478355,31.87
8,-1957.5806765,30.74
9,-1952.153768,31.49
10,-2005.8557449999998,31.41
11,-2029.8659425,31.48
12,-1992.7466235000002,32.38
13,-1934.6233045000001,32.43
14,-2007.5544435,32.96
15,-1957.8274735000002,32.02
16,-1943.3977255,31.76
17,-1954.1727775,32.03
18,-1962.4956125,30.93
19,-1988.863509,31.79
20,-1904.889517,31.84
21,-1915.307501,30.9
22,-1914.509349,31.74
23,-1977.6710025,31.6
24,-1943.9228255,32.01
25,-1908.6728625,30.74
26,-1947.0419195000002,31.13
27,-1946.5719550000001,31.46
28,-1925.7071065,30.97
29,-1891.2132875,31.59
30,-1897.3307025000001,29.79
31,-1941.8591825,31.25
32,-1971.8161375000002,31.43
33,-1970.3563595,31.18
34,-1891.945802,30.55
35,-1902.7392325,30.0
36,-1937.6426295,30.73
37,-1925.0507315,29.89
38,-1947.223079,30.12
39,-1909.8963455,29.73
40,-1909.594413,30.94
41,-1896.414403,30.21
42,-1842.7885655,30.47
43,-1955.6063005,30.54
44,-1930.209839,29.68
45,-1951.6234170000002,30.1
46,-1928.907591,29.27
47,-1954.2725464999999,29.94
48,-1946.498441,30.16
49,-1970.0465505,29.87
50,-1912.3013035000001,29.0
51,-1951.8465845,29.1
52,-1925.956529,29.87
53,-1918.442348,29.23
54,-1916.2132985,29.4
55,-1932.3391195,29.78
56,-1929.674237,29.96
57,-1972.055058,30.26
58,-1900.9381395,29.39
59,-1938.0285780000002,30.7
60,-1996.2857975000002,30.73
61,-1969.0042270000001,29.8
62,-1944.9704,30.2
63,-1990.065988,29.75
64,-1934.4657745,30.5
65,-2042.334442,29.86
66,-1968.783685,30.06
67,-1912.6058615000002,29.52
68,-1899.843306,30.42
69,-1922.8636900000001,29.99
70,-1954.7976465,30.55
71,-2006.4832395,30.49
72,-1969.0514859999998,30.31
73,-1978.2538634999999,30.22
74,-2037.881594,30.23
75,-1999.444274,29.78
76,-1968.5080075,29.62
77,-1970.7764395,30.65
78,-1958.029637,29.66
79,-1969.0226055,30.11
80,-1932.1658365,30.01
81,-1962.4903615,30.03
82,-1920.479736,28.91
83,-1878.4113495,29.91
84,-1883.4838155000002,29.35
85,-1877.5134285000001,29.57
86,-1875.5259250000001,29.74
87,-1844.597535,29.98
88,-1826.6207365,29.43
89,-1871.6559379999999,29.69
90,-1879.9603945,30.07
91,-1873.6486925000002,29.5
92,-1901.17706,30.05
93,-1890.2996134999999,29.97
94,-1834.0193955,29.16
95,-1883.8881425000002,29.39
96,-1912.146399,30.02
97,-1855.1835509999999,29.67
98,-1862.834258,30.07
99,-1860.7679895,29.01
100,-1849.685754,29.46
101,-1848.7458250000002,29.94
102,-1870.7107580000002,30.46
103,-1884.284593,29.79
104,-1860.2612680000002,29.28
105,-1862.172632,29.32
106,-1880.9370805,28.63
107,-1874.102904,29.48
108,-1867.6573015000001,29.14
109,-1824.03987,29.15
110,-1899.617513,29.02
111,-1933.6124869999999,29.11
112,-1917.4499090000002,29.88
113,-1951.5367755,28.93
114,-1965.0633515000002,29.14
115,-1955.3857584999998,28.98
116,-1883.6045885,28.99
117,-1900.6335815,28.93
118,-1909.720437,29.6
119,-1894.6133100000002,29.39
120,-1935.109022,29.65
