model,Gsolv,timing
0,-253.78082999999998,0.08
1,-244.5416955,0.09
2,-244.3106515,0.07
3,-245.24532950000003,0.08
4,-257.3751395,0.07
5,-252.0978845,0.08
6,-248.508826,0.08
7,-248.934157,0.07
8,-256.90517500000004,0.09
9,-247.773686,0.08
10,-245.6286525,0.06
11,-259.982261,0.08
12,-246.418928,0.09
13,-256.443087,0.07
14,-251.165832,0.08
15,-245.71791950000002,0.06
16,-252.6702435,0.06
17,-250.72212249999998,0.06
18,-253.44214050000002,0.08
19,-256.77389999999997,0.07
20,-250.42544099999998,0.07
21,-247.925965,0.08
22,-252.5179645,0.07
23,-245.048417,0.06
24,-248.445814,0.05
25,-248.45369050000002,0.08
26,-242.81411649999998,0.09
27,-250.850772,0.08
28,-249.84783099999999,0.08
29,-248.04148700000002,0.06
30,-249.58790649999997,0.06
31,-256.4037045,0.08
32,-248.141256,0.08
33,-242.827244,0.07
34,-252.32105199999998,0.08
35,-249.7506875,0.06
36,-246.36379250000002,0.08
37,-253.208471,0.07
38,-245.7704295,0.07
39,-255.41651649999997,0.07
40,-252.75688499999998,0.06
41,-247.40349049999998,0.08
42,-249.0680575,0.08
43,-247.40349049999998,0.09
44,-250.24165599999998,0.07
45,-246.287653,0.08
46,-251.95085650000001,0.07
47,-249.2413405,0.07
48,-247.3614825,0.08
49,-249.280723,0.06
50,-248.1438815,0.07
51,-242.1314865,0.07
52,-240.81086,0.08
53,-247.038546,0.07
54,-248.8685195,0.07
55,-246.3585415,0.06
56,-250.6853655,0.08
57,-246.4845655,0.07
58,-249.1205675,0.07
59,-252.20815549999998,0.07
60,-245.71791950000002,0.07
61,-252.41031900000002,0.07
62,-248.046738,0.06
63,-249.4251255,0.09
64,-248.52720449999998,0.08
65,-256.852665,0.06
66,-253.271483,0.06
67,-246.81275300000001,0.07
68,-250.0132375,0.09
69,-246.64209549999998,0.08
70,-260.181799,0.07
71,-252.620359,0.08
72,-247.91808849999998,0.07
73,-247.0569245,0.08
74,-253.54716050000002,0.05
75,-245.97259300000002,0.06
76,-243.1974395,0.09
77,-246.66835050000003,0.07
78,-247.6082795,0.09
79,-249.6036595,0.07
80,-248.997169,0.06
81,-250.456947,0.08
82,-252.62561,0.09
83,-245.43174,0.07
84,-251.543904,0.08
85,-244.1216155,0.08
86,-244.17937650000002,0.09
87,-250.561967,0.08
88,-245.00903449999998,0.08
89,-256.50347350000004,0.05
90,-248.1386305,0.08
91,-247.7920645,0.09
92,-258.1785425,0.08
93,-248.69786200000001,0.08
94,-252.3079245,0.07
95,-248.19901700000003,0.09
96,-248.4326865,0.08
97,-252.2291595,0.08
98,-243.263077,0.06
99,-246.250896,0.09
100,-243.9850895,0.1
101,-243.65427649999998,0.07
102,-242.39666200000002,0.07
103,-255.760457,0.06
104,-246.31128249999998,0.08
105,-247.8603275,0.08
106,-245.773055,0.06
107,-251.5229,0.1
108,-242.8036145,0.06
109,-242.7563555,0.09
110,-247.3614825,0.08
111,-250.89278000000002,0.07
112,-252.515339,0.07
113,-250.435943,0.09
114,-248.5534595,0.08
115,-251.3417405,0.08
116,-244.01134449999998,0.08
117,-250.94529,0.07
118,-246.08286400000003,0.08
119,-247.90233550000002,0.06
120,-251.5229,0.07
121,-251.1369515,0.05
122,-250.2915405,0.09
123,-243.8853205,0.08
124,-251.3364895,0.08
125,-251.391625,0.08
126,-251.3417405,0.08
127,-242.9401405,0.08
128,-246.94927900000002,0.06
129,-251.43363300000001,0.06
130,-248.902651,0.09
131,-251.774948,0.06
132,-251.54652950000002,0.06
133,-248.9525355,0.08
134,-253.366001,0.1
135,-247.50063400000002,0.07
136,-252.9012875,0.06
137,-252.54159399999998,0.09
138,-263.941515,0.09
139,-251.7250635,0.07
140,-242.70121999999998,0.07
141,-245.1508115,0.09
142,-247.3221,0.08
143,-250.325672,0.07
144,-247.44549849999999,0.07
145,-252.3709365,0.08
146,-241.7481635,0.08
147,-252.79364199999998,0.08
148,-244.25814150000002,0.05
149,-245.31621800000002,0.07
150,-248.9892925,0.08
151,-257.262243,0.09
152,-250.96104300000002,0.06
153,-248.37492550000002,0.1
154,-244.045476,0.08
155,-244.8567555,0.09
156,-249.706054,0.09
157,-246.980785,0.08
158,-241.0287765,0.07
159,-245.4081105,0.08
160,-254.447707,0.08
161,-249.496014,0.09
162,-248.193766,0.08
163,-248.2436505,0.06
164,-248.325041,0.05
165,-246.2535215,0.07
166,-248.902651,0.08
167,-250.8061385,0.08
168,-253.864846,0.09
169,-247.35885700000003,0.08
170,-247.096307,0.06
171,-243.97196200000002,0.1
172,-249.742811,0.07
173,-250.70636950000002,0.08
174,-242.11048250000002,0.06
175,-243.8170575,0.07
176,-257.7689645,0.06
177,-253.25573,0.07
178,-253.37912849999998,0.08
179,-253.218973,0.08
180,-243.4757425,0.06
181,-248.8055075,0.08
