model,Gsolv,timing
0,-3979.8142905,33.33
1,-3897.234439,33.36
2,-3936.9346244999997,33.53
3,-3842.482262,32.72
4,-3832.043274,32.19
5,-3836.3464685,30.45
6,-3901.2173225,32.95
7,-3897.5101165,33.07
8,-3901.5166295,32.14
9,-3812.7511,32.6
10,-3799.082747,32.99
11,-3876.141172,34.19
12,-3879.2943975000003,32.91
13,-3831.140102,32.63
14,-3827.4197685,32.18
15,-3827.1099595,33.66
16,-3814.0270929999997,32.93
17,-3818.2331440000003,32.85
18,-3786.9555625,34.09
19,-3843.374932,33.78
20,-3799.586843,33.83
21,-3924.6892924999997,33.37
22,-3975.248546,33.41
23,-3941.8206800000003,33.94
24,-3868.9840590000003,32.94
25,-3882.342603,33.56
26,-3855.5021165,32.89
27,-3842.9128440000004,33.02
28,-3901.986594,32.9
29,-3922.2055695,33.41
30,-3972.7726995000003,33.33
31,-3968.2095805000004,33.96
32,-3915.7415885,32.51
33,-3928.7351879999997,33.64
34,-3923.8044990000003,32.81
35,-3881.7098575,32.8
36,-3867.2039699999996,32.31
37,-3852.7558435,34.59
38,-3862.8692695,33.47
39,-3931.4315765,32.65
40,-3857.5920145,32.37
41,-3847.034879,32.65
42,-3908.6264835,32.24
43,-3808.1197180000004,34.23
44,-3806.9513705,32.39
45,-3839.0192275,31.52
46,-3883.2221455000004,33.41
47,-3805.903796,32.86
48,-3841.8285125,33.5
49,-3815.6942855,33.83
50,-3760.514152,33.74
51,-3830.2159260000003,33.76
52,-3807.1902910000003,34.32
53,-3786.6194985,33.89
54,-3765.7257695,33.35
55,-3806.717701,33.63
56,-3795.538322,32.93
57,-3844.0969445,33.4
58,-3789.3263890000003,32.67
59,-3842.2223375,33.04
60,-3840.308348,33.83
61,-3827.7190754999997,34.44
62,-3868.67425,33.01
63,-3800.1434489999997,33.38
64,-3754.071175,33.62
65,-3759.784263,34.06
66,-3839.2975305,33.74
67,-3831.6310705,33.78
68,-3817.2275775,32.49
69,-3743.784466,32.92
70,-3814.0270929999997,32.68
71,-3837.499063,31.64
72,-3777.065304,32.24
73,-3813.3838455000005,32.47
74,-3833.728845,32.12
75,-3796.415239,31.48
76,-3795.228513,32.33
77,-3801.613729,31.87
78,-3839.2712755000002,32.82
79,-3863.3497359999997,31.82
80,-3799.6656080000002,32.92
81,-3835.4590495,32.58
82,-3816.2587679999997,32.77
83,-3818.63222,33.68
84,-3911.0681984999997,33.52
85,-3879.6934735,31.33
86,-3861.5250135,32.59
87,-3798.9173405,32.78
88,-3851.361703,33.57
89,-3769.4566050000003,34.42
90,-3773.7703015,34.22
91,-3847.5363495,33.87
92,-3732.6392185,33.72
93,-3752.3042134999996,32.7
94,-3778.3964324999997,32.7
95,-3784.9444295,32.53
96,-3830.4417190000004,32.38
97,-3788.4100894999997,33.01
98,-3760.8449650000002,32.49
99,-3713.4258095,33.08
100,-3797.2659009999998,32.87
101,-3799.3374204999996,32.45
102,-3737.8429595000002,33.45
103,-3701.9051154999997,32.6
104,-3753.2126365000004,32.52
105,-3757.820389,32.13
106,-3808.4269015,32.44
107,-3699.8073409999997,31.72
108,-3750.3981004999996,32.21
109,-3781.40263,33.06
110,-3816.0513535,32.35
111,-3822.3945615,32.11
112,-3700.8444135000004,33.43
113,-3845.060503,32.69
114,-3814.3185234999996,32.62
115,-3845.0158695,32.18
116,-3800.721059,32.95
117,-3701.319629,33.2
118,-3915.7205845000003,33.06
119,-3731.014034,32.31
120,-3830.1922965,32.63
121,-3817.461247,32.87
122,-3794.2597035,33.07
123,-3756.9749779999997,33.66
124,-3677.8450334999998,31.59
125,-3663.8091105,32.58
126,-3655.121331,33.15
127,-3706.5522505,32.63
128,-3736.5013289999997,31.89
129,-3801.550717,32.84
130,-3731.691413,32.9
131,-3729.9664595,33.13
132,-3800.2169630000003,32.69
133,-3825.1749659999996,32.77
134,-3791.920383,32.73
135,-3818.170132,32.36
136,-3715.2846634999996,31.83
137,-3751.671468,33.04
138,-3805.3235605,32.04
139,-3762.562042,32.02
140,-3714.4917625,32.18
141,-3763.790776,32.61
142,-3792.8051765,32.98
143,-3682.8387345,32.78
144,-3701.1122145,32.13
145,-3769.986956,31.53
146,-3769.881936,32.1
147,-3758.7891984999997,32.93
148,-3772.097858,33.31
149,-3797.7568695,33.07
150,-3851.939313,32.79
151,-3715.4054364999997,33.02
152,-3779.0948155,32.11
153,-3819.99748,31.85
154,-3857.988465,32.24
155,-3789.8961225,31.98
156,-3769.8320515,32.03
157,-3783.6894405,32.4
158,-3832.563123,32.71
159,-3835.293643,32.64
160,-3819.6902965000004,32.2
161,-3755.3025344999996,33.89
162,-3752.4354885000002,33.81
163,-3802.705937,32.85
164,-3768.416907,32.99
165,-3762.1183324999997,32.53
166,-3824.1956545,33.17
167,-3844.6377975,32.4
168,-3821.798573,33.39
169,-3820.7720025,32.47
170,-3801.3800595000002,31.92
171,-3853.945195,32.83
172,-3943.968339,32.89
173,-3850.0121959999997,32.91
174,-3896.4179085,34.19
175,-3869.2387325000004,34.42
176,-3929.5569695,33.64
177,-3982.5973205,33.11
178,-3918.8501804999996,34.12
179,-3849.786403,34.15
180,-3832.0196444999997,33.77
181,-3921.2315089999997,34.02
182,-3903.1286865,33.66
183,-3910.640242,32.65
184,-3913.801344,32.37
185,-3889.8541585000003,32.96
186,-3884.9234695,34.05
187,-3818.243646,33.16
188,-3849.2376735,32.2
189,-3896.1868645,32.44
190,-3834.2303155,32.6
191,-3864.079625,32.75
192,-3847.2580465,32.46
193,-3752.9238315000002,32.97
194,-3653.9661109999997,32.16
195,-3815.9332059999997,32.64
196,-3706.507617,31.81
197,-3709.0937345,32.39
198,-3715.0614960000003,32.4
199,-3767.8786795,32.66
200,-3815.208568,32.64
201,-3870.5829885,33.51
202,-3854.4519165,33.02
203,-3788.91156,32.71
204,-3723.085024,32.74
205,-3776.555957,33.31
206,-3802.5195264999998,32.6
207,-3875.4034064999996,33.66
208,-3818.7871245,32.99
209,-3806.1794735,32.29
210,-3791.526558,32.94
211,-3723.69414,31.94
212,-3781.5522835,32.38
213,-3736.7638789999996,32.86
214,-3710.582393,33.78
215,-3691.0828045,33.18
216,-3696.0765055,33.73
217,-3658.0435125,32.49
218,-3692.0174825,33.56
219,-3754.0632985,32.8
