model,Gsolv,timing
0,-19693.3005155,33.56
1,-19789.585477,34.05
2,-19573.2626555,35.74
3,-19633.1660635,34.77
4,-19952.9047045,34.94
5,-20006.3703865,34.54
6,-19689.5355485,34.25
7,-19605.915999,32.99
8,-19712.658327,33.78
9,-19703.74738,35.03
10,-19794.2299865,33.17
11,-19719.1511885,33.55
12,-19553.6344175,33.93
13,-19514.4987145,33.66
14,-19484.843692,33.48
15,-19668.190233499998,34.04
16,-19469.0040505,34.41
17,-19859.056206999998,35.11
18,-19620.46652,34.64
19,-19741.874891,33.32
20,-19733.546805,34.03
21,-19846.7294845,34.63
22,-19909.0956115,35.29
23,-19667.699265,34.25
24,-19723.401873,34.74
25,-19678.5662095,35.4
26,-19689.265122,35.13
27,-19917.9120405,35.48
28,-19805.081178,34.21
29,-19810.426696,34.35
30,-19711.723649,34.57
31,-19849.1344425,33.82
32,-19519.2298655,34.43
33,-19773.701202,34.46
34,-20119.3561535,34.6
35,-20052.224744,34.04
36,-19649.8537415,33.84
37,-19873.291667999998,33.85
38,-19669.621131,33.84
39,-19831.908537,34.31
40,-19655.464435,33.93
41,-19897.567041,33.67
42,-19499.184173,33.71
43,-19389.047073499998,32.72
44,-19831.099883,34.05
45,-19709.554986,33.48
46,-19826.935840000002,32.95
47,-19714.687838499998,33.33
48,-20408.331811,33.75
49,-20314.506943,33.52
50,-19988.9055605,33.76
51,-20076.731161,33.39
52,-20335.019974500003,34.7
53,-20419.736983000003,35.07
54,-20239.905986,33.24
55,-20154.9474315,32.63
56,-20046.448644,32.69
57,-20071.207109,32.31
58,-20094.285254000002,32.87
59,-19685.710195,33.86
60,-19590.3179035,33.55
61,-19666.1633475,33.41
62,-19666.4941605,34.04
63,-19663.1755285,33.79
64,-19643.423892,33.58
65,-19823.060602,33.26
66,-19846.044229,32.98
67,-19893.245468,33.64
68,-19869.2090155,34.06
69,-19825.9145205,32.59
70,-19609.4262925,33.47
71,-19517.956498,33.52
72,-19534.5312795,32.87
73,-19568.644401,31.88
74,-19290.4280425,32.8
75,-19428.369187,32.56
76,-19820.356337,32.73
77,-19719.831193,33.6
78,-19639.4672635,33.73
79,-19429.324869,33.91
80,-19594.542333,32.69
81,-19490.6696765,32.77
82,-19854.650618,32.53
83,-19755.1730485,33.71
84,-19624.205232,34.0
85,-19611.833876,34.05
86,-19546.4773045,33.69
87,-19540.1288455,33.46
88,-19594.836389,33.16
89,-19556.913667,34.14
90,-19555.999993,33.63
91,-19660.631418999998,33.28
92,-19476.0981515,33.52
93,-19605.774222,33.61
94,-20002.5161525,32.58
95,-19410.5551695,34.01
96,-19361.38218,32.32
97,-19556.588105,33.02
98,-19665.9690605,34.44
99,-19738.708538,34.1
100,-19501.284573,34.04
101,-19707.310183499998,34.38
102,-19963.4592145,33.45
103,-20048.433522,33.35
104,-19913.582591,34.49
105,-19537.2723015,32.7
106,-19602.765399,33.95
107,-19768.568349499998,32.7
108,-19580.1992265,32.48
109,-19402.030171,33.94
110,-19543.4894855,33.52
111,-19549.851072,31.29
112,-19386.227286499998,30.74
113,-19828.797319499998,31.35
114,-19427.802078999997,30.82
115,-19341.7775715,30.7
116,-19294.5448265,30.7
117,-19322.482772,31.17
118,-19078.2613875,31.77
119,-19423.7666855,31.8
120,-19293.1533115,32.33
121,-19272.724296,31.8
122,-19345.581921,32.97
123,-19297.37249,33.35
124,-19398.61177,32.44
125,-19182.706403,32.13
126,-19370.1539755,32.04
127,-19426.5864725,32.47
128,-19662.8946,32.42
129,-19024.929605999998,33.23
130,-19135.2872475,33.82
131,-18746.878654,33.43
132,-19492.195092,32.54
133,-19242.667572000002,32.96
134,-19404.0439295,32.35
135,-19344.3768165,31.84
136,-19634.392172,31.47
137,-19389.871480499998,33.32
138,-19337.9810985,32.53
139,-19271.5506975,32.12
140,-19133.357505,32.1
141,-19449.5123385,32.58
142,-19504.4798065,31.55
143,-18921.8183445,31.92
144,-19161.434602,31.32
145,-19103.6631,31.17
146,-19234.531147499998,31.54
147,-18688.978502500002,30.82
148,-18654.3061495,31.51
149,-19192.848709500002,32.02
150,-19456.278252,32.08
151,-19192.021677,31.3
152,-19050.89055,31.35
153,-18946.495419000003,32.2
154,-19129.5479045,32.5
155,-19330.185989,32.35
156,-19250.1581235,31.87
157,-19079.713289,32.78
158,-19257.564659,31.91
159,-18984.486404,32.81
160,-18784.060985,32.71
161,-19056.314833,33.01
162,-18778.8441165,32.96
163,-18883.7170885,32.84
164,-18958.835269,33.34
