model,Gsolv,timing
0,-25.735151,0.05
1,-25.645884000000002,0.07
2,-25.884804499999998,0.08
3,-26.2051155,0.07
4,-26.449286999999998,0.06
5,-25.553991500000002,0.06
6,-25.504107,0.07
7,-26.4886695,0.06
8,-26.386275,0.08
9,-25.7430275,0.08
10,-25.7010195,0.06
11,-25.611752499999998,0.07
12,-25.808665,0.04
13,-25.93994,0.07
14,-26.081717,0.07
15,-26.766972499999998,0.09
16,-25.5487405,0.07
17,-25.882179,0.08
18,-27.0977855,0.06
19,-26.6567015,0.06
20,-26.848363000000003,0.07
21,-25.427967499999998,0.07
22,-26.346892500000003,0.06
23,-26.5306775,0.08
24,-26.155231,0.07
25,-25.787660999999996,0.07
26,-26.969136,0.05
27,-25.9898245,0.06
28,-25.0761505,0.06
29,-26.1526055,0.05
30,-26.1316015,0.08
31,-25.388585,0.07
32,-26.3994025,0.07
33,-26.0685895,0.06
34,-26.052836499999998,0.06
35,-25.9320635,0.07
36,-26.735466499999998,0.06
37,-26.1421035,0.07
38,-24.9238715,0.07
39,-26.294382499999998,0.06
40,-26.2733785,0.06
41,-25.745653,0.09
42,-26.223494000000002,0.07
43,-25.714147,0.06
44,-25.8953065,0.08
45,-25.782410000000002,0.05
46,-25.769282500000003,0.07
47,-25.9740715,0.07
48,-25.960943999999998,0.05
49,-25.7587805,0.07
50,-25.498856,0.06
51,-26.1421035,0.06
52,-25.666888,0.07
53,-26.451912500000002,0.05
54,-27.278945,0.06
55,-26.9402555,0.07
56,-26.236621500000002,0.06
57,-25.7167725,0.07
58,-26.060713000000003,0.05
59,-25.960943999999998,0.07
60,-25.6485095,0.07
61,-25.971446,0.07
62,-25.698394,0.06
63,-25.4647245,0.05
64,-26.260251,0.08
65,-26.302259000000003,0.07
66,-25.9898245,0.08
67,-25.1339115,0.05
68,-25.824417999999998,0.06
69,-25.8638005,0.06
70,-25.7062705,0.06
71,-26.210366500000003,0.06
72,-26.139478,0.07
73,-26.4729165,0.06
74,-26.076466,0.06
75,-25.522485500000002,0.08
76,-25.9583185,0.06
77,-26.2313705,0.06
78,-26.344267,0.06
79,-25.884804499999998,0.06
80,-26.002952,0.08
81,-25.483103,0.09
82,-25.981948,0.06
83,-26.029207,0.07
84,-26.575311000000003,0.05
85,-26.123725,0.06
86,-25.997701,0.07
87,-25.1864215,0.07
88,-25.897931999999997,0.06
89,-25.522485500000002,0.05
90,-25.997701,0.07
91,-26.3311395,0.07
92,-26.6619525,0.08
93,-25.99245,0.05
94,-26.2261195,0.07
95,-26.2418725,0.07
96,-25.724649,0.07
97,-26.41253,0.07
98,-25.299318,0.07
99,-26.2681275,0.07
100,-26.88512,0.06
101,-26.407279,0.07
102,-26.3311395,0.07
103,-27.3130765,0.06
104,-26.1263505,0.08
105,-26.0790915,0.06
106,-26.176235,0.07
107,-26.055462000000002,0.07
108,-25.748278499999998,0.06
109,-26.0265815,0.06
110,-26.233995999999998,0.06
111,-25.7115215,0.08
112,-25.118158500000003,0.08
113,-26.0370835,0.08
114,-26.459789,0.05
115,-26.654076,0.08
116,-25.393836,0.06
117,-25.5802465,0.07
118,-25.840171,0.08
119,-25.1864215,0.07
120,-26.969136,0.08
121,-25.735151,0.05
122,-25.1496645,0.06
123,-25.525111,0.06
124,-25.5854975,0.07
125,-26.483418500000003,0.05
126,-26.0160795,0.07
127,-26.086968000000002,0.06
128,-26.9560085,0.07
129,-25.5487405,0.07
130,-26.4046535,0.08
131,-26.2733785,0.09
132,-26.5779365,0.07
133,-26.084342499999998,0.08
134,-25.9950755,0.07
135,-26.0580875,0.08
136,-26.071215,0.07
137,-26.1053465,0.08
138,-25.091903499999997,0.07
139,-26.0790915,0.06
140,-26.181486,0.09
141,-25.364955499999997,0.07
142,-25.892681,0.05
143,-26.157856499999998,0.07
144,-26.6777055,0.06
145,-26.071215,0.08
146,-25.619629,0.07
147,-25.514608999999997,0.07
148,-25.664262500000003,0.06
149,-26.047585499999997,0.06
150,-26.228745,0.08
151,-25.911059499999997,0.06
152,-25.530362,0.05
153,-26.197239000000003,0.05
154,-26.5779365,0.06
155,-26.4361595,0.06
156,-25.942565499999997,0.07
157,-26.3048845,0.07
158,-26.596315,0.07
159,-25.8532985,0.06
160,-25.522485500000002,0.07
161,-25.5382385,0.05
162,-26.076466,0.07
163,-26.307509999999997,0.07
164,-26.14998,0.07
165,-26.580561999999997,0.06
166,-26.039709,0.05
167,-27.407594500000002,0.07
168,-26.197239000000003,0.07
169,-25.9950755,0.05
170,-25.798163,0.06
171,-26.753845,0.07
172,-26.123725,0.06
173,-25.8480475,0.08
174,-25.93994,0.06
175,-24.7295845,0.05
176,-25.593374,0.05
177,-25.934689,0.07
178,-26.4991715,0.07
179,-26.5096735,0.06
180,-26.073840500000003,0.07
181,-25.501481499999997,0.07
182,-26.766972499999998,0.07
183,-25.367581,0.07
184,-26.0003265,0.07
185,-25.774533499999997,0.06
186,-25.803414,0.06
187,-25.5802465,0.08
188,-26.41253,0.07
189,-26.207741,0.07
190,-26.081717,0.07
191,-26.420406500000002,0.07
192,-25.7430275,0.07
193,-26.1526055,0.07
194,-26.1526055,0.07
195,-26.123725,0.07
196,-25.9688205,0.1
197,-25.189047,0.06
198,-26.3941515,0.05
199,-25.8427965,0.07
200,-26.396777,0.07
201,-26.255,0.07
202,-26.4781675,0.07
203,-26.5726855,0.06
204,-25.420091,0.07
205,-25.336075,0.06
206,-26.5149245,0.05
207,-25.5697445,0.07
208,-27.664893499999998,0.06
209,-25.396461499999997,0.08
210,-26.7512195,0.07
211,-26.1158485,0.07
212,-25.918936000000002,0.08
213,-25.735151,0.06
214,-26.549056,0.08
215,-25.897931999999997,0.06
216,-26.8089805,0.08
217,-26.2576255,0.06
218,-26.0948445,0.09
219,-25.446346,0.06
220,-25.8953065,0.06
221,-26.407279,0.08
222,-26.325888499999998,0.07
223,-25.740402,0.06
224,-26.483418500000003,0.07
225,-26.073840500000003,0.06
226,-26.5044225,0.08
227,-25.1391625,0.06
228,-25.945191,0.07
229,-26.294382499999998,0.07
230,-26.3311395,0.07
231,-26.050211,0.08
232,-26.7984785,0.06
233,-26.084342499999998,0.07
234,-26.184111499999997,0.06
235,-26.155231,0.07
236,-25.456848,0.07
237,-26.428283,0.06
238,-26.6356975,0.09
239,-26.160482000000002,0.07
240,-26.593689500000004,0.06
241,-26.0370835,0.07
242,-26.593689500000004,0.06
243,-25.5802465,0.09
244,-26.357394499999998,0.06
245,-26.617319,0.07
246,-26.0108285,0.06
247,-26.0318325,0.07
248,-25.430593000000002,0.08
249,-26.543805,0.06
250,-26.244498,0.08
251,-26.853613999999997,0.06
252,-25.404338000000003,0.06
253,-25.8375455,0.06
254,-27.0400245,0.06
255,-26.407279,0.07
256,-25.929437999999998,0.08
257,-27.3445825,0.05
258,-26.1683585,0.07
259,-26.034457999999997,0.07
260,-26.184111499999997,0.06
261,-26.735466499999998,0.07
262,-26.402028,0.08
263,-26.9350045,0.04
264,-26.2628765,0.06
265,-26.228745,0.09
266,-26.2576255,0.09
267,-26.339015999999997,0.1
268,-26.4151555,0.08
269,-27.029522500000002,0.05
270,-26.276004,0.06
271,-26.598940499999998,0.09
272,-25.963569500000002,0.08
273,-25.690517500000002,0.08
274,-26.703960499999997,0.07
275,-25.315071,0.06
276,-25.827043500000002,0.06
277,-26.806355,0.08
278,-25.987199,0.09
279,-26.286506,0.08
280,-25.9793225,0.08
281,-26.042334500000003,0.08
282,-26.5621835,0.07
283,-25.4332185,0.07
284,-25.966195,0.06
285,-26.617319,0.09
286,-26.102721,0.1
287,-26.4099045,0.08
288,-26.2261195,0.08
289,-26.2471235,0.07
290,-26.0790915,0.07
291,-27.152921000000003,0.08
292,-26.5779365,0.07
293,-26.3783985,0.06
294,-26.081717,0.07
295,-26.617319,0.06
296,-25.477852000000002,0.09
297,-26.381024,0.09
298,-26.055462000000002,0.07
299,-26.457163499999997,0.07
300,-26.071215,0.07
301,-26.315386500000002,0.06
302,-26.507048,0.07
303,-26.1053465,0.08
304,-25.553991500000002,0.07
305,-26.118474,0.06
306,-25.609127,0.08
307,-26.297008,0.06
308,-25.892681,0.07
309,-26.039709,0.08
310,-26.233995999999998,0.08
311,-26.457163499999997,0.09
312,-26.717087999999997,0.08
313,-25.99245,0.05
314,-26.2523745,0.07
315,-25.325573,0.07
316,-26.144728999999998,0.06
317,-25.7167725,0.06
318,-25.254684500000003,0.07
319,-26.4414105,0.09
320,-26.9927655,0.06
321,-26.8877455,0.08
322,-26.454538,0.06
323,-25.6800155,0.08
324,-26.420406500000002,0.07
325,-25.2966925,0.07
