model,Gsolv,timing
0,-50.556627999999996,0.08
1,-51.5726965,0.05
2,-50.351839,0.07
3,-51.14474,0.08
4,-50.341337,0.08
5,-50.8323055,0.08
6,-50.5172455,0.07
7,-50.430603999999995,0.05
8,-50.5067435,0.06
9,-51.727601,0.08
10,-53.8831365,0.07
11,-51.19725,0.06
12,-51.010839499999996,0.08
13,-51.139489,0.07
14,-51.675091,0.07
15,-50.5645045,0.04
16,-50.714158,0.06
17,-52.058414,0.06
18,-52.449613500000005,0.06
19,-51.774860000000004,0.07
20,-52.762048,0.07
21,-51.887756499999995,0.06
22,-50.908445,0.05
23,-51.8772545,0.06
24,-49.855619499999996,0.07
25,-51.3994135,0.08
26,-50.4752375,0.08
27,-49.469671000000005,0.06
28,-52.252701,0.06
29,-50.6432695,0.07
30,-51.412541,0.07
31,-51.9717725,0.06
32,-53.728232,0.05
33,-49.679711000000005,0.08
34,-50.840182,0.07
35,-51.7249755,0.08
36,-53.08761,0.08
37,-51.157867499999995,0.06
38,-51.3626565,0.06
39,-53.27927149999999,0.07
40,-52.047912000000004,0.07
41,-51.1631185,0.07
42,-52.223820499999995,0.06
43,-50.168054,0.05
44,-50.2284405,0.07
45,-50.926823500000005,0.07
46,-55.366544,0.06
47,-52.51,0.06
48,-52.1293025,0.07
49,-50.887441,0.07
50,-52.1818125,0.07
51,-51.774860000000004,0.07
52,-51.9875255,0.08
53,-51.496556999999996,0.06
54,-51.5674455,0.06
55,-51.107983000000004,0.06
56,-53.36853850000001,0.07
57,-51.023967,0.05
58,-51.081728000000005,0.07
59,-52.64127499999999,0.07
60,-52.0085295,0.06
61,-51.9350155,0.07
62,-52.488996,0.07
63,-52.4391115,0.07
64,-52.14243,0.07
65,-50.924198,0.06
66,-52.320964000000004,0.05
67,-51.4886805,0.07
68,-52.2815815,0.09
69,-51.465051,0.06
70,-51.1001065,0.06
71,-52.137179,0.07
72,-51.050222,0.07
73,-52.804056,0.07
74,-51.890382,0.05
75,-52.0872945,0.06
76,-52.5966415,0.05
77,-50.750915,0.08
78,-52.467991999999995,0.08
79,-53.7886185,0.07
80,-52.074167,0.07
81,-53.253016499999994,0.08
82,-51.693469500000006,0.07
83,-52.431235,0.06
84,-52.601892500000005,0.05
85,-52.173936000000005,0.07
86,-52.504749,0.07
87,-51.738103,0.07
88,-51.383660500000005,0.06
89,-52.9117015,0.08
90,-52.5546335,0.06
91,-50.735162,0.06
92,-51.223504999999996,0.06
93,-51.289142500000004,0.07
94,-53.295024500000004,0.05
95,-51.5464415,0.1
96,-51.255011,0.07
97,-51.194624499999996,0.06
98,-51.4886805,0.06
99,-51.136863500000004,0.08
100,-53.040351,0.08
101,-52.966837000000005,0.07
102,-51.887756499999995,0.05
103,-50.173305,0.06
104,-52.074167,0.08
105,-51.75648150000001,0.08
106,-51.958645,0.05
107,-51.486055,0.06
108,-51.7984895,0.06
109,-51.0423455,0.07
110,-51.0265925,0.07
111,-51.102731999999996,0.08
112,-50.535624000000006,0.06
113,-50.87431349999999,0.06
114,-50.5435005,0.05
115,-51.570071,0.08
116,-52.1503065,0.08
117,-51.914011499999994,0.05
118,-51.223504999999996,0.06
119,-50.052532,0.07
120,-51.1263615,0.06
121,-52.979964499999994,0.07
122,-52.205442,0.07
123,-51.703971499999994,0.07
124,-53.1007375,0.08
125,-52.3655975,0.07
126,-52.24745,0.06
127,-52.901199500000004,0.07
128,-51.811617000000005,0.06
129,-51.549066999999994,0.07
130,-50.88219,0.08
131,-52.026908,0.07
132,-50.8323055,0.07
133,-51.774860000000004,0.05
134,-51.002962999999994,0.07
135,-52.3340915,0.07
136,-51.640959499999994,0.06
137,-53.134868999999995,0.06
138,-52.699036,0.07
139,-52.074167,0.07
140,-50.6590225,0.05
141,-51.465051,0.06
142,-52.226446,0.08
143,-51.039719999999996,0.07
144,-50.75616599999999,0.07
145,-50.5487515,0.07
146,-50.640644,0.06
147,-51.3469035,0.06
148,-50.729910999999994,0.06
149,-51.2313815,0.06
150,-51.312771999999995,0.06
151,-51.8509995,0.07
152,-52.257952,0.07
153,-51.3101465,0.05
154,-51.236632500000006,0.09
155,-50.971457,0.07
156,-53.2320125,0.07
157,-52.000653,0.07
158,-52.4811195,0.06
159,-51.8142425,0.07
160,-52.042660999999995,0.06
161,-50.624891,0.07
162,-54.657659,0.06
163,-52.137179,0.08
164,-51.289142500000004,0.07
165,-53.4105465,0.06
166,-50.808676000000006,0.07
167,-52.657028000000004,0.07
168,-51.9455175,0.06
169,-50.9688315,0.08
170,-53.29765,0.06
171,-52.4286095,0.07
172,-52.685908500000004,0.05
173,-51.226130500000004,0.06
174,-52.21331849999999,0.07
175,-51.470302,0.08
176,-52.856566,0.06
177,-52.5546335,0.07
178,-50.2126875,0.08
179,-51.262887500000005,0.07
180,-51.40729,0.08
181,-50.609138,0.07
182,-52.4181075,0.05
183,-52.706912499999994,0.08
184,-52.2448245,0.07
185,-50.7482895,0.09
186,-50.015775000000005,0.05
187,-52.2605775,0.06
188,-53.607459,0.06
189,-53.082359,0.07
190,-51.234007,0.06
191,-53.9776545,0.06
192,-52.709538,0.07
193,-52.3393425,0.07
194,-52.040035499999995,0.05
195,-51.367907499999994,0.08
196,-51.732852,0.08
197,-52.6176455,0.06
198,-52.0347845,0.08
199,-53.226761499999995,0.07
200,-52.54938250000001,0.05
201,-51.383660500000005,0.06
202,-51.475553,0.06
203,-51.580573,0.06
204,-52.953709499999995,0.07
205,-52.8171835,0.05
206,-52.54938250000001,0.06
207,-50.173305,0.08
208,-51.866752500000004,0.06
209,-51.977023499999994,0.07
210,-50.5487515,0.06
211,-51.157867499999995,0.08
212,-50.9950865,0.08
213,-51.543816,0.07
214,-52.4653665,0.09
215,-53.379040499999995,0.05
216,-51.113234,0.06
217,-51.2943935,0.07
218,-52.5808885,0.07
219,-51.87988,0.08
220,-52.184438,0.08
221,-52.116175,0.07
222,-51.4624255,0.06
223,-51.0475965,0.08
224,-50.456858999999994,0.06
225,-52.951083999999994,0.08
226,-51.312771999999995,0.08
227,-51.3731585,0.07
228,-50.735162,0.07
229,-50.315082000000004,0.07
230,-50.5329985,0.07
231,-51.803740499999996,0.07
232,-50.800799500000004,0.08
233,-52.4811195,0.07
234,-54.615651,0.08
235,-52.0925455,0.06
236,-49.855619499999996,0.06
237,-52.2448245,0.05
238,-50.866437,0.06
239,-52.672781,0.07
240,-52.105672999999996,0.07
241,-52.1660595,0.07
242,-52.1923145,0.06
243,-51.9455175,0.09
244,-51.48342950000001,0.05
245,-52.567761000000004,0.08
246,-51.654087000000004,0.07
247,-51.995402,0.08
248,-51.622581,0.06
249,-52.683283,0.06
250,-52.5178765,0.07
251,-52.3603465,0.07
252,-53.121741500000006,0.07
253,-50.903194,0.07
254,-51.370533,0.04
255,-53.7098535,0.07
256,-53.623212,0.08
257,-51.4886805,0.05
258,-53.7571125,0.08
259,-51.5674455,0.08
260,-51.034469,0.08
261,-52.152932,0.06
262,-51.0896045,0.04
263,-52.0610395,0.06
264,-52.328840500000005,0.07
265,-53.2477655,0.05
266,-51.559568999999996,0.07
267,-50.7482895,0.07
268,-51.816868,0.07
269,-51.102731999999996,0.06
270,-51.7354775,0.07
271,-51.3626565,0.07
272,-51.701346,0.06
273,-51.538565000000006,0.06
274,-51.12111049999999,0.06
275,-51.5516925,0.06
276,-52.378724999999996,0.09
277,-50.976707999999995,0.05
278,-51.30226999999999,0.07
279,-52.305211,0.07
280,-51.9980275,0.05
281,-51.562194500000004,0.06
282,-53.218885,0.07
283,-52.3235895,0.06
284,-51.6304575,0.07
285,-50.2126875,0.06
286,-52.45749,0.07
287,-50.4542335,0.08
288,-51.9192625,0.08
289,-52.91432699999999,0.06
290,-51.2051265,0.05
291,-52.523127499999994,0.06
292,-51.8772545,0.07
293,-52.074167,0.06
294,-51.811617000000005,0.08
295,-51.060724,0.08
296,-51.386286,0.07
297,-50.341337,0.07
298,-51.30226999999999,0.07
299,-54.0144115,0.08
300,-50.8323055,0.08
301,-52.625522,0.07
302,-52.231697,0.07
303,-52.042660999999995,0.06
304,-52.48637049999999,0.08
305,-50.582882999999995,0.05
306,-51.5411905,0.07
307,-53.008845,0.07
308,-52.383976000000004,0.08
309,-50.829679999999996,0.07
310,-54.332097000000005,0.08
311,-53.6730965,0.07
312,-53.371164,0.07
313,-52.6386495,0.07
314,-51.102731999999996,0.06
315,-52.877570000000006,0.07
316,-52.189689,0.06
