model,Gsolv,timing
0,-3787.8114755,30.14
1,-3774.424051,29.67
2,-3783.4321415,29.72
3,-3796.346976,29.94
4,-3755.452188,29.13
5,-3750.5766345,29.84
6,-3790.6155095000004,28.97
7,-3690.623342,29.46
8,-3760.487897,29.56
9,-3741.7129465000003,28.98
10,-3748.940948,29.13
11,-3727.501115,29.73
12,-3681.5259845,29.41
13,-3770.160239,29.99
14,-3817.4586215000004,29.74
15,-3735.77144,30.43
16,-3839.1032435,31.45
17,-3907.9911125,31.05
18,-3767.545241,31.73
19,-3785.566673,30.81
20,-3881.5759569999996,30.42
21,-3924.8599499999996,29.65
22,-3972.9617355,30.81
23,-3902.1178689999997,30.26
24,-3931.7571385,30.96
25,-3880.22645,31.47
26,-3991.815451,31.68
27,-3951.288233,31.73
28,-3916.6237564999997,31.18
29,-3879.5674495,31.61
30,-3894.2019864999997,31.44
31,-3851.0860255000002,32.06
32,-3861.6772924999996,31.39
33,-3796.746052,32.29
34,-3813.8564355,31.9
35,-3781.638925,32.65
36,-3739.951236,31.45
37,-3810.1571059999997,31.06
38,-3879.727605,31.89
39,-3856.1243600000003,33.04
40,-3806.061326,30.69
41,-3774.6130869999997,31.77
42,-3788.470476,32.36
43,-3869.0129395000004,32.34
44,-3798.998731,31.83
45,-3827.1624695,32.09
46,-3813.9640809999996,32.46
47,-3886.086566,31.11
48,-3792.508495,30.7
49,-3777.5063880000002,30.61
50,-3784.5033455,30.1
51,-3807.741646,30.05
52,-3796.0292905,30.33
53,-3794.6456519999997,30.8
54,-3791.8678729999997,30.57
55,-3780.8801555,30.49
56,-3847.1320225,31.82
57,-3795.8297525,30.63
58,-3765.9961959999996,30.41
59,-3833.886375,31.17
60,-3920.937453,31.07
61,-3910.5693535,31.18
62,-3913.8407264999996,31.84
63,-3931.7755169999996,31.35
64,-3869.5695455,31.55
65,-3940.7100935,30.82
66,-3853.031521,31.71
67,-3936.5302975,32.23
68,-3900.5084375,32.01
69,-3953.4962785,30.73
70,-3937.7222745000004,30.82
71,-3902.9711565000002,31.09
72,-3948.715243,32.11
73,-3858.8259995,30.42
74,-3851.114906,31.63
75,-3903.8612009999997,30.85
76,-3838.1790675,30.65
77,-3832.368836,30.81
78,-3869.152091,30.76
79,-3846.4835239999998,31.18
80,-3908.5057105,30.71
81,-3952.3463094999997,31.03
82,-3894.960756,30.38
83,-3812.4622950000003,30.28
84,-3825.8497195,30.39
85,-3849.2954345,29.52
86,-3855.8801885,30.19
87,-3953.1444615,29.93
88,-3840.9200895,29.79
89,-3910.3540624999996,30.16
90,-3840.8229460000002,29.73
91,-3880.4863745000002,31.08
92,-3888.8984765,30.16
93,-3926.1648235000002,30.57
94,-3857.3399664999997,30.31
95,-3893.0756469999997,29.75
96,-3782.9648025,30.89
97,-3789.1609824999996,30.33
98,-3864.883028,29.87
99,-3811.6982745,29.51
100,-3864.5390875,30.7
101,-3828.7613990000004,30.51
102,-3878.5382535000003,30.53
103,-3902.5090684999996,29.84
104,-3860.3172835,30.3
105,-3904.559584,30.48
106,-3870.1077729999997,30.3
107,-3999.8967399999997,30.26
108,-3893.3329460000004,29.21
109,-3924.954468,29.62
110,-3807.095773,29.09
111,-3761.874161,29.5
112,-3739.1872154999996,29.59
113,-3720.3886355000004,29.41
114,-3780.2027765,29.66
115,-3762.1288345000003,29.39
116,-3796.5281355,30.23
117,-3702.674387,28.57
118,-3780.205402,29.46
119,-3755.4443115,29.3
120,-3783.5345359999997,28.51
121,-3748.2556925,29.06
122,-3723.8647975,29.26
123,-3745.4043995,29.2
124,-3715.371305,28.35
125,-3776.9839135,29.49
126,-3706.649394,28.9
127,-3727.4564815,29.34
128,-3764.4392745,29.8
129,-3703.0262040000002,28.99
130,-3674.7942025,28.64
131,-3794.5905165000004,30.07
132,-3726.7869790000004,29.44
133,-3714.247591,29.63
134,-3662.25744,29.89
135,-3713.8091325,29.68
136,-3639.7647814999996,29.44
137,-3706.1846805,29.09
138,-3633.4740835000002,29.98
139,-3595.858545,29.82
140,-3732.7547405,30.58
141,-3782.169276,29.43
142,-3720.9898749999998,30.63
143,-3661.2676265,30.21
144,-3657.8334725,29.88
145,-3660.808164,29.79
146,-3605.5571419999997,29.77
147,-3697.3551239999997,29.61
148,-3759.7054980000003,30.31
149,-3751.5323164999995,30.63
150,-3753.1653775,31.74
151,-3740.3581885000003,30.45
152,-3697.0453150000003,30.25
153,-3676.6950645,30.45
154,-3722.659693,30.67
155,-3673.7545045,29.66
156,-3691.6997969999998,30.29
157,-3684.73172,30.62
158,-3696.1631469999998,30.79
159,-3599.5867550000003,30.71
160,-3628.792817,30.74
161,-3666.852065,29.87
162,-3660.398586,29.69
163,-3728.7954865,30.02
164,-3642.1434845,30.14
165,-3711.275525,30.34
166,-3651.0911885,30.22
167,-3797.087367,29.92
168,-3713.265654,30.48
169,-3627.5562065000004,28.94
170,-3681.1085300000004,29.23
171,-3644.8372474999996,29.05
172,-3683.2115554999996,29.65
173,-3582.0956739999997,29.75
174,-3587.073622,28.69
175,-3619.2858815000004,30.29
176,-3572.3892005000002,29.99
177,-3666.4923715,29.3
178,-3626.277588,30.24
179,-3622.6517725000003,29.03
180,-3554.8141035000003,28.82
181,-3599.4318505,29.58
182,-3626.1174325,29.5
183,-3606.187262,30.28
184,-3578.0629059999997,30.09
185,-3581.9670244999998,30.15
186,-3661.6010650000003,31.18
187,-3624.9359575,30.53
188,-3689.8383175000004,30.22
189,-3677.4827145,29.91
190,-3676.8998535,29.31
191,-3649.65504,30.45
192,-3744.4802234999997,29.98
193,-3683.0566510000003,30.1
194,-3709.3877905,29.9
195,-3700.2668034999997,29.83
196,-3631.3421775,29.7
197,-3639.903933,30.36
198,-3664.762167,29.07
199,-3619.876619,29.04
200,-3656.11377,29.31
201,-3709.652966,28.8
202,-3690.0326045,29.97
203,-3644.918638,28.83
204,-3685.5928839999997,29.62
205,-3663.7329710000004,29.48
206,-3632.0615645,29.3
207,-3643.8946929999997,28.93
208,-3667.356161,29.77
209,-3771.1973114999996,29.7
210,-3663.297138,30.85
211,-3655.6254270000004,30.68
212,-3759.2617885,30.5
213,-3681.8594230000003,29.88
214,-3860.078363,30.23
215,-3713.7146145,30.18
216,-3726.1227275,30.7
217,-3815.5367555,29.86
218,-3727.0101465,29.25
219,-3708.2404469999997,29.55
220,-3718.8500925000003,28.84
221,-3714.3342325,28.82
222,-3706.623139,28.47
223,-3690.019477,29.46
224,-3698.5707305,28.12
225,-3648.7177365000002,29.29
226,-3589.672867,28.68
227,-3687.782551,29.17
228,-3709.7816155,29.6
229,-3783.8994805,29.82
230,-3791.053968,29.41
231,-3683.1065355,29.05
232,-3677.816153,29.4
233,-3683.68152,29.96
234,-3689.6020224999997,30.68
235,-3610.4379465,30.48
236,-3675.7,30.81
237,-3775.7709325,30.95
238,-3684.8892499999997,31.03
239,-3675.8706574999997,30.56
240,-3721.12115,31.34
241,-3645.1260525000002,30.85
242,-3702.4354665,31.26
243,-3658.7156405,30.53
244,-3702.63763,31.16
245,-3628.1863265,31.71
246,-3694.167767,30.85
247,-3705.5965684999996,30.93
248,-3658.9991945,29.24
249,-3679.0527635000003,29.61
250,-3678.467277,30.86
251,-3680.4626569999996,30.57
252,-3684.815736,31.34
253,-3645.669531,29.6
254,-3699.1115835,30.63
255,-3668.185819,31.18
256,-3688.9587749999996,31.87
257,-3683.844301,29.13
258,-3731.444616,28.98
259,-3731.1951935,29.89
260,-3752.700664,29.56
261,-3683.0566510000003,29.38
262,-3634.133084,30.05
263,-3656.791149,30.14
264,-3719.8425315000004,29.28
265,-3761.3149295,28.88
266,-3776.7108614999997,28.8
267,-3822.7778845,29.96
268,-3776.6872319999998,30.62
269,-3738.6201075,31.52
270,-3717.1067605,30.54
271,-3751.7371055,31.13
272,-3779.4098755,31.19
273,-3742.9626845,30.85
274,-3850.9442485,30.81
275,-3694.692867,31.28
276,-3735.7215555,32.2
277,-3678.7166995,32.24
278,-3759.4928325,31.86
279,-3696.3941910000003,31.64
280,-3703.7219615000004,31.55
281,-3572.475842,30.95
282,-3646.3574120000003,30.44
283,-3675.5818525,30.86
284,-3691.0407965,29.85
285,-3670.5146375000004,29.91
286,-3637.835039,30.21
287,-3606.0769910000004,30.17
288,-3627.44331,29.25
289,-3612.2337884999997,30.0
290,-3537.17862,30.71
291,-3662.0027665000002,31.53
292,-3569.5037760000005,29.37
293,-3654.1052624999998,29.99
294,-3633.0224975,29.88
295,-3669.036481,31.59
296,-3701.435151,31.02
297,-3729.2943314999998,30.58
298,-3682.489543,31.62
299,-3670.9084625,30.57
300,-3730.5782010000003,30.37
301,-3792.9390770000005,30.92
302,-3722.019071,30.25
303,-3682.3451405,30.34
304,-3695.0525605,30.44
305,-3709.5348185,30.1
306,-3735.4485035000002,30.81
307,-3721.3968275,31.14
308,-3699.833596,31.16
309,-3697.0951995,31.95
310,-3676.3301199999996,32.25
311,-3640.5655589999997,30.47
312,-3724.303256,31.59
313,-3622.4837405000003,30.35
314,-3696.6541155,30.47
315,-3707.6707135,30.89
316,-3756.2109575000004,30.68
317,-3760.8922239999997,30.44
318,-3736.994923,30.03
319,-3635.9893125000003,30.03
320,-3632.5026485000003,31.36
321,-3752.490624,31.65
322,-3749.9727694999997,30.7
323,-3782.0905110000003,32.7
324,-3788.7645319999997,30.7
325,-3767.954819,30.88
326,-3778.105002,31.21
327,-3756.680922,32.14
328,-3675.1250155,31.65
329,-3720.7614565,30.61
330,-3786.8741720000003,29.75
