model,Gsolv,timing
0,-3662.4149700000003,35.74
1,-3606.1846365,33.9
2,-3637.6958874999996,33.31
3,-3602.4091675,33.1
4,-3666.82581,34.48
5,-3562.2731489999996,34.33
6,-3656.381571,33.68
7,-3577.1964909999997,33.88
8,-3595.8848,33.81
9,-3596.9271234999997,33.85
10,-3610.214779,33.63
11,-3633.1695255,32.88
12,-3690.471063,33.78
13,-3625.9704045000003,33.21
14,-3575.6028125,33.15
15,-3591.5422230000004,33.35
16,-3538.7722985,33.53
17,-3533.6525734999996,33.83
18,-3473.2030615,32.98
19,-3694.0312409999997,33.78
20,-3609.4507585,33.1
21,-3601.251322,33.77
22,-3605.8406959999998,33.05
23,-3554.900745,33.62
24,-3607.1928285,33.3
25,-3572.72789,33.37
26,-3646.6094599999997,33.81
27,-3593.9288024999996,34.19
28,-3607.6391635,33.71
29,-3561.4356145,34.15
30,-3625.999285,32.94
31,-3636.68507,32.2
32,-3647.7357994999998,33.47
33,-3570.307179,33.42
34,-3577.8423639999996,32.49
35,-3603.2204469999997,32.86
36,-3635.151778,32.63
37,-3600.7393494999997,31.55
38,-3570.3124300000004,32.54
39,-3666.804806,32.65
40,-3658.2036679999997,33.47
41,-3615.387014,34.49
42,-3602.6979725,33.9
43,-3692.39818,33.61
44,-3636.7402055000002,33.42
45,-3537.614453,34.24
46,-3610.6532374999997,33.63
47,-3656.3841965,33.34
48,-3685.2804494999996,34.08
49,-3715.4264405,33.54
50,-3636.228233,33.26
51,-3729.969085,32.48
52,-3661.3437660000004,34.17
53,-3672.3288580000003,33.73
54,-3651.624165,34.05
55,-3661.900372,33.78
56,-3742.6738794999997,34.64
57,-3628.083932,34.18
58,-3708.0960445,33.91
59,-3655.1187055,34.42
60,-3592.5635425,35.18
61,-3717.2275335000004,34.97
62,-3662.2600655,34.47
63,-3672.2159615,34.16
64,-3670.9084625,34.18
65,-3742.8734175000004,34.68
66,-3711.2492700000003,32.24
67,-3784.337939,33.17
68,-3781.9093515,34.86
69,-3701.251366,34.81
70,-3718.7109410000003,34.47
71,-3789.8908715,35.37
72,-3733.686793,34.48
73,-3763.790776,35.43
74,-3623.158494,35.35
75,-3702.0363905,34.26
76,-3694.4854524999996,34.77
77,-3653.3937520000004,34.53
78,-3716.053935,35.32
79,-3703.703583,35.62
80,-3689.1583130000004,34.84
81,-3670.942594,34.61
82,-3623.421044,34.59
83,-3697.3656260000002,33.9
84,-3701.960251,35.18
85,-3746.4545995,33.67
86,-3709.243388,34.51
87,-3702.963192,33.98
88,-3729.5568814999997,34.21
89,-3725.542492,34.51
90,-3750.47424,34.18
91,-3731.3737275000003,33.73
92,-3753.3649155,33.3
93,-3661.9134995,32.08
94,-3643.2540710000003,33.6
95,-3723.5182314999997,35.07
96,-3745.7430889999996,34.25
97,-3712.2653385,35.02
98,-3716.563282,34.22
99,-3692.676483,34.4
100,-3631.7570065,34.17
101,-3619.214993,34.48
102,-3690.1297480000003,34.35
103,-3720.9373649999998,33.8
104,-3635.84491,33.85
105,-3711.2387679999997,34.82
106,-3662.714277,33.87
107,-3648.988163,33.43
108,-3670.947845,32.92
109,-3757.8020105,33.7
110,-3732.1456245000004,32.77
111,-3624.8519415,34.31
112,-3665.7624825,34.05
113,-3600.3140184999997,34.95
114,-3580.28933,34.2
115,-3604.207635,33.98
116,-3501.6346009999997,33.56
117,-3497.071482,33.8
118,-3592.0279405,33.2
119,-3569.6586804999997,33.13
