model,Gsolv,timing
0,-28.817487999999997,0.06
1,-29.928074499999997,0.06
2,-29.1981855,0.06
3,-28.7728545,0.06
4,-30.3534055,0.05
5,-30.056724,0.05
6,-29.253321000000003,0.06
7,-29.216564,0.07
8,-29.0354045,0.05
9,-28.6573325,0.07
10,-29.269074,0.07
11,-29.161428500000003,0.07
12,-28.8516195,0.06
13,-29.5289985,0.07
14,-29.3609665,0.06
15,-29.2611975,0.07
16,-29.521122000000002,0.06
17,-29.6287675,0.07
18,-28.224124999999997,0.07
19,-29.410851,0.06
20,-28.108603000000002,0.08
21,-28.2162485,0.07
22,-29.043281,0.06
23,-29.655022499999998,0.06
24,-28.575941999999998,0.08
25,-29.3452135,0.09
26,-28.9513885,0.08
27,-29.297954500000003,0.07
28,-28.4052845,0.07
29,-28.848993999999998,0.08
30,-28.308141,0.06
31,-28.218874000000003,0.08
32,-28.368527500000003,0.07
33,-28.134858,0.06
34,-29.059034,0.08
35,-28.880499999999998,0.08
36,-29.363591999999997,0.08
37,-29.563129999999997,0.08
38,-28.3895315,0.07
39,-29.2822015,0.05
40,-27.530993000000002,0.07
41,-29.371468500000002,0.07
42,-28.9251335,0.07
43,-28.780731,0.07
44,-29.011775000000004,0.08
45,-29.305831,0.06
46,-28.168989500000002,0.09
47,-28.906755,0.07
48,-29.347839,0.06
49,-29.518496499999998,0.08
50,-29.106293,0.07
51,-28.402659,0.08
52,-29.206062,0.07
53,-29.048531999999998,0.06
54,-29.190309,0.07
55,-29.080038000000002,0.09
56,-28.232001500000003,0.08
57,-28.82799,0.06
58,-29.190309,0.08
59,-29.3084565,0.07
60,-29.647146,0.06
61,-28.610073500000002,0.08
62,-29.571006500000003,0.09
63,-28.329144999999997,0.07
64,-29.095791,0.07
65,-29.038030000000003,0.07
66,-28.208372,0.07
67,-29.024902500000003,0.07
68,-29.2874525,0.07
69,-29.1824325,0.1
70,-28.838492000000002,0.09
71,-29.676026500000003,0.08
72,-28.5313085,0.08
73,-28.754476,0.08
74,-28.313392,0.09
75,-28.969767,0.08
76,-28.6573325,0.07
77,-30.4899315,0.06
78,-29.242819,0.07
79,-28.470921999999998,0.1
80,-27.8854355,0.07
81,-28.615324500000003,0.08
82,-28.8988785,0.08
83,-30.0383455,0.06
84,-28.6835875,0.07
85,-28.449918,0.08
86,-28.402659,0.08
87,-28.6258265,0.07
88,-28.565440000000002,0.06
89,-28.7623525,0.06
90,-29.190309,0.06
91,-30.119736,0.06
92,-28.0219615,0.08
93,-28.6363285,0.07
94,-28.549687,0.06
95,-28.5208065,0.07
96,-28.6468305,0.07
97,-28.701966000000002,0.07
98,-29.132548,0.07
99,-29.279576000000002,0.08
100,-29.5920105,0.08
101,-28.754476,0.08
102,-29.689154000000002,0.06
103,-30.468927500000003,0.08
104,-28.791233000000002,0.08
105,-28.452543499999997,0.07
106,-29.4239785,0.1
107,-28.589069499999997,0.08
108,-29.5237475,0.09
109,-29.581508499999998,0.09
110,-29.547377,0.05
111,-29.9123215,0.08
112,-29.137799,0.06
113,-28.539185,0.09
114,-29.6340185,0.09
115,-28.733472000000003,0.08
116,-29.623516499999997,0.07
117,-29.2034365,0.08
118,-29.038030000000003,0.06
119,-29.4922415,0.08
120,-28.7991095,0.06
121,-29.0616595,0.07
122,-29.479114,0.07
123,-29.757417,0.09
124,-29.0616595,0.07
125,-29.140424499999998,0.07
126,-29.413476499999998,0.06
127,-29.190309,0.07
128,-29.326835,0.06
129,-29.2244405,0.07
130,-28.728221,0.06
131,-30.2168795,0.07
132,-30.327150500000002,0.07
133,-28.129607,0.08
134,-29.053783,0.06
135,-29.823054499999998,0.08
136,-28.5733165,0.08
137,-29.463361,0.08
138,-28.869998000000002,0.08
139,-29.473862999999998,0.08
140,-29.153551999999998,0.07
141,-29.686528499999998,0.06
142,-29.479114,0.08
143,-29.494867,0.07
144,-29.4239785,0.07
145,-29.9858355,0.06
146,-29.494867,0.08
147,-28.896253,0.08
148,-30.033094499999997,0.09
149,-29.350464499999998,0.05
150,-29.400349,0.08
151,-29.143050000000002,0.07
152,-29.928074499999997,0.06
153,-29.9963375,0.07
154,-28.917257,0.08
155,-29.531623999999997,0.09
156,-29.143050000000002,0.07
157,-28.891002,0.08
158,-29.980584500000003,0.06
159,-29.6287675,0.06
160,-29.463361,0.08
161,-30.7839875,0.08
162,-29.19556,0.08
163,-30.067226,0.08
164,-29.090539999999997,0.09
165,-29.426603999999998,0.08
166,-29.363591999999997,0.05
167,-29.7285365,0.09
168,-30.004214,0.08
169,-29.452859,0.09
170,-30.098732000000002,0.07
171,-30.3796605,0.08
172,-29.263823,0.09
173,-29.4554845,0.09
174,-29.7547915,0.08
175,-28.694089499999997,0.07
176,-30.592325999999996,0.06
177,-30.471553,0.07
178,-28.3580255,0.07
179,-29.024902500000003,0.07
180,-28.998647499999997,0.07
181,-29.3032055,0.06
182,-29.103667499999997,0.08
183,-29.156177500000002,0.09
184,-29.059034,0.08
185,-29.032779,0.08
186,-29.0144005,0.08
187,-28.880499999999998,0.06
188,-29.0144005,0.06
189,-29.972708,0.07
190,-28.5523125,0.07
191,-29.266448500000003,0.08
192,-29.584134000000002,0.07
193,-29.001273,0.09
194,-29.8020505,0.08
195,-29.1246715,0.07
196,-29.8388075,0.08
197,-29.725911,0.08
198,-28.8778745,0.07
199,-29.542126,0.07
200,-29.332086,0.07
201,-29.683903,0.07
202,-28.560189,0.08
203,-30.0698515,0.08
204,-29.5552535,0.08
205,-28.665209,0.07
206,-28.8096115,0.06
207,-28.505053500000002,0.06
208,-28.402659,0.05
209,-28.680961999999997,0.05
210,-28.856870500000003,0.06
211,-28.242503499999998,0.07
212,-28.179491499999997,0.06
213,-28.620575499999998,0.05
214,-28.885751,0.08
215,-29.3032055,0.06
216,-28.967141499999997,0.08
217,-29.463361,0.07
218,-29.6970305,0.06
219,-29.1141695,0.06
220,-29.521122000000002,0.07
221,-29.507994500000002,0.07
222,-28.9198825,0.06
223,-29.589385,0.08
224,-29.786297499999996,0.06
225,-29.689154000000002,0.07
226,-30.424294,0.08
227,-30.468927500000003,0.07
228,-29.332086,0.08
229,-29.234942500000002,0.08
230,-29.526373000000003,0.05
231,-30.209003000000003,0.07
232,-30.279891499999998,0.06
233,-29.4974925,0.05
234,-28.712467999999998,0.09
235,-29.064285,0.08
236,-29.038030000000003,0.07
237,-28.893627499999997,0.06
238,-28.5418105,0.06
239,-28.242503499999998,0.07
240,-29.389847000000003,0.07
241,-28.9303845,0.05
242,-28.644205,0.08
243,-28.967141499999997,0.07
244,-28.67046,0.09
245,-28.583818500000003,0.07
246,-28.891002,0.07
247,-28.523432,0.08
248,-28.701966000000002,0.08
249,-28.6363285,0.07
250,-27.7384075,0.07
251,-29.998963,0.07
252,-28.7833565,0.05
253,-28.715093500000002,0.06
254,-29.258571999999997,0.08
255,-28.6783365,0.06
256,-28.675711,0.07
257,-29.0091495,0.06
258,-27.1240405,0.06
259,-28.5418105,0.08
260,-29.263823,0.08
261,-29.917572500000002,0.07
262,-29.358341,0.07
263,-29.101042,0.06
264,-28.9041295,0.07
265,-28.785982,0.05
266,-28.9828945,0.07
267,-29.468612,0.07
268,-30.366533,0.06
269,-28.478798500000003,0.07
270,-28.862121499999997,0.08
271,-29.368843,0.07
272,-28.922508,0.08
273,-30.077727999999997,0.06
274,-28.308141,0.06
275,-29.550002499999998,0.07
276,-28.4893005,0.06
277,-28.379029499999998,0.09
278,-28.329144999999997,0.07
279,-28.421037499999997,0.06
280,-29.4554845,0.06
281,-28.715093500000002,0.08
282,-28.927759000000002,0.07
283,-27.98783,0.07
284,-29.550002499999998,0.07
285,-29.1771815,0.07
286,-29.3924725,0.06
287,-27.641263999999996,0.08
288,-28.368527500000003,0.08
289,-29.0879145,0.08
290,-28.9776435,0.07
291,-29.610388999999998,0.06
292,-30.169620499999997,0.05
293,-29.263823,0.07
294,-27.893311999999998,0.07
295,-29.290077999999998,0.08
296,-28.975018000000002,0.06
297,-28.061344,0.07
298,-28.502428,0.07
299,-29.206062,0.09
300,-28.421037499999997,0.06
301,-28.586444,0.07
302,-28.589069499999997,0.07
303,-29.3609665,0.05
304,-28.591695,0.08
305,-28.754476,0.07
306,-28.812237,0.06
307,-28.972392499999998,0.05
308,-27.9484475,0.05
309,-28.780731,0.06
310,-28.6678345,0.08
311,-29.5342495,0.06
312,-30.059349500000003,0.07
313,-30.689469499999998,0.06
314,-28.596946000000003,0.08
315,-29.156177500000002,0.06
316,-28.822739,0.06
317,-29.507994500000002,0.06
318,-29.332086,0.04
319,-29.350464499999998,0.05
320,-29.080038000000002,0.07
321,-28.602196999999997,0.05
322,-29.531623999999997,0.07
323,-29.350464499999998,0.06
324,-29.135173499999997,0.06
325,-29.731162,0.06
326,-29.8808155,0.09
327,-28.938261,0.04
328,-29.5867595,0.07
329,-29.053783,0.07
330,-28.6783365,0.06
331,-30.1538675,0.06
332,-28.591695,0.06
333,-30.282517000000002,0.06
334,-29.116794999999996,0.07
335,-28.581193,0.07
336,-28.297638999999997,0.07
337,-29.7705445,0.09
338,-29.5920105,0.07
339,-28.610073500000002,0.05
340,-27.6753955,0.06
341,-29.132548,0.06
342,-27.8381765,0.06
343,-29.515871,0.06
344,-29.1771815,0.07
345,-29.101042,0.06
346,-28.778105500000002,0.06
347,-27.5703755,0.05
348,-28.334395999999998,0.05
349,-29.271699499999997,0.07
350,-28.972392499999998,0.08
351,-28.6678345,0.08
352,-28.0062085,0.07
353,-28.4630455,0.1
354,-29.962206000000002,0.08
355,-28.368527500000003,0.05
356,-30.1066085,0.06
357,-29.571006500000003,0.08
358,-29.0459065,0.06
359,-28.313392,0.08
360,-29.599887,0.07
361,-29.187683500000002,0.08
362,-29.211313,0.07
363,-29.271699499999997,0.05
364,-30.145991,0.07
365,-28.843742999999996,0.06
366,-28.6888385,0.06
367,-29.573632,0.07
368,-29.342588,0.08
369,-29.074787,0.09
370,-29.324209500000002,0.08
371,-28.360651,0.05
372,-29.9858355,0.05
373,-29.2034365,0.06
374,-29.200810999999998,0.06
375,-29.116794999999996,0.06
376,-29.129922500000003,0.08
377,-29.358341,0.07
378,-28.486675,0.05
379,-29.9700825,0.09
380,-28.210997499999998,0.08
381,-29.552628000000002,0.08
382,-29.0301535,0.05
383,-28.72297,0.06
384,-28.6363285,0.08
385,-29.513245499999996,0.06
386,-28.25038,0.05
387,-29.928074499999997,0.06
388,-28.578567500000002,0.07
389,-28.620575499999998,0.09
390,-29.1141695,0.07
391,-29.085289,0.07
392,-29.3452135,0.08
393,-30.3008955,0.08
394,-29.421353000000003,0.05
395,-28.9251335,0.1
396,-29.494867,0.06
397,-29.0931655,0.06
398,-29.851935,0.08
399,-28.901504000000003,0.07
