model,Gsolv,timing
0,-3581.3867889999997,35.08
1,-3567.0148019999997,35.67
2,-3561.674535,36.26
3,-3528.293928,35.21
4,-3516.75223,34.99
5,-3500.8390745,35.53
6,-3599.360962,35.71
7,-3606.6677285,36.42
8,-3565.9619765,35.16
9,-3599.1587984999996,35.75
10,-3470.643199,35.61
11,-3474.7311025,35.19
12,-3558.345401,35.94
13,-3462.5592845,34.22
14,-3454.6250235,34.86
15,-3442.0777590000002,34.59
16,-3555.9719489999998,35.7
17,-3480.2971625,36.12
18,-3510.0965874999997,35.48
19,-3491.65245,35.13
20,-3482.4080645,36.37
21,-3647.4732495,35.94
22,-3493.1673634999997,36.41
23,-3520.7062330000003,36.75
24,-3555.179048,37.64
25,-3663.9823935,36.78
26,-3512.5225495,36.54
27,-3482.384435,36.38
28,-3482.14814,35.7
29,-3395.2519665,35.28
30,-3495.6825925,36.82
31,-3477.2673355,35.72
32,-3463.2681694999997,34.3
33,-3471.1341675,35.48
34,-3446.945436,35.83
35,-3484.1303924999997,34.21
36,-3542.9547199999997,33.82
37,-3463.3206795,34.36
38,-3422.6621864999997,34.06
39,-3429.2784465,33.65
40,-3407.0772185,34.41
41,-3339.3839519999997,33.74
42,-3414.289467,33.92
43,-3477.711045,34.77
44,-3477.6611605,34.68
45,-3486.8346575,34.18
46,-3482.993551,34.29
47,-3460.3932470000004,34.88
48,-3510.92362,34.33
49,-3482.6023515,34.86
50,-3498.5102559999996,35.0
51,-3517.4007285,34.78
52,-3508.670941,34.51
53,-3499.0274794999996,35.4
54,-3515.938325,35.25
55,-3555.8380485,36.38
56,-3511.564242,35.19
57,-3559.5032465,36.13
58,-3430.278762,37.23
59,-3501.7107405,36.99
60,-3483.597416,35.94
61,-3536.3778425,36.21
62,-3579.6854649999996,35.63
63,-3505.793393,35.85
64,-3599.2480655,36.78
65,-3525.437384,36.47
66,-3474.549943,37.04
67,-3495.312397,37.05
68,-3506.3368715,36.25
69,-3514.1976185,36.22
