model,Gsolv,timing
0,-28.082348000000003,0.07
1,-28.7045915,0.08
2,-28.3895315,0.06
3,-29.258571999999997,0.06
4,-28.9251335,0.08
5,-28.292388000000003,0.07
6,-29.292703500000002,0.07
7,-29.253321000000003,0.05
8,-28.539185,0.07
9,-28.591695,0.08
10,-28.7886075,0.07
11,-28.3842805,0.06
12,-29.090539999999997,0.07
13,-28.6730855,0.07
14,-28.3212685,0.08
15,-28.6835875,0.08
16,-28.40791,0.06
17,-27.9642005,0.06
18,-27.9799535,0.07
19,-28.712467999999998,0.06
20,-28.728221,0.08
21,-29.746914999999998,0.08
22,-28.447292499999996,0.06
23,-28.612699,0.07
24,-29.358341,0.06
25,-28.292388000000003,0.07
26,-28.455169,0.08
27,-28.6363285,0.07
28,-28.2845115,0.05
29,-28.2477545,0.06
30,-29.1771815,0.06
31,-28.5313085,0.07
32,-28.14536,0.07
33,-28.2372525,0.07
34,-28.675711,0.07
35,-29.4292295,0.05
36,-28.0587185,0.07
37,-29.0616595,0.08
38,-27.3708375,0.06
39,-28.074471499999998,0.07
40,-28.3212685,0.07
41,-28.229376,0.08
42,-29.164054,0.08
43,-28.746599500000002,0.06
44,-27.88281,0.06
45,-28.455169,0.07
46,-28.442041500000002,0.06
47,-28.1164795,0.06
48,-28.8463685,0.09
49,-28.4262885,0.07
50,-29.006524000000002,0.09
51,-29.1929345,0.05
52,-28.880499999999998,0.08
53,-29.116794999999996,0.07
54,-28.6310775,0.06
55,-29.234942500000002,0.06
56,-28.906755,0.08
57,-28.140109,0.07
58,-28.310766499999996,0.07
59,-29.053783,0.05
60,-27.940571000000002,0.07
61,-28.381655000000002,0.06
62,-27.98783,0.07
63,-28.875249000000004,0.04
64,-28.1322325,0.07
65,-28.255631,0.08
66,-28.1112285,0.09
67,-28.8673725,0.07
68,-28.1899935,0.07
69,-28.200495500000002,0.08
70,-28.2582565,0.06
71,-28.9198825,0.06
72,-29.135173499999997,0.06
73,-28.297638999999997,0.07
74,-27.8749335,0.06
75,-28.444667,0.06
76,-28.7728545,0.08
77,-28.575941999999998,0.07
78,-27.14767,0.08
79,-28.620575499999998,0.07
80,-28.560189,0.08
81,-29.379345,0.06
82,-28.368527500000003,0.08
83,-28.5733165,0.09
84,-28.192618999999997,0.07
