model,Gsolv,timing
0,-2028.5190610000002,34.83
1,-2015.6646130000001,36.01
2,-2018.3610015000002,36.44
3,-1993.0564325,35.57
4,-1990.575335,34.86
5,-1978.9154895,35.7
6,-2037.1123225,35.54
7,-2039.3256190000002,36.62
8,-2010.92296,34.99
9,-2030.8925130000002,35.22
10,-1952.4163179999998,35.07
11,-1959.2032355000001,35.03
12,-2008.0217825,35.38
13,-1944.403292,34.02
14,-1942.2530075,34.66
15,-1932.541283,34.09
16,-2001.1298450000002,35.04
17,-1958.0900235000001,35.89
18,-1980.7769690000002,35.24
19,-1965.6934715000002,35.25
20,-1964.6642755,36.22
21,-2067.7151505,36.07
22,-1966.215946,35.75
23,-1984.3607765,36.95
24,-2010.3033420000002,37.55
25,-2078.6451070000003,36.4
26,-1977.636871,35.88
27,-1957.9902544999998,36.12
28,-1961.5136755,35.63
29,-1900.247633,35.2
30,-1974.003179,36.58
31,-1953.9102275,35.58
32,-1950.778006,33.97
33,-1948.2128925,35.47
34,-1939.414842,35.94
35,-1960.2114275,34.12
36,-2002.36383,33.62
37,-1949.4363755,34.03
38,-1927.1616335,34.36
39,-1929.086125,33.32
40,-1911.7919565,34.04
41,-1871.24636,33.5
42,-1918.9070615,33.96
43,-1960.0959055,34.97
44,-1952.5449675000002,34.74
45,-1962.6268875,34.13
46,-1961.7079625000001,34.1
47,-1951.8150785,34.79
48,-1977.374321,34.45
49,-1969.739367,34.9
50,-1976.471149,35.22
51,-1989.8585735000001,34.8
52,-1978.550545,34.56
53,-1979.7031395,35.15
54,-1989.13131,35.34
55,-2014.567154,36.14
56,-1978.9023619999998,35.15
57,-2012.619033,36.41
58,-1928.3956185,36.58
59,-1977.5239745,37.15
60,-1965.942894,36.16
61,-2000.883048,35.8
62,-2030.3122775000002,35.86
63,-1978.7474575,36.0
64,-2032.5702075,36.67
65,-1992.376428,36.83
66,-1956.4884685000002,37.18
67,-1977.101269,37.49
68,-1977.295556,36.23
69,-1980.5354229999998,36.26
70,-1956.6013649999998,35.82
71,-1984.3844060000001,36.48
72,-2033.0611760000002,34.5
73,-2003.508548,34.86
74,-2043.0774585000001,36.32
75,-2027.6237655,35.64
76,-2009.9541505,36.1
77,-2007.5964515,36.42
78,-1992.07187,36.09
79,-2014.8244530000002,35.44
80,-2039.546161,35.46
81,-2000.599494,36.38
82,-2001.880738,36.11
83,-2014.2337155,36.18
84,-2017.3764390000001,35.39
85,-1959.7519650000002,36.54
86,-1966.457492,35.1
87,-2015.874653,34.75
88,-1987.613771,36.46
89,-2009.778242,36.74
90,-2016.000677,36.32
91,-2037.9997414999998,37.18
92,-2030.9318955,35.94
93,-2013.9606635,36.59
94,-2033.3946145,35.99
95,-2004.4195965,36.26
96,-2041.6911945,36.64
97,-2003.5505560000001,36.59
98,-2043.001319,35.88
99,-2078.802637,36.43
100,-2020.5296645,36.55
101,-2050.6520259999998,36.31
102,-2014.0131735,36.16
103,-2047.0157085,36.86
104,-2061.138273,36.12
105,-2122.1732715000003,36.66
106,-2062.046696,36.8
107,-2036.248533,37.13
108,-2043.9648775,36.52
109,-2019.4453330000001,35.23
110,-2029.0257825,37.05
111,-2014.892716,35.44
112,-2116.5652035,35.79
113,-2072.2730185,35.0
114,-2076.9044005,36.75
115,-2068.972765,36.37
116,-2047.3675254999998,37.34
117,-1966.6071455,37.01
118,-2022.0577054999999,35.86
119,-2029.9867155,35.75
120,-2044.8575475,35.78
121,-2038.9554235,36.79
122,-2011.715861,36.26
123,-2078.393059,36.95
124,-2002.374332,36.45
125,-2064.871734,36.33
126,-2027.789172,35.87
127,-2062.146465,35.28
128,-2039.3544995,36.19
129,-2024.4574125,34.99
130,-2039.5277825,34.82
131,-2037.7791995,36.17
132,-2043.0380759999998,38.22
133,-2004.1019109999997,36.75
134,-1995.290733,36.13
135,-1963.9868965,36.65
136,-2053.6582235,36.65
137,-1967.675724,36.21
138,-1945.2040695,37.55
139,-1958.7096414999999,37.43
140,-2007.221005,37.8
141,-1991.2395864999999,37.51
142,-1956.8927955000001,35.06
143,-1942.329147,35.12
144,-1942.633705,36.14
145,-1937.272434,35.66
146,-1958.7989085000002,37.05
147,-1925.2922775,35.93
148,-1919.3901535,36.82
149,-1913.9579939999999,35.54
150,-1943.1141715,36.65
151,-1911.5057769999999,35.07
152,-1957.4835329999999,36.15
153,-1914.35707,35.86
154,-1932.8117095,35.19
155,-1920.6398915,35.27
156,-1979.2410515,35.12
157,-2001.213861,35.71
158,-1954.668997,35.75
159,-2003.3431415,36.23
160,-2022.406897,36.01
161,-1984.6233265,36.34
162,-2020.9234895,35.47
163,-1963.700717,36.02
164,-2018.9176075,35.6
165,-1955.797962,36.83
166,-1944.844376,35.42
167,-1973.3258,35.73
168,-1965.2786425,36.24
169,-1935.3741975,36.0
170,-1955.4697744999999,37.12
171,-1979.5298565,36.31
172,-1937.2225495,36.4
173,-1960.9176870000001,36.13
174,-2000.2345495,35.25
175,-2025.825298,35.52
176,-2009.415923,37.09
177,-2015.2051505,37.33
178,-1987.2278225,36.96
179,-1985.5580045000002,37.13
180,-1953.802582,36.34
181,-2014.0814365,36.22
182,-2002.2036745,35.34
183,-2048.62514,36.6
184,-2014.7115565000001,36.28
185,-1989.8428205,34.55
186,-2012.8789575,34.83
187,-2008.4681175,34.49
188,-2042.891048,34.68
189,-2060.7339460000003,34.83
190,-2031.7825575000002,35.5
191,-2035.9255965,34.7
192,-2039.4332645,34.44
193,-2047.186366,34.04
194,-2035.60266,34.69
195,-2018.3294955000001,34.12
196,-2070.059722,33.71
197,-2043.0354505,34.38
198,-2039.0499415000002,34.37
199,-2028.0806025,35.57
200,-2024.9142494999999,35.38
201,-2007.1763715,35.51
202,-2027.048781,35.88
203,-2033.0795545,35.3
204,-2043.4607815000002,36.09
205,-2024.2053644999999,35.43
206,-1995.1332029999999,35.76
207,-2005.677211,36.01
