model,Gsolv,timing
0,-28.392157,0.07
1,-28.0009575,0.06
2,-28.751850500000003,0.08
3,-28.113854,0.09
4,-27.945822000000003,0.07
5,-27.5913795,0.08
6,-27.173925,0.07
7,-29.158803,0.05
8,-27.496861499999998,0.06
9,-27.720029,0.07
10,-27.714778,0.07
11,-27.819798,0.06
12,-28.4315395,0.07
13,-28.620575499999998,0.08
14,-28.2635075,0.07
15,-28.6783365,0.05
16,-28.371153,0.07
17,-27.801419499999998,0.06
18,-28.069220500000004,0.06
19,-28.2477545,0.07
20,-28.069220500000004,0.07
21,-28.197869999999998,0.05
22,-27.8119215,0.07
23,-28.607447999999998,0.05
24,-28.4315395,0.06
25,-29.080038000000002,0.07
26,-28.0167105,0.05
27,-28.050842000000003,0.07
28,-27.4706065,0.07
29,-28.365902,0.06
30,-29.240193499999997,0.06
31,-27.9431965,0.06
32,-28.7308465,0.06
33,-28.210997499999998,0.05
34,-28.675711,0.07
35,-28.161112999999997,0.08
36,-27.840802,0.06
37,-28.161112999999997,0.05
38,-28.465670999999997,0.07
39,-27.1712995,0.07
40,-27.457479,0.05
41,-28.0272125,0.06
42,-27.4916105,0.07
43,-28.544436,0.07
44,-27.762037,0.05
45,-28.578567500000002,0.07
46,-27.9484475,0.08
47,-27.1187895,0.08
48,-27.4338495,0.07
49,-28.0849735,0.07
50,-28.137483500000002,0.09
51,-27.51524,0.05
52,-27.678020999999998,0.07
53,-28.2162485,0.05
54,-28.5418105,0.08
55,-28.5470615,0.08
56,-28.602196999999997,0.07
57,-27.46273,0.08
58,-28.9881455,0.06
59,-28.8201135,0.07
60,-27.93532,0.05
61,-28.205746500000004,0.07
62,-27.386590499999997,0.07
63,-28.379029499999998,0.06
64,-27.720029,0.07
65,-29.027528,0.07
66,-28.355400000000003,0.08
67,-28.019336,0.06
68,-28.103352,0.06
69,-27.9484475,0.05
70,-28.105977499999998,0.07
71,-27.861806,0.07
72,-29.122045999999997,0.07
73,-29.3084565,0.06
74,-27.9799535,0.06
75,-28.0587185,0.07
76,-26.969136,0.06
77,-28.024587,0.08
78,-27.5651245,0.05
79,-28.6468305,0.08
80,-27.9642005,0.06
81,-27.895937500000002,0.08
82,-28.368527500000003,0.06
83,-28.1952445,0.05
84,-28.0167105,0.07
85,-28.0167105,0.06
86,-27.8171725,0.07
87,-28.2950135,0.06
88,-29.2822015,0.06
89,-28.1637385,0.05
90,-27.517865500000003,0.05
91,-28.234627,0.06
92,-28.478798500000003,0.07
93,-28.2162485,0.06
94,-28.014085,0.07
95,-27.7541605,0.06
96,-26.693458500000002,0.07
97,-28.242503499999998,0.06
98,-27.9169415,0.08
99,-30.0173415,0.05
100,-27.793543,0.08
101,-27.667519000000002,0.06
102,-28.129607,0.07
103,-27.7016505,0.06
104,-27.6071325,0.07
105,-29.053783,0.07
106,-28.2214995,0.07
107,-28.14536,0.07
108,-28.421037499999997,0.06
109,-27.846053,0.08
110,-28.245129000000002,0.05
111,-28.4367905,0.07
112,-28.045591,0.06
113,-27.861806,0.07
114,-27.699025000000002,0.08
115,-28.5313085,0.08
116,-28.628452000000003,0.08
117,-27.919566999999997,0.07
118,-27.906439499999998,0.07
119,-28.1112285,0.08
120,-27.284196,0.07
121,-28.6678345,0.06
122,-29.098416500000003,0.06
123,-27.809296000000003,0.08
124,-28.245129000000002,0.06
125,-28.192618999999997,0.07
