model,Gsolv,timing
0,-1996.1282675,35.48
1,-1965.192001,34.49
2,-1965.1893754999999,35.68
3,-1989.8874540000002,35.25
4,-1988.0443530000002,35.75
5,-1940.5123010000002,35.22
6,-1972.837457,36.15
7,-1901.7100365000001,34.57
8,-1913.7952129999999,34.99
9,-1914.4305840000002,35.37
10,-1892.4971569999998,35.26
11,-1931.748382,35.52
12,-1922.5460045,34.16
13,-1942.1059794999999,34.23
14,-1936.7342064999998,36.03
15,-1902.4478020000001,38.3
16,-1907.168451,36.73
17,-1947.8006890000001,35.33
18,-1919.2903844999998,35.96
19,-1901.156056,36.47
20,-1874.9719444999998,35.64
21,-1832.1710435,34.7
22,-1872.8505405,34.17
23,-1880.083793,35.26
24,-1881.622336,34.3
25,-1886.5976584999999,33.98
26,-1880.215068,33.93
27,-1895.1777925000001,34.62
28,-1852.1642259999999,36.69
29,-1861.6028985,35.53
30,-1897.475105,35.77
31,-1905.2754655,36.77
32,-1920.222437,36.64
33,-1879.7240995,36.24
34,-1880.005028,36.15
35,-1902.327029,35.94
36,-1935.854664,36.0
37,-1938.1204705,36.5
38,-1899.4311025,35.82
39,-1925.3316599999998,35.69
40,-1949.3628615000002,36.13
41,-1923.110487,35.02
42,-1907.3233555000002,35.84
43,-1934.694193,36.61
44,-1899.838055,35.39
45,-1975.4603315,35.92
46,-1896.7530925,35.44
47,-1919.4584165,35.43
48,-1889.8427765,35.71
49,-1925.5311980000001,34.74
50,-1876.1665469999998,34.37
51,-1908.6334800000002,34.71
52,-1898.91913,33.82
53,-1839.5828299999998,33.54
54,-1895.0045095,33.48
55,-1890.554287,34.53
56,-1891.079387,34.8
57,-1892.6048025,33.98
58,-1870.3353115,34.87
59,-1916.4495934999998,34.97
60,-1926.5630195,35.99
61,-1902.5659495,35.87
62,-1931.9662985,35.2
63,-1880.3332154999998,34.53
64,-1909.2137154999998,34.13
65,-1911.6528050000002,33.95
66,-1989.5750195,34.17
67,-1948.971662,33.29
68,-1945.3589740000002,35.14
69,-1897.0497739999998,34.49
70,-1942.560191,34.91
71,-1922.6457735,35.37
72,-1957.326003,35.08
73,-1948.5857134999999,34.92
74,-1873.373015,35.2
75,-1902.636838,34.03
76,-1921.5325615,35.27
77,-1922.8059289999999,34.08
78,-1958.5389839999998,34.64
79,-1932.5859165000002,34.73
80,-1917.040331,34.79
81,-1903.440241,33.84
82,-1985.9597059999999,33.66
83,-1917.749216,33.9
84,-1946.582457,34.45
85,-1982.6804565,35.15
86,-1970.6399135000001,35.49
87,-1964.8795665,35.05
88,-1988.1099904999999,34.9
89,-1993.5447755,35.39
90,-1998.100018,35.3
91,-1997.1574635000002,34.01
92,-1988.212385,34.51
93,-1951.927975,34.94
94,-1942.4052865,33.89
95,-1990.2471475,34.98
96,-1993.7469389999999,35.07
97,-1978.0306959999998,35.63
98,-1984.6915895,35.28
99,-1985.0276535,35.33
100,-1978.219732,34.68
101,-2009.0142215,34.17
102,-2027.300829,34.1
103,-1981.7274,35.03
104,-1987.7739265,34.76
105,-2007.1553675,35.17
106,-2012.5560209999999,34.5
107,-1998.231293,33.99
108,-1947.9109600000002,35.07
109,-1957.793342,34.79
110,-1966.7384204999998,33.68
111,-1916.4023345,34.07
112,-1920.731784,34.25
113,-1932.4152589999999,33.61
114,-1888.5615325,34.13
115,-1913.6534359999998,33.71
116,-1923.278519,33.45
117,-1902.4136704999999,33.32
118,-1949.743559,32.34
119,-1948.9060245,33.02
120,-1914.1260260000001,33.11
121,-1960.1221605,33.17
122,-1906.6827335,32.54
123,-1899.8328040000001,33.5
124,-1927.4084305,34.27
125,-1922.3884745,34.49
126,-1927.2929085,34.1
127,-1925.2607715,34.21
128,-1925.2660225000002,32.97
129,-1945.0780455,33.44
130,-1934.9068585,33.01
131,-1963.973769,33.39
132,-1984.7546015,34.13
133,-1968.353103,33.71
134,-2001.2479925,34.94
135,-2000.1111509999998,34.25
136,-1981.1471645,33.82
137,-2002.038268,33.8
138,-1993.342612,34.63
139,-1977.7917755,34.97
140,-1968.557892,34.68
141,-1992.6048465000001,34.62
142,-1926.649661,34.23
143,-1972.1705800000002,33.13
144,-1956.2941815000001,34.17
145,-1924.3891055,33.73
146,-1952.8495255,34.19
147,-1966.625524,34.28
148,-1974.0005535,35.14
149,-1938.112594,34.52
150,-1937.7581515,33.6
151,-1979.6926374999998,33.98
152,-1971.146635,32.61
153,-1982.530803,31.68
154,-1973.7196250000002,33.88
155,-1939.567121,32.3
156,-1952.3821865,33.44
157,-1946.314656,32.38
158,-1938.7925985,32.3
159,-1962.03615,32.32
160,-1931.3703100000002,32.13
161,-1949.0057935,32.39
162,-1917.4814150000002,31.99
163,-1910.5632225,32.76
164,-1922.564383,32.36
165,-1913.3725075,32.15
166,-1918.9175635,33.63
167,-1957.4494015,33.89
168,-2000.489223,33.6
169,-1963.343649,33.33
170,-1965.118487,33.07
171,-1951.6785525,34.68
172,-1936.4821585,33.48
173,-1964.5907614999999,32.51
174,-1943.6497735,32.06
175,-1999.7357044999999,33.12
176,-1894.7157045000001,32.35
177,-1955.8793525,31.66
178,-1918.6340095,32.57
179,-1956.118273,31.38
180,-1949.0425505,32.3
181,-1944.6947225,32.26
182,-1956.94268,32.17
183,-1935.056512,32.94
184,-1973.4229435,32.99
185,-1951.0956915000002,33.82
186,-1932.205219,32.47
187,-1956.8245324999998,32.58
188,-1926.114059,32.53
189,-1922.12855,32.44
190,-1926.2479595,31.89
191,-1906.275781,32.29
192,-1923.047475,32.19
193,-1901.9016980000001,32.6
194,-1907.4283755,32.31
195,-1881.1576225,31.73
196,-1878.1015405,32.6
197,-1859.2399484999999,31.91
198,-1845.6424840000002,31.56
199,-1873.2128595000001,31.47
200,-1862.088616,31.75
201,-1874.8144145,33.05
202,-1863.096808,32.29
203,-1897.3727104999998,32.72
204,-1894.681573,33.23
205,-1863.768936,32.64
206,-1921.965769,32.99
207,-1914.2126675,31.46
208,-1926.3319755000002,32.26
209,-1938.6560725000002,31.45
210,-1926.32935,33.97
211,-1947.2834655000001,33.48
212,-1925.305405,32.63
213,-1946.2306400000002,32.82
