model,Gsolv,timing
0,-29.185057999999998,0.05
1,-29.0301535,0.06
2,-29.3189585,0.08
3,-27.783040999999997,0.08
4,-30.030469,0.08
5,-28.9881455,0.07
6,-28.2582565,0.05
7,-29.311082000000003,0.06
8,-28.528683,0.07
9,-28.914631500000002,0.08
10,-29.001273,0.07
11,-29.090539999999997,0.06
12,-28.757101499999997,0.08
13,-29.0616595,0.07
14,-29.132548,0.08
15,-28.743973999999998,0.08
16,-29.581508499999998,0.09
17,-29.156177500000002,0.08
18,-29.132548,0.06
19,-29.6340185,0.08
20,-28.470921999999998,0.08
21,-29.3452135,0.08
22,-29.35309,0.06
23,-28.344898,0.08
24,-29.234942500000002,0.06
25,-29.2506955,0.08
26,-28.7098425,0.07
27,-28.7308465,0.07
28,-29.248070000000002,0.07
29,-29.51062,0.07
30,-30.1591185,0.07
31,-29.521122000000002,0.06
32,-29.854560499999998,0.09
33,-28.720344500000003,0.07
34,-29.321584,0.08
35,-28.812237,0.07
36,-29.4712375,0.08
37,-29.783672,0.1
38,-29.7390385,0.08
39,-29.3347115,0.08
40,-30.440047,0.07
41,-29.434480500000003,0.05
42,-28.725595499999997,0.07
43,-28.885751,0.06
44,-29.804675999999997,0.08
45,-28.565440000000002,0.1
46,-28.7728545,0.05
47,-28.644205,0.08
48,-28.938261,0.1
49,-29.0826635,0.08
50,-28.205746500000004,0.06
51,-29.1771815,0.08
52,-28.859496,0.06
53,-28.481424,0.07
54,-29.347839,0.08
55,-28.959265,0.07
56,-28.917257,0.08
57,-29.374094,0.08
58,-29.823054499999998,0.06
59,-29.536875,0.07
60,-28.3527745,0.08
61,-29.4449825,0.08
62,-28.746599500000002,0.08
63,-29.9700825,0.08
64,-29.368843,0.09
65,-28.980268999999996,0.05
66,-28.964516,0.06
67,-28.9618905,0.07
68,-28.4315395,0.08
69,-30.151242,0.07
70,-28.980268999999996,0.06
71,-28.455169,0.07
72,-28.733472000000003,0.09
73,-28.549687,0.06
74,-29.5920105,0.07
75,-28.817487999999997,0.07
76,-28.980268999999996,0.08
77,-28.7098425,0.07
78,-29.7547915,0.08
79,-29.232317,0.06
80,-29.395097999999997,0.07
81,-28.3527745,0.06
82,-29.053783,0.07
83,-29.6392695,0.09
84,-29.0459065,0.06
85,-29.2296915,0.09
86,-29.276950499999998,0.09
87,-28.6783365,0.05
88,-28.6258265,0.06
89,-29.1981855,0.06
90,-29.022277,0.07
91,-29.442357,0.08
92,-28.596946000000003,0.08
93,-29.571006500000003,0.05
94,-29.539500500000003,0.07
95,-29.631393,0.08
96,-29.6077635,0.08
97,-28.583818500000003,0.08
98,-29.605138,0.09
99,-28.8043605,0.05
100,-30.6999715,0.05
101,-29.7442895,0.08
102,-29.8755645,0.07
103,-29.581508499999998,0.08
104,-28.620575499999998,0.06
105,-28.843742999999996,0.05
106,-29.342588,0.09
107,-28.6258265,0.09
108,-28.615324500000003,0.07
109,-29.6392695,0.08
110,-29.8073015,0.07
111,-29.0144005,0.08
112,-28.4262885,0.08
113,-29.431855,0.07
114,-29.263823,0.08
115,-28.780731,0.06
116,-29.090539999999997,0.09
117,-28.927759000000002,0.07
118,-29.550002499999998,0.09
119,-29.4292295,0.06
