model,Gsolv,timing
0,-18815.3832,33.7
1,-19157.249555000002,34.88
2,-18519.688888,35.19
3,-18722.608532000002,35.67
4,-18750.144776,35.53
5,-18838.151536,35.11
6,-18668.166164,34.8
7,-18683.5174625,34.47
8,-18815.5538575,34.13
9,-18952.783491500002,34.67
10,-18920.4530845,35.03
11,-18865.0077755,34.71
12,-18821.416599,33.96
13,-18734.9405055,35.75
14,-18576.788262,35.57
15,-18732.742962,33.44
16,-18677.22939,34.42
17,-18379.342785499997,33.23
18,-18372.7055215,34.32
19,-18387.3925685,34.13
20,-18781.5536325,34.73
21,-18846.175064,35.06
22,-19235.09563,34.89
23,-19114.9973835,34.42
24,-18972.1649325,34.3
25,-18705.106949,34.91
26,-18813.933924,35.61
27,-18732.564428,33.77
28,-18813.277549,34.32
29,-18844.7179115,34.43
30,-18778.043339,35.06
31,-18896.0831935,35.07
32,-19008.394206999998,35.11
33,-19140.714156000002,35.54
34,-18814.023191,34.76
35,-19155.579737,35.07
36,-18701.861831,34.66
37,-18801.7962375,34.67
38,-18970.046154,34.52
39,-18989.0363955,34.34
40,-19036.5316905,34.77
41,-19291.520250499998,34.77
42,-19125.935216500002,35.32
43,-18830.406311,35.25
44,-18821.148798,35.62
45,-18950.633207000003,35.39
46,-19150.9247255,34.9
47,-19076.20037,34.74
48,-19384.9302895,34.44
49,-19376.793865,34.47
50,-19299.8325835,35.11
51,-19615.451815,35.43
52,-19115.036766,33.59
53,-19464.175756,33.77
54,-19196.944489499998,33.69
55,-19188.955093,34.77
56,-18953.946588,34.9
57,-18852.812328,35.43
58,-19153.4084485,35.25
59,-19228.657904,35.77
60,-18625.7197055,34.85
61,-18887.0514735,34.88
62,-18996.17513,34.37
63,-19133.362756000002,33.4
64,-18936.4738855,34.4
65,-18744.0457395,34.45
66,-19017.0452295,34.51
67,-18952.8412525,33.3
68,-19179.6792015,33.49
69,-19235.5340885,34.77
70,-19362.595161,34.7
71,-19059.357787499997,34.16
72,-19581.1759125,34.09
73,-18978.316479,33.37
74,-19303.8338455,33.3
75,-19337.9968515,33.96
76,-19160.00633,34.14
77,-19266.7040245,34.39
78,-19622.9423665,33.71
79,-19622.293868,33.99
80,-19217.846094999997,34.04
81,-19315.4070495,33.57
82,-19535.4081965,32.5
83,-19398.554009,31.97
84,-19517.7543345,33.61
85,-19502.250757,32.75
86,-19554.860526,32.64
87,-19281.9739325,33.48
88,-19094.673388,34.35
89,-19139.8608685,32.95
90,-19290.7746085,32.99
91,-19221.0833365,32.95
92,-19726.284672,32.5
93,-19657.961285499998,33.41
94,-19456.2336185,33.74
95,-19544.867873,34.43
96,-19657.0213565,34.11
97,-19351.113849499998,33.44
98,-19248.1049825,33.18
99,-19628.4034065,33.24
100,-19730.453966,32.31
101,-19648.063150500002,33.42
102,-19623.5514825,33.94
103,-19884.129732,33.54
104,-19816.4784735,33.48
105,-19794.201106,34.1
106,-19539.590618000002,33.29
107,-19656.3544795,34.05
108,-19534.835837500003,32.98
109,-19610.053787,33.09
110,-19696.4091075,32.74
111,-19276.0875615,33.53
112,-19094.2559335,32.71
113,-19468.92266,33.05
114,-19331.622137500002,32.45
115,-19465.651287,33.51
116,-19873.1052575,33.88
117,-19722.934534,33.97
118,-19577.9045395,33.91
119,-19425.1476985,33.15
120,-19199.688137,33.84
121,-19197.1230235,34.5
122,-19148.585405,33.79
123,-19128.390059,34.09
124,-19086.523836,33.56
125,-19391.459908,32.52
126,-19366.543912999998,33.13
127,-19170.529334,55.7
128,-19079.046412,32.63
129,-19107.2206525,34.73
130,-18704.571347,33.48
131,-19146.805316,33.13
132,-18952.0115945,33.51
133,-18853.82052,34.06
134,-19019.696984500002,33.36
135,-19025.6988775,33.58
136,-19031.6325075,33.03
137,-18947.8002925,33.57
138,-19241.948185,34.01
139,-18831.435507,34.12
140,-18630.0229,33.2
141,-18717.4021655,33.62
142,-19107.806139,33.33
143,-18990.4279105,32.77
144,-18556.592916,34.16
145,-18597.1332615,33.7
146,-18951.420857,32.83
147,-18609.218438,32.12
148,-18727.5155915,32.87
149,-18953.796934500002,32.68
150,-18677.49194,33.26
151,-18849.1760105,32.59
152,-18826.100491,33.75
153,-19101.368413,33.19
154,-19312.6765295,33.3
155,-18940.7797055,32.57
156,-18916.801014,32.98
157,-18480.6818345,32.57
158,-18819.2558125,32.89
159,-18747.27773,33.33
160,-18735.820048,33.09
161,-18653.977961999997,33.4
162,-18734.1160985,33.32
163,-18816.6250615,33.66
164,-18426.709431,33.21
165,-18657.3044705,33.07
166,-18812.1669625,33.15
167,-18629.500425500002,33.66
168,-18842.719906,33.17
169,-19115.010511,32.66
170,-19047.1859695,32.26
171,-18362.208772500002,32.4
172,-18709.593928500002,32.84
173,-18781.918577,33.31
174,-18713.077967,32.5
175,-18472.395756500002,33.14
176,-18543.4732925,33.55
177,-18729.482091,33.32
178,-18564.225244499998,32.82
179,-18294.4761235,32.18
180,-18312.5343125,32.83
181,-17976.2970295,33.17
182,-17920.182217999998,33.12
183,-18122.2643275,32.83
184,-18233.913715000002,32.27
185,-18380.400862,33.4
186,-18761.518442,33.4
187,-18514.154334,32.94
188,-18657.333350999997,32.82
189,-18576.389186,33.64
190,-18631.9158855,33.18
191,-18363.770945,32.46
192,-18333.4017865,32.24
193,-18447.8105745,33.02
194,-18413.195982499998,32.58
195,-18524.357027,32.55
196,-18586.01952,31.93
197,-18563.458598499998,32.95
198,-18298.4038715,31.47
199,-18511.261033,32.23
200,-18425.205019499997,32.33
201,-18455.511166,32.54
202,-18480.1987425,32.47
203,-18224.5012975,32.56
204,-18551.5283265,32.02
205,-18692.383776,32.65
206,-18703.594661,32.61
207,-18761.938522,32.13
208,-18931.74536,32.55
209,-18999.6959255,32.08
210,-18966.0107605,32.37
211,-18573.144068,32.13
212,-18551.2657765,32.31
213,-18573.002291,31.82
214,-18821.448105,32.05
215,-19005.9708705,31.71
216,-18837.2929975,32.19
217,-18909.830311499998,32.49
218,-18727.9146675,31.51
219,-18500.338953000002,31.56
220,-18584.297191999998,32.44
221,-18496.054137,32.65
222,-18492.0922575,32.0
223,-18385.494332000002,31.66
224,-18189.490255,31.02
225,-18255.3246675,31.56
226,-18634.039915,31.49
227,-18736.1639885,32.42
228,-18798.719151499998,31.76
229,-18882.0735255,31.82
230,-18761.003844,31.87
231,-18938.576911,31.79
232,-18973.821623,31.63
233,-18929.4795535,32.29
234,-18799.3492715,32.85
235,-18964.3356915,32.73
236,-19085.2977275,32.98
237,-18889.5036905,32.65
238,-18978.7654395,33.61
239,-19052.9673205,33.5
240,-19037.306213,33.79
241,-19095.476790999997,32.89
242,-18668.764778,33.04
243,-18962.474212,32.43
244,-18481.7005285,32.98
245,-18436.560307,32.92
246,-18750.181533,32.73
247,-18802.449987,32.11
248,-18470.108946,32.63
249,-18565.1704245,32.97
250,-18671.1618595,33.14
251,-19009.040080000002,33.27
252,-18535.5810395,32.71
253,-18185.0715385,31.99
254,-18375.3152685,32.24
255,-18641.6459885,31.81
256,-18553.30579,32.35
257,-18902.308254,32.06
258,-18420.3425935,31.63
259,-18614.170131000003,32.03
260,-18278.8018885,31.98
261,-18522.9418825,32.03
262,-18632.9660855,32.53
263,-18978.410997000003,32.0
264,-18340.2805965,32.41
265,-18589.8343715,32.32
266,-18769.6128585,32.57
267,-18745.466135000002,32.55
268,-18620.6997495,32.68
269,-18901.195042,34.21
270,-18835.9802475,32.4
271,-18879.959998000002,32.72
272,-18587.6499555,32.52
273,-18580.836783000002,32.09
274,-18886.497493,31.95
275,-18988.062335,32.2
276,-18757.4725465,32.9
277,-18664.0310015,32.69
278,-19026.137336,32.66
279,-18577.3474935,31.97
280,-18706.834528,34.02
281,-18862.014705499998,32.33
282,-19141.5464395,32.64
283,-18776.7227125,34.0
284,-18725.260287,33.86
285,-18743.412994000002,34.99
286,-19002.402815999998,33.75
287,-18578.4081955,34.42
288,-18654.324528,33.44
289,-18747.7476945,34.5
290,-18822.674213500002,33.83
291,-18762.3454745,33.74
292,-18779.949452,32.69
293,-18799.504176,33.06
294,-18437.174674,32.85
295,-18364.9550455,33.2
296,-18417.995396500002,32.33
297,-18716.304706500003,32.87
298,-18277.2948515,33.01
299,-18651.8486815,33.15
300,-18659.336607499998,33.18
301,-18407.9029745,33.01
302,-18613.676537,32.52
303,-18544.106037999998,31.33
304,-18600.4571445,31.58
305,-18478.2033625,31.78
306,-18506.5167545,32.59
307,-18586.009018,32.18
308,-18270.2322565,31.19
309,-18138.7367145,31.39
310,-18479.713025,30.99
311,-18523.0784085,32.04
312,-18331.1281035,31.28
313,-18202.457599499998,30.37
314,-18065.401248500002,31.2
315,-18548.222822,31.31
316,-18241.1154615,30.9
317,-18623.480154,31.33
318,-18485.5547625,32.13
319,-18437.6656425,33.04
320,-18215.2752905,31.61
321,-18780.033468,32.13
322,-18161.917254,31.51
323,-18056.1647395,31.42
324,-18238.812898,31.75
325,-18374.0812835,32.27
326,-18386.056189,31.79
327,-18116.028765,31.65
328,-18235.4706365,32.2
329,-18012.0930965,31.5
330,-18245.0064525,31.63
331,-18423.5404525,30.95
332,-17923.1043995,32.46
333,-18268.9037535,32.35
334,-18228.7703605,31.98
335,-18167.982159,32.69
336,-18191.601157,32.23
337,-18292.0081535,31.83
338,-17864.616136,31.44
339,-17844.536312,30.6
340,-18176.031941999998,31.36
341,-17879.282179,30.64
342,-17913.613217000002,32.21
343,-18101.520252000002,32.25
344,-17959.7668815,32.09
345,-18119.5390585,31.99
346,-17731.6056805,31.46
347,-17600.2886725,31.31
348,-17901.5332915,31.93
349,-17939.8498385,31.68
350,-17749.4170725,31.69
351,-17812.607606499998,31.49
352,-17694.730532999998,31.15
353,-17553.184577,31.31
354,-17487.4709375,30.88
355,-17503.037527,30.6
356,-17722.996666,30.63
357,-17798.962883,31.99
358,-18346.164342,31.67
359,-18199.7533345,32.23
360,-17918.165834,32.11
361,-18088.5791625,32.12
362,-18291.391161,32.62
363,-18126.081804499998,32.58
364,-18054.676080999998,31.77
365,-17765.5481445,32.04
366,-17721.4659995,31.9
367,-18062.6602265,31.87
368,-17795.975064,32.1
369,-18167.5226965,33.13
370,-18267.3967165,32.49
371,-17915.283035,33.43
372,-18110.3603105,33.4
373,-18071.195727,32.54
374,-18040.6427835,31.64
375,-18335.263266,31.86
376,-18240.0757635,31.68
377,-17921.305932,32.64
378,-17997.482189000002,32.85
379,-17969.431346999998,32.09
380,-17767.9741065,32.62
381,-17889.201318,32.42
382,-17940.760887,31.93
383,-17877.3209305,32.32
384,-18193.662174499997,33.69
385,-18327.0690805,33.39
386,-18410.935427,32.37
387,-18562.757589999997,33.19
