model,Gsolv,timing
0,-50.551377,0.06
1,-50.7692935,0.06
2,-50.840182,0.07
3,-50.803425,0.08
4,-51.318023000000004,0.06
5,-50.624891,0.07
6,-50.93732550000001,0.06
7,-50.2021855,0.07
8,-51.467676499999996,0.06
9,-51.008214,0.07
10,-51.202501,0.08
11,-50.897943,0.06
12,-51.6199555,0.06
13,-51.276014999999994,0.06
14,-51.8142425,0.06
15,-50.362341,0.07
16,-52.64127499999999,0.07
17,-51.1526165,0.08
18,-50.708907,0.05
19,-51.640959499999994,0.06
20,-50.656397,0.09
21,-51.554318,0.08
22,-51.7932385,0.05
23,-51.6987205,0.07
24,-49.608822499999995,0.08
25,-50.2441935,0.07
26,-50.246818999999995,0.07
27,-51.6619635,0.07
28,-51.659338,0.06
29,-52.2080675,0.08
30,-51.157867499999995,0.07
31,-51.199875500000005,0.08
32,-52.1765615,0.07
33,-50.420102,0.08
34,-50.6170145,0.07
35,-49.75322500000001,0.07
36,-51.184122499999994,0.07
37,-50.425353,0.07
38,-50.1601775,0.06
39,-50.750915,0.06
40,-49.879249,0.08
41,-51.016090500000004,0.08
42,-50.498867000000004,0.07
43,-51.782736500000006,0.06
44,-50.047281,0.06
45,-49.9343845,0.08
46,-51.9612705,0.07
47,-51.472927500000004,0.07
48,-51.239258,0.08
49,-50.036778999999996,0.06
50,-50.590759500000004,0.06
51,-51.900884000000005,0.08
52,-52.6649045,0.06
53,-50.2126875,0.07
54,-52.6754065,0.06
55,-50.630142,0.08
56,-51.139489,0.08
57,-52.3971035,0.07
58,-50.577632,0.05
59,-51.0580985,0.08
60,-51.276014999999994,0.05
61,-51.333776,0.08
62,-51.8562505,0.08
63,-52.1713105,0.07
64,-50.947827499999995,0.08
65,-51.8615015,0.07
66,-50.611763499999995,0.07
67,-50.110293,0.07
68,-50.107667500000005,0.08
69,-51.3416525,0.08
70,-51.0423455,0.05
71,-51.3469035,0.08
72,-49.4670455,0.07
73,-50.939951,0.08
74,-51.4256685,0.06
75,-50.918947,0.06
76,-50.9950865,0.07
77,-51.1788715,0.08
78,-51.008214,0.07
79,-50.60126149999999,0.07
80,-50.7692935,0.06
81,-51.942892,0.08
82,-50.430603999999995,0.08
83,-50.120795,0.06
84,-50.5960105,0.08
85,-50.813927,0.08
86,-50.7797955,0.06
87,-51.5884495,0.07
88,-51.470302,0.08
89,-50.729910999999994,0.06
90,-51.591075000000004,0.06
91,-51.123736,0.05
92,-50.737787499999996,0.08
93,-50.593385,0.07
94,-50.771919000000004,0.08
95,-51.5411905,0.08
96,-50.6695245,0.08
97,-52.328840500000005,0.07
98,-51.8772545,0.05
99,-51.4519235,0.07
100,-49.398782499999996,0.07
101,-51.349529,0.06
102,-51.423043,0.07
103,-50.320333,0.06
104,-50.884815499999995,0.08
105,-51.8457485,0.06
106,-49.684962,0.07
107,-52.210693,0.06
108,-50.393847,0.07
109,-49.624575500000006,0.07
110,-51.5306885,0.09
111,-51.480804,0.08
112,-51.134238,0.06
113,-49.973766999999995,0.08
114,-50.131296999999996,0.07
115,-51.470302,0.08
116,-51.433545,0.04
117,-50.5592535,0.07
118,-50.719409,0.08
119,-52.412856500000004,0.07
120,-50.294078,0.08
121,-50.4594845,0.07
122,-51.102731999999996,0.07
123,-51.2576365,0.07
124,-51.924513499999996,0.07
125,-51.638334,0.06
126,-49.766352499999996,0.07
127,-49.763726999999996,0.08
128,-50.372843,0.07
129,-50.67215,0.06
130,-51.0475965,0.08
131,-51.383660500000005,0.09
132,-49.952763000000004,0.07
133,-50.640644,0.06
134,-50.388596,0.09
135,-49.805735,0.08
136,-51.344278,0.06
137,-52.483745,0.06
138,-52.173936000000005,0.07
139,-51.1893735,0.06
140,-50.77717,0.06
141,-51.0370945,0.07
142,-50.7220345,0.07
143,-51.992776500000005,0.06
144,-50.803425,0.07
145,-50.9347,0.07
146,-50.981959,0.08
147,-52.0662905,0.07
148,-51.5464415,0.06
149,-50.60126149999999,0.07
150,-50.351839,0.08
151,-50.966206,0.08
152,-49.3567745,0.08
153,-50.4489825,0.07
154,-50.858560499999996,0.06
155,-51.9612705,0.07
156,-50.674775499999996,0.06
157,-51.0055885,0.05
158,-51.522811999999995,0.07
159,-49.3725275,0.07
160,-50.39122150000001,0.08
161,-51.664589,0.08
162,-52.4233585,0.06
163,-50.0971655,0.08
164,-50.48311399999999,0.07
165,-50.561879000000005,0.08
166,-51.533314,0.07
167,-49.984269,0.07
168,-52.187063499999994,0.06
169,-50.960955,0.08
170,-51.9035095,0.06
171,-53.428925,0.05
172,-51.5674455,0.08
173,-51.7932385,0.08
174,-50.110293,0.08
175,-49.6140735,0.06
176,-50.1601775,0.09
177,-50.897943,0.06
178,-50.241568,0.05
179,-50.2704485,0.08
180,-50.3754685,0.08
181,-50.288827000000005,0.07
182,-50.6170145,0.07
183,-51.7092225,0.07
184,-50.766667999999996,0.07
185,-50.525122,0.06
186,-52.699036,0.06
187,-49.950137500000004,0.07
188,-50.5014925,0.08
189,-49.422412,0.08
190,-51.9350155,0.06
191,-51.213003,0.07
192,-51.3784095,0.07
193,-51.370533,0.08
194,-52.131927999999995,0.08
195,-50.750915,0.08
196,-50.464735499999996,0.06
197,-52.979964499999994,0.07
198,-52.6964105,0.08
199,-50.267823,0.07
200,-51.107983000000004,0.08
201,-50.525122,0.07
202,-53.302901,0.07
203,-50.551377,0.06
204,-51.255011,0.08
205,-51.5989515,0.07
206,-50.829679999999996,0.07
207,-50.107667500000005,0.05
208,-50.3597155,0.08
209,-51.349529,0.07
210,-50.743038500000004,0.08
211,-51.420417500000006,0.08
212,-51.806366,0.07
213,-51.139489,0.07
214,-50.819178,0.08
215,-51.3206485,0.06
216,-51.375783999999996,0.06
217,-50.6590225,0.07
218,-53.360662,0.07
219,-52.134553499999996,0.09
220,-50.015775000000005,0.08
221,-50.3334605,0.07
222,-50.638018499999994,0.07
223,-50.336086,0.08
224,-49.9711415,0.08
225,-50.693154,0.05
226,-52.1765615,0.08
227,-50.393847,0.08
228,-49.937009999999994,0.08
229,-51.323274,0.08
230,-50.929449,0.07
231,-51.191999,0.07
232,-50.1391735,0.07
233,-50.530373,0.07
234,-51.155242,0.09
235,-51.186748,0.09
236,-51.654087000000004,0.08
237,-49.9606395,0.06
238,-49.821488,0.08
239,-51.927139000000004,0.09
240,-50.4227275,0.08
241,-50.9163215,0.07
242,-49.77948,0.07
243,-52.068915999999994,0.05
244,-51.8825055,0.08
245,-51.094855499999994,0.07
246,-50.435855000000004,0.07
247,-50.546125999999994,0.07
248,-50.430603999999995,0.06
249,-50.6485205,0.06
250,-49.627201,0.06
251,-50.661648,0.08
252,-50.614389,0.08
253,-51.249759999999995,0.07
254,-51.2786405,0.08
255,-49.4565435,0.06
256,-50.1759305,0.05
257,-50.0604085,0.07
258,-50.892692,0.07
259,-51.2313815,0.06
260,-51.929764500000005,0.06
261,-51.969147,0.06
262,-51.0213415,0.07
263,-50.46211,0.07
264,-50.325584,0.07
265,-50.5329985,0.08
266,-50.61964,0.06
267,-52.349844499999996,0.05
268,-51.386286,0.08
269,-51.745979500000004,0.07
270,-51.627832000000005,0.07
271,-51.564820000000005,0.06
272,-51.486055,0.07
273,-52.1923145,0.09
274,-50.115544,0.07
275,-49.797858500000004,0.07
276,-51.360031,0.07
277,-51.3416525,0.06
278,-51.262887500000005,0.06
279,-50.708907,0.08
280,-50.4096,0.08
281,-51.1788715,0.07
282,-50.588134000000004,0.08
283,-50.561879000000005,0.07
284,-50.472612000000005,0.06
285,-52.2343225,0.07
286,-49.684962,0.08
287,-51.097481,0.08
288,-51.181497,0.08
289,-52.730542,0.09
290,-50.35709,0.08
291,-50.173305,0.06
292,-50.582882999999995,0.09
293,-51.14474,0.07
294,-50.5329985,0.08
295,-51.6619635,0.08
296,-50.78242100000001,0.06
297,-51.086979,0.09
298,-50.627516500000006,0.08
299,-49.6455795,0.08
300,-50.77717,0.08
301,-51.3889115,0.05
302,-50.5224965,0.07
303,-51.0633495,0.07
304,-51.73022649999999,0.07
305,-50.1496755,0.06
306,-51.291768000000005,0.08
307,-50.680026500000004,0.08
308,-51.648835999999996,0.07
309,-51.885130999999994,0.07
310,-49.8398665,0.09
311,-50.67215,0.09
312,-52.042660999999995,0.07
313,-50.2546955,0.08
314,-50.8690625,0.06
315,-50.472612000000005,0.09
316,-50.283576,0.07
317,-50.863811500000004,0.06
318,-50.133922500000004,0.07
319,-50.241568,0.06
320,-49.498551500000005,0.08
321,-52.215944,0.07
322,-50.341337,0.06
323,-51.4414215,0.07
324,-49.9448865,0.06
325,-52.45749,0.07
326,-52.9064505,0.08
327,-50.714158,0.07
328,-51.8615015,0.06
329,-51.4361705,0.08
330,-49.608822499999995,0.08
331,-50.989835500000005,0.07
332,-50.41747650000001,0.08
333,-51.013465,0.07
334,-50.6695245,0.06
335,-50.362341,0.07
336,-50.469986500000005,0.08
337,-51.0423455,0.07
338,-50.8428075,0.06
339,-50.073536,0.07
340,-51.191999,0.09
341,-52.452239,0.06
342,-49.637702999999995,0.08
343,-50.283576,0.06
344,-49.7768545,0.09
345,-51.509684500000006,0.07
346,-50.346588,0.08
347,-51.218254,0.08
348,-50.2599465,0.06
349,-52.536255,0.06
350,-51.467676499999996,0.07
351,-51.895633,0.09
352,-51.906135,0.07
353,-52.578263,0.07
354,-51.953394,0.08
355,-51.157867499999995,0.05
356,-51.774860000000004,0.08
357,-50.120795,0.07
358,-50.2494445,0.09
359,-50.630142,0.06
360,-50.708907,0.07
361,-50.0341535,0.07
362,-50.918947,0.06
363,-49.653456000000006,0.07
364,-51.034469,0.07
365,-51.155242,0.08
366,-51.383660500000005,0.06
367,-51.759107,0.06
368,-50.23631700000001,0.05
369,-51.2576365,0.08
370,-51.013465,0.07
371,-50.953078500000004,0.06
372,-51.745979500000004,0.07
373,-50.9320745,0.08
374,-52.273705,0.06
375,-50.4594845,0.08
376,-50.005273,0.06
377,-53.323905,0.07
378,-51.396788,0.07
379,-50.044655500000005,0.09
380,-49.858245,0.08
381,-51.7249755,0.07
382,-50.8953175,0.06
383,-50.194309,0.06
384,-50.72466,0.06
385,-51.412541,0.07
386,-51.7354775,0.07
387,-51.5201865,0.05
388,-49.474922,0.07
389,-51.9875255,0.07
390,-51.522811999999995,0.06
391,-50.7902975,0.07
392,-51.745979500000004,0.07
393,-51.034469,0.06
394,-52.053163,0.07
395,-50.75616599999999,0.05
396,-51.612078999999994,0.08
397,-51.8509995,0.07
398,-50.7850465,0.05
399,-51.656712500000005,0.08
400,-51.1001065,0.07
401,-50.876939,0.06
402,-50.8323055,0.06
403,-50.9793335,0.08
404,-52.888071999999994,0.07
405,-50.063034,0.07
406,-50.976707999999995,0.06
407,-52.751546,0.06
408,-50.638018499999994,0.07
409,-51.3364015,0.09
410,-50.884815499999995,0.08
411,-50.525122,0.07
412,-49.107352,0.05
413,-51.780111,0.07
414,-50.9688315,0.08
415,-51.719724500000005,0.07
416,-50.091914499999994,0.08
417,-51.769608999999996,0.05
418,-52.452239,0.07
419,-52.2080675,0.08
420,-51.8772545,0.05
421,-51.535939500000005,0.06
422,-50.8270545,0.07
423,-51.3048955,0.07
424,-50.989835500000005,0.1
425,-50.690528500000006,0.06
426,-51.6304575,0.07
427,-52.830311,0.05
428,-50.2441935,0.06
429,-52.236948,0.08
430,-50.372843,0.06
431,-52.483745,0.07
432,-51.7617325,0.09
433,-50.126046,0.07
434,-51.2943935,0.05
435,-51.226130500000004,0.07
436,-50.66427350000001,0.08
437,-51.927139000000004,0.08
438,-50.8428075,0.07
439,-51.226130500000004,0.09
440,-50.341337,0.09
441,-51.467676499999996,0.05
442,-51.6987205,0.08
443,-50.56713,0.07
444,-52.336717,0.08
445,-49.9606395,0.09
446,-53.108613999999996,0.1
447,-49.895002,0.06
448,-50.989835500000005,0.05
449,-50.120795,0.07
450,-51.643585,0.06
451,-49.6875875,0.07
452,-51.367907499999994,0.07
453,-53.331781500000005,0.07
454,-51.430919499999995,0.06
455,-51.950768499999995,0.07
456,-51.782736500000006,0.08
457,-50.627516500000006,0.07
458,-50.897943,0.07
459,-50.346588,0.06
460,-51.1893735,0.07
461,-51.409915500000004,0.09
462,-49.994771,0.05
463,-50.493615999999996,0.07
464,-51.493931499999995,0.06
465,-50.561879000000005,0.08
466,-50.225815000000004,0.07
467,-50.947827499999995,0.06
468,-52.383976000000004,0.07
469,-51.270764,0.06
470,-50.945202,0.08
471,-50.3597155,0.06
472,-50.740413,0.08
473,-52.5913905,0.07
474,-52.305211,0.05
475,-51.0003375,0.07
476,-51.433545,0.07
477,-52.654402499999996,0.07
478,-51.155242,0.09
479,-50.863811500000004,0.06
480,-50.4542335,0.05
481,-50.8900665,0.08
482,-53.079733499999996,0.07
483,-51.659338,0.08
484,-50.136548,0.08
485,-52.09517099999999,0.07
