model,Gsolv,timing
0,-3786.7927815,29.84
1,-3860.2884029999996,30.44
2,-3718.243602,31.31
3,-3755.6911084999997,31.4
4,-3767.7631575,31.6
5,-3785.2516130000004,31.1
6,-3740.8675354999996,30.88
7,-3747.2343730000002,30.7
8,-3780.3498045,29.74
9,-3796.536012,30.9
10,-3800.180206,31.11
11,-3787.9007425000004,30.49
12,-3775.742052,30.35
13,-3752.0862970000003,31.33
14,-3720.774584,31.18
15,-3753.8742625,30.06
16,-3750.479491,30.46
17,-3667.356161,29.18
18,-3682.1140965000004,30.3
19,-3668.3538510000003,30.49
20,-3749.9123830000003,30.82
21,-3783.8994805,31.01
22,-3873.9173735,30.75
23,-3849.9885665,30.66
24,-3812.352024,30.18
25,-3747.2527515,30.71
26,-3773.7282935000003,31.32
27,-3762.0579460000004,29.61
28,-3774.4424295,30.84
29,-3792.9574555,30.9
30,-3776.429933,30.7
31,-3797.7201124999997,31.16
32,-3825.6029225,31.41
33,-3855.6333915,31.31
34,-3781.0429365,31.09
35,-3853.6432625,30.97
36,-3757.6917395,30.58
37,-3783.487277,30.39
38,-3831.570684,30.49
39,-3833.0252109999997,30.63
40,-3832.4712305,31.12
41,-3902.5930845,30.18
42,-3855.9747065,31.0
43,-3787.556802,31.12
44,-3790.392342,31.48
45,-3821.3811185,31.33
46,-3866.6814955,30.91
47,-3840.4580015,30.77
48,-3919.4461690000003,30.43
49,-3925.862891,30.78
50,-3907.169331,31.16
51,-3970.916471,30.79
52,-3861.9818505,29.98
53,-3923.620714,29.99
54,-3877.5143085,30.04
55,-3879.7459835,30.94
56,-3824.980679,30.16
57,-3806.1374655,31.16
58,-3871.6253119999997,31.05
59,-3880.3078405,31.07
60,-3742.2170425,30.5
61,-3795.1313695,30.78
62,-3823.037809,30.39
63,-3857.6760305000003,29.87
64,-3812.9296339999996,30.39
65,-3762.8744765,30.46
66,-3831.581186,30.2
67,-3821.719808,29.62
68,-3864.7648805,29.59
69,-3884.1883295,30.53
70,-3903.887456,30.94
71,-3841.542333,30.31
72,-3959.348518,30.38
73,-3822.0348679999997,29.16
74,-3897.2738215000004,29.48
75,-3902.5563275,30.0
76,-3855.0899130000003,30.17
77,-3890.4265174999996,30.41
78,-3967.8971460000002,30.09
79,-3955.9012365,30.17
80,-3866.3690610000003,29.64
81,-3899.5763850000003,29.62
82,-3942.7002225,28.81
83,-3915.240118,28.09
84,-3938.859116,29.84
85,-3941.5817595,29.16
86,-3948.9436615,29.32
87,-3884.8604575,29.83
88,-3849.6656299999995,30.37
89,-3866.4294475,29.15
90,-3900.2406364999997,29.31
91,-3873.6285685,29.28
92,-3993.170209,28.72
93,-3982.227125,29.44
94,-3942.87088,29.87
95,-3949.3479885,30.44
96,-3971.8563999999997,30.29
97,-3901.6111475000002,29.68
98,-3896.5806895,29.95
99,-3980.4601635,29.45
100,-4001.6794545000002,28.19
101,-3982.5395595,29.81
102,-3977.490723,30.08
103,-4037.7170674999998,29.67
104,-4011.3833025,29.3
105,-4015.2060305000005,30.07
106,-3950.2432839999997,29.43
107,-3979.7013939999997,29.92
108,-3947.5941545,29.42
109,-3965.7311085,29.01
110,-3981.5786264999997,29.35
111,-3875.7578489999996,29.72
112,-3843.4720755,29.07
113,-3925.7053610000003,29.23
114,-3906.507705,28.67
115,-3931.1427715,29.81
116,-4022.5679324999996,29.84
