model,Gsolv,timing
0,-25605.8950095,65.56
1,-25247.9710965,65.8
2,-25726.129782000004,65.38
3,-25787.4640875,65.48
4,-25550.121513000002,63.73
5,-25406.270368,65.76
6,-25361.067134499997,64.82
7,-25638.4669625,67.12
8,-25669.9152015,65.8
9,-25766.223792499997,66.4
10,-26111.466540499998,67.12
11,-25832.932496499998,65.3
12,-26005.0655275,65.69
13,-26397.0894345,67.47
14,-25726.0221365,65.66
15,-25630.755869,65.53
16,-25916.0243205,65.32
17,-25868.090567,65.43
18,-26143.558027,66.66
19,-25321.5638615,65.18
20,-26032.609647999998,64.19
21,-25782.257720999998,65.32
22,-25361.894167,65.3
23,-25392.956457500004,65.44
24,-26146.3121765,65.0
25,-25481.9819115,65.7
26,-25905.6483445,65.86
27,-25690.050161,68.17
28,-26191.9696215,66.71
29,-25920.033459,67.37
30,-25584.168996999997,65.7
31,-25915.097519,66.53
32,-26016.938038499997,65.11
33,-25666.898502,65.64
34,-25893.754829499998,66.5
35,-25737.246149,64.25
36,-26160.27196,67.78
37,-26064.5856125,66.08
38,-25399.606849,66.42
39,-25581.044652,67.38
40,-25359.0349975,69.5
41,-25250.5650905,66.93
42,-25371.6268955,65.9
43,-25506.147013499998,66.61
44,-25583.7988015,67.49
45,-25640.627749,68.78
46,-25728.8996845,67.48
47,-25904.057291499998,64.77
48,-25908.628287,66.83
49,-25507.4650145,67.44
50,-25644.295572500003,64.11
51,-25835.471355,64.02
52,-25738.375114000002,64.77
53,-26471.9529415,66.38
54,-26941.019520499998,66.57
55,-26420.524647500002,64.96
56,-26010.1747505,65.15
57,-26438.023605000002,66.08
58,-26046.22024,65.47
59,-25899.218495,65.77
60,-25637.477149000002,65.11
61,-25927.676289500003,64.7
62,-26224.9879095,64.52
63,-26057.6332885,66.06
64,-26384.413520500002,63.24
65,-26095.5927675,65.04
66,-25865.596342,64.6
67,-26299.733269,64.66
68,-26204.666539499998,65.46
69,-26093.58426,66.4
70,-26265.202693,66.61
71,-26318.846908999996,65.44
72,-26737.745434,64.78
73,-26225.707296499997,65.49
74,-26294.5479065,65.62
75,-26162.997228999997,65.38
76,-26401.313864,65.27
77,-25956.367753500002,63.5
78,-25689.485678499997,64.44
79,-26019.770953,64.7
80,-26326.088037999998,64.39
81,-26112.427473499996,65.29
82,-26180.078731999998,64.89
83,-26121.863520500003,64.24
84,-26486.296048,64.88
85,-26455.740479,64.31
86,-26705.997887999998,62.71
87,-26755.491188499996,65.12
88,-26437.3646045,64.2
89,-26470.038952,65.24
90,-26425.415954000004,65.07
91,-25872.947741999997,64.0
92,-25746.319876999998,66.87
93,-25454.918257499998,65.61
94,-26136.600452000002,65.74
95,-26382.415514999997,66.34
96,-26450.082526500002,66.17
97,-26334.1561995,66.68
98,-26395.8239435,66.23
99,-26755.236515,67.2
100,-26432.811987499997,67.31
101,-26635.175025499997,68.39
102,-26527.836709,67.42
103,-26763.325680500002,66.03
104,-26453.823863999998,65.56
105,-26629.9817865,65.51
106,-26513.357076499997,65.61
107,-26387.041646,65.99
108,-26344.6056895,66.71
109,-25913.1362705,65.35
110,-26299.441838500003,65.86
111,-25780.3804885,63.5
112,-26009.389726,66.12
113,-25731.7719815,65.81
114,-25882.433673500003,65.33
115,-25479.884137,65.46
116,-25948.147313,67.29
117,-26279.490664,66.5
118,-25937.913114,66.12
119,-25475.3498985,65.74
120,-25667.9145705,63.81
121,-25135.2951385,65.41
122,-25787.193660999998,65.56
123,-26009.8806945,67.85
124,-25340.102517,67.68
125,-25645.6870875,66.08
126,-26146.624611,67.98
127,-26204.716424,68.0
128,-26171.8005305,68.48
129,-25823.2023935,66.33
130,-25809.6338095,66.08
131,-26468.894234,67.24
132,-26214.606682499998,67.25
133,-26349.2685775,67.12
134,-26090.029333,66.97
135,-26577.2197385,66.29
136,-26218.017206999997,69.79
137,-26243.256138499997,68.11
138,-26336.716062,66.51
139,-26007.494115,68.35
140,-26351.789057500002,66.94
141,-26267.628655000004,68.01
142,-26051.177184,70.19
143,-26006.31264,67.98
144,-26371.661467,67.53
145,-26041.7280095,68.08
146,-25900.111165,70.0
147,-25822.3202255,67.12
148,-26068.5343645,66.88
149,-25758.675479999998,68.59
150,-25605.067977,68.73
151,-25567.100621499998,69.86
152,-25798.026474000002,68.03
153,-26227.062054500002,66.65
154,-25718.647107,66.62
155,-26327.3193975,67.54
156,-26149.628183,66.45
157,-26074.113552,66.32
158,-26302.957383,65.87
159,-26670.0784225,65.13
160,-26787.561671,65.83
161,-26202.114553500003,65.28
162,-26397.6932995,66.91
163,-26631.86427,67.03
164,-26365.213239,66.65
165,-26778.10462,66.01
166,-26498.089794,65.68
167,-26562.627209500002,66.17
168,-26633.127135500003,65.77
169,-26426.6105565,65.95
170,-26098.5700845,65.77
171,-26535.3797705,65.27
172,-26106.023879,64.97
173,-26307.544131500003,65.11
174,-26374.084803499998,65.46
175,-26041.940675,65.51
176,-26161.928650500002,65.63
177,-26562.834624,66.21
178,-26844.910467499998,65.14
179,-26933.699626499998,65.76
180,-26400.316174,67.06
181,-26398.378555,64.51
182,-26751.6632095,65.61
183,-26488.2520455,65.8
184,-26442.576222,65.1
185,-26534.6761365,65.99
186,-26585.8156255,65.54
187,-26687.9213205,66.18
188,-26375.5288285,66.36
189,-26070.7712905,66.32
190,-25957.3916985,67.55
191,-25987.0073385,66.98
192,-26325.1192285,67.22
193,-26039.9899285,63.73
194,-26507.5652235,65.08
195,-26352.999413,65.46
196,-25710.754854,65.69
197,-26238.4619755,64.94
198,-25655.131010999998,66.41
199,-26276.489717499997,65.2
200,-26347.9453255,66.63
201,-26315.231595499998,67.94
202,-25915.079140499998,66.24
203,-26375.287282499998,66.37
204,-26027.8601185,67.37
205,-26302.159231,67.79
206,-25873.916551500002,66.96
207,-26023.467656999997,65.75
208,-26025.917248499998,66.95
209,-26118.3243465,67.59
210,-26023.945498,67.16
211,-25425.494279000002,65.99
212,-25732.299707000002,66.19
213,-25839.971462,63.7
214,-25546.4694425,68.05
215,-26279.750588500003,67.19
216,-26082.270980499998,66.98
217,-26176.1536095,67.49
218,-26313.291351,67.6
219,-25985.841616499998,65.72
220,-25713.6192745,66.75
221,-25855.687705,67.63
222,-25944.923199,65.81
223,-25988.811057,66.38
224,-26426.2902455,66.07
225,-26119.999415500002,65.75
226,-25987.5534425,64.73
227,-26352.805126000003,66.09
228,-26535.660698999996,65.5
229,-26567.4948865,66.27
230,-25979.21748,65.97
231,-26373.0661095,65.91
232,-25595.613551500002,65.22
233,-26572.711755,66.41
234,-26781.659547000003,66.87
235,-26967.067106000002,66.52
236,-26789.746087,65.71
237,-26883.660222000002,64.51
238,-26071.425040000002,64.26
239,-26184.605094000002,64.52
240,-26710.5846365,64.4
241,-26307.147681,64.61
242,-25935.626303499997,64.0
243,-25548.141886,66.42
244,-25840.3574105,66.16
245,-25943.235002499998,64.01
246,-26209.274292,65.39
247,-26155.144358499998,66.83
248,-26027.190616000004,67.33
249,-25972.664232,67.53
250,-26260.534553999998,66.91
251,-25818.0616645,66.05
252,-25625.357841,66.08
253,-25908.554773,67.74
254,-26277.967874,65.9
255,-26116.305337,65.86
256,-26101.5053935,65.99
257,-26197.323016000002,65.69
258,-26202.5293825,65.41
