model,Gsolv,timing
0,0.493594,0.08
1,0.34394050000000004,0.07
2,1.2471125,0.07
3,0.9976900000000001,0.07
4,0.4122035,0.07
5,1.0843315,0.07
6,0.28617950000000003,0.08
7,0.5854865,0.07
8,0.1601555,0.09
9,0.808654,0.06
10,0.955682,0.08
11,0.6642515000000001,0.08
12,1.244487,0.08
13,0.6957575,0.07
14,0.31506,0.07
15,0.803403,0.07
16,0.8637894999999999,0.07
17,0.5697335,0.08
18,0.8112794999999999,0.07
19,1.118463,0.07
20,0.5434785,0.07
21,1.1105865,0.07
22,0.8480365,0.08
23,0.378072,0.07
24,0.9845625,0.06
25,1.1263395,0.06
26,0.756144,0.05
27,0.677379,0.06
28,0.813905,0.07
29,0.5172235,0.08
30,0.6537495,0.06
31,0.6117415,0.06
32,0.36494449999999995,0.08
33,0.8112794999999999,0.07
34,0.4332075,0.06
35,0.5776100000000001,0.07
36,0.430582,0.06
37,1.244487,0.08
38,0.4384585,0.08
39,0.6747535,0.08
40,0.5434785,0.07
41,0.162781,0.05
42,0.110271,0.06
43,0.6064905,0.08
44,0.5618569999999999,0.06
45,0.6905065,0.07
46,0.4332075,0.09
47,-0.241546,0.06
48,0.6274945000000001,0.07
49,0.45158600000000004,0.08
50,0.5329765,0.09
51,0.336064,0.07
52,0.39907600000000004,0.06
53,0.06826299999999999,0.07
54,1.034447,0.05
55,0.5067215,0.08
56,0.015753,0.08
57,0.5749845,0.07
58,0.3596935,0.06
59,0.36494449999999995,0.06
60,0.236295,0.05
61,0.6590005,0.08
62,0.3386895,0.08
63,0.567108,0.06
64,0.2021635,0.07
65,0.2284185,0.07
66,0.41745449999999995,0.07
67,0.924176,0.08
68,0.981937,0.06
69,0.267801,0.06
70,-0.0131275,0.08
71,0.5749845,0.07
72,0.6012395,0.07
73,0.4227055,0.07
74,0.1864105,0.07
75,0.5644825,0.06
76,0.026255,0.07
77,0.63012,0.08
78,0.3806975,0.06
79,0.5329765,0.09
80,0.6117415,0.08
81,0.1654065,0.07
82,0.808654,0.07
83,0.5172235,0.07
84,1.0528255,0.07
85,0.1706575,0.07
86,0.11289650000000001,0.07
87,0.504096,0.08
88,0.761395,0.06
89,-0.1391515,0.07
90,0.7797735,0.06
91,0.1864105,0.08
92,0.4909685,0.05
93,0.3754465,0.06
94,0.672128,0.08
95,0.619618,0.07
96,0.34919150000000004,0.07
97,0.3281875,0.08
98,0.5461039999999999,0.06
99,0.3806975,0.08
100,0.45158600000000004,0.09
101,0.6878810000000001,0.09
102,0.084016,0.07
103,0.4332075,0.07
104,0.3071835,0.07
105,0.44633500000000004,0.06
106,0.236295,0.07
107,0.8270325000000001,0.06
108,0.4909685,0.09
109,0.63012,0.06
110,0.3019325,0.08
111,0.34919150000000004,0.08
112,0.8165305,0.07
113,0.5907375,0.06
114,0.656375,0.07
115,0.829658,0.05
116,0.094518,0.06
117,0.178534,0.07
118,0.267801,0.07
119,0.34919150000000004,0.08
120,0.3019325,0.08
121,0.0813905,0.06
122,0.351817,0.08
123,0.0813905,0.08
124,0.1391515,0.07
125,0.38332299999999997,0.08
126,0.656375,0.09
127,0.724638,0.06
128,0.63012,0.06
129,0.7010084999999999,0.08
130,0.41745449999999995,0.09
131,0.36756999999999995,0.08
132,0.1391515,0.08
133,0.362319,0.05
134,0.756144,0.07
135,0.7482675,0.06
136,0.31506,0.08
137,0.3911995,0.09
138,0.5697335,0.09
139,-0.047259,0.05
140,0.3019325,0.07
141,0.3124345,0.06
142,0.462088,0.07
143,0.6222435,0.06
144,0.5277255000000001,0.06
145,0.299307,0.06
146,0.5461039999999999,0.08
147,0.540853,0.08
148,0.4594625,0.08
149,0.28617950000000003,0.07
150,0.236295,0.06
151,-0.0288805,0.07
152,0.14440250000000002,0.05
153,0.4594625,0.07
154,0.204789,0.08
155,0.4594625,0.08
156,0.1549045,0.07
157,0.48834299999999997,0.07
158,0.7351399999999999,0.07
159,0.46733899999999995,0.06
160,-0.005251,0.08
161,0.0236295,0.07
162,0.2126655,0.08
163,0.7981520000000001,0.06
164,0.5119724999999999,0.08
165,0.252048,0.06
166,0.6642515000000001,0.09
167,1.0843315,0.08
168,0.456837,0.07
169,1.2156065,0.08
170,0.44633500000000004,0.07
171,0.7062594999999999,0.09
172,0.4122035,0.08
173,0.7430165,0.06
174,0.31506,0.07
175,0.26255,0.07
176,0.2599245,0.06
177,0.362319,0.06
178,0.8349089999999999,0.08
179,0.1076455,0.07
180,0.8637894999999999,0.07
181,0.372821,0.05
182,0.535602,0.06
