model,Gsolv,timing
0,-2516.22669,65.67
1,-2466.688756,65.3
2,-2537.4171005,64.69
3,-2542.528949,66.05
4,-2510.209044,63.96
5,-2489.0553904999997,64.94
6,-2485.482085,64.43
7,-2519.6976010000003,65.89
8,-2528.6636835,64.35
9,-2541.9697175,65.28
10,-2594.9418055,66.38
11,-2555.4516599999997,65.2
12,-2580.1654915,65.43
13,-2632.7227505,67.4
14,-2538.0839775,65.41
15,-2520.2883385,64.89
16,-2564.8483244999998,65.81
17,-2554.9291855,66.07
18,-2593.9126095,65.88
19,-2474.754292,65.07
20,-2579.7454115,63.54
21,-2541.883076,64.87
22,-2480.4358740000002,65.36
23,-2482.7121825,64.06
24,-2590.47583,64.67
25,-2495.690029,65.33
26,-2559.311145,66.01
27,-2530.0867045,67.8
28,-2602.9837119999997,66.37
29,-2565.5099505,67.37
30,-2516.153176,66.09
31,-2568.5870365,65.71
32,-2586.453564,64.77
33,-2525.9699205,66.07
34,-2566.6284135,65.89
35,-2542.7731205,65.94
36,-2597.77472,67.26
37,-2583.3344700000002,65.72
38,-2483.2320315,66.96
39,-2514.1866765,67.04
40,-2478.4903785,69.28
41,-2465.6779385,66.51
42,-2483.434195,65.56
43,-2503.440505,65.88
44,-2516.2345665,66.98
45,-2516.746539,67.71
46,-2540.985155,66.16
47,-2559.395161,64.69
48,-2561.590079,66.18
49,-2500.7493675,66.64
50,-2524.2318394999998,62.47
51,-2554.1992965,64.08
52,-2534.1824845,64.56
53,-2644.9654570000002,65.31
54,-2717.492269,65.01
55,-2639.7065805,63.65
56,-2573.299809,64.66
57,-2638.616998,65.33
58,-2582.9117645,65.25
59,-2555.5330504999997,64.69
60,-2519.0963615,64.93
61,-2564.856201,64.73
62,-2607.8461380000003,63.31
63,-2583.9094545,65.9
64,-2629.149445,62.94
65,-2589.535901,65.59
66,-2553.739834,65.05
67,-2618.9598795,64.32
68,-2609.631478,65.18
69,-2592.549975,66.36
70,-2610.466387,66.36
71,-2616.3658855,65.16
72,-2686.8579349999995,64.02
73,-2614.1447125,64.58
74,-2625.636526,65.06
75,-2603.781864,63.94
76,-2635.923235,65.04
77,-2568.6185425,63.33
78,-2528.188468,64.73
79,-2579.601009,64.19
80,-2625.6732829999996,64.0
81,-2595.810846,65.01
82,-2606.029292,63.4
83,-2595.77934,63.79
84,-2647.7143555000002,64.65
85,-2645.2568875,63.95
86,-2685.2642565,63.26
87,-2690.5835195,65.15
88,-2640.418091,64.33
89,-2645.2175049999996,65.78
90,-2642.697025,64.43
91,-2559.295392,63.49
92,-2543.594902,66.84
93,-2491.877803,64.33
94,-2590.2841685,65.56
95,-2631.6042875,65.31
96,-2645.322525,65.25
97,-2628.183261,65.36
98,-2631.449383,66.56
99,-2692.371485,67.26
100,-2641.5418050000003,68.04
101,-2671.1626960000003,68.15
102,-2652.6949290000002,66.93
103,-2694.792196,65.77
104,-2643.873249,65.91
105,-2673.1974585000003,65.25
106,-2651.3244179999997,65.47
107,-2638.769277,65.06
108,-2623.273576,66.4
109,-2566.4551305,65.05
110,-2623.3050820000003,62.68
111,-2542.1613789999997,65.37
112,-2569.555846,64.72
113,-2533.665261,65.89
114,-2559.463424,64.16
115,-2500.9173995,65.47
116,-2570.096699,66.42
117,-2615.1529045,66.33
118,-2562.971092,65.79
119,-2498.961402,65.84
120,-2527.5819775,63.4
121,-2447.254805,63.42
122,-2543.673667,65.68
123,-2574.3500090000002,66.91
124,-2475.169121,67.4
125,-2528.5954205000003,65.58
126,-2592.502716,67.33
127,-2607.252775,66.54
128,-2596.6851375,67.51
129,-2547.249598,65.55
130,-2544.624098,66.36
131,-2649.7464925000004,67.8
132,-2604.8031835,66.47
133,-2625.9174545,66.65
134,-2586.5664605,65.48
135,-2661.2435570000002,66.1
136,-2603.2068795,68.37
137,-2605.6538455,68.03
138,-2625.9174545,66.15
139,-2577.831422,66.91
140,-2628.5744605,66.77
141,-2609.568466,68.49
142,-2579.9055670000002,69.33
143,-2573.7277655,67.35
144,-2635.361378,66.72
145,-2581.1841855000002,67.16
146,-2562.677036,69.49
147,-2550.447457,66.27
148,-2582.7122265,66.84
149,-2538.811241,67.5
150,-2512.1860455,67.68
151,-2509.836223,68.81
152,-2541.7885579999997,67.2
153,-2608.0850585,65.47
154,-2532.6938259999997,66.75
155,-2621.7691645,65.82
156,-2599.1110995,65.98
157,-2587.724306,65.06
158,-2620.8659925,65.26
159,-2671.209955,64.53
160,-2696.7271895,65.11
161,-2604.0522905000003,64.3
162,-2637.3305029999997,66.02
163,-2666.6704655000003,65.59
164,-2633.6548030000004,65.95
165,-2695.1781445,65.8
166,-2657.16353,66.6
167,-2666.063975,64.82
168,-2669.366854,66.3
169,-2645.7714855000004,66.05
170,-2593.841721,65.24
171,-2663.8191724999997,66.76
172,-2596.372703,64.44
173,-2626.3270325000003,64.37
174,-2631.843208,65.21
175,-2590.6412365,65.31
176,-2606.6042765,64.68
177,-2670.3356635,65.98
178,-2705.835049,63.49
179,-2724.308067,65.06
180,-2638.8611695,66.52
181,-2638.034137,63.33
182,-2690.176567,65.15
183,-2651.59747,65.09
184,-2646.015657,65.2
185,-2655.9610509999998,65.04
186,-2666.7807365,65.55
187,-2683.0798404999996,65.72
188,-2634.437202,65.97
189,-2589.987487,66.18
190,-2572.7825855,66.34
191,-2574.623061,66.64
192,-2630.871773,66.54
193,-2586.0833685,62.93
194,-2652.012299,64.94
195,-2634.0355004999997,65.27
196,-2534.799477,66.11
197,-2611.7397545,64.53
198,-2524.9617285,66.2
199,-2622.2076230000002,65.64
200,-2636.0938925,66.3
201,-2625.531506,67.06
202,-2568.6710525,65.43
203,-2636.931427,64.93
204,-2586.0623645,66.37
205,-2626.0434785,66.51
206,-2559.5973245,65.92
207,-2583.434239,65.99
208,-2578.5481835,66.11
209,-2595.0048174999997,67.42
210,-2579.0181479999997,66.15
211,-2488.979251,65.94
212,-2534.6577,65.81
213,-2557.7279685,63.9
214,-2508.964557,67.36
215,-2621.120666,66.68
216,-2591.8332135,66.49
217,-2604.4592430000002,67.12
218,-2623.7960505,67.31
219,-2575.4028345,66.33
220,-2539.1551815,66.39
221,-2564.488631,66.71
222,-2573.1055220000003,66.16
223,-2578.4746695,65.91
224,-2642.2375625,64.89
225,-2602.946955,65.2
226,-2576.9886365,64.87
227,-2632.898659,66.04
228,-2658.6311845,64.26
229,-2664.8404920000003,65.71
230,-2580.409663,65.78
231,-2640.806665,64.59
232,-2526.2245940000003,64.82
233,-2666.006214,65.69
234,-2697.428198,66.22
235,-2722.207667,66.22
236,-2692.3872380000003,64.79
237,-2712.9895364999998,63.44
238,-2592.2847995,63.65
