model,Gsolv,timing
0,-25469.3059975,66.27
1,-25741.985176500002,66.32
2,-25374.0108495,65.95
3,-25512.526978500002,66.72
4,-25701.058882499998,65.92
5,-25772.826925,63.83
6,-25609.468315,65.72
7,-25441.010984,67.51
8,-26060.560720999998,66.89
9,-25771.655952,66.23
10,-25513.480035,66.82
11,-25624.223625000002,66.96
12,-25671.613899999997,68.32
13,-25474.165797999998,67.77
14,-25775.468178,65.9
15,-25595.400886000003,66.99
16,-25822.879457,67.87
17,-25825.289666,65.81
18,-25786.7762065,66.81
19,-25565.2522695,65.01
20,-25493.6286295,65.84
21,-24941.483354,67.99
22,-24814.897497,67.26
23,-24837.1433585,66.26
24,-25022.285742,69.67
25,-24863.285462000003,67.93
26,-24619.602305,67.61
27,-25551.1428325,69.9
28,-25194.8099725,68.36
29,-25411.513491499998,67.4
30,-25359.478707,67.75
31,-25469.219355999998,69.32
32,-25365.7562775,68.4
33,-25098.299218,69.36
34,-24839.666463999998,69.5
35,-25157.59351,68.59
36,-25352.164064,69.71
37,-25420.2931635,69.22
38,-25485.1325115,68.42
39,-25424.1684015,67.86
40,-25524.908836500003,68.96
41,-25049.5148025,69.62
42,-25162.781498000004,68.41
43,-25169.211347499997,68.52
44,-24811.300562,69.18
45,-24848.1757095,67.42
46,-25026.9092475,68.99
47,-25011.1877535,69.55
48,-24897.9184325,69.92
49,-25049.039587,70.87
50,-25006.5143635,70.38
51,-25164.2911605,71.55
52,-25574.984998000004,71.28
53,-25419.046051,71.34
54,-25903.2486375,72.28
55,-25168.431574,72.11
56,-25195.5503635,71.77
57,-25234.8856045,70.81
58,-25383.084577499998,70.9
59,-25798.871884999997,68.88
60,-25788.726953,69.24
61,-25867.5470885,67.49
62,-25955.419948000002,67.76
63,-25750.58894,69.0
64,-25879.537747000002,68.83
65,-25837.556002,70.39
66,-25509.631052,67.42
67,-25310.717921,68.41
68,-25561.613326500003,68.79
69,-25421.004674,68.85
70,-25290.081490999997,67.7
71,-25256.700884,67.6
72,-25448.955747,66.67
73,-26044.589804500003,68.07
74,-25603.3062665,66.18
75,-25131.335884499997,66.69
76,-25493.489478,66.39
77,-25712.366911,66.57
78,-25595.301117000003,65.12
79,-25457.7695505,66.47
80,-25212.592484,67.85
81,-25177.051090499997,66.11
82,-24909.657043,65.9
83,-24933.696120999997,67.51
84,-25699.2105305,67.28
85,-25579.151666499998,64.91
86,-25448.005316,65.74
87,-25085.5419135,66.82
88,-24609.483627999998,67.14
89,-24957.887477999997,66.7
90,-24849.737882,67.14
91,-24972.411744,65.75
92,-25290.2153915,65.38
93,-25266.719791999996,66.74
94,-25030.1281105,65.66
95,-25348.929448000003,66.35
96,-25243.804428,67.17
97,-25270.9652255,67.93
98,-25373.682662000003,68.87
99,-25083.3049875,68.19
100,-24874.417582000002,67.79
101,-25494.521299500004,69.67
102,-25689.020965,68.51
103,-25747.564363999998,68.88
104,-25851.985750000003,70.9
105,-25665.034397000003,68.6
106,-25851.271614,68.0
107,-25784.457889999998,68.64
108,-25638.3671935,67.38
109,-25512.007129499998,67.83
110,-26342.5788035,66.29
111,-26167.2426625,66.05
112,-26026.1272885,67.3
113,-25483.013733,67.82
114,-25339.0234365,70.06
115,-25639.220481,69.1
116,-25852.463591,69.4
117,-25631.7771885,66.58
118,-25860.6682785,66.09
119,-25609.2346455,67.9
120,-26086.561047500003,65.94
121,-25312.755309,65.66
122,-25661.47947,65.63
123,-25565.567329499998,68.56
124,-25794.933634999998,67.71
125,-25664.527675499998,67.85
126,-25895.164723,67.49
127,-25837.587508,69.38
128,-26164.2233375,67.3
129,-25817.8831305,67.55
130,-25619.411083500003,68.71
131,-25645.6818365,69.4
132,-25653.600344500002,68.46
133,-25469.295495500002,67.13
134,-25775.8488755,67.34
135,-25732.357468000002,68.89
136,-25573.761515,68.21
137,-25705.771655,69.04
138,-25455.6113895,70.31
139,-25357.3966855,68.51
140,-24927.058857,67.78
141,-24812.6736985,68.84
142,-24529.355993499998,68.6
143,-24992.255273,68.76
144,-25337.8524635,67.41
145,-24746.398202,69.39
146,-24881.2570095,68.35
147,-24668.977457999998,69.46
148,-24769.602370999997,71.36
149,-24561.1613005,69.09
150,-24412.463482500003,66.55
151,-24960.368575499997,67.92
152,-24890.2047135,67.2
153,-25095.101359,67.08
154,-24802.1559455,70.06
155,-25108.286620000003,68.86
156,-25206.669356,68.33
157,-25115.680028,67.82
158,-25093.263509,67.36
159,-25229.5033295,69.36
160,-24883.528067,68.54
161,-25088.6820115,69.74
162,-24949.4412445,67.13
163,-24852.0089395,66.3
164,-24725.2130425,67.32
165,-25155.078281,66.89
166,-25461.978227,66.25
167,-25192.0847035,68.86
168,-25276.350126,69.72
169,-25389.955511,68.17
170,-25440.7878165,67.39
171,-25352.048542,68.35
172,-25269.329539,67.73
173,-25242.544188,66.59
174,-25281.464600000003,66.98
175,-26021.771584,68.04
176,-25770.3878355,70.59
177,-25261.432035,69.25
178,-25767.851602500003,69.8
179,-26016.9432895,70.06
180,-25722.895166000002,69.18
181,-25860.067038999998,71.27
182,-25803.261721,70.03
183,-25802.095999,69.43
184,-26145.697809499998,69.12
185,-25798.357287,72.01
186,-25918.106342,69.06
187,-25749.596501,68.37
188,-26013.356856500002,67.7
189,-25753.807803,68.66
190,-25949.75937,68.11
191,-26041.6965035,68.38
192,-25873.625121,68.61
193,-25988.0155305,68.59
194,-25669.408480000002,68.09
195,-25913.469709,67.46
196,-25702.8862305,67.55
197,-25385.922743,67.26
198,-25182.619776,69.58
199,-25788.1782235,68.33
200,-25490.6723165,68.54
201,-25298.115520999996,68.12
202,-25249.811572,68.22
203,-25680.288551999998,69.7
204,-25196.314384,69.13
205,-25081.6404205,70.65
206,-25430.036394000002,69.02
207,-25827.35856,66.54
208,-26261.674021,68.27
209,-26266.158375000003,69.64
210,-26290.074054499997,66.82
211,-26221.769046499998,68.41
212,-26029.611327,68.5
213,-25697.207273999997,69.51
214,-25579.9550695,66.61
215,-26795.144115000003,67.5
216,-25921.0364,67.08
217,-26379.992178499997,68.53
218,-25895.9497475,68.4
219,-25872.1574665,66.47
220,-25551.376502,65.71
221,-25588.981538500004,68.01
222,-25166.5963495,65.26
223,-25854.280437,67.07
224,-26252.0148065,67.06
225,-26540.229068999997,67.99
226,-26220.666336500002,67.28
227,-25882.945646,66.74
228,-26007.368091,66.88
229,-25990.0896755,66.83
230,-25682.9324305,69.68
231,-25609.4131795,68.78
232,-25590.2890375,67.58
233,-25784.492021500002,67.53
234,-25552.0197495,65.84
235,-25548.404436,66.13
236,-25792.276629,67.14
237,-25899.478419500003,66.53
238,-25840.291773,66.13
239,-25478.413857,67.14
240,-25729.0624655,67.2
241,-25923.848310499998,67.18
242,-26122.9977365,66.82
243,-25832.042451999998,68.9
244,-25612.1069425,67.5
245,-26080.9897365,68.09
246,-25944.182807999998,68.51
247,-26255.005251000002,69.18
248,-26139.577769,67.13
249,-26299.239675,70.88
250,-25725.168848999998,69.05
251,-25654.2042095,67.63
252,-26174.7725965,69.34
253,-25916.99313,69.66
254,-25837.2750735,69.1
255,-25759.741433,67.25
256,-25384.549606499997,67.71
257,-25686.820796,66.36
258,-25405.682256,66.94
259,-25371.5166245,66.99
260,-25443.452699,68.05
261,-25435.4055415,67.76
262,-24809.780397500002,66.83
263,-26140.593837499997,66.9
264,-25784.1979655,69.3
265,-25462.1331315,69.27
266,-26066.1504105,69.66
267,-26109.914869999997,67.19
268,-25761.7971995,66.24
269,-25587.555892,66.93
270,-25506.6458585,67.31
271,-25833.271185999998,65.88
272,-25929.0993105,64.8
273,-26200.5340025,65.35
274,-26043.0092535,66.92
275,-25841.260582500003,65.77
276,-25875.0245125,67.16
277,-25730.0601555,66.68
278,-26222.7824895,68.11
279,-26118.1510635,67.44
280,-25956.785208,66.14
281,-25928.2381465,66.01
282,-25820.211949,67.52
283,-26231.68556,68.06
284,-26378.2908545,67.05
285,-25831.7877785,66.52
286,-25892.373816500003,67.32
287,-25672.889893,67.25
288,-25118.940898999997,68.27
289,-25393.573450000004,68.89
290,-25145.731501000002,68.0
291,-25458.9930335,66.89
292,-25524.223581000002,68.59
293,-25499.349594,66.48
294,-24910.2110235,68.49
295,-25286.311273,69.88
296,-25550.045373499997,68.4
297,-25174.1525385,70.37
298,-25795.479739,69.57
299,-25490.029069,71.15
300,-25459.2555835,69.06
301,-25880.419915,69.36
302,-25221.020339,68.53
303,-25289.992224,68.83
304,-25459.441993999997,69.2
305,-25486.736692,69.23
306,-25724.575485999998,68.79
307,-25768.295312000002,67.65
308,-25735.350538,68.98
309,-25970.212014999997,69.64
310,-25893.1614665,70.68
311,-26163.015607499998,70.11
312,-25926.733734999998,69.73
313,-25738.270094,70.45
314,-25338.212157,71.39
315,-25388.595502,70.94
316,-25630.666602,71.16
317,-25442.237092500003,71.01
318,-26006.625074499996,70.2
319,-25909.933160499997,68.54
320,-26161.5873355,69.72
321,-25639.207353499998,69.61
322,-25550.846151,70.96
323,-26016.158265,71.08
324,-26745.117838000002,71.78
325,-26358.07713,69.63
326,-26194.9259345,71.14
327,-26331.234018,70.3
328,-26424.586295999998,71.89
329,-26586.9708455,71.32
330,-26568.442692,71.31
331,-26198.557001,73.33
332,-26431.129041999997,70.31
333,-26133.7570355,72.88
334,-25976.237537499997,71.33
335,-25752.342774,71.15
336,-25532.425643,73.09
337,-25938.0417635,71.87
338,-25753.419229000003,72.3
339,-26234.7915265,73.02
340,-25893.405638,72.75
341,-25915.535977499996,71.45
342,-26003.9365625,69.52
343,-26236.952313,71.12
344,-25924.979901,70.78
345,-25931.803575500002,67.66
346,-25878.6477025,67.19
347,-26033.7569915,68.02
348,-25657.354809499997,67.15
349,-25521.818623,68.8
350,-25290.525200499997,68.92
351,-26091.504864,67.25
352,-25899.334017,68.52
353,-25545.112059,68.06
354,-25910.3427385,68.75
355,-26114.425478999998,68.63
356,-25815.900878,70.89
357,-25924.985152,70.72
358,-26245.059857,71.28
359,-25731.325646499998,71.81
360,-26141.504886000002,69.37
361,-26189.1918425,68.54
362,-26173.3758305,69.71
363,-26282.100411,69.15
364,-25818.58939,68.1
365,-26111.521676,68.3
366,-26534.6341285,69.2
367,-26256.979627,68.53
368,-26006.026460499997,69.62
369,-25974.4259425,70.11
370,-26690.8146215,71.3
371,-26967.844254000003,69.43
372,-26987.895197499998,69.97
373,-26914.9378035,70.04
374,-26197.060466,69.98
375,-26063.952867,69.15
376,-26194.715894499997,67.95
377,-26197.0735935,65.94
378,-26309.521133,68.15
379,-26351.3689775,68.73
380,-26295.5981065,68.04
381,-26132.96676,69.82
382,-26511.306560999998,69.01
383,-26504.971229500003,70.02
384,-26173.105403999998,70.08
385,-26602.167239500002,71.19
386,-26113.595821,70.47
387,-26176.7889805,70.5
388,-25692.9408365,69.43
389,-25413.120297499998,70.23
390,-25819.965151999997,69.75
391,-25507.173584,69.76
392,-24893.2135365,69.44
393,-25701.2531695,69.49
394,-25546.847514499997,69.0
395,-25746.243737499997,70.23
396,-25530.839841,69.92
397,-25908.3316055,70.16
398,-25036.0512385,68.87
399,-25341.845849,68.32
400,-25383.570294999998,66.79
401,-25118.2293885,68.62
402,-25087.466405000003,67.72
403,-25141.940279,67.46
404,-25559.5601855,67.55
405,-25445.062130500002,68.95
406,-25212.1067665,67.77
407,-25949.123999,68.85
408,-25916.6806955,68.79
409,-25964.068345,67.16
410,-25680.6534965,68.37
411,-25746.1859765,69.72
412,-25646.214813000002,69.79
413,-25904.025785499998,68.8
414,-26032.273584,68.95
415,-26230.679993499998,68.09
416,-26061.227597999998,68.46
417,-26195.9131225,67.1
418,-26379.112635999998,67.7
419,-26177.4348535,68.68
420,-25903.3379045,67.82
421,-25879.0782845,66.39
422,-26037.422189499997,68.03
423,-25676.560342,67.67
424,-25699.1842755,66.56
425,-26195.327635999998,68.53
426,-25887.445753,68.84
427,-26077.762997,68.21
428,-26141.6072805,69.07
429,-26028.855183,67.91
430,-26362.8581655,67.14
431,-25598.186541500003,67.63
432,-26089.2548105,67.22
433,-25841.562515,68.18
434,-26144.981047999998,69.16
435,-25533.129277,67.99
436,-25538.5771895,68.82
437,-25725.935494999998,68.62
438,-26327.9232625,68.3
439,-25682.315438,69.5
440,-26094.151368000003,67.66
441,-25862.366976999998,67.83
442,-25793.01702,68.39
443,-25844.1591345,66.36
444,-26382.2343555,67.98
445,-26146.262292,68.83
446,-26125.670495500002,67.49
447,-26020.6872525,68.9
448,-25810.334818,68.31
449,-26581.1894945,69.15
450,-26176.087972,67.41
451,-25812.9261865,69.47
452,-26320.7924045,68.88
453,-26557.305321,70.06
454,-26094.7421055,70.21
455,-26182.777746000003,70.98
456,-26372.919081499997,72.95
457,-26514.7328385,70.49
458,-26551.812775,68.59
459,-26142.896401,70.97
460,-26238.1994255,71.88
461,-25771.957884500003,71.65
462,-25643.2086155,70.62
463,-26114.9059455,73.3
464,-26072.9924635,70.87
465,-26398.3654275,70.66
466,-26231.1840895,69.83
467,-26405.989879499997,70.09
468,-26110.468850499998,70.55
469,-26697.333738,70.17
470,-26900.2034975,68.97
471,-26698.294671,71.42
472,-27062.8112145,72.68
473,-27063.407203,70.03
474,-26939.9220615,68.9
475,-26285.812868,71.18
476,-26181.7511755,71.66
477,-26960.721272500003,71.0
478,-26640.0532045,72.23
479,-26692.689228500003,69.0
480,-26363.301875,69.22
481,-26261.106913,70.43
482,-26165.9666695,68.81
483,-26041.9275475,71.03
484,-26137.1386795,73.12
485,-26191.562669,71.26
486,-26730.525309,72.65
487,-26533.534044,72.01
488,-26640.838229,71.64
489,-26837.2282545,70.32
490,-26786.537726,69.81
491,-25885.7155485,69.24
492,-26261.542746,71.16
493,-26221.4749905,70.45
494,-26183.890958,69.74
495,-26125.071881500004,71.45
496,-26441.604787,69.26
497,-26125.3396825,69.86
498,-25755.283334,69.53
499,-26003.734399,70.95
500,-25893.074825,70.43
501,-25929.149195,68.32
502,-25910.025052999998,67.51
503,-26177.957328,70.92
504,-26284.140424499998,69.1
505,-26370.608641500003,70.2
506,-26400.812393499997,71.24
507,-26084.993624,71.23
508,-26281.2786295,70.88
509,-26045.0676455,70.6
510,-25930.209897,70.1
511,-25658.234352,71.34
512,-25632.199894,71.8
513,-25467.575793,71.44
514,-25761.279975999998,71.25
515,-25918.303254500002,72.41
516,-25993.694487,73.83
517,-26156.176180000002,72.15
518,-25877.3559565,69.51
519,-26043.290182,70.39
520,-26443.762948000003,70.77
521,-26672.4203685,72.01
522,-26298.8852325,71.4
523,-26432.9222585,72.98
524,-25633.520520500002,70.8
525,-26073.278642999998,72.97
526,-26252.928480500002,71.67
527,-26403.608551,69.9
528,-26119.639722,71.32
529,-25749.7566565,70.69
530,-25569.705117499998,67.66
531,-25365.968943,69.31
532,-25621.902682999997,69.15
533,-26006.9296325,69.78
534,-26357.352491999998,70.2
535,-25690.123675000003,69.92
536,-25937.789715500003,68.06
537,-26085.148528499998,69.29
538,-25973.152575,68.51
539,-25806.267918499998,67.92
540,-25685.240245,69.2
541,-25435.9936535,73.08
542,-25649.2472655,73.18
543,-26093.972834,71.84
544,-25755.1179275,72.53
545,-26077.7026105,71.94
546,-26409.48442,71.75
547,-26662.293815,72.87
548,-26388.8506155,70.86
549,-26268.0723645,71.0
550,-26139.3546015,71.85
551,-26051.410853499998,70.53
552,-26480.304656999997,69.33
553,-25816.9221975,72.27
554,-25626.8990095,71.82
555,-26153.7843495,71.36
556,-25613.868652999998,69.37
557,-26074.743671999997,72.41
558,-25949.071489,70.51
559,-25537.177798,71.82
560,-25675.258093999997,70.53
561,-25400.699057,70.33
562,-25504.9025265,69.57
563,-25506.6301055,70.92
564,-25833.0900265,69.33
565,-25996.784700499997,70.13
566,-25686.705274,70.92
567,-25754.4930585,71.32
568,-25630.8425105,71.76
569,-25869.757759499997,70.79
570,-25567.743869,71.74
571,-25750.095346,71.26
572,-25782.150075499998,71.68
573,-25534.5549235,72.3
574,-25483.8617695,72.79
575,-25829.311932,71.58
576,-25939.764091499997,71.83
577,-25977.867973,72.0
578,-25963.532742999996,71.48
579,-25742.9828665,72.91
580,-26187.141327,73.65
581,-26230.147017,72.98
582,-26229.028553999997,73.92
583,-26200.5812615,71.7
584,-26002.579179,75.82
585,-25994.534646999997,72.03
586,-25852.912551499998,71.48
587,-26144.156641,70.36
588,-26426.0539505,69.57
589,-26502.2879685,106.19
590,-26238.8768045,71.58
591,-25277.883418,70.23
592,-25843.447624000004,71.45
593,-26037.8947795,72.46
594,-26107.819721,71.55
595,-26185.663170500004,70.35
596,-26169.2327915,70.82
597,-25750.819984,72.37
598,-25800.909272999997,71.73
599,-26106.08164,73.81
600,-26287.4012955,70.46
601,-26516.292385499997,70.2
602,-25974.696369,71.35
603,-26093.841559,71.41
604,-26160.1170555,72.47
605,-25472.797912500002,71.59
606,-26342.0589545,71.84
607,-25847.406878,70.2
608,-26148.486090500002,70.51
609,-25584.914639,71.56
610,-25674.654229,70.69
611,-26012.991911999998,73.01
612,-26001.591991,70.14
613,-25787.750267,69.7
614,-25929.364486000002,71.67
615,-26340.2473595,69.49
616,-25557.940251999997,70.31
617,-25103.474078500003,69.93
618,-26195.322385000003,71.35
619,-25678.424446999998,70.88
620,-25507.8378355,69.63
621,-25504.248777,70.75
622,-26007.452107,70.54
623,-26138.6719715,71.36
624,-26146.183526999997,72.58
625,-25916.1135875,71.99
626,-25638.0731375,71.08
627,-25524.625282499997,69.53
628,-25651.833382999997,70.48
629,-25611.043615000002,69.78
630,-25718.337298,70.25
631,-25412.4166635,69.75
632,-26136.849874500003,68.56
633,-26421.359556500003,70.17
634,-26461.569089,72.75
635,-25783.1110085,71.07
636,-25995.6977435,71.01
637,-25852.3139375,69.68
638,-26318.794399,69.88
639,-25949.8565135,70.48
640,-26015.252467500002,70.39
641,-26244.852442500003,73.39
642,-26388.0472125,70.57
643,-26183.182072999996,68.43
644,-26232.9956845,69.28
645,-26433.119171000002,70.76
646,-26698.9536715,69.22
647,-26536.093906500002,68.65
648,-26362.461714999998,69.08
649,-26326.581632,71.0
650,-26508.597045000002,72.42
651,-26238.254561,69.29
652,-26158.4472375,70.11
653,-26037.9367875,69.59
654,-25804.952543,69.84
655,-25964.756226,68.82
656,-25801.190201499998,67.57
657,-25663.2621845,68.63
658,-25810.723392,68.73
659,-25645.435039500004,67.51
660,-25160.0956115,66.84
661,-24999.5882945,68.66
662,-25517.040213,69.13
663,-25179.445546500003,67.86
664,-25476.0692855,67.86
665,-25028.5790655,68.29
666,-25415.1734385,68.67
667,-25111.01714,68.53
668,-25166.6856165,69.7
669,-25223.5802015,68.37
670,-24915.157465499997,67.47
671,-25425.3341235,67.41
672,-25083.026684499997,69.16
673,-25715.9612205,69.01
674,-25124.3047955,68.0
675,-25571.9525455,69.03
676,-25438.976221499997,69.53
677,-26109.920121,67.65
678,-26058.4471935,68.76
679,-26323.013577499998,67.5
680,-26200.720413000003,68.77
681,-25907.830135,68.44
682,-25706.4674125,70.29
683,-25776.1088,68.1
684,-25342.909176499998,68.12
685,-25557.047582,68.07
686,-26023.7905935,71.95
687,-25350.861816,71.05
688,-25522.38048,71.72
689,-25341.5124105,71.64
690,-25624.496677000003,72.31
691,-25403.190656500003,72.13
692,-25685.781098,72.48
693,-25511.206352,69.63
694,-25671.403860000002,70.47
695,-25951.035363,69.56
696,-25994.534646999997,70.05
697,-25360.780955,68.78
698,-25052.10092,70.54
699,-24790.679885,69.75
700,-25014.653413500004,71.99
701,-24813.330073499998,70.85
702,-24897.201671,71.13
703,-25196.9576315,71.57
704,-24555.891922,72.56
705,-25354.450874500002,69.52
706,-24955.999743499997,68.46
707,-25604.5402515,69.19
708,-25487.608357999998,71.92
709,-25301.426276500002,70.0
710,-25553.9258625,73.43
711,-25825.9749215,70.81
712,-25554.191038,72.27
713,-25217.811977999998,70.32
714,-24916.892921,69.76
715,-25189.6377375,72.44
716,-25460.431807499997,70.35
717,-25045.1302175,71.41
718,-24980.0650765,69.35
719,-25198.459417500002,71.05
720,-25279.3090645,71.97
721,-25300.3498215,71.53
722,-25594.211534500002,72.28
723,-25747.1836665,72.86
724,-25513.61131,70.32
725,-25478.177562,69.17
726,-25676.885904,72.82
727,-25245.815561,69.97
728,-25399.40206,72.26
729,-25388.332952,70.46
730,-25520.374598,70.45
731,-25466.126517,71.37
732,-25507.9271025,72.63
733,-25045.014695500002,71.9
734,-25552.156275499998,73.54
735,-25010.329215,71.62
736,-24946.947019500003,70.92
737,-25347.385654,70.31
738,-24811.022259,70.24
739,-25095.500435,70.99
740,-24898.1599785,72.51
741,-25249.984855,71.54
742,-25467.040191,70.28
743,-25979.6034285,71.74
744,-25479.9025155,70.59
745,-25413.204313500002,72.68
746,-25680.052257000003,73.86
747,-25828.466521,72.55
748,-25624.633203,73.39
749,-25812.3643295,73.76
750,-25408.7357125,72.49
751,-25813.4775415,74.23
752,-25464.314921999998,72.48
753,-25411.203682500003,71.69
754,-25033.134308,73.24
755,-25490.66444,73.33
756,-24543.058478,71.62
757,-25057.525203,71.04
758,-25163.4720045,69.83
759,-25184.567897,70.66
760,-24843.336913,72.89
761,-25000.473088,74.28
762,-26044.2537405,73.48
763,-25652.962347999997,71.83
764,-25394.922957,72.56
765,-25133.3942765,74.17
766,-25041.643553500002,68.72
767,-25173.047203000002,72.39
768,-25286.626333,74.58
769,-25407.2969385,73.82
770,-25365.5199825,71.44
771,-25917.056141999998,70.66
772,-25790.454532,70.29
773,-25729.482545500003,70.92
774,-25531.191658,70.07
775,-25667.901443000002,71.57
776,-25424.6987525,71.22
777,-25640.443964000002,73.79
778,-25212.878663500003,73.65
779,-25548.7746315,72.86
780,-25041.588418,71.44
781,-24639.8370335,71.56
782,-25278.5634225,70.57
783,-25454.542811,72.58
784,-25530.7269445,72.23
785,-25330.259517500002,70.33
786,-25531.1837815,70.18
787,-25621.3434515,72.44
788,-26046.593061,71.2
789,-25619.369075500003,72.38
790,-25701.759891,70.46
791,-25994.3692405,71.97
792,-25828.540034999998,72.21
793,-25409.394712999998,70.56
794,-25352.185068,70.34
795,-25843.187699500002,70.71
796,-25647.758607,71.33
797,-25737.918276999997,71.77
798,-25676.237405499996,70.97
799,-25520.9338295,71.41
800,-25228.109189000003,71.14
801,-25027.00114,70.18
802,-25233.916795,70.61
803,-25237.5583635,69.1
804,-25076.864636000002,70.37
805,-25080.8895275,70.87
806,-25403.214286000002,71.19
807,-25432.5805035,72.13
808,-25463.760941499997,72.2
809,-25717.544397,72.52
810,-25817.2845165,72.67
811,-25454.821114000002,71.47
812,-24960.612747000003,70.64
813,-25304.571625499997,72.57
814,-25370.243257000002,73.25
815,-25104.6398005,72.88
816,-25209.6072905,72.56
817,-25063.716132,70.75
818,-25198.5801905,72.29
819,-25470.768401,72.13
820,-25529.8972865,71.42
821,-25262.671271000003,70.64
822,-25517.029711,69.92
823,-25329.14368,68.1
824,-25201.875193,69.67
825,-25090.06565,69.26
826,-25009.6702145,70.49
827,-25323.582871,70.45
828,-25225.110867999996,69.6
829,-25418.1612575,70.67
830,-25374.835256500002,70.28
831,-25216.6331285,71.89
832,-25488.217474,69.24
833,-25577.2035455,68.66
834,-25356.338609,69.95
835,-25093.084974999998,70.72
836,-25403.041003000002,71.16
837,-25574.244607,71.17
838,-25652.277092500004,73.25
839,-25865.6567285,71.33
840,-26200.6390225,72.79
841,-25913.3935695,72.55
842,-25706.320384500003,71.81
843,-25330.277896000003,71.88
844,-25306.551252499998,74.14
845,-25291.6016555,71.85
846,-25185.016857500003,69.76
847,-25718.8387685,72.1
848,-25693.8597615,72.16
849,-25632.893026,71.16
850,-25735.657721500003,71.44
851,-25389.448789500002,71.57
852,-24935.145397,70.99
853,-25182.8271905,72.0
854,-25679.6400535,71.27
855,-24843.788499,72.18
856,-25347.477546500002,71.95
857,-25801.668042499998,70.8
858,-25192.525787500002,70.57
859,-25452.689208,68.43
860,-25145.912660500002,69.57
861,-25390.611886,68.57
862,-25905.254519500002,70.99
863,-25712.597955,69.36
864,-25637.3642525,70.0
865,-26124.142454499997,71.26
866,-25785.2849225,71.67
867,-25736.526762,69.97
868,-25748.908620000002,72.23
869,-25607.021349,71.89
870,-25629.947215,72.26
871,-25380.451201,70.67
872,-25588.249024,70.14
