model,Gsolv,timing
0,-62.429139,0.08
1,-65.149157,0.06
2,-63.151151500000005,0.06
3,-64.4481485,0.05
4,-57.795131500000004,0.08
5,-62.455394,0.08
6,-63.547602,0.07
7,-63.5659805,0.09
8,-58.280848999999996,0.08
9,-64.4954075,0.09
10,-67.31782,0.08
11,-60.297233,0.06
12,-65.096647,0.07
13,-64.99162700000001,0.07
14,-63.631618,0.07
15,-61.573226,0.06
16,-62.6365535,0.08
17,-64.9574955,0.08
18,-63.3979485,0.06
19,-64.16984550000001,0.08
20,-59.772133000000004,0.06
21,-62.324118999999996,0.08
22,-61.877784,0.07
23,-66.1284685,0.07
24,-61.103261499999995,0.06
25,-64.4901565,0.06
26,-64.182973,0.06
27,-67.401836,0.07
28,-65.8921735,0.09
29,-62.408135,0.08
30,-67.3046925,0.07
31,-66.4855365,0.08
32,-68.50979699999999,0.07
33,-65.779277,0.07
34,-66.1284685,0.08
35,-64.0648255,0.07
36,-60.746193500000004,0.08
37,-62.731071500000006,0.09
38,-63.0408805,0.08
39,-65.8554165,0.06
40,-61.242413,0.09
41,-63.523972500000006,0.07
42,-64.33787749999999,0.08
43,-63.059259000000004,0.08
44,-62.9201075,0.09
45,-65.432711,0.06
46,-65.1150255,0.09
47,-65.737269,0.08
48,-62.899103499999995,0.08
49,-61.783266000000005,0.07
50,-59.057997,0.08
51,-62.95949,0.05
52,-61.2712935,0.06
53,-65.9184285,0.08
54,-60.643799,0.07
55,-60.1790855,0.07
56,-62.9568645,0.07
57,-61.3448075,0.06
58,-65.448464,0.08
59,-64.760583,0.07
60,-61.392066500000006,0.06
61,-59.2916665,0.08
62,-68.047709,0.08
63,-61.4918355,0.08
64,-61.7753895,0.08
65,-62.681187,0.05
66,-61.736007,0.09
67,-66.4802855,0.06
68,-64.15409249999999,0.07
69,-66.4277755,0.07
70,-62.88860149999999,0.07
71,-62.7625775,0.05
72,-59.478077,0.08
73,-62.74945,0.07
74,-63.258797,0.05
75,-62.6365535,0.08
76,-62.379254499999995,0.08
77,-64.84985,0.07
78,-61.8909115,0.08
79,-61.368437,0.07
80,-64.471778,0.07
81,-63.2036615,0.07
82,-64.214479,0.06
83,-61.7963935,0.07
84,-64.713324,0.06
85,-66.1547235,0.07
86,-61.783266000000005,0.07
87,-62.502653,0.07
88,-62.6575575,0.08
89,-62.34249749999999,0.07
90,-62.560413999999994,0.06
91,-62.733697,0.08
92,-62.5735415,0.07
93,-61.058628,0.06
94,-63.31655799999999,0.06
95,-64.0228175,0.07
96,-65.03888599999999,0.06
97,-62.5682905,0.08
98,-61.336931,0.08
99,-59.3966865,0.07
100,-64.540041,0.08
101,-62.917482,0.06
102,-66.2072335,0.07
103,-63.542351000000004,0.06
104,-64.981125,0.06
105,-64.865603,0.07
106,-63.79965,0.08
107,-61.0034925,0.09
108,-66.577429,0.06
109,-63.636869,0.08
110,-60.11869900000001,0.06
111,-58.711431,0.07
112,-61.7018755,0.07
113,-63.447833,0.06
114,-59.5647185,0.08
115,-59.3021685,0.05
116,-59.367806,0.08
117,-65.4615915,0.07
118,-66.00244450000001,0.07
119,-59.346802,0.06
120,-57.879147499999995,0.06
121,-62.64443,0.08
122,-66.83210249999999,0.08
123,-65.301436,0.07
124,-61.8646565,0.07
125,-61.2135325,0.08
126,-61.812146500000004,0.05
127,-64.592551,0.07
128,-64.55579399999999,0.07
129,-62.872848499999996,0.05
130,-62.43439,0.08
131,-65.1360295,0.08
132,-60.832834999999996,0.07
133,-62.7363225,0.06
134,-66.236114,0.07
135,-58.527646,0.07
136,-60.6884325,0.08
137,-61.027122,0.07
138,-63.95718,0.06
139,-60.3156115,0.08
140,-63.030378500000005,0.09
141,-63.610614,0.08
