model,Gsolv,timing
0,-2508.9304255,66.12
1,-2547.816706,65.64
2,-2484.059064,65.09
3,-2505.9741125,65.67
4,-2534.7495925000003,64.76
5,-2549.4681455,63.97
6,-2522.6722925,64.9
7,-2488.7245775,66.33
8,-2588.2572825,65.69
9,-2540.302525,65.08
10,-2499.8934544999997,65.76
11,-2524.255469,65.8
12,-2533.150663,68.06
13,-2508.161154,67.26
14,-2549.197719,65.36
15,-2527.1723994999998,66.44
16,-2553.2278615,67.84
17,-2559.1562405,66.42
18,-2551.7103225,66.13
19,-2511.8079735,65.23
20,-2505.3151119999998,65.0
21,-2419.0595605000003,66.35
22,-2401.6971289999997,65.64
23,-2402.3745080000003,65.52
24,-2437.992041,67.81
25,-2412.902763,67.11
26,-2381.0790775,66.69
27,-2517.7783605,68.91
28,-2470.9000579999997,67.53
29,-2496.0129655,66.98
30,-2486.1568385,67.64
31,-2499.570518,69.97
32,-2486.385257,67.41
33,-2441.457701,67.58
34,-2408.770226,68.86
35,-2456.2996525,67.67
36,-2487.046883,68.23
37,-2494.6398289999997,68.4
38,-2502.4848230000002,66.42
39,-2494.624076,66.76
40,-2507.0925755,67.38
41,-2436.6031515,67.84
42,-2456.076485,67.12
43,-2457.7541794999997,67.44
44,-2407.541492,68.34
45,-2410.004211,66.36
46,-2434.694413,68.44
47,-2434.46862,68.74
48,-2417.1271925,68.9
49,-2441.9066615,70.45
50,-2428.9051855,70.25
51,-2456.9113939999997,70.59
52,-2516.420977,70.2
53,-2489.3914545,70.27
54,-2563.4988175,71.32
55,-2463.7088135,71.07
56,-2459.599906,69.73
57,-2466.862039,71.04
58,-2487.256923,70.9
59,-2552.7657735,68.38
60,-2555.1917355,68.13
61,-2564.0974315,66.95
62,-2572.113083,67.0
63,-2541.541761,68.14
64,-2557.840865,67.92
65,-2551.3427525,68.1
66,-2503.4798874999997,66.42
67,-2469.3641405,67.41
68,-2510.2142949999998,68.15
69,-2498.1973815,67.23
70,-2471.0208310000003,66.13
71,-2470.642759,66.74
72,-2498.2446405,66.56
73,-2588.301916,67.32
74,-2517.1692445,65.54
75,-2446.409394,66.87
76,-2505.3702475,65.79
77,-2543.1616945,66.07
78,-2525.9121594999997,66.83
79,-2504.049621,64.91
80,-2467.665442,67.72
81,-2455.1391814999997,65.19
82,-2421.031311,65.55
83,-2420.4904579999998,66.67
84,-2535.419095,67.71
85,-2524.2160865,66.17
86,-2498.4179235,66.03
87,-2446.608932,66.22
88,-2365.3838385,66.76
89,-2418.1458865,67.22
90,-2407.00589,65.52
91,-2426.387331,65.61
92,-2474.2108135,65.08
93,-2470.8764285,65.95
94,-2439.6539825,65.34
95,-2486.022938,65.91
96,-2466.305433,68.04
97,-2477.889139,67.61
98,-2485.629113,67.23
99,-2443.0330010000002,67.99
100,-2408.728218,66.33
101,-2509.011816,68.74
102,-2538.727225,68.19
103,-2549.2423525,68.69
104,-2562.188693,69.81
105,-2537.4328535,69.43
106,-2563.574957,67.93
107,-2550.878039,68.5
108,-2533.23993,66.66
109,-2511.92087,66.12
110,-2633.649552,67.66
111,-2610.1592035,65.62
112,-2588.359677,68.0
113,-2504.952793,67.53
114,-2475.8648785,70.11
115,-2531.8825465,68.76
116,-2555.514672,69.13
117,-2527.2406625,66.71
118,-2557.0978485,65.97
119,-2520.8922035,66.36
120,-2591.357998,66.16
121,-2481.585843,66.61
122,-2532.8093479999998,66.05
123,-2513.291381,68.07
124,-2547.3572435,67.17
125,-2531.3679485,66.43
126,-2568.4688889999998,66.97
127,-2558.428977,68.75
128,-2603.571824,66.99
129,-2554.1467865,66.98
130,-2518.8705685,68.07
131,-2523.8380145,69.05
132,-2533.880552,67.93
133,-2504.2780395,66.49
134,-2551.7208244999997,66.71
135,-2542.58671,68.09
136,-2521.9739095,67.88
137,-2535.398091,69.39
138,-2500.9226505,68.44
139,-2485.0226225,67.82
140,-2424.4313335,67.43
141,-2397.034241,68.8
142,-2357.572976,67.78
143,-2425.862231,69.1
144,-2479.2150165,66.66
145,-2395.028359,68.67
146,-2412.9999064999997,68.08
147,-2380.1759054999998,68.75
148,-2392.51313,69.74
149,-2363.8689249999998,67.4
150,-2341.6650715,65.17
151,-2423.91411,67.16
152,-2409.510617,67.74
153,-2442.602419,67.1
154,-2398.4178795000003,69.43
155,-2445.9210510000003,68.26
156,-2449.4628505,67.84
157,-2444.933863,67.52
158,-2447.1314065,67.78
159,-2462.041621,67.21
160,-2409.9700795,67.81
161,-2444.7579545,67.73
162,-2416.4629410000002,66.66
163,-2401.382069,65.6
164,-2384.0406414999998,67.99
165,-2451.0749075,66.27
166,-2502.2511535000003,67.83
167,-2463.464642,69.63
168,-2470.8081654999996,68.92
169,-2489.4991,67.32
170,-2496.8321215,66.69
171,-2480.7850654999997,67.31
172,-2468.804909,67.04
173,-2468.3086895,65.95
174,-2475.573448,65.78
175,-2588.963542,67.46
176,-2544.9995445,69.99
177,-2471.7060865,68.74
178,-2557.378777,69.51
179,-2585.298344,69.67
180,-2542.21914,68.58
181,-2565.5782135,69.35
182,-2548.031997,69.61
183,-2559.468675,68.59
184,-2604.081171,67.4
185,-2551.760207,71.03
186,-2570.3933804999997,68.68
187,-2547.0631875,68.06
188,-2581.4047275,68.57
189,-2546.3700555,68.87
190,-2575.9069305,67.1
191,-2594.9628095000003,67.78
192,-2564.268089,67.1
193,-2583.8621955000003,67.78
194,-2536.190992,66.99
195,-2570.821337,67.93
196,-2542.9332759999998,67.6
197,-2489.835164,67.29
198,-2460.3875559999997,68.73
199,-2552.0568885,68.87
200,-2501.970225,67.41
201,-2471.48817,67.61
202,-2469.7054555,66.78
203,-2525.3292985,68.81
204,-2456.3049035,68.1
205,-2445.1045205,68.72
206,-2491.8226675,68.48
207,-2548.977177,67.19
208,-2615.512598,67.82
209,-2616.6651925,69.4
210,-2633.6679305000002,66.23
211,-2611.2199055,68.77
212,-2589.8063275,67.36
213,-2535.1539195,69.37
214,-2522.050049,66.73
215,-2698.137083,67.08
216,-2572.9558685,66.89
217,-2638.8979265000003,68.19
218,-2565.003229,66.9
219,-2562.881825,68.24
220,-2512.797787,65.91
221,-2513.5854369999997,66.28
222,-2454.6718425,65.41
223,-2561.1411185,66.53
224,-2616.2792440000003,66.76
225,-2664.0213360000002,67.36
226,-2615.034757,67.36
227,-2560.5109985,66.08
228,-2580.330898,68.16
229,-2572.4255175,66.7
230,-2528.545536,69.05
231,-2526.4477615,68.21
232,-2513.9136245,67.74
233,-2548.735631,67.13
234,-2510.146032,65.42
235,-2510.744646,64.84
236,-2545.57978,67.46
237,-2566.158449,66.57
238,-2552.873419,65.76
239,-2503.4483815000003,66.79
240,-2543.6815435,67.03
241,-2570.4905240000003,66.03
242,-2603.4799315,67.29
243,-2557.4864225,68.17
244,-2522.9926035,66.95
245,-2601.1694915,67.96
246,-2577.0621505,67.17
247,-2617.1535355,68.87
248,-2607.966911,68.35
249,-2625.7415459999997,70.03
250,-2550.6338675,68.22
251,-2532.7909695,64.91
252,-2603.3801625,68.02
253,-2570.8187115,69.13
254,-2550.4868395,68.32
255,-2546.3149200000003,66.42
256,-2490.150224,67.35
257,-2538.2625115,65.99
258,-2494.7159685,65.94
259,-2486.9024805,67.2
260,-2502.579341,67.25
261,-2497.00803,67.37
262,-2404.9448725,67.13
263,-2605.1287455,66.11
264,-2556.144792,68.14
265,-2501.6682925,68.32
266,-2596.0655195,68.41
267,-2596.1075275000003,66.41
268,-2545.5876565,66.07
269,-2524.0060464999997,67.07
270,-2510.1066495,68.28
271,-2558.045654,65.93
272,-2570.1150775,66.03
273,-2608.2740945,66.52
274,-2587.6586684999997,65.93
275,-2556.5412425,66.68
276,-2562.7636775,66.93
277,-2540.339282,66.17
278,-2614.010812,67.33
279,-2602.6922815,66.83
280,-2578.0755934999997,65.26
281,-2575.5446115,66.98
282,-2557.126729,67.33
283,-2613.6458675,67.24
284,-2639.5989350000004,66.77
285,-2555.7483415,65.99
286,-2560.707911,67.59
287,-2528.30399,66.72
288,-2453.114921,67.09
289,-2496.236133,68.76
290,-2453.6557740000003,66.6
291,-2499.1793185,66.25
292,-2506.3626865,67.32
293,-2512.2123005,65.87
294,-2414.0212260000003,68.84
295,-2472.3257045,68.61
296,-2510.849666,68.59
