model,Gsolv,timing
0,-118.25777099999999,0.08
1,-104.53165700000001,0.08
2,-112.135105,0.09
3,-119.244959,0.1
4,-107.45383849999999,0.08
5,-107.046886,0.1
6,-113.5029905,0.1
7,-115.432733,0.06
8,-114.062222,0.1
9,-112.94901,0.09
10,-108.03407399999999,0.07
11,-105.1066415,0.08
12,-119.754306,0.09
13,-116.43042299999999,0.09
14,-107.4223325,0.09
15,-113.253568,0.07
16,-111.2135545,0.09
17,-111.23718400000001,0.11
18,-114.94439,0.1
19,-125.315115,0.07
20,-124.61410649999999,0.08
21,-112.429161,0.12
22,-114.729099,0.08
23,-123.0755635,0.09
24,-112.4842965,0.09
25,-118.677851,0.06
26,-114.093728,0.09
27,-114.492804,0.11
28,-118.431054,0.1
29,-126.123769,0.09
30,-118.1475,0.1
31,-118.551827,0.1
32,-110.6937055,0.09
33,-106.6189295,0.08
34,-108.910991,0.09
35,-119.3316005,0.07
36,-125.9268565,0.09
37,-115.5508805,0.07
38,-119.12681149999999,0.09
39,-121.4792595,0.09
40,-111.462977,0.09
41,-114.8787525,0.08
42,-115.369721,0.1
43,-113.46098250000001,0.1
44,-112.271631,0.1
45,-121.880961,0.09
46,-116.15212000000001,0.06
47,-117.0001565,0.08
48,-113.9125685,0.07
49,-119.84882400000001,0.1
50,-106.39576199999999,0.09
51,-136.09804350000002,0.09
52,-118.919397,0.07
53,-114.639832,0.08
54,-115.73991649999999,0.07
55,-119.34997899999999,0.08
56,-121.93609649999999,0.07
57,-118.509819,0.11
58,-115.6401475,0.08
59,-115.22794400000001,0.09
60,-113.852182,0.08
61,-118.1816315,0.09
62,-118.71198249999999,0.1
63,-114.88925449999999,0.08
64,-115.3933505,0.09
65,-120.9384065,0.08
66,-112.54993400000001,0.06
67,-124.805768,0.08
68,-119.6256565,0.07
69,-118.893142,0.08
70,-114.75797949999999,0.07
71,-117.0316625,0.09
72,-128.1480295,0.08
73,-122.301041,0.07
74,-123.90259599999999,0.08
75,-122.04111649999999,0.09
76,-119.76218250000001,0.06
77,-113.925696,0.08
78,-117.36247549999999,0.07
79,-122.42181400000001,0.08
80,-124.36993500000001,0.09
81,-114.2696365,0.09
82,-121.38999249999999,0.09
83,-119.40248899999999,0.07
84,-110.943128,0.1
85,-112.6523285,0.06
86,-121.550148,0.1
87,-108.6090585,0.09
88,-112.140356,0.07
89,-111.536491,0.08
90,-111.23718400000001,0.06
91,-109.75640200000001,0.1
92,-118.4179265,0.09
93,-110.244745,0.08
94,-121.056554,0.09
95,-110.6621995,0.09
96,-121.6157855,0.06
97,-117.34409699999999,0.09
98,-107.04426050000001,0.08
99,-110.27625099999999,0.09
100,-112.870245,0.07
101,-127.79621250000001,0.08
102,-120.18488799999999,0.08
103,-120.9226535,0.1
104,-118.677851,0.08
105,-116.17837499999999,0.08
106,-119.30797100000001,0.08
107,-116.44092500000001,0.08
108,-120.53407949999999,0.09
109,-115.66640249999999,0.08
110,-113.3507115,0.09
111,-108.42789900000001,0.07
112,-116.58007649999999,0.07
113,-117.85606949999999,0.07
114,-116.4172955,0.08
115,-109.047517,0.1
116,-116.692973,0.1
117,-122.2879135,0.09
118,-119.0637995,0.06
119,-117.4779975,0.1
120,-115.1308005,0.1
121,-112.4790455,0.09
122,-123.687305,0.09
123,-115.4143545,0.08
124,-108.65106650000001,0.07
125,-118.914146,0.08
126,-120.05623849999999,0.08
127,-116.950272,0.09
128,-117.98209349999999,0.07
129,-117.753675,0.08
130,-118.184257,0.08
131,-112.79147999999999,0.09
132,-113.2194365,0.08
133,-114.403537,0.08
134,-117.61452349999999,0.09
135,-111.1400405,0.08
136,-110.06096,0.08
137,-116.92139150000001,0.09
138,-121.229837,0.1
139,-126.370566,0.08
140,-116.20988100000001,0.08
141,-115.70578499999999,0.07
142,-118.69097849999999,0.1
143,-106.38788550000001,0.09
144,-124.34367999999999,0.08
145,-123.545528,0.07
146,-122.022738,0.09
147,-112.9516355,0.08
148,-120.61284450000001,0.08
