model,Gsolv,timing
0,-2489.7537735,71.3
1,-2511.0675825,73.21
2,-2549.817337,72.29
3,-2555.1077195,68.82
4,-2586.7659985,69.97
5,-2583.922582,69.94
6,-2524.7149315,67.79
7,-2569.2381605,70.92
8,-2544.1016235,68.08
9,-2573.6279965,70.35
10,-2566.8935890000002,69.53
11,-2588.48045,68.77
12,-2604.931833,69.97
13,-2640.948442,71.28
14,-2626.7471125,70.13
15,-2547.0316815,69.26
16,-2536.8604944999997,69.97
17,-2600.363463,68.07
18,-2570.1780895,68.9
19,-2560.6396480000003,68.78
20,-2511.190981,68.72
21,-2505.456889,67.64
22,-2506.3574355,67.67
23,-2585.1119335,71.28
24,-2541.8962035,72.47
25,-2548.236786,68.48
26,-2474.9302005,67.17
27,-2505.231096,68.2
28,-2449.260687,70.78
29,-2423.6594365,70.97
30,-2435.124995,69.84
31,-2464.5384715,68.51
32,-2483.891032,70.76
33,-2470.716273,69.79
34,-2446.026071,70.73
35,-2462.5956015,71.59
36,-2373.0818045,70.72
37,-2332.4810725,71.64
38,-2385.4794155,70.65
39,-2465.3838825000003,70.81
40,-2477.7027285,72.7
41,-2469.3431365,70.42
42,-2444.0333165,68.85
43,-2447.1891675,69.63
44,-2454.3042725,70.48
45,-2469.7894715,71.79
46,-2502.1303805000002,70.84
47,-2489.546359,70.97
48,-2434.925457,70.56
49,-2449.323699,70.35
50,-2431.7249725,69.68
51,-2411.028156,70.93
52,-2555.2468710000003,69.53
53,-2480.4017425,67.21
54,-2451.439852,68.9
55,-2449.139914,67.98
56,-2407.0400215,67.76
57,-2334.0038624999997,69.98
58,-2499.94859,69.24
59,-2465.418014,70.2
60,-2466.3710705,68.64
61,-2406.3967740000003,69.79
62,-2438.5407705000002,68.56
63,-2491.23193,69.86
64,-2500.8753914999998,69.96
65,-2527.679121,69.98
66,-2518.4399865,68.72
67,-2490.1475985,68.98
68,-2522.1340649999997,69.49
69,-2448.4389055,69.24
70,-2465.612301,67.99
71,-2416.788503,69.55
72,-2495.758292,70.65
73,-2515.8617455,70.65
74,-2493.9020634999997,69.5
75,-2485.335057,68.07
76,-2484.048562,69.17
77,-2459.0984355,69.0
78,-2431.1053545,68.8
79,-2517.3005195,68.96
80,-2459.6497905,67.5
81,-2509.8178445,68.59
82,-2492.3372655000003,69.04
83,-2480.026296,68.71
84,-2459.6917985,68.59
85,-2473.320769,66.11
86,-2440.3418635,67.07
87,-2423.131711,67.47
88,-2399.0742545,68.48
89,-2469.902368,68.37
90,-2375.652169,67.55
91,-2357.6097330000002,67.2
92,-2448.987635,67.49
93,-2474.544252,68.17
94,-2478.2750875,69.05
95,-2463.742945,68.86
96,-2556.5149874999997,69.86
97,-2527.98893,68.03
98,-2576.8468595,68.77
99,-2559.4818025,68.98
100,-2524.638792,69.86
101,-2474.6256425,68.14
102,-2433.7466075,66.84
103,-2530.567171,65.93
104,-2535.676394,66.47
105,-2496.818994,68.34
106,-2524.5206445,68.34
107,-2479.264901,69.34
108,-2495.884316,69.17
109,-2471.9948915,68.56
110,-2542.5315745,69.21
111,-2492.408154,67.13
112,-2519.9575255,69.5
113,-2492.7258395,68.88
114,-2472.1839275,68.56
115,-2502.8497675000003,68.1
116,-2591.8962255,68.35
117,-2515.7147175,66.87
118,-2506.475583,66.84
119,-2509.0827045,68.08
120,-2538.669464,68.72
121,-2500.6128415,68.68
122,-2567.0274895,68.73
123,-2626.660471,68.15
124,-2641.8122315,67.61
125,-2678.1439005,70.17
126,-2626.208885,68.51
127,-2598.215804,68.82
128,-2577.0805290000003,70.54
129,-2633.0378105,71.96
130,-2649.2476475,72.19
131,-2655.4228235,71.81
132,-2573.3811995,70.59
133,-2545.621788,70.87
134,-2599.3421435,71.85
135,-2593.6028005000003,71.07
136,-2615.675379,74.61
137,-2505.6590524999997,70.69
138,-2490.481037,69.67
139,-2554.7821575,71.17
140,-2539.761672,69.12
141,-2520.6086495,70.32
142,-2586.128002,69.26
143,-2578.03096,69.94
144,-2566.589031,69.2
145,-2511.0728335,70.33
146,-2496.6535875,69.67
147,-2475.200627,69.14
148,-2480.93997,69.28
149,-2465.496779,71.44
150,-2540.654342,70.22
151,-2542.1797575,68.66
152,-2532.6596945,70.72
153,-2447.8376660000004,68.88
154,-2493.153796,70.32
155,-2562.9264585,67.77
156,-2537.0022715,69.4
157,-2584.305905,71.65
158,-2541.4813745,68.84
159,-2561.0308475,69.86
160,-2521.346415,72.75
161,-2508.98031,70.99
162,-2546.9240360000003,69.06
163,-2492.8203575000002,70.65
164,-2603.067728,72.06
165,-2479.7243635,70.56
166,-2555.9058715,70.84
167,-2542.8387580000003,71.56
168,-2521.5275745,70.51
169,-2500.6023394999997,72.15
170,-2568.3717455,72.12
171,-2535.4479755,69.9
172,-2524.8829635,69.9
173,-2623.457361,69.91
174,-2613.716756,70.4
175,-2585.7000454999998,72.18
176,-2634.9386725,69.83
177,-2568.342865,68.96
178,-2556.2891945,70.73
179,-2533.7834085,70.99
180,-2556.23931,70.54
181,-2607.683357,73.04
182,-2669.6162765,73.9
183,-2580.330898,70.65
184,-2532.1634750000003,70.45
185,-2535.644888,71.62
186,-2515.2106215,70.26
187,-2618.3612654999997,72.91
188,-2548.845902,70.37
189,-2612.766325,71.93
190,-2619.8656770000002,70.73
191,-2622.853496,68.71
192,-2578.4799205,69.06
193,-2634.0801340000003,69.92
194,-2554.968568,69.79
195,-2645.4616765,71.26
196,-2627.1041805,68.85
197,-2606.685667,68.5
198,-2619.8656770000002,69.44
199,-2635.261609,69.24
200,-2574.6388140000004,71.18
201,-2599.1216015,69.38
202,-2543.4688779999997,67.06
203,-2539.236572,68.21
204,-2526.4267575,68.84
205,-2536.201494,67.44
206,-2506.2629175,69.11
207,-2629.4513775,71.21
208,-2522.974225,71.58
209,-2550.232166,69.79
210,-2522.076304,70.35
211,-2505.021056,71.39
212,-2492.045835,72.16
213,-2516.7754195,70.16
214,-2497.5672615000003,70.9
215,-2537.645519,70.16
216,-2570.0940735,71.64
217,-2584.6655984999998,69.28
218,-2663.6668935000002,72.0
219,-2632.8802804999996,71.32
220,-2581.4099785000003,70.09
221,-2585.912711,69.38
222,-2615.307809,68.69
223,-2600.2111840000002,69.64
224,-2546.8163905,66.85
225,-2571.278174,69.4
226,-2519.288023,70.76
227,-2508.7676445,69.88
228,-2504.642984,70.54
229,-2517.38191,69.36
230,-2610.2589725000003,70.27
231,-2570.616548,72.18
232,-2519.067481,69.36
233,-2520.8423190000003,71.12
234,-2579.1205425,71.11
235,-2622.4412925,70.9
236,-2568.5502794999998,70.97
237,-2572.6014259999997,70.86
238,-2557.268506,71.89
239,-2636.989188,74.29
240,-2569.361559,71.19
241,-2562.0075335,70.27
242,-2584.2455185,70.16
243,-2571.073385,70.91
244,-2637.0837060000003,70.78
245,-2591.4393885,71.61
246,-2605.735236,70.17
247,-2584.731236,71.22
248,-2594.6031159999998,71.49
249,-2502.054241,70.83
250,-2509.7784619999998,71.62
251,-2594.5558570000003,70.79
252,-2609.6025975,68.06
253,-2596.157412,69.69
254,-2529.2570465,69.27
255,-2579.9817064999997,70.59
256,-2598.5019835,69.83
257,-2665.5047434999997,70.16
258,-2620.343518,70.69
259,-2627.9600935,69.6
260,-2672.044864,69.42
261,-2609.5710915,68.92
262,-2635.356127,69.07
263,-2609.3059160000003,69.43
264,-2541.678287,70.06
265,-2553.865858,71.9
266,-2520.6664105,67.82
267,-2596.645755,69.09
268,-2638.595994,69.02
269,-2625.300462,67.58
270,-2580.1392365,69.33
271,-2599.7070879999997,68.17
