model,Gsolv,timing
0,-2515.5886935,70.6
1,-2536.878873,72.75
2,-2578.0388365,70.98
3,-2588.3570515,68.01
4,-2616.5181645,69.93
5,-2615.3524425,68.39
6,-2555.798226,67.54
7,-2601.8783765,70.4
8,-2574.2633675,67.56
9,-2606.1001805,70.19
10,-2598.0425210000003,68.36
11,-2619.839422,68.52
12,-2638.128655,70.16
13,-2671.5486445,68.67
14,-2659.6026195,71.88
15,-2575.2610575,70.69
16,-2570.028436,69.86
17,-2633.6994365,68.22
18,-2608.64429,67.8
19,-2590.8197705,68.82
20,-2543.300846,69.09
21,-2544.177763,67.61
22,-2542.7757460000003,68.01
23,-2615.9405545,70.26
24,-2576.3480145,72.45
25,-2583.7519245,67.36
26,-2504.9711715,67.45
27,-2537.4328535,68.18
28,-2484.3609965,70.88
29,-2453.84481,70.2
30,-2468.2614305,70.1
31,-2497.984716,69.32
32,-2512.099404,70.16
33,-2504.1835215,69.4
34,-2475.8701295,70.99
35,-2493.505613,71.48
36,-2402.1329619999997,69.86
37,-2364.1813595,71.0
38,-2419.5137720000002,70.73
39,-2499.0322905,71.12
40,-2514.667143,73.13
41,-2504.369932,70.24
42,-2478.671538,69.09
43,-2480.855954,69.5
44,-2481.9009029999997,71.28
45,-2498.5098160000002,70.92
46,-2529.7821465,70.97
47,-2519.3746645,70.48
48,-2465.853847,71.65
49,-2481.3679265,70.55
50,-2461.7344375000002,70.84
51,-2442.670682,70.85
52,-2580.514683,69.51
53,-2503.0388035,67.89
54,-2482.9432265,69.27
55,-2474.171431,67.56
56,-2431.9192595,67.38
57,-2357.247414,68.79
58,-2526.3217375,69.45
59,-2489.7327695,71.54
60,-2494.4219125,68.59
61,-2430.1811785,68.7
62,-2464.7065035,69.48
63,-2520.2200755,69.93
64,-2525.583972,69.45
65,-2554.2623085,68.51
66,-2547.2364705,68.16
67,-2519.897139,69.98
68,-2550.5551025,68.88
69,-2476.6420265,68.82
70,-2492.318887,68.36
71,-2443.6736229999997,69.05
72,-2522.9873525,70.75
73,-2545.133445,70.31
74,-2518.0146555,69.48
75,-2512.7111455,68.27
76,-2510.2169205,68.35
77,-2487.4958435,68.89
78,-2456.396796,68.41
79,-2540.6254615,69.47
80,-2489.3783270000004,68.06
81,-2533.3895835,68.92
82,-2523.851142,69.53
83,-2502.7815044999998,68.56
84,-2479.5064469999998,69.34
85,-2494.9050045,65.92
86,-2458.943531,67.21
87,-2445.5272259999997,67.17
88,-2423.7959625,68.62
89,-2493.584378,68.15
90,-2400.1192035,67.51
91,-2380.1759054999998,67.07
92,-2469.6109375,68.93
93,-2501.980727,68.7
94,-2498.677848,69.39
95,-2482.8067005000003,69.26
96,-2577.637135,69.7
97,-2551.5422905,67.74
98,-2597.6697,67.94
99,-2581.4729905,67.93
100,-2549.381504,68.12
101,-2507.021687,67.89
102,-2465.0845755,66.34
103,-2555.961007,65.37
104,-2561.6557165,66.42
105,-2522.155069,68.28
106,-2554.7769065,67.14
107,-2503.8842145000003,69.37
108,-2523.2394005,68.84
109,-2493.0619035,67.91
110,-2563.0761119999997,68.11
111,-2511.0150725,67.3
112,-2536.7134665,69.43
113,-2514.730155,69.46
114,-2494.524307,68.93
115,-2525.41594,67.48
116,-2614.6488085,67.87
