model,Gsolv,timing
0,-90.42222,0.07
1,-86.8699185,0.06
2,-88.0881505,0.06
3,-87.7100785,0.07
4,-89.2906295,0.06
5,-89.177733,0.07
6,-91.50917700000001,0.08
7,-87.75471200000001,0.07
8,-87.045827,0.06
9,-89.43240650000001,0.07
10,-88.6237525,0.08
11,-88.7760315,0.09
12,-89.8839925,0.06
13,-92.753664,0.08
14,-90.364459,0.08
15,-89.8787415,0.07
16,-87.6838235,0.08
17,-85.7987145,0.08
18,-87.838728,0.08
19,-89.16197999999999,0.06
20,-88.31394350000001,0.08
21,-88.988697,0.07
22,-91.26763100000001,0.05
23,-89.5531795,0.07
24,-85.0530725,0.07
25,-87.2584925,0.07
26,-86.5758625,0.06
27,-86.53910549999999,0.07
28,-89.555805,0.08
29,-86.531229,0.09
30,-81.9549825,0.07
31,-87.108839,0.08
32,-87.19548049999999,0.08
33,-83.160087,0.07
34,-89.666076,0.08
35,-89.960132,0.08
36,-91.22299749999999,0.08
37,-90.52723999999999,0.07
38,-89.08321500000001,0.06
39,-88.500354,0.09
40,-91.10485,0.07
41,-92.186556,0.07
42,-89.88924349999999,0.05
43,-86.967062,0.07
44,-88.096027,0.09
45,-89.2013625,0.08
46,-95.7126025,0.09
47,-88.962442,0.06
48,-82.27529349999999,0.06
49,-84.2234145,0.06
50,-87.32675549999999,0.06
51,-89.4429085,0.07
52,-87.922744,0.05
53,-87.402895,0.1
54,-87.7363335,0.08
55,-88.573868,0.06
56,-89.8157295,0.06
57,-88.48722649999999,0.07
58,-83.7193185,0.08
59,-87.450154,0.09
60,-89.660825,0.08
61,-88.4294655,0.1
62,-90.07040300000001,0.07
63,-84.709132,0.09
64,-90.94731999999999,0.07
65,-87.26111800000001,0.09
66,-87.22173550000001,0.08
67,-87.16922550000001,0.07
68,-89.40615149999999,0.08
69,-86.39470299999999,0.06
70,-85.18172200000001,0.07
71,-85.974623,0.08
72,-85.391762,0.09
73,-91.80848399999999,0.08
74,-86.3815755,0.08
75,-87.0799585,0.07
76,-89.08321500000001,0.09
77,-86.93818149999998,0.08
78,-85.5624195,0.09
79,-89.9154985,0.09
80,-88.153788,0.1
81,-80.5529655,0.08
82,-82.8686565,0.07
83,-85.3576305,0.06
84,-87.11409,0.08
85,-87.32413,0.07
86,-91.09697349999999,0.06
87,-86.578488,0.06
88,-88.49772850000001,0.07
89,-89.025454,0.08
90,-85.8774795,0.05
91,-88.4399675,0.07
92,-88.10390349999999,0.07
93,-88.81541399999999,0.08
94,-90.5141125,0.08
95,-88.40583600000001,0.07
96,-82.45120200000001,0.07
97,-86.7123885,0.06
98,-90.23580949999999,0.08
99,-83.742948,0.08
100,-87.01169549999999,0.09
101,-87.57617799999998,0.07
102,-87.48428550000001,0.07
103,-88.332322,0.08
104,-85.670065,0.08
105,-83.95823899999999,0.08
106,-88.3454495,0.08
107,-85.35500499999999,0.07
108,-92.29420149999999,0.07
109,-85.95099350000001,0.06
110,-87.46328150000001,0.08
111,-87.9936325,0.07
112,-87.471158,0.07
113,-86.079643,0.07
114,-85.1003315,0.08
115,-86.63099799999999,0.07
116,-86.5811135,0.06
117,-88.59487200000001,0.08
118,-88.384832,0.06
119,-90.311949,0.07
120,-89.744841,0.07
121,-86.4025795,0.08
122,-90.206929,0.07
123,-88.4557205,0.08
124,-93.278764,0.06
125,-87.980505,0.07
126,-91.047089,0.09
127,-86.730767,0.08
128,-90.08878150000001,0.08
129,-91.65620499999999,0.09
130,-87.17710199999999,0.06
131,-87.6523175,0.06
132,-87.63656449999999,0.06
133,-83.580167,0.07
134,-90.269941,0.09
135,-86.89879900000001,0.08
136,-90.374961,0.09
137,-85.4101405,0.07
138,-91.76910149999999,0.1
139,-87.3320065,0.1
140,-87.282122,0.07
141,-87.6208115,0.06
142,-86.783277,0.08
143,-87.612935,0.08
144,-92.58300650000001,0.07
145,-87.7573375,0.09
146,-87.14297049999999,0.08
147,-82.75576,0.09
148,-82.45907849999999,0.07
149,-87.450154,0.07
150,-86.6441255,0.09
151,-90.13604050000001,0.06
152,-86.935556,0.08
153,-92.370341,0.07
154,-92.496365,0.07
155,-85.890607,0.07
156,-94.512749,0.09
157,-85.27624,0.08
158,-87.7363335,0.09
159,-84.78527150000001,0.06
160,-91.3175155,0.07
161,-81.8552135,0.06
162,-85.64118450000001,0.07
163,-90.3303275,0.07
164,-83.343872,0.06
165,-88.81278850000001,0.1
166,-88.48722649999999,0.08
167,-88.2456805,0.06
168,-88.1669155,0.06
169,-87.5945565,0.08
170,-85.601802,0.08
171,-87.03269949999999,0.08
172,-88.306067,0.09
173,-86.26080250000001,0.07
174,-90.78979,0.06
175,-88.2141745,0.07
176,-88.24830600000001,0.07
177,-87.5998075,0.08
178,-86.14265499999999,0.07
179,-85.6779415,0.07
180,-89.43240650000001,0.07
181,-84.95067800000001,0.07
182,-83.67731049999999,0.07
183,-84.1446495,0.07
184,-89.2591235,0.08
185,-85.88010500000001,0.08
186,-89.209239,0.07
187,-90.4668535,0.07
188,-90.00476549999999,0.07
189,-92.6197635,0.07
190,-87.1114645,0.09
191,-88.8495455,0.08
192,-87.0379505,0.07
193,-86.525978,0.05
194,-86.5653605,0.07
195,-84.9217975,0.08
196,-81.6031655,0.08
197,-89.43503199999999,0.08
198,-89.97851050000001,0.09
199,-86.1242765,0.06
200,-86.9434325,0.06
201,-88.9965735,0.07
202,-89.8262315,0.08
203,-88.7655295,0.08
204,-91.2177465,0.08
205,-85.06357449999999,0.06
206,-89.12259750000001,0.06
207,-90.2515625,0.07
208,-89.10946999999999,0.08
209,-87.492162,0.07
210,-87.224361,0.07
211,-91.1704875,0.06
212,-87.108839,0.07
213,-87.27424549999999,0.07
214,-87.74421,0.09
215,-87.3740145,0.07
216,-89.82098049999999,0.06
217,-90.72152700000001,0.07
218,-90.54299300000001,0.07
219,-87.62868800000001,0.09
220,-84.1131435,0.06
221,-88.9860715,0.08
222,-90.0467735,0.06
223,-89.3116335,0.08
224,-89.12259750000001,0.07
225,-91.146858,0.08
226,-85.234232,0.07
227,-88.5502385,0.07
228,-88.81541399999999,0.07
229,-87.21648449999999,0.07
230,-87.0799585,0.06
231,-93.2603855,0.08
232,-90.621758,0.08
233,-93.64370849999999,0.08
234,-86.06388999999999,0.06
235,-89.398275,0.06
236,-86.6966355,0.06
237,-85.144965,0.06
238,-86.9434325,0.07
239,-89.986387,0.08
240,-91.010332,0.07
241,-86.63099799999999,0.07
242,-90.9079375,0.07
243,-84.887666,0.08
244,-85.1790965,0.08
245,-85.8932325,0.06
246,-89.3641435,0.08
247,-83.2309755,0.08
248,-88.05139349999999,0.07
249,-86.1977905,0.05
250,-88.1406605,0.08
251,-92.59088299999999,0.07
252,-89.36676899999999,0.09
253,-91.16261100000001,0.06
254,-90.9604475,0.09
255,-87.3845165,0.09
256,-89.960132,0.07
257,-87.77309050000001,0.08
258,-89.608315,0.07
259,-88.8390435,0.08
260,-87.3372575,0.08
261,-89.18298399999999,0.08
262,-85.10295699999999,0.08
263,-86.31856350000001,0.07
264,-87.32150449999999,0.09
265,-86.552233,0.08
266,-82.062628,0.1
267,-88.626378,0.08
268,-85.318248,0.06
269,-89.5006695,0.08
270,-90.6243835,0.09
271,-90.3565825,0.07
272,-81.800078,0.08
273,-87.570927,0.08
274,-86.62312150000001,0.07
275,-88.684139,0.06
276,-87.948999,0.08
277,-88.500354,0.08
278,-86.54435649999999,0.07
279,-86.17678649999999,0.06
280,-83.443641,0.06
281,-85.85385,0.09
282,-88.311318,0.09
283,-81.9549825,0.07
284,-90.65326400000001,0.09
285,-87.927995,0.06
286,-87.57880349999999,0.08
