model,Gsolv,timing
0,-4566.390373,64.48
1,-4635.603804,64.61
2,-4534.8817475,66.07
3,-4657.6816335,66.17
4,-4455.326472,65.86
5,-4587.3812455,66.31
6,-4568.9187295,65.48
7,-4545.239345,66.35
8,-4602.617022,64.8
9,-4487.24205,64.07
10,-4536.2680115,64.92
11,-4728.898321,63.65
12,-4625.086050999999,64.87
13,-4679.4444029999995,65.59
14,-4739.347811,63.62
15,-4611.1262675,64.59
16,-4674.329929,64.5
17,-4669.7851885,65.96
18,-4716.34318,65.3
19,-4681.8309825,66.06
20,-4691.705488,65.74
21,-4583.479752499999,65.03
22,-4659.8292925,67.42
23,-4670.3943045,66.33
24,-4621.8278055,65.2
25,-4603.677724,65.51
26,-4686.249699,66.41
27,-4566.9180985,63.97
28,-4698.316497,65.29
29,-4683.0938479999995,66.51
30,-4809.687581499999,67.6
31,-4679.63869,65.18
32,-4707.195938,66.56
33,-4616.2564945,66.8
34,-4746.016581,67.37
35,-4767.5588085,64.88
36,-4722.32932,66.04
37,-4768.8663075,66.85
38,-4688.04029,67.62
39,-4821.7543795,66.71
40,-4831.256064,66.4
41,-4720.769773,66.19
42,-4691.981165499999,66.22
43,-4731.2245139999995,66.22
44,-4759.9448585,64.85
45,-4697.3319345,64.42
46,-4803.9613659999995,63.63
47,-4701.7585275,63.99
48,-4668.335912500001,62.44
49,-4699.742143500001,63.74
50,-4823.1563965,64.1
51,-4818.826947,64.95
52,-4674.2432874999995,64.1
53,-4712.4810695,63.76
54,-4718.674624,65.81
55,-4781.103763,64.43
56,-4724.3798355,64.61
57,-4833.1805555,64.0
58,-4852.3362035,64.99
59,-4740.697318,65.27
60,-4825.170155,64.97
61,-4766.626756,64.05
62,-4802.9557995,66.38
63,-4752.643343000001,65.49
64,-4599.571442,64.71
65,-4626.2018885,65.26
66,-4731.72861,63.7
67,-4776.566899,63.77
68,-4828.942998500001,63.04
69,-4809.5773105,64.58
70,-4787.362955,63.76
71,-4725.7555975,63.24
72,-4915.004263,62.39
73,-4892.015385,63.43
74,-4767.3382665,62.42
75,-4747.387092,62.13
76,-4741.474466000001,61.42
77,-4757.4506335,62.65
78,-4702.233743,62.64
79,-4664.2033755,63.99
80,-4744.099966,63.37
81,-4767.8948725,64.01
82,-4747.686399,62.54
83,-4807.8129745,63.28
84,-4638.218802,65.04
85,-4631.2480995,63.69
