model,Gsolv,timing
0,-2330.3701705,64.62
1,-2375.5497745000002,65.65
2,-2309.1508795,66.05
3,-2390.2053155,65.99
4,-2258.82267,65.76
5,-2344.0490255,66.7
6,-2330.0131025,65.37
7,-2316.3184945,65.66
8,-2360.6579385,65.01
9,-2279.66914,64.49
10,-2308.6310304999997,64.34
11,-2434.1115520000003,63.93
12,-2366.5836919999997,65.01
13,-2401.7076309999998,64.99
14,-2440.5781585,63.55
15,-2358.948738,64.65
16,-2396.1021885,64.68
17,-2396.493388,65.3
18,-2427.2721245,65.84
19,-2401.529097,66.19
20,-2413.9188315,66.93
21,-2344.36146,64.44
22,-2388.228314,67.61
23,-2394.9837255,66.87
24,-2364.4019015000003,65.57
25,-2351.308533,65.52
26,-2406.42828,66.55
27,-2331.113187,64.17
28,-2413.5985204999997,65.31
29,-2409.5552505,67.0
30,-2486.8919785000003,68.0
31,-2400.5025265,65.76
32,-2416.546957,67.13
33,-2362.7845935,67.09
34,-2444.587297,67.49
35,-2459.437125,65.21
36,-2429.3147635,65.61
37,-2458.376423,67.03
38,-2409.783669,67.41
39,-2492.1902375,67.43
40,-2499.124183,66.75
41,-2429.6823335,66.2
42,-2409.4344775,66.4
43,-2437.608718,66.63
44,-2452.0043345000004,64.15
45,-2417.901715,64.43
46,-2483.4735775,64.13
47,-2414.4098,65.09
48,-2396.9475995000003,62.52
49,-2415.0477965,64.07
50,-2498.1186165,64.38
51,-2490.9982605,65.15
52,-2398.1605805,64.7
53,-2421.2019685,64.19
54,-2425.7178285,66.09
55,-2466.2765525,64.86
56,-2429.711214,64.3
57,-2498.7487365,64.42
58,-2513.874242,65.4
59,-2437.6008414999997,66.06
60,-2493.6395135,64.99
61,-2459.059053,64.58
62,-2478.876327,66.84
63,-2450.2715045,65.27
64,-2353.5375825,65.38
65,-2367.371342,64.16
66,-2437.887021,63.02
67,-2464.520093,63.58
68,-2499.84357,62.93
69,-2482.9222225,64.56
70,-2473.5386855,63.16
71,-2434.2244485,63.07
72,-2553.1701005,63.21
73,-2538.895257,64.37
74,-2455.225823,62.95
75,-2444.8367195,61.58
76,-2441.336928,61.56
77,-2453.046658,62.23
78,-2416.9013995,61.12
79,-2392.675911,64.55
80,-2441.8121435,63.46
81,-2460.7131179999997,63.52
82,-2443.337559,62.62
83,-2483.638984,63.89
