model,Gsolv,timing
0,-25381.483022499997,68.69
1,-25289.9055825,67.89
2,-25324.034457,67.4
3,-24935.715130499997,68.9
4,-24589.038859499997,69.02
5,-24742.525589499997,66.78
6,-24834.494229000004,68.34
7,-25150.100333000002,69.17
8,-24836.3137005,68.07
9,-24910.833267,68.67
10,-24817.32871,66.85
11,-24549.2730365,67.23
12,-24642.6410675,66.29
13,-24843.2870285,68.02
14,-24914.477461,69.26
15,-24573.530031000002,68.04
16,-24571.4690135,69.42
17,-24499.939891500002,69.9
18,-24616.887538,67.8
19,-24802.688922,68.07
20,-25097.348787000003,68.25
21,-24978.077573,66.14
22,-25099.165633,67.16
23,-24993.754433500002,65.73
24,-25363.125526500004,66.54
25,-25010.1848125,67.17
26,-25442.6624235,65.57
27,-25400.095192,67.27
28,-25266.559636500002,67.6
29,-25730.015521999998,67.5
30,-25084.352562,66.66
31,-25179.9548935,67.56
32,-24506.427502000002,66.75
33,-24731.0311505,65.88
34,-24892.607046,67.69
35,-24695.3926135,66.65
36,-24866.58309,66.76
37,-25258.2683075,66.06
38,-25389.6693315,66.88
39,-25012.8365675,63.76
40,-24904.033222,64.51
41,-25109.310565,64.81
42,-24777.956712,66.32
43,-24701.292112000003,66.8
44,-24387.261307999997,66.51
45,-24659.578168,64.98
46,-24418.625530999998,66.47
47,-24681.7925235,66.41
48,-24657.677306,66.73
49,-24975.079252,65.87
50,-24988.705597,67.01
51,-24873.7638325,64.88
52,-24959.0190685,65.52
53,-24844.098308,64.81
54,-24746.8996725,65.29
55,-24938.863105000004,64.52
56,-25081.6614245,65.54
57,-25288.881637500002,66.22
58,-24846.390369499997,66.08
59,-24680.813211999997,66.18
60,-24401.297231,66.89
61,-25203.235202,66.47
62,-24754.398100500002,66.81
63,-25064.929113,65.8
64,-24678.3688715,67.55
65,-24645.379463999998,65.94
66,-24942.880119999998,66.82
67,-24712.828559,68.83
68,-24240.8450495,67.65
69,-24460.297466999997,67.74
70,-24668.3237085,68.85
71,-24718.567902,67.66
72,-24379.6499835,66.77
73,-24776.5310655,66.3
74,-24930.416871499998,68.5
75,-24946.582075,68.82
76,-24646.8681225,67.39
77,-24997.5246515,70.09
78,-24821.576769000003,68.68
79,-24818.560069500003,67.81
80,-24946.7684855,65.05
81,-25156.293887499996,66.32
82,-24976.1688345,67.89
83,-25105.073008,65.05
84,-24978.321744499997,68.08
85,-25038.621603000003,67.74
86,-25070.3927785,65.98
87,-24809.8434095,64.93
88,-25172.4669675,66.15
89,-25450.2343655,68.04
90,-25443.4920815,66.62
91,-25734.085047,67.43
92,-25322.2569935,67.03
93,-24950.992915,68.37
94,-25027.9594475,66.56
